Estación: ,76393,Parámetro: ,RapViento
Longitud: ,-,Latitud:,-

Fecha,Valor
2010-01-01 12:00,3.6
2010-01-01 13:00,5.04
2010-01-01 14:00,6.12
2010-01-01 15:00,6.48
2010-01-01 16:00,7.92
2010-01-01 17:00,7.92
2010-01-01 18:00,10.08
2010-01-01 19:00,10.08
2010-01-01 20:00,10.44
2010-01-01 21:00,11.52
2010-01-01 22:00,6.48
2010-01-01 23:00,3.96
2010-01-02 00:00,2.88
2010-01-02 06:00,3.96
2010-01-02 07:00,0
2010-01-02 08:00,2.52
2010-01-02 09:00,2.88
2010-01-02 10:00,1.08
2010-01-02 11:00,2.52
2010-01-02 12:00,4.68
2010-01-02 13:00,8.64
2010-01-02 14:00,9
2010-01-02 15:00,9
2010-01-02 16:00,7.56
2010-01-02 17:00,7.92
2010-01-02 18:00,9
2010-01-02 19:00,7.2
2010-01-02 20:00,6.48
2010-01-02 21:00,6.12
2010-01-02 22:00,3.6
2010-01-02 23:00,2.16
2010-01-03 00:00,3.96
2010-01-03 01:00,2.16
2010-01-03 02:00,2.88
2010-01-03 03:00,3.6
2010-01-03 04:00,2.88
2010-01-03 05:00,3.6
2010-01-03 06:00,2.16
2010-01-03 07:00,0
2010-01-03 08:00,3.6
2010-01-03 09:00,1.08
2010-01-03 10:00,5.04
2010-01-03 11:00,5.4
2010-01-03 12:00,5.04
2010-01-03 13:00,3.96
2010-01-03 14:00,5.04
2010-01-03 15:00,5.04
2010-01-03 16:00,6.12
2010-01-03 17:00,7.2
2010-01-03 18:00,7.92
2010-01-03 19:00,10.08
2010-01-03 20:00,6.48
2010-01-03 21:00,5.4
2010-01-03 22:00,7.2
2010-01-03 23:00,6.48
2010-01-04 00:00,3.96
2010-01-05 01:00,11.52
2010-01-05 02:00,12.24
2010-01-05 03:00,10.08
2010-01-05 04:00,7.56
2010-01-05 05:00,9
2010-01-05 06:00,11.16
2010-01-05 07:00,10.08
2010-01-05 08:00,11.16
2010-01-05 09:00,10.08
2010-01-05 10:00,9.72
2010-01-05 11:00,9
2010-01-05 12:00,10.08
2010-01-05 13:00,7.92
2010-01-05 14:00,7.92
2010-01-05 15:00,7.92
2010-01-05 16:00,7.56
2010-01-05 17:00,7.92
2010-01-05 18:00,7.92
2010-01-05 19:00,6.84
2010-01-05 20:00,6.48
2010-01-05 21:00,6.12
2010-01-05 22:00,4.32
2010-01-05 23:00,3.24
2010-01-06 00:00,6.48
2010-01-06 01:00,2.88
2010-01-06 02:00,0
2010-01-06 03:00,0
2010-01-06 04:00,0
2010-01-06 05:00,0
2010-01-06 06:00,0
