Estación: ,ADJNL,Las Adjuntas
Variable: ,Gasto en Río (m3/s)
Longitud: ,99° 40' 50'',Latitud:,24° 53' 05.9''

Fecha,Valor
2003-10-01,11.11
2003-10-02,9.6
2003-10-04,7.05
2003-10-09,4.33
2003-10-10,4.52
2003-10-11,4.61
2003-10-12,11.72
2003-10-13,3.82
2003-10-14,3.67
2003-10-15,29.32
2003-10-16,19.82
2003-10-17,7.94
2003-10-18,6.53
2003-10-19,5.69
2003-10-20,5.01
2003-10-21,4.59
2003-10-22,4.21
2003-10-23,4.28
2003-10-24,4.25
2003-10-27,9.77
2003-10-28,8.1
2003-10-29,6.4
2003-10-30,5.59
2003-10-31,5.46
2003-11-01,5.65
2003-11-02,4.33
2003-11-03,4.3
2003-11-04,3.5
2003-11-05,3.38
2003-11-06,3.03
2003-11-07,3.08
2003-11-08,3.07
2003-11-09,3.08
2003-11-10,2.5
2003-11-11,2.31
2003-11-12,2.27
2003-11-13,2.33
2003-11-14,2.23
2003-11-15,2.26
2003-11-16,2.25
2003-11-18,1.78
2003-11-19,1.77
2003-11-20,1.77
2003-11-21,1.55
2003-11-22,1.6
2003-11-23,1.57
2003-11-24,1.4
2003-11-25,1.58
2003-11-26,1.58
2003-11-27,1.56
2003-11-28,1.53
2003-11-29,1.54
2003-12-01,1.53
2003-12-18,1.15
2003-12-19,1.21
2003-12-20,1.24
2003-12-21,1.23
2003-12-22,1.22
2003-12-23,1.23
2003-12-24,1.22
2003-12-25,1.23
2003-12-26,1.23
2003-12-27,1.15
2003-12-28,1.15
2003-12-29,1.15
2003-12-30,1.04
2003-12-31,1.08
2004-01-01,1.14
2004-01-02,1.15
2004-01-03,1.16
2004-01-04,1.15
2004-01-05,1.15
2004-01-06,1.62
2004-01-07,1.15
2004-01-10,0.91
2004-01-11,0.92
2004-01-12,0.94
2004-01-13,0.93
2004-01-14,0.92
2004-01-15,0.93
2004-01-16,0.93
2004-01-17,0.93
2004-01-18,0.92
2004-01-19,0.91
2004-01-20,0.91
2004-01-21,0.92
2004-01-22,0.94
2004-01-23,0.95
2004-01-26,0.95
2004-01-27,0.92
2004-01-28,0.87
2004-01-29,0.86
2004-01-30,0.85
2004-01-31,0.87
2004-02-01,0.84
2004-03-01,0.91
2004-03-02,0.48
2004-03-03,0.49
2004-03-04,0.5
2004-03-05,0.5
2004-03-06,0.5
2004-03-07,0.45
2004-03-08,0.47
2004-03-09,0.46
2004-03-10,0.47
2004-03-11,0.43
2004-03-12,0.47
2004-03-13,0.84
2004-03-14,0.66
2004-03-15,0.67
2004-03-16,0.72
2004-03-17,0.58
2004-03-18,0.59
2004-03-19,0.58
2004-03-20,0.57
2004-03-21,0.7
2004-03-22,0.89
2004-03-23,0.83
2004-03-24,0.82
2004-03-25,0.76
2004-03-26,0.86
2004-03-27,0.85
2004-03-28,0.84
2004-03-29,0.66
2004-04-01,0.79
2004-04-02,1.2
2004-04-03,1.12
2004-04-05,1.18
