Estación: ,ADJNL,Las Adjuntas
Variable: ,Nivel (m)
Longitud: ,99° 40' 50'',Latitud:,24° 53' 05.9''

Fecha,Valor
2003-10-01,1.58
2003-10-02,1.54
2003-10-04,1.48
2003-10-09,1.4
2003-10-10,1.4
2003-10-11,1.4
2003-10-12,1.6
2003-10-13,1.39
2003-10-14,1.38
2003-10-15,1.8
2003-10-16,1.7
2003-10-17,1.52
2003-10-18,1.48
2003-10-19,1.46
2003-10-20,1.42
2003-10-21,1.41
2003-10-22,1.4
2003-10-23,1.4
2003-10-24,1.4
2003-10-27,1.56
2003-10-28,1.5
2003-10-29,1.46
2003-10-30,1.42
2003-10-31,1.41
2003-11-01,1.42
2003-11-02,1.4
2003-11-03,1.4
2003-11-04,1.38
2003-11-05,1.37
2003-11-06,1.36
2003-11-07,1.36
2003-11-08,1.36
2003-11-09,1.36
2003-11-10,1.35
2003-11-11,1.34
2003-11-12,1.34
2003-11-13,1.34
2003-11-14,1.34
2003-11-15,1.34
2003-11-16,1.34
2003-11-18,1.33
2003-11-19,1.33
2003-11-20,1.33
2003-11-21,1.32
2003-11-22,1.32
2003-11-23,1.32
2003-11-24,1.31
2003-11-25,1.32
2003-11-26,1.32
2003-11-27,1.32
2003-11-28,1.32
2003-11-29,1.32
2003-12-01,1.32
2003-12-18,1.28
2003-12-19,1.28
2003-12-20,1.29
2003-12-21,1.29
2003-12-22,1.29
2003-12-23,1.29
2003-12-24,1.29
2003-12-25,1.29
2003-12-26,1.29
2003-12-27,1.28
2003-12-28,1.28
2003-12-29,1.28
2003-12-30,1.27
2003-12-31,1.27
2004-01-01,1.28
2004-01-02,1.28
2004-01-03,1.28
2004-01-04,1.28
2004-01-05,1.28
2004-01-06,1.28
2004-01-07,1.28
2004-01-10,1.26
2004-01-11,1.26
2004-01-12,1.26
2004-01-13,1.26
2004-01-14,1.26
2004-01-15,1.26
2004-01-16,1.26
2004-01-17,1.26
2004-01-18,1.26
2004-01-19,1.26
2004-01-20,1.26
2004-01-21,1.26
2004-01-22,1.27
2004-01-23,1.27
2004-01-26,1.27
2004-01-27,1.26
2004-01-28,1.25
2004-01-29,1.25
2004-01-30,1.25
2004-01-31,1.25
2004-02-01,1.25
2004-03-02,1.24
2004-03-03,1.24
2004-03-04,1.24
2004-03-05,1.25
2004-03-06,1.26
2004-03-07,1.24
2004-03-08,1.24
2004-03-09,1.24
2004-03-10,1.24
2004-03-11,1.23
2004-03-12,1.24
2004-03-13,1.28
2004-03-14,1.26
2004-03-15,1.26
2004-03-16,1.26
2004-03-17,1.25
2004-03-18,1.25
2004-03-19,1.25
2004-03-20,1.25
2004-03-21,1.26
2004-03-22,1.3
2004-03-23,1.28
2004-03-24,1.28
2004-03-25,1.27
2004-03-26,1.28
2004-03-27,1.28
2004-03-28,1.28
2004-03-29,1.26
2004-04-01,1.27
2004-04-02,1.29
2004-04-03,1.28
2004-04-05,1.28
2004-04-06,1.28
2004-04-07,1.27
