Estación: ,ARRNL,Aramberri
Variable: ,Evaporación (mm)
Longitud: ,99° 49' 20.4'',Latitud:,24° 07' 32
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,6.47,
2022-01-02,3.12,
2022-01-03,3,
2022-01-04,1.35,
2022-01-05,2.98,
2022-01-06,1.72,
2022-01-07,1.95,
2022-01-08,3.03,
2022-01-09,3.01,
2022-01-10,1.77,
2022-01-11,0.79,
2022-01-12,1.48,
2022-01-13,4.32,
2022-01-14,2.9,
2022-01-15,3.96,
2022-01-16,2.27,
2022-01-17,2.07,
2022-01-18,2.28,
2022-01-19,3.19,
2022-01-20,5.06,
2022-01-21,0.71,
2022-01-22,2.65,
2022-01-23,0.95,
2022-01-24,1.3,
2022-01-25,4.36,
2022-01-26,2.68,
2022-01-27,-,-
2022-01-28,0.41,
2022-01-29,2.18,
2022-01-30,3.66,
2022-01-31,3.86,
2022-02-01,2.57,
2022-02-02,5.23,
2022-02-03,2.83,
2022-02-04,1.47,
2022-02-05,1.36,
2022-02-06,2.49,
2022-02-07,0.54,
2022-02-08,3.25,
2022-02-09,2.65,
2022-02-10,2.71,
2022-02-11,1.55,
2022-02-12,3.87,
2022-02-13,4.96,
2022-02-14,3.26,
2022-02-15,3.15,
2022-02-16,8.65,
2022-02-17,7.3,
2022-02-18,4.19,
2022-02-19,2.45,
2022-02-20,4.08,
2022-02-21,4.86,
2022-02-22,-,-
2022-02-23,5.11,
2022-02-24,5.82,
2022-02-25,-,-
2022-02-26,3.07,
2022-02-27,4.97,
2022-02-28,3.17,
2022-03-01,5.36,
2022-03-02,3.07,
2022-03-03,4.83,
2022-03-04,4.65,
2022-03-05,5.92,
2022-03-06,7.89,
2022-03-07,5.97,
2022-03-08,5.36,
2022-03-09,3.97,
2022-03-10,6.58,
2022-03-11,8.53,
2022-03-12,3.97,
2022-03-13,3.71,
2022-03-14,9.51,
2022-03-15,7.29,
2022-03-16,6.93,
2022-03-17,7.78,
2022-03-18,7.28,
2022-03-19,8.06,
2022-03-20,10.51,
2022-03-21,5.4,
2022-03-22,7.59,
2022-03-23,7.83,
2022-03-24,5.64,
2022-03-25,9.56,
2022-03-26,6.61,
2022-03-27,9.06,
2022-03-28,8.91,
2022-03-29,12.75,
2022-03-30,9.85,
2022-03-31,5.69,
2022-04-01,7.3,
2022-04-02,5.23,
2022-04-03,8.68,
2022-04-04,5.39,
2022-04-05,11.72,
2022-04-06,6.47,
2022-04-07,7.97,
2022-04-08,6.75,
2022-04-09,6.69,
2022-04-10,7.9,
2022-04-11,7.8,
2022-04-12,10.22,
2022-04-13,8.49,
2022-04-14,9.57,
2022-04-15,7.48,
2022-04-16,8.93,
2022-04-17,7.08,
2022-04-18,6.03,
2022-04-19,7.29,
2022-04-20,8.82,
2022-04-21,3.24,
2022-04-22,4.58,
2022-04-23,6.79,
2022-04-24,8.21,
2022-04-25,-,-
2022-04-26,4.68,
2022-04-27,5.06,
2022-04-28,7.23,
2022-04-29,8.65,
2022-04-30,8.72,
2022-05-01,8.04,
2022-05-02,9.46,
2022-05-03,8.83,
2022-05-04,8.02,
2022-05-05,7.63,
2022-05-06,10.44,
2022-05-07,7.85,
2022-05-08,11.84,
2022-05-09,8.16,
2022-05-10,5.84,
2022-05-11,7.27,
2022-05-12,9.51,
2022-05-13,9.75,
2022-05-14,6.58,
2022-05-15,8.78,
2022-05-16,9.69,
2022-05-17,10.03,
2022-05-18,8.96,
2022-05-19,9.5,
2022-05-20,9.79,
2022-05-21,10.38,
2022-05-22,5.59,
2022-05-23,4.92,
2022-05-24,6.71,
2022-05-25,8.37,
2022-05-26,8.63,
2022-05-27,9.89,
2022-05-28,10.27,
2022-05-29,9.6,
2022-05-30,7.44,
2022-05-31,9.68,
2022-06-01,8.25,
2022-06-02,9.86,
2022-06-03,6.58,
2022-06-04,9,
2022-06-05,9.92,
2022-06-06,11.06,
2022-06-07,12.57,
2022-06-08,8.08,
2022-06-09,4.23,
2022-06-10,6.28,
2022-06-11,8.87,
2022-06-12,11.07,
2022-06-13,9.3,
2022-06-14,6.73,
2022-06-15,7.15,
2022-06-16,8.72,
2022-06-17,10.55,
2022-06-18,3.72,
2022-06-19,2.53,
2022-06-20,6.49,
2022-06-21,9.15,
2022-06-22,1.61,
2022-06-23,8.47,
2022-06-24,7.74,
2022-06-25,9.43,
2022-06-26,7.7,
2022-06-27,7.05,
2022-06-28,7.94,
2022-06-29,8.79,
2022-06-30,5.42,
2022-07-01,5.68,
2022-07-02,9.14,
2022-07-03,8.12,
2022-07-04,9.49,
2022-07-05,8.64,
2022-07-06,10.38,
2022-07-07,6.08,
2022-07-08,9.02,
2022-07-09,10.61,
2022-07-10,8.13,
2022-07-11,9.33,
2022-07-12,9.11,
2022-07-13,7.79,
2022-07-14,7.62,
2022-07-15,4.55,
2022-07-16,7.04,
2022-07-17,7.22,
2022-07-18,7.65,
2022-07-19,9.7,
2022-07-20,9.77,
2022-07-21,7.54,
2022-07-22,8.98,
2022-07-23,5.95,
2022-07-24,8.13,
2022-07-25,4.49,
2022-07-26,8.81,
2022-07-27,5.2,
2022-07-28,-,-
2022-07-29,3.24,
2022-07-30,7.88,
2022-07-31,7.95,
2022-08-01,5.31,
2022-08-02,5.93,
2022-08-03,9.19,
2022-08-04,10.29,
2022-08-05,7.18,
2022-08-06,6.16,
2022-08-07,9.15,
2022-08-08,4.97,
2022-08-09,6.38,
2022-08-10,9.08,
2022-08-11,7.82,
2022-08-12,9.25,
2022-08-13,3.93,
2022-08-14,4.45,
2022-08-15,2.92,
2022-08-16,3.3,
2022-08-17,7.49,
2022-08-18,9.1,
2022-08-19,7.13,
2022-08-20,8.03,
2022-08-21,8.51,
2022-08-22,7.61,
2022-08-23,7.65,
2022-08-24,8.51,
2022-08-25,6.76,
2022-08-26,7.79,
2022-08-27,7,
2022-08-28,8.81,
2022-08-29,7.23,
2022-08-30,6.93,
2022-08-31,6.33,
2022-09-01,8.17,
2022-09-02,11.64,
2022-09-03,3.96,
2022-09-04,5.88,
2022-09-05,3.71,
2022-09-06,7.35,
2022-09-07,2.23,
2022-09-08,7.37,
2022-09-09,4.67,
2022-09-10,6.07,
2022-09-11,6.6,
2022-09-12,7.14,
2022-09-13,8.23,
2022-09-14,6.66,
2022-09-15,3.96,
2022-09-16,6.06,
2022-09-17,3.29,
2022-09-18,3.76,
2022-09-19,5.35,
2022-09-20,4.63,
2022-09-21,7.55,
2022-09-22,5.05,
2022-09-23,7.33,
2022-09-24,5.87,
2022-09-25,3.7,
2022-09-26,5.59,
2022-09-27,2.93,
2022-09-28,5.28,
2022-09-29,5.11,
2022-09-30,5.17,
2022-10-01,6.22,
2022-10-02,3.71,
2022-10-03,2.23,
2022-10-04,3.18,
2022-10-05,5.97,
2022-10-06,0.95,
2022-10-07,-,-
2022-10-08,1.88,
2022-10-09,1.14,
2022-10-10,3.92,
2022-10-11,4.59,
2022-10-12,3.06,
2022-10-13,5.53,
