Estación: ,BOCNL,P.La Boca. NL
Variable: ,Gasto en Río (m3/s)
Longitud: ,100° 07' 44'',Latitud:,25° 25' 46

Fecha,Valor
2002-01-14,0.27
2002-01-15,0.27
2002-01-17,0.25
2002-01-18,0.277
2002-01-19,0.24
2002-01-20,0.24
2002-01-23,0.23
2002-01-24,0.23
2002-01-27,0.23
2002-01-28,0.22
2002-01-29,0.22
2002-01-30,0.2
2002-01-31,0.21
2002-02-01,0.21
2002-02-02,0.21
2002-02-05,2.11
2002-02-06,0.21
2002-02-07,0.22
2002-02-10,0.21
2002-02-11,0.2
2002-02-12,0.2
2002-02-13,0.2
2002-02-17,0.2
2002-02-18,0.19
2002-02-19,0.19
2002-02-20,0.18
2002-02-21,0.16
2002-02-24,0.16
2002-02-25,0.14
2002-02-26,0.14
2002-02-27,0.14
2002-02-28,0.15
2002-03-01,0.14
2002-03-03,0.14
2002-03-04,0.15
2002-03-05,0.14
2002-03-06,0.15
2002-03-11,0.14
2002-03-13,0.15
2002-03-14,0.15
2002-03-15,0.12
2002-03-17,0.12
2002-03-18,0.12
2002-03-19,0.12
2002-03-21,0.12
2002-03-22,0.09
2002-03-23,0.09
2002-03-24,0.1
2002-03-25,0.1
2002-03-26,0.09
2002-03-31,0.087
2002-04-02,0.087
2002-04-03,0.087
2002-04-04,0.09
2002-04-05,0.08
2002-04-06,0.08
2002-04-07,0.09
2002-04-08,0.09
2002-04-09,0.09
2002-04-10,0.07
2002-04-11,0.07
2002-04-14,0.06
2002-04-15,0.06
2002-04-16,0.06
2002-04-17,0.06
2002-04-18,0.06
2002-04-21,0.05
2002-04-22,0.05
2002-04-23,0.05
2002-04-24,0.04
2002-04-25,0.05
2002-04-26,0.04
2002-04-27,0.05
2002-04-28,0.35
2002-04-29,0.01
2002-04-30,0.01
2002-05-02,0.01
2002-05-03,0.01
2002-05-06,0.01
2002-05-07,0.01
2002-05-08,0.01
2002-05-09,0.01
2002-05-10,0.01
2002-05-11,0.01
2002-05-12,0.01
2002-05-13,0.01
2002-05-14,0.01
2002-05-15,0.01
2002-05-16,0.01
2002-05-17,0.01
2002-05-18,0.01
2002-05-19,0.01
2002-05-20,0.01
2002-05-21,0.01
2002-05-22,0.01
2002-05-23,0.01
2002-05-24,0.01
2002-05-25,0.01
2002-05-26,0.01
2002-05-27,0.01
2002-05-28,0.01
2002-05-29,0.01
2002-05-30,0.01
2002-05-31,0.01
2002-06-01,0.01
2002-06-02,0.01
2002-06-03,0.01
2002-06-04,0.01
2002-06-05,0.01
2002-06-06,0.01
2002-06-07,0.01
2002-06-08,0.01
2002-06-09,0.01
2002-06-10,0.01
2002-06-11,0.01
2002-06-12,0.01
2002-06-13,0.01
2002-06-14,0.01
2002-06-15,0.01
2002-06-16,0.01
2002-06-17,0.01
2002-06-18,0.01
2002-06-19,0.01
2002-06-20,0.01
2002-06-21,0.01
2002-06-22,0.01
2002-06-23,0.01
2002-06-24,0.01
2002-06-25,0.01
2002-06-26,0.01
2002-06-27,0.01
2002-06-28,0.01
2002-06-29,0.01
2002-06-30,0.01
2002-07-01,0
2002-07-02,0.01
2002-07-03,0.01
2002-07-04,0.01
2002-07-05,0.01
2002-07-06,0.01
2002-07-07,0.01
2002-07-08,0.01
2002-07-09,0.01
2002-07-10,0.01
2002-07-11,6.052
2002-07-12,0.3
2002-07-13,0.28
2002-07-14,0.32
2002-07-15,0.33
2002-07-16,0.32
2002-07-17,0.32
2002-07-18,0.35
2002-07-20,0.336
