Estación: ,C19004,APODACA. APODACA
Variable: ,Evaporación (mm)
Longitud: ,100° 09' 00'',Latitud:,25° 49' 00

Fecha,Valor,NúmDatos
2002-08-01,0,CLIC
2002-08-02,0,CLIC
2002-08-03,0,CLIC
2002-08-04,0,CLIC
2002-08-05,0,CLIC
2002-08-06,0,CLIC
2002-08-07,3,CLIC
2002-08-08,0,CLIC
2002-08-09,0,CLIC
2002-08-10,0,CLIC
2002-08-11,0,CLIC
2002-08-12,0,CLIC
2002-08-13,0,CLIC
2002-08-14,0,CLIC
2002-08-15,0.4,CLIC
2002-08-16,0,CLIC
2002-08-17,0,CLIC
2002-08-18,0,CLIC
2002-08-19,0,CLIC
2002-08-20,0,CLIC
2002-08-21,0,CLIC
2002-08-22,0,CLIC
2002-08-23,0,CLIC
2002-08-24,0,CLIC
2002-08-25,0,CLIC
2002-08-26,0,CLIC
2002-08-27,0,CLIC
2002-08-28,0,CLIC
2002-08-29,0,CLIC
2002-08-30,0,CLIC
2002-08-31,0,CLIC
2006-08-01,7.35,CLIC
2006-08-02,5.1,CLIC
2006-08-03,7,CLIC
2006-08-04,6.1,CLIC
2006-08-05,6.8,CLIC
2006-08-06,4.45,CLIC
2006-08-08,6.8,CLIC
2006-08-09,5.6,CLIC
2006-08-10,6.8,CLIC
2006-08-11,7.85,CLIC
2006-08-12,7.75,CLIC
2006-08-13,6.75,CLIC
2006-08-14,6.45,CLIC
2006-08-15,7.1,CLIC
2006-08-16,6.6,CLIC
2006-08-17,7.2,CLIC
2006-08-18,7.7,CLIC
2006-08-19,7,CLIC
2006-08-20,0.1,CLIC
2006-08-21,7.2,CLIC
2006-08-22,6.5,CLIC
2006-08-23,8.5,CLIC
2006-08-24,5.85,CLIC
2006-08-25,5.8,CLIC
2006-08-26,2.75,CLIC
2006-08-27,1.9,CLIC
2006-08-28,2.85,CLIC
2006-08-29,8.6,CLIC
2006-08-30,8.35,CLIC
2006-08-31,6,CLIC
