Estación: ,C19009,CASILLAS. RAYONES
Variable: ,Evaporación (mm)
Longitud: ,100° 12' 49.7'',Latitud:,25° 11' 49.4''

Fecha,Valor,NúmDatos
1959-06-01,8,CLIC
1959-06-02,7,CLIC
1959-06-03,6,CLIC
1959-06-04,5,CLIC
1959-06-05,3.1,CLIC
1959-06-06,5,CLIC
1959-06-07,3,CLIC
1959-06-08,5,CLIC
1959-06-09,10,CLIC
1959-06-10,6,CLIC
1959-06-11,7,CLIC
1959-06-12,3,CLIC
1959-06-13,2.5,CLIC
1959-06-14,3.1,CLIC
1959-06-15,1.9,CLIC
1959-06-16,1.1,CLIC
1959-06-17,2.1,CLIC
1959-06-18,4,CLIC
1959-06-19,7,CLIC
1959-06-20,5,CLIC
1959-06-21,8,CLIC
1959-06-22,6,CLIC
1959-06-23,7,CLIC
1959-06-24,3,CLIC
1959-06-25,3,CLIC
1959-06-26,4,CLIC
1959-06-27,6,CLIC
1959-06-28,6,CLIC
1959-06-29,4,CLIC
1959-06-30,5,CLIC
1959-07-01,3,CLIC
1959-07-02,8,CLIC
1959-07-03,8,CLIC
1959-07-04,8,CLIC
1959-07-05,6.8,CLIC
1959-07-06,8.2,CLIC
1959-07-07,7,CLIC
1959-07-08,7,CLIC
1959-07-09,7.5,CLIC
1959-07-10,7,CLIC
1959-07-11,7.1,CLIC
1959-07-12,3.3,CLIC
1959-07-13,4,CLIC
1959-07-14,5,CLIC
1959-07-15,6,CLIC
1959-07-16,5,CLIC
1959-07-17,6,CLIC
1959-07-18,5.5,CLIC
1959-07-19,8.5,CLIC
1959-07-20,5.9,CLIC
1959-07-21,4.3,CLIC
1959-07-22,7.4,CLIC
1959-07-23,6.1,CLIC
1959-07-24,7.2,CLIC
1959-07-25,7.5,CLIC
1959-07-26,6.9,CLIC
1959-07-27,5.2,CLIC
1959-07-28,5,CLIC
1959-07-29,6.4,CLIC
1959-07-30,6.8,CLIC
1959-07-31,5.4,CLIC
1959-08-01,5.1,CLIC
1959-08-02,6,CLIC
1959-08-03,4.5,CLIC
1959-08-04,7,CLIC
1959-08-05,6,CLIC
1959-08-06,7,CLIC
1959-08-07,3,CLIC
1959-08-08,6,CLIC
1959-08-09,6,CLIC
1959-08-10,5,CLIC
1959-08-11,6,CLIC
1959-08-12,7,CLIC
1959-08-13,3.5,CLIC
1959-08-14,3,CLIC
1959-08-15,4,CLIC
1959-08-16,4.9,CLIC
1959-08-17,6,CLIC
1959-08-18,5,CLIC
1959-08-19,4,CLIC
1959-08-20,5,CLIC
1959-08-21,7,CLIC
1959-08-22,5,CLIC
1959-08-23,3,CLIC
1959-08-24,3.5,CLIC
1959-08-25,3.5,CLIC
1959-08-26,2.5,CLIC
1959-08-27,5,CLIC
1959-08-28,7,CLIC
1959-08-29,6,CLIC
1959-08-30,7,CLIC
1959-08-31,4.9,CLIC
