Estación: ,C19014,DULCES NOMBRES.
Variable: ,Precipitación (mm)
Longitud: ,99° 36' 00'',Latitud:,24° 01' 00

Fecha,Valor,NúmDatos
1960-05-27,1.5,CLIC
1960-05-28,1,CLIC
1960-05-29,1,CLIC
1960-05-30,1.5,CLIC
1960-05-31,2,CLIC
1960-06-01,0,CLIC
1960-06-02,0,CLIC
1960-06-03,0,CLIC
1960-06-04,0,CLIC
1960-06-05,0,CLIC
1960-06-06,6,CLIC
1960-06-07,2,CLIC
1960-06-08,1,CLIC
1960-06-09,0,CLIC
1960-06-10,0,CLIC
1960-06-11,0,CLIC
1960-06-12,0,CLIC
1960-06-13,0,CLIC
1960-06-14,0,CLIC
1960-06-15,0,CLIC
1960-06-16,0,CLIC
1960-06-17,0,CLIC
1960-06-18,0,CLIC
1960-06-19,0,CLIC
1960-06-20,0,CLIC
1960-06-21,0,CLIC
1960-06-22,37,CLIC
1960-06-23,15,CLIC
1960-06-24,8.5,CLIC
1960-06-25,0,CLIC
1960-06-26,0,CLIC
1960-06-27,0,CLIC
1960-06-28,1,CLIC
1960-06-29,0,CLIC
1960-06-30,0,CLIC
1960-07-01,0,CLIC
1960-07-02,0,CLIC
1960-07-03,0,CLIC
1960-07-04,4.5,CLIC
1960-07-05,0,CLIC
1960-07-06,0,CLIC
1960-07-07,0,CLIC
1960-07-08,0,CLIC
1960-07-09,0,CLIC
1960-07-10,0,CLIC
1960-07-11,0,CLIC
1960-07-12,0,CLIC
1960-07-13,1,CLIC
1960-07-14,8,CLIC
1960-07-15,0,CLIC
1960-07-16,1,CLIC
1960-07-17,0,CLIC
1960-07-18,4,CLIC
1960-07-19,22,CLIC
1960-07-20,5,CLIC
1960-07-21,0,CLIC
1960-07-22,0,CLIC
1960-07-23,0,CLIC
1960-07-24,0,CLIC
1960-07-25,0,CLIC
1960-07-26,0,CLIC
1960-07-27,0,CLIC
1960-07-28,0,CLIC
1960-07-29,0,CLIC
1960-07-30,0,CLIC
1960-07-31,0,CLIC
1960-08-01,2,CLIC
1960-08-02,0,CLIC
1960-08-03,0,CLIC
1960-08-04,0,CLIC
1960-08-05,0,CLIC
1960-08-06,10,CLIC
1960-08-07,10,CLIC
1960-08-08,3.5,CLIC
1960-08-09,0,CLIC
1960-08-10,1.5,CLIC
1960-08-11,8,CLIC
1960-08-12,31,CLIC
1960-08-13,28,CLIC
1960-08-14,3,CLIC
1960-08-15,2,CLIC
1960-08-16,3.5,CLIC
1960-08-17,0,CLIC
1960-08-18,2,CLIC
1960-08-19,16,CLIC
1960-08-20,1,CLIC
1960-08-21,0,CLIC
1960-08-22,0,CLIC
1960-08-23,0,CLIC
1960-08-24,0,CLIC
1960-08-25,0,CLIC
1960-08-26,0,CLIC
1960-08-27,3,CLIC
1960-08-28,7,CLIC
1960-08-29,2,CLIC
1960-08-30,5,CLIC
1960-08-31,0,CLIC
1960-09-01,35,CLIC
1960-09-02,52,CLIC
1960-09-03,29,CLIC
1960-09-04,60,CLIC
1960-09-05,32,CLIC
1960-09-06,22,CLIC
1960-09-07,12,CLIC
1960-09-08,15,CLIC
1960-09-09,31,CLIC
1960-09-10,68,CLIC
1960-09-11,78,CLIC
1960-09-12,4,CLIC
1960-09-13,0,CLIC
1960-09-14,0,CLIC
1960-09-15,0,CLIC
1960-09-16,0,CLIC
1960-09-17,0,CLIC
1960-09-18,0,CLIC
1960-09-19,0,CLIC
1960-09-20,0,CLIC
1960-09-21,0,CLIC
1960-09-22,0,CLIC
1960-09-23,0,CLIC
1960-09-24,10,CLIC
1960-09-25,0,CLIC
1960-09-26,0,CLIC
1960-09-27,0,CLIC
1960-09-28,0,CLIC
1960-09-29,0,CLIC
1960-09-30,0,CLIC
1960-10-01,0,CLIC
1960-10-02,0,CLIC
1960-10-03,0,CLIC
1960-10-04,0,CLIC
1960-10-05,1,CLIC
1960-10-06,4,CLIC
1960-10-07,0,CLIC
1960-10-08,0,CLIC
1960-10-09,0,CLIC
1960-10-10,2,CLIC
1960-10-11,2,CLIC
1960-10-12,0,CLIC
1960-10-13,0,CLIC
1960-10-14,0,CLIC
1960-10-15,0,CLIC
1960-10-16,0,CLIC
1960-10-17,20,CLIC
1960-10-18,0,CLIC
1960-10-19,77,CLIC
1960-10-20,1,CLIC
1960-10-21,2,CLIC
1960-10-22,0,CLIC
1960-10-23,0,CLIC
1960-10-24,0,CLIC
1960-10-25,0,CLIC
1960-10-26,1,CLIC
1960-10-27,0,CLIC
1960-10-28,0,CLIC
1960-10-29,4,CLIC
1960-10-30,4,CLIC
1960-10-31,0,CLIC
1960-11-01,9,CLIC
1960-11-02,0,CLIC
1960-11-03,0,CLIC
1960-11-04,0,CLIC
1960-11-05,16,CLIC
1960-11-06,0,CLIC
1960-11-07,0,CLIC
1960-11-08,0,CLIC
1960-11-09,1,CLIC
1960-11-10,0,CLIC
1960-11-11,0,CLIC
1960-11-12,0,CLIC
1960-11-13,0,CLIC
1960-11-14,0,CLIC
1960-11-15,0,CLIC
1960-11-16,0,CLIC
1960-11-17,0,CLIC
1960-11-18,0,CLIC
1960-11-19,1,CLIC
1960-11-20,2,CLIC
1960-11-21,0,CLIC
1960-11-22,0,CLIC
1960-11-23,0,CLIC
1960-11-24,0,CLIC
1960-11-25,0,CLIC
1960-11-26,0,CLIC
1960-11-27,0,CLIC
1960-11-28,0,CLIC
1960-11-29,0,CLIC
1960-11-30,0,CLIC
1960-12-01,0,CLIC
1960-12-02,0,CLIC
1960-12-03,0,CLIC
1960-12-04,0,CLIC
1960-12-05,0,CLIC
1960-12-06,0,CLIC
1960-12-07,0,CLIC
1960-12-08,0,CLIC
1960-12-09,2,CLIC
1960-12-10,0,CLIC
1960-12-11,0,CLIC
1960-12-12,0,CLIC
1960-12-13,0,CLIC
1960-12-14,0,CLIC
1960-12-15,1,CLIC
1960-12-16,0,CLIC
1960-12-17,0,CLIC
1960-12-18,2,CLIC
1960-12-19,0,CLIC
1960-12-20,0,CLIC
1960-12-21,0,CLIC
1960-12-22,0,CLIC
1960-12-23,0,CLIC
1960-12-24,0,CLIC
1960-12-25,0,CLIC
1960-12-26,0,CLIC
1960-12-27,0,CLIC
1960-12-28,0,CLIC
1960-12-29,0,CLIC
1960-12-30,0,CLIC
1960-12-31,0,CLIC
1961-01-01,0,CLIC
1961-01-02,3,CLIC
1961-01-03,2,CLIC
1961-01-04,0,CLIC
1961-01-05,0,CLIC
1961-01-06,0,CLIC
1961-01-07,0,CLIC
1961-01-08,0,CLIC
1961-01-09,0,CLIC
1961-01-10,0,CLIC
1961-01-11,2,CLIC
1961-01-12,0,CLIC
1961-01-13,0,CLIC
1961-01-14,2,CLIC
1961-01-15,0,CLIC
1961-01-16,0,CLIC
1961-01-17,0,CLIC
1961-01-18,0,CLIC
1961-01-19,0,CLIC
1961-01-20,0,CLIC
1961-01-21,3,CLIC
1961-01-22,0,CLIC
1961-01-23,0,CLIC
1961-01-24,0,CLIC
1961-01-25,7,CLIC
1961-01-26,0,CLIC
1961-01-27,0,CLIC
1961-01-28,0,CLIC
1961-01-29,0,CLIC
1961-01-30,0,CLIC
1961-01-31,0,CLIC
1961-02-01,0,CLIC
1961-02-02,0,CLIC
1961-02-03,24,CLIC
1961-02-04,0,CLIC
1961-02-05,0,CLIC
1961-02-06,0,CLIC
1961-02-07,0,CLIC
1961-02-08,0,CLIC
1961-02-09,0,CLIC
1961-02-10,0,CLIC
1961-02-11,0,CLIC
1961-02-12,0,CLIC
1961-02-13,0,CLIC
1961-02-14,0,CLIC
1961-02-15,0,CLIC
1961-02-16,0,CLIC
1961-02-17,0,CLIC
1961-02-18,0,CLIC
1961-02-19,0,CLIC
1961-02-20,0,CLIC
1961-02-21,0,CLIC
1961-02-22,0,CLIC
1961-02-23,0,CLIC
1961-02-24,0,CLIC
1961-02-25,0,CLIC
1961-02-26,0,CLIC
1961-02-27,0,CLIC
1961-02-28,0,CLIC
1961-03-01,0,CLIC
1961-03-02,0,CLIC
1961-03-03,0,CLIC
1961-03-04,0,CLIC
1961-03-05,0,CLIC
1961-03-06,0,CLIC
1961-03-07,0,CLIC
1961-03-08,0,CLIC
1961-03-09,0,CLIC
1961-03-10,0,CLIC
1961-03-11,0,CLIC
1961-03-12,0,CLIC
1961-03-13,0,CLIC
1961-03-14,0,CLIC
1961-03-15,0,CLIC
1961-03-16,0,CLIC
1961-03-17,0,CLIC
1961-03-18,0,CLIC
1961-03-19,0,CLIC
1961-03-20,0,CLIC
1961-03-21,0,CLIC
1961-03-22,0,CLIC
1961-03-23,0,CLIC
1961-03-24,31,CLIC
1961-03-25,0,CLIC
1961-03-26,0,CLIC
1961-03-27,0,CLIC
1961-03-28,0,CLIC
1961-03-29,0,CLIC
1961-03-30,0,CLIC
1961-03-31,3.5,CLIC
1961-04-01,0,CLIC
1961-04-02,0,CLIC
1961-04-03,0,CLIC
1961-04-04,0,CLIC
1961-04-05,0,CLIC
1961-04-06,3,CLIC
1961-04-07,0,CLIC
1961-04-08,0,CLIC
1961-04-09,0,CLIC
1961-04-10,0,CLIC
1961-04-11,0,CLIC
1961-04-12,0,CLIC
1961-04-13,0,CLIC
1961-04-14,0,CLIC
1961-04-15,0,CLIC
1961-04-16,0,CLIC
1961-04-17,0,CLIC
1961-04-18,0,CLIC
1961-04-19,0,CLIC
1961-04-20,0,CLIC
1961-04-21,0,CLIC
1961-04-22,0,CLIC
1961-04-23,0,CLIC
