Estación: ,C19017,EL MARRUBIAL.
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 22' 00'',Latitud:,25° 30' 00

Fecha,Promedio,Máximo,Mínimo
1971-01-01,14,27,1
1971-01-02,16,30,2
1971-01-03,19.5,34,5
1971-01-04,9.5,16,3
1971-01-05,5.5,15,-4
1971-01-06,2.25,8.5,-4
1971-01-07,2.5,8,-3
1971-01-08,5.25,12.5,-2
1971-01-09,13.5,26,1
1971-01-10,13.5,24,3
1971-01-11,16.5,28,5
1971-01-12,17.75,30,5.5
1971-01-13,18.5,30,7
1971-01-14,17,27,7
1971-01-15,14.5,21,8
1971-01-16,15.5,22,9
1971-01-17,18,28,8
1971-01-18,18,30,6
1971-01-19,17.5,29,6
1971-01-20,10.75,21,0.5
1971-01-21,15.5,30,1
1971-01-22,17,32,2
1971-01-23,16,28,4
1971-01-24,16.25,28.5,4
1971-01-25,16.25,28,4.5
1971-01-26,14.75,24,5.5
1971-01-27,15,24,6
1971-01-28,15.5,24,7
1971-01-29,16.5,27,6
1971-01-30,17,31,3
1971-01-31,16,32,0
1971-02-01,13,26,0
1971-02-02,11.5,20,3
1971-02-03,16,30,2
1971-02-04,15.75,29,2.5
1971-02-05,12.75,25,0.5
1971-02-06,14.5,28,1
1971-02-07,13.5,25,2
1971-02-08,13,25,1
1971-02-09,6,16,-4
1971-02-10,6.75,16.5,-3
1971-02-11,14.25,29,-0.5
1971-02-12,10.25,20.5,0
1971-02-13,10.25,23,-2.5
1971-02-14,13.5,29,-2
1971-02-15,13,28,-2
1971-02-16,15,31,-1
1971-02-17,17.5,30,5
1971-02-18,19.5,32,7
1971-02-19,15,27,3
1971-02-20,17.5,32,3
1971-02-21,18,30,6
1971-02-22,10.5,20,1
1971-02-23,12.25,25,-0.5
1971-02-24,14.5,28,1
1971-02-25,18,29,7
1971-02-26,17,29,5
1971-02-27,16.25,28.5,4
1971-02-28,17.5,30,5
1971-03-01,18,31,5
1971-03-02,19,31.5,6.5
1971-03-03,11,17,5
1971-03-04,10,24,-4
1971-03-05,12.5,28,-3
1971-03-06,15.5,29,2
1971-03-07,9,14,4
1971-03-08,10.5,21,0
1971-03-09,16,32,0
1971-03-10,14.5,27,2
1971-03-11,18,29,7
1971-03-12,20.5,32,9
1971-03-13,21,33,9
1971-03-14,19.5,35,4
1971-03-15,16.75,25,8.5
1971-03-16,17,29,5
1971-03-17,15.5,26,5
1971-03-18,21.75,33.5,10
1971-03-19,15.25,20,10.5
1971-03-20,14.25,25.5,3
1971-03-21,17,31,3
1971-03-22,18,32,4
1971-03-23,20.75,34.5,7
1971-03-24,21,34,8
1971-03-25,22,36,8
1971-03-26,22,34,10
1971-03-27,23,35,11
1971-03-28,22,33,11
1971-03-29,19.25,27.5,11
1971-03-30,19.5,25,14
1971-03-31,21.5,34,9
1971-04-01,20.5,33,8
1971-04-02,18,27,9
1971-04-03,15,21,9
1971-04-04,17.5,25,10
1971-04-05,13.5,15,12
1971-04-06,10.5,13,8
1971-04-07,12,22,2
1971-04-08,16.5,30,3
1971-04-09,17.5,32,3
1971-04-10,19.5,32,7
1971-04-11,16.5,28,5
1971-04-12,18.5,30,7
1971-04-13,19.25,31.5,7
1971-04-14,17.5,26.5,8.5
1971-04-15,20.5,31,10
1971-04-16,21.5,31,12
1971-04-17,19.5,31,8
1971-04-18,21.5,34,9
1971-04-19,23,35,11
1971-04-20,20.75,28.5,13
1971-04-21,21.25,33.5,9
1971-04-22,23,37,9
1971-04-23,21,32,10
1971-04-24,23,36.5,9.5
1971-04-25,24.75,39,10.5
1971-04-26,24.5,38,11
1971-04-27,25.75,39.5,12
1971-04-28,27.25,39,15.5
1971-04-29,26.5,38.5,14.5
1971-04-30,22,30,14
1971-05-01,22.5,27,18
1971-05-02,22,31,13
1971-05-03,21.75,32.5,11
1971-05-04,20.5,29,12
1971-05-05,25.25,36.5,14
1971-05-06,27.5,38,17
1971-05-07,25,37,13
1971-05-08,24,32,16
1971-05-09,29.5,39,20
1971-05-10,24.5,33,16
1971-05-11,23,31,15
1971-05-12,20.25,25.5,15
1971-05-13,15,18,12
1971-05-14,17,26,8
1971-05-15,20.25,31.5,9
1971-05-16,22.5,35,10
1971-05-17,24.25,36.5,12
1971-05-18,26.25,37,15.5
1971-05-19,23.25,31,15.5
1971-05-20,24,31,17
1971-05-21,23.5,30,17
1971-05-22,25,35,15
1971-05-23,25.5,35,16
1971-05-24,25.5,32,19
1971-05-25,22,26,18
1971-05-26,23,28.5,17.5
1971-05-27,23.75,32,15.5
1971-05-28,23.75,31,16.5
1971-05-29,24.75,32,17.5
1971-05-30,23.75,31.5,16
1971-05-31,24.5,34,15
1971-06-01,26,36,16
1971-06-02,24.5,33,16
1971-06-03,25.5,35,16
1971-06-04,25,31,19
1971-06-05,23.5,32,15
1971-06-06,23.5,33,14
1971-06-07,22.5,31,14
1971-06-08,23.5,34,13
1971-06-09,23.5,34,13
1971-06-10,25,35,15
1971-06-11,26.75,35,18.5
1971-06-12,25,32,18
1971-06-13,25,30,20
1971-06-14,23.75,28.5,19
1971-06-15,24.25,30,18.5
1971-06-16,23.25,30,16.5
1971-06-17,23.25,30.5,16
1971-06-18,27,37,17
1971-06-19,23,30,16
1971-06-20,22.5,28,17
1971-06-21,23.5,30,17
1971-06-22,20.5,25,16
1971-06-23,20.5,24,17
1971-06-24,22.25,28.5,16
1971-06-25,25.5,33,18
1971-06-26,20.5,24,17
1971-06-27,23,29,17
1971-06-28,21.5,28,15
1971-06-29,23.5,30,17
1971-06-30,23.5,28,19
1971-07-01,22,28,16
1971-07-02,22,30,14
1971-07-03,22.5,32,13
1971-07-04,23,33,13
1971-07-05,23.25,32.5,14
1971-07-06,24,33,15
1971-07-07,23.25,31.5,15
1971-07-08,23.25,30,16.5
1971-07-09,23.5,30,17
1971-07-10,21.5,30,13
1971-07-11,21.75,27,16.5
1971-07-12,22.25,28.5,16
1971-07-13,20.5,27,14
1971-07-14,21.75,28,15.5
1971-07-15,22,30,14
1971-07-16,22,30,14
1971-07-17,22,31,13
1971-07-18,22,30,14
1971-07-19,21,29,13
1971-07-20,22,30,14
1971-07-21,22.25,30.5,14
1971-07-22,22,31,13
1971-07-23,21.5,29,14
1971-07-24,21.5,30,13
1971-07-25,23,33,13
1971-07-26,24.75,31.5,18
1971-07-27,23.5,31,16
1971-07-28,23.5,32,15
1971-07-29,23.5,32,15
1971-07-30,23,31,15
1971-07-31,24.5,32,17
1971-08-01,23.5,32,15
1971-08-02,24.5,33,16
1971-08-03,23,32,14
1971-08-04,21.25,27.5,15
1971-08-05,21.5,25.5,17.5
1971-08-06,22.25,27,17.5
1971-08-07,23,30,16
1971-08-08,22,30,14
1971-08-09,23,31,15
1971-08-10,22,29,15
1971-08-11,20,24,16
1971-08-12,22.5,28.5,16.5
1971-08-13,23.75,31,16.5
1971-08-14,22.5,28,17
1971-08-15,23,28,18
1971-08-16,21.25,28.5,14
1971-08-17,22,29,15
1971-08-18,22,29,15
1971-08-19,22.25,29.5,15
1971-08-20,21.75,28,15.5
1971-08-21,21.75,29,14.5
1971-08-22,22.75,31.5,14
1971-08-23,22.75,30.5,15
1971-08-24,21.75,29,14.5
1971-08-25,21.75,28.5,15
1971-08-26,21.75,29,14.5
1971-08-27,22.5,30,15
1971-08-28,22.5,30,15
1971-08-29,21,28,14
1971-08-30,21.75,28.5,15
1971-08-31,22.5,29.5,15.5
1971-09-01,21.5,29,14
1971-09-02,22.5,30,15
1971-09-03,23.5,32,15
1971-09-04,23.75,33,14.5
1971-09-05,23,31,15
1971-09-06,23,32.5,13.5
1971-09-07,23.5,33,14
1971-09-08,23.25,32.5,14
1971-09-09,21.75,29.5,14
1971-09-10,19,24,14
1971-09-11,19,23,15
1971-09-12,20,22,18
1971-09-13,19.5,22,17
1971-09-14,21.5,26,17
1971-09-15,22.75,29.5,16
1971-09-16,22.25,30,14.5
1971-09-17,21,28,14
1971-09-18,18.25,22,14.5
1971-09-19,17.5,20,15
1971-09-20,17,22,12
1971-09-21,18.5,23,14
1971-09-22,20.5,26,15
1971-09-23,21,27,15
1971-09-24,21,27,15
1971-09-25,21,26,16
1971-09-26,22.25,29.5,15
1971-09-27,22,29,15
1971-09-28,21.5,26.5,16.5
1971-09-29,20.5,25,16
1971-09-30,22.5,30,15
1971-10-01,22.5,31,14
1971-10-02,22.25,29.5,15
1971-10-03,20.75,27,14.5
1971-10-04,18.25,20.5,16
1971-10-05,19.5,22,17
1971-10-06,21,25,17
1971-10-07,20.5,25,16
1971-10-08,20.5,26,15
1971-10-09,20,24,16
1971-10-10,20,26,14
1971-10-11,17,22,12
1971-10-12,16,18,14
1971-10-13,18.5,24,13
1971-10-14,20,25,15
1971-10-15,19.5,28,11
1971-10-16,20,26,14
1971-10-17,23.5,30,17
1971-10-18,22.25,31,13.5
1971-10-19,21.75,29.5,14
1971-10-20,18,20,16
1971-10-21,18,25,11
1971-10-22,18.25,28,8.5
1971-10-23,16.25,24,8.5
1971-10-24,17.75,26,9.5
1971-10-25,17.75,28,7.5
1971-10-26,19.75,30,9.5
1971-10-27,20,29,11
1971-10-28,20.5,28,13
1971-10-29,20,28,12
1971-10-30,20,29,11
1971-10-31,19.75,28,11.5
1971-11-01,19.5,29,10
1971-11-02,18.5,26,11
1971-11-03,17.25,24.5,10
1971-11-04,16.5,24,9
1971-11-05,17,28,6
1971-11-06,18,30,6
