Estación: ,C19029,LA ARENA. PESQUERIA
Variable: ,Evaporación (mm)
Longitud: ,99° 56' 00'',Latitud:,25° 44' 00

Fecha,Valor,NúmDatos
1967-03-18,2.8,CLIC
1967-03-19,7,CLIC
1967-03-20,2.8,CLIC
1967-03-21,5.9,CLIC
1967-03-23,4.9,CLIC
1967-03-24,2.9,CLIC
1967-03-25,6.1,CLIC
1967-03-26,7.7,CLIC
1967-03-27,5.6,CLIC
1967-03-28,6.8,CLIC
1967-03-29,5.8,CLIC
1967-03-30,5.7,CLIC
1967-03-31,6,CLIC
1967-04-01,7,CLIC
1967-04-02,7.5,CLIC
1967-04-03,7.2,CLIC
1967-04-04,7.2,CLIC
1967-04-05,7.2,CLIC
1967-04-06,7.2,CLIC
1967-04-07,6.9,CLIC
1967-04-08,5.8,CLIC
1967-04-09,5.8,CLIC
1967-04-10,4,CLIC
1967-04-11,6,CLIC
1967-04-12,3,CLIC
1967-04-13,5.8,CLIC
1967-04-14,5.9,CLIC
1967-04-15,6.1,CLIC
1967-04-16,6.3,CLIC
1967-04-17,5.1,CLIC
1967-04-18,7.7,CLIC
1967-04-19,9.9,CLIC
1967-04-20,8.8,CLIC
1967-04-21,9.8,CLIC
1967-04-22,8.9,CLIC
1967-04-23,7.8,CLIC
1967-04-24,6.2,CLIC
1967-04-25,9.4,CLIC
1967-04-26,7.8,CLIC
1967-04-27,0.5,CLIC
1967-04-28,5.6,CLIC
1967-04-29,4.1,CLIC
1967-04-30,5.2,CLIC
1967-05-01,8,CLIC
1967-05-02,10.1,CLIC
1967-05-03,9,CLIC
1967-05-04,9.7,CLIC
1967-05-05,9.1,CLIC
1967-05-06,5,CLIC
1967-05-07,7.3,CLIC
1967-05-08,8.5,CLIC
1967-05-09,10.1,CLIC
1967-05-10,12,CLIC
1967-05-11,8.2,CLIC
1967-05-12,8.2,CLIC
1967-05-13,8.6,CLIC
1967-05-14,4.1,CLIC
1967-05-15,7.6,CLIC
1967-05-16,4.2,CLIC
1967-05-17,7.8,CLIC
1967-05-18,8.4,CLIC
1967-05-19,8.2,CLIC
1967-05-20,7.9,CLIC
1967-05-21,8.6,CLIC
1967-05-22,7.7,CLIC
1967-05-23,6.7,CLIC
1967-05-24,9.8,CLIC
1967-05-25,5.2,CLIC
1967-05-26,9.4,CLIC
1967-05-27,9,CLIC
1967-05-28,9.3,CLIC
1967-05-29,9.6,CLIC
1967-05-30,9.1,CLIC
1967-05-31,11.5,CLIC
1967-06-01,3.5,CLIC
1967-06-02,5.8,CLIC
1967-06-03,9.4,CLIC
1967-06-04,7.3,CLIC
1967-06-05,7.6,CLIC
1967-06-06,9.9,CLIC
1967-06-07,8.7,CLIC
1967-06-08,9.4,CLIC
1967-06-09,8,CLIC
1967-06-10,9,CLIC
1967-06-11,8.9,CLIC
1967-06-12,9.9,CLIC
1967-06-13,3.9,CLIC
1967-06-14,5.5,CLIC
1967-06-15,8.7,CLIC
1967-06-16,8.1,CLIC
1967-06-17,9.3,CLIC
1967-06-18,12.9,CLIC
1967-06-19,9,CLIC
1967-06-20,9.3,CLIC
1967-06-21,10,CLIC
1967-06-22,10.9,CLIC
1967-06-23,11.8,CLIC
1967-06-24,11.7,CLIC
1967-06-25,13.7,CLIC
1967-06-26,9.3,CLIC
1967-06-27,11.3,CLIC
1967-06-28,12.5,CLIC
1967-06-29,11.3,CLIC
1967-06-30,10.1,CLIC
1967-07-01,10.5,CLIC
1967-07-02,7.7,CLIC
1967-07-03,12.7,CLIC
1967-07-04,11.4,CLIC
1967-07-05,11.1,CLIC
1967-07-06,14,CLIC
1967-07-07,12,CLIC
1967-07-08,12.9,CLIC
1967-07-09,12,CLIC
1967-07-10,12.7,CLIC
1967-07-11,11.5,CLIC
1967-07-12,11.9,CLIC
1967-07-13,7.7,CLIC
1967-07-14,5.4,CLIC
1967-07-15,8.7,CLIC
1967-07-16,8,CLIC
1967-07-17,9.4,CLIC
1967-07-18,8.7,CLIC
1967-07-19,9.3,CLIC
1967-07-20,9.5,CLIC
1967-07-21,8.3,CLIC
1967-07-22,11.6,CLIC
1967-07-23,9,CLIC
1967-07-24,8.2,CLIC
1967-07-25,10.6,CLIC
1967-07-26,10.6,CLIC
1967-07-27,7.6,CLIC
1967-07-28,9.6,CLIC
1967-07-29,10.4,CLIC
1967-07-30,11.6,CLIC
1967-07-31,10.4,CLIC
1967-08-01,9.5,CLIC
1967-08-02,10.5,CLIC
1967-08-03,13.5,CLIC
1967-08-04,12.8,CLIC
1967-08-05,13,CLIC
1967-08-06,11.2,CLIC
1967-08-07,12,CLIC
1967-08-08,10.9,CLIC
1967-08-09,11.9,CLIC
1967-08-10,10.6,CLIC
1967-08-11,10.5,CLIC
1967-08-12,4.1,CLIC
1967-08-13,9.6,CLIC
1967-08-14,2.3,CLIC
1967-08-15,8.8,CLIC
1967-08-16,6.4,CLIC
1967-08-17,8.8,CLIC
1967-08-18,4.6,CLIC
1967-08-19,7.6,CLIC
1967-08-20,6.5,CLIC
1967-08-21,1.7,CLIC
1967-08-22,4.7,CLIC
1967-08-23,5.6,CLIC
1967-08-24,3.7,CLIC
1967-08-25,3.2,CLIC
1967-08-26,3.1,CLIC
1967-08-27,2.7,CLIC
1967-08-28,6,CLIC
1967-08-29,4.9,CLIC
1967-08-30,5.8,CLIC
1967-08-31,4.6,CLIC
1967-09-01,6.6,CLIC
1967-09-02,6.6,CLIC
