Estación: ,C19030,CIENEGA DE G.. SANTIAGO
Variable: ,Evaporación (mm)
Longitud: ,100° 17' 00'',Latitud:,25° 21' 00

Fecha,Valor,NúmDatos
1970-06-14,7.6,CLIC
1970-06-15,11.3,CLIC
1970-06-16,7.7,CLIC
1970-06-17,2.3,CLIC
1970-06-18,10,CLIC
1970-06-19,1.2,CLIC
1970-06-20,6,CLIC
1970-06-21,2.2,CLIC
1970-06-22,2,CLIC
1970-06-23,1,CLIC
1970-06-24,2.3,CLIC
1970-06-25,3,CLIC
1970-06-26,4.5,CLIC
1970-06-27,2,CLIC
1970-06-28,9.3,CLIC
1970-06-29,5.8,CLIC
1970-06-30,3.9,CLIC
1970-07-01,0.5,CLIC
1970-07-02,9.8,CLIC
1970-07-03,4.5,CLIC
1970-07-04,6.1,CLIC
1970-07-05,3.5,CLIC
1970-07-06,8.8,CLIC
1970-07-07,5.4,CLIC
1970-07-08,6,CLIC
1970-07-09,5.6,CLIC
1970-07-10,6.6,CLIC
1970-07-11,5.5,CLIC
1970-07-12,2.3,CLIC
1970-07-13,3.2,CLIC
1970-07-14,5.3,CLIC
1970-07-15,2.5,CLIC
1970-07-16,1.8,CLIC
1970-07-17,1,CLIC
1970-07-18,2.2,CLIC
1970-07-19,7.5,CLIC
1970-07-20,3.6,CLIC
1970-07-21,5.9,CLIC
1970-07-22,5.6,CLIC
1970-07-23,4,CLIC
1970-07-24,6.8,CLIC
1970-07-25,2.3,CLIC
1970-07-26,8.1,CLIC
1970-07-27,3,CLIC
1970-07-28,5.8,CLIC
1970-07-29,5.1,CLIC
1970-07-30,4.4,CLIC
1970-07-31,4.6,CLIC
1970-08-01,3.3,CLIC
1970-08-02,6.2,CLIC
1970-08-03,4.6,CLIC
1970-08-04,6.7,CLIC
1970-08-05,1.9,CLIC
1970-08-06,3,CLIC
1970-08-07,3.4,CLIC
1970-08-08,5.4,CLIC
1970-08-09,5.9,CLIC
1970-08-10,4.7,CLIC
1970-08-11,3.9,CLIC
1970-08-12,5.5,CLIC
1970-08-13,4.3,CLIC
1970-08-14,6.8,CLIC
1970-08-15,2,CLIC
1970-08-16,2.8,CLIC
1970-08-17,1.1,CLIC
1970-08-18,5.7,CLIC
1970-08-19,4.3,CLIC
1970-08-20,5.7,CLIC
1970-08-21,4.7,CLIC
1970-08-22,7.2,CLIC
1970-08-23,6.3,CLIC
1970-08-24,4.3,CLIC
1970-08-25,3.6,CLIC
1970-08-26,3.1,CLIC
1970-08-27,4.5,CLIC
1970-08-28,5.6,CLIC
1970-08-29,5.3,CLIC
1970-08-30,4.5,CLIC
1970-08-31,1.4,CLIC
1970-09-01,5.9,CLIC
1970-09-02,1.4,CLIC
1970-09-03,6.1,CLIC
1970-09-04,6.2,CLIC
1970-09-05,5,CLIC
1970-09-06,5.3,CLIC
1970-09-07,5.4,CLIC
1970-09-08,4.4,CLIC
1970-09-09,6.8,CLIC
1970-09-10,3.3,CLIC
1970-09-11,3.2,CLIC
1970-09-12,3,CLIC
1970-09-13,2.8,CLIC
1970-09-14,2.8,CLIC
1970-09-15,1.8,CLIC
1970-09-16,6.6,CLIC
1970-09-17,6.7,CLIC
1970-09-18,4.5,CLIC
1970-09-19,3.8,CLIC
1970-09-20,4.1,CLIC
1970-09-21,3.1,CLIC
1970-09-22,3.8,CLIC
1970-09-23,2.7,CLIC
1970-09-24,2.4,CLIC
1970-09-25,2,CLIC
1970-09-26,1,CLIC
1970-09-27,0.1,CLIC
1970-09-28,0.3,CLIC
1970-09-29,2.3,CLIC
1970-09-30,4.7,CLIC
1970-10-01,1.2,CLIC
1970-10-02,3.2,CLIC
1970-10-03,2.1,CLIC
1970-10-04,1.7,CLIC
1970-10-05,1.8,CLIC
1970-10-06,5.5,CLIC
1970-10-07,5.2,CLIC
1970-10-08,6.1,CLIC
1970-10-09,3.9,CLIC
1970-10-10,3.5,CLIC
1970-10-11,4.3,CLIC
1970-10-12,3.7,CLIC
1970-10-13,3.8,CLIC
1970-10-14,2.1,CLIC
1970-10-15,0.8,CLIC
1970-10-16,1,CLIC
1970-10-17,1.4,CLIC
1970-10-18,1.2,CLIC
1970-10-19,2.8,CLIC
1970-10-20,2.6,CLIC
1970-10-21,2.4,CLIC
1970-10-22,2.6,CLIC
1970-10-23,4.4,CLIC
1970-10-24,2.6,CLIC
1970-10-25,5,CLIC
1970-10-26,5.7,CLIC
1970-10-27,4.4,CLIC
1970-10-28,4.6,CLIC
1970-10-29,4,CLIC
1970-10-30,1.3,CLIC
1970-10-31,4.5,CLIC
1970-11-01,3.8,CLIC
1970-11-02,1.3,CLIC
1970-11-03,0.8,CLIC
1970-11-04,0.8,CLIC
1970-11-05,2.1,CLIC
1970-11-06,3.1,CLIC
1970-11-07,2.3,CLIC
1970-11-08,3.9,CLIC
1970-11-09,1.3,CLIC
1970-11-10,2.4,CLIC
