Estación: ,C19030,CIENEGA DE G.. SANTIAGO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 17' 00'',Latitud:,25° 21' 00

Fecha,Promedio,Máximo,Mínimo
1970-06-14,26.5,34,19
1970-06-15,23.5,28,19
1970-06-16,30,38,22
1970-06-17,27.5,38,17
1970-06-18,29.5,39,20
1970-06-19,24.5,30,19
1970-06-20,26.5,34,19
1970-06-21,26.5,34,19
1970-06-22,24,34,14
1970-06-23,23.5,34,13
1970-06-24,23.5,33,14
1970-06-25,26.5,34,19
1970-06-26,23.5,33,14
1970-06-27,24,34,14
1970-06-28,20,24,16
1970-06-29,23,30,16
1970-06-30,25,30,20
1970-07-01,24,36,12
1970-07-02,22,30,14
1970-07-03,24,34,14
1970-07-04,23.5,34,13
1970-07-05,23,34,12
1970-07-06,22.5,32,13
1970-07-07,23,33,13
1970-07-08,23.5,33,14
1970-07-09,22.5,32,13
1970-07-10,23.5,33,14
1970-07-11,22.5,32,13
1970-07-12,23.5,33,14
1970-07-13,24,34,14
1970-07-14,24,34,14
1970-07-15,26.5,34,19
1970-07-16,24.5,33,16
1970-07-17,25,34,16
1970-07-18,25,34,16
1970-07-19,24,34,14
1970-07-20,23.5,33,14
1970-07-21,23.5,34,13
1970-07-22,24,34,14
1970-07-23,23,34,12
1970-07-24,19.5,25,14
1970-07-25,21.5,27,16
1970-07-26,20,24,16
1970-07-27,20,25,15
1970-07-28,19,26,12
1970-07-29,19,25,13
1970-07-30,19.75,26,13.5
1970-07-31,20,27,13
1970-08-01,19.75,26.5,13
1970-08-02,20.25,27,13.5
1970-08-03,20,28,12
1970-08-04,21.25,28,14.5
1970-08-05,21.25,26,16.5
1970-08-06,20.75,24.5,17
1970-08-07,20.5,25.5,15.5
1970-08-08,21,28.5,13.5
1970-08-09,21.75,29.5,14
1970-08-10,21,29,13
1970-08-11,20.25,28,12.5
1970-08-12,20.75,29,12.5
1970-08-13,20.5,26.5,14.5
1970-08-14,20,25,15
1970-08-15,20.5,24.5,16.5
1970-08-16,18.75,25.5,12
1970-08-17,19.5,26.5,12.5
1970-08-18,20.25,29,11.5
1970-08-19,20.5,30.5,10.5
1970-08-20,19.75,29.5,10
1970-08-21,20.75,29,12.5
1970-08-22,22,30.5,13.5
1970-08-23,26.5,29.5,23.5
1970-08-24,21.25,28,14.5
1970-08-25,20.5,27.5,13.5
1970-08-26,20,25,15
1970-08-27,19.25,25,13.5
1970-08-28,17.25,26.5,8
1970-08-29,18,26,10
1970-08-30,18.75,27.5,10
1970-08-31,18.25,25,11.5
1970-09-01,19.5,26,13
1970-09-02,20,26,14
1970-09-03,21,27.5,14.5
1970-09-04,21.25,29.5,13
1970-09-05,19.25,27.5,11
1970-09-06,20.75,28.5,13
1970-09-07,19.5,27,12
1970-09-08,19.75,27.5,12
1970-09-09,19.25,27,11.5
1970-09-10,19,26,12
1970-09-11,18.75,24.5,13
1970-09-12,17.55,18.1,17
1970-09-13,19.25,22,16.5
1970-09-14,20,24,16
1970-09-15,18.5,23.5,13.5
1970-09-16,20,26.5,13.5
1970-09-17,21,27.5,14.5
1970-09-18,19,25.5,12.5
1970-09-19,18.25,24,12.5
1970-09-20,18.5,25.5,11.5
1970-09-21,20.25,28,12.5
1970-09-22,20,27.5,12.5
1970-09-23,17.25,22,12.5
1970-09-24,18,23.5,12.5
1970-09-25,18,22.5,13.5
1970-09-26,18,19.5,16.5
1970-09-27,12.25,13,11.5
1970-09-28,11,12.5,9.5
1970-09-29,14.25,18.5,10
1970-09-30,15.75,20.5,11
1970-10-01,16.25,21.5,11
1970-10-02,15.25,19,11.5
1970-10-03,16,20.5,11.5
1970-10-04,17.25,21.5,13
1970-10-05,19,24,14
1970-10-06,19.5,28,11
1970-10-07,16.75,24,9.5
1970-10-08,18.5,30.5,6.5
1970-10-09,11.75,15.5,8
1970-10-10,13.25,21.5,5
1970-10-11,16.75,27.5,6
1970-10-12,14.75,21.5,8
1970-10-13,16.5,23,10
1970-10-14,14.25,22.5,6
1970-10-15,12,17,7
1970-10-16,12,13,11
1970-10-17,11.5,12.5,10.5
1970-10-18,12.25,14,10.5
1970-10-19,15,19,11
1970-10-20,16.25,24.5,8
1970-10-21,17.5,27.5,7.5
1970-10-22,17.75,26.5,9
1970-10-23,18.5,27.5,9.5
1970-10-24,16,24.5,7.5
1970-10-25,19,30,8
1970-10-26,18.25,29.5,7
1970-10-27,17.75,28.5,7
1970-10-28,11.5,14,9
1970-10-29,7.5,12,3
1970-10-30,11.75,21.5,2
1970-10-31,16,30,2
1970-11-01,14.5,26.5,2.5
1970-11-02,8,11.5,4.5
1970-11-03,8,9.5,6.5
1970-11-04,6.5,7,6
1970-11-05,7.25,14,0.5
1970-11-06,11.5,22.5,0.5
1970-11-07,12.5,24.5,0.5
1970-11-08,14.25,27,1.5
1970-11-09,11.75,20,3.5
1970-11-10,9.75,18,1.5
1970-11-11,14.5,26.5,2.5
1970-11-12,13.5,23.5,3.5
1970-11-13,16.5,27.5,5.5
1970-11-14,8.25,12.5,4
1970-11-15,6.25,11,1.5
1970-11-16,5.25,18,-7.5
1970-11-17,9.75,26,-6.5
1970-11-18,9.5,22,-3
1970-11-19,15.5,28,3
1970-11-20,11,21,1
1970-11-21,14.5,27,2
1970-11-22,16,29,3
1970-11-23,6.75,10,3.5
1970-11-24,3.25,10.5,-4
1970-11-25,11.5,26,-3
1970-11-26,13.75,29.5,-2
1970-11-27,15,29.5,0.5
1970-11-28,10.25,20,0.5
1970-11-29,11,21,1
1970-11-30,13.5,25,2
1970-12-01,13.5,26.5,0.5
1970-12-02,13.5,25.5,1.5
1970-12-03,14,27,1
1970-12-04,10.25,20,0.5
1970-12-05,13,25.5,0.5
1970-12-06,9,17,1
1970-12-07,9.75,17,2.5
1970-12-08,11.5,22.5,0.5
1970-12-09,11.25,22,0.5
1970-12-10,12.25,24,0.5
1970-12-11,9.25,18,0.5
1970-12-12,6.75,12,1.5
1970-12-13,8.5,10.5,6.5
1970-12-14,7.75,14,1.5
1970-12-15,14.5,25.5,3.5
1970-12-16,7.25,14,0.5
1970-12-17,7.5,23.5,-8.5
1970-12-18,13.75,26.5,1
1970-12-19,14,26.5,1.5
1970-12-20,13,24,2
1970-12-21,15.5,28.5,2.5
1970-12-22,15.5,27.5,3.5
1970-12-23,16.25,26,6.5
1970-12-24,12.5,19.5,5.5
1970-12-25,14.75,24,5.5
1970-12-26,16.5,30.5,2.5
1970-12-27,15.5,28.5,2.5
1970-12-28,15.5,28.5,2.5
1970-12-29,12.5,21.5,3.5
1970-12-30,12.5,21.5,3.5
1970-12-31,10.75,16.5,5
1971-01-01,12,23.5,0.5
1971-01-02,8.25,16,0.5
1971-01-03,15.25,29,1.5
1971-01-04,6.5,9,4
1971-01-05,-0.5,3.5,-4.5
1971-01-06,-1.5,2.5,-5.5
1971-01-07,1.5,8,-5
1971-01-08,5.5,13,-2
1971-01-09,11.5,22,1
1971-01-10,11.5,20.5,2.5
1971-01-11,13,22,4
1971-01-12,14.5,25.5,3.5
1971-01-13,14.5,25,4
1971-01-14,14.25,23,5.5
1971-01-15,12,18.5,5.5
1971-01-16,14.5,21,8
1971-01-17,15.75,25,6.5
1971-01-18,13.5,25,2
1971-01-19,7.25,12,2.5
1971-01-20,9.75,20,-0.5
1971-01-21,13.75,27,0.5
1971-01-22,14.5,27.5,1.5
1971-01-23,14,25,3
1971-01-24,13.25,24,2.5
1971-01-25,13.25,24,2.5
1971-01-26,11.5,19.5,3.5
1971-01-27,11,18,4
1971-01-28,12,19,5
1971-01-29,14,22.5,5.5
1971-01-30,13.75,27,0.5
1971-01-31,13.5,26.5,0.5
1971-02-01,5.75,9.5,2
1971-02-02,12.25,20,4.5
1971-02-03,14.25,27,1.5
1971-02-04,13.5,25,2
1971-02-05,11,23,-1
1971-02-06,9.75,22,-2.5
1971-02-07,6.5,20,-7
1971-02-08,3.5,9,-2
1971-02-09,2.75,10,-4.5
1971-02-10,4.5,13.5,-4.5
1971-02-11,10.75,23.5,-2
1971-02-12,7.5,16.5,-1.5
1971-02-13,6.75,17.5,-4
1971-02-14,10.5,24.5,-3.5
1971-02-15,10.25,23,-2.5
1971-02-16,12.75,26.5,-1
1971-02-17,13.25,25,1.5
1971-02-18,15.25,28,2.5
1971-02-19,11.75,22.5,1
1971-02-20,14.5,27.5,1.5
1971-02-21,15.5,26,5
1971-02-22,6.25,13,-0.5
1971-02-23,9.75,21.5,-2
1971-02-24,10.75,23,-1.5
1971-02-25,16.5,25.5,7.5
1971-02-26,14.25,24.5,4
1971-02-27,12.75,24,1.5
1971-02-28,5.75,9.5,2
1971-03-01,15,25,5
1971-03-02,16,27.5,4.5
1971-03-03,8,16.5,-0.5
1971-03-04,6.25,17.5,-5
1971-03-05,11.75,28,-4.5
1971-03-06,11.25,22,0.5
1971-03-07,6,10,2
1971-03-08,7.25,15.5,-1
1971-03-09,13.25,27.5,-1
1971-03-10,11,22.5,-0.5
1971-03-11,14,25,3
1971-03-12,15.75,27,4.5
1971-03-13,14.75,28.5,1
1971-03-14,16.75,31.5,2
1971-03-15,12.75,21.5,4
1971-03-16,13.5,23.5,3.5
1971-03-17,12.75,22.5,3
1971-03-18,17,29,5
1971-03-19,11.25,15,7.5
1971-03-20,10.75,22,-0.5
1971-03-21,14.25,27,1.5
1971-03-22,16.25,28,4.5
1971-03-23,17.75,29,6.5
1971-03-24,17.75,27.5,8
