Estación: ,C19034,LINARES. LINARES (SMN)
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 34' 46'',Latitud:,24° 52' 34

Fecha,Promedio,Máximo,Mínimo
1923-10-01,24.6,31.2,18
1923-10-02,25.35,30.2,20.5
1923-10-03,24.35,28,20.7
1923-10-04,21.75,23,20.5
1923-10-05,22.4,24.2,20.6
1923-10-06,20.8,22.8,18.8
1923-10-07,23.35,28,18.7
1923-10-08,22.65,25.8,19.5
1923-10-09,23.85,26.2,21.5
1923-10-10,24.35,28,20.7
1923-10-11,24.75,28.8,20.7
1923-10-12,23.65,26.8,20.5
1923-10-13,24.35,29,19.7
1923-10-14,20.85,21.2,20.5
1923-10-15,19.35,22,16.7
1923-10-16,20,22.3,17.7
1923-10-17,23.25,31,15.5
1923-10-18,18.9,25.3,12.5
1923-10-19,16.85,24.2,9.5
1923-10-20,17.25,25,9.5
1923-10-21,18.25,25,11.5
1923-10-22,16.9,21.1,12.7
1923-10-23,18.3,24,12.6
1923-10-24,21.25,26,16.5
1923-10-25,21.9,26.3,17.5
1923-10-26,20,24.3,15.7
1923-10-27,20.35,24.2,16.5
1923-10-28,20.95,25.2,16.7
1923-10-29,21.35,25,17.7
1923-10-30,23.85,30,17.7
1923-10-31,16.75,20,13.5
1923-11-01,13.05,14.9,11.2
1923-11-02,13.95,16.2,11.7
1923-11-03,18.25,24,12.5
1923-11-04,14.35,14.7,14
1923-11-05,13.5,15,12
1923-11-06,13.15,15.3,11
1923-11-07,13.75,17,10.5
1923-11-08,15.75,19,12.5
1923-11-09,15.35,16,14.7
1923-11-10,17.35,20,14.7
1923-11-11,17.85,19.2,16.5
1923-11-12,19.75,23,16.5
1923-11-13,19.95,23.1,16.8
1923-11-14,18.35,20,16.7
1923-11-15,15.4,16,14.8
1923-11-16,14.25,15,13.5
1923-11-17,11.7,12,11.4
1923-11-18,11.25,11.9,10.6
1923-11-19,16.75,22.2,11.3
1923-11-20,17.4,25.3,9.5
1923-11-21,19.35,25.2,13.5
1923-11-22,17.3,20.1,14.5
1923-11-23,17.55,23.3,11.8
1923-11-24,20.9,25.3,16.5
1923-11-25,22.25,27,17.5
1923-11-26,20,25,15
1923-11-27,16.75,21,12.5
1923-11-28,12.3,12.6,12
1923-11-29,12.5,17.2,7.8
1923-11-30,14.05,20,8.1
1923-12-01,16.85,21,12.7
1923-12-02,16.3,20,12.6
1923-12-03,18.2,19.1,17.3
1923-12-04,20.25,24,16.5
1923-12-05,16.25,22,10.5
1923-12-06,16.45,23.2,9.7
1923-12-07,19.25,24,14.5
1923-12-08,21.3,27,15.6
1923-12-09,19.2,20.7,17.7
1923-12-10,21.8,24,19.6
1923-12-11,9.8,10,9.6
1923-12-12,8.95,9.4,8.5
1923-12-13,10.35,14,6.7
1923-12-14,8.85,14.3,3.4
1923-12-15,8.45,15.4,1.5
1923-12-16,6.8,9,4.6
1923-12-17,6.45,7.3,5.6
1923-12-18,7.5,9.5,5.5
1923-12-19,10.15,13.8,6.5
1923-12-20,12.6,16,9.2
1923-12-21,16.8,21,12.6
1923-12-22,13,16,10
1923-12-23,9,9.2,8.8
1923-12-24,7.6,10.4,4.8
1923-12-25,10.85,15,6.7
1923-12-26,17.6,24.4,10.8
1923-12-27,20.45,26,14.9
1923-12-28,21.8,27.2,16.4
1923-12-29,20.9,27.3,14.5
1923-12-30,20.35,23,17.7
1923-12-31,22.45,29.3,15.6
1924-01-01,6.25,6.5,6
1924-01-02,10.35,15,5.7
1924-01-03,11.25,16,6.5
1924-01-04,12.25,20,4.5
1924-01-05,2.85,3.2,2.5
1924-01-06,5.5,10.4,0.6
1924-01-07,4.25,7,1.5
1924-01-08,11.3,18,4.6
1924-01-09,15.95,24.4,7.5
1924-01-10,13.55,18.2,8.9
1924-01-11,11.15,20.4,1.9
1924-01-12,13.9,21,6.8
1924-01-13,8.45,12.3,4.6
1924-01-14,11.5,16.3,6.7
1924-01-15,15.5,23.1,7.9
1924-01-16,16.5,25,8
1924-01-17,16.35,24,8.7
1924-01-18,17.15,22.4,11.9
1924-01-19,16.75,25,8.5
1924-01-20,14.9,25,4.8
1924-01-21,4.5,7.3,1.7
1924-01-22,5.95,9.3,2.6
1924-01-23,10.25,16,4.5
1924-01-24,17.8,27,8.6
1924-01-25,15.75,19,12.5
1924-01-26,12.25,14,10.5
1924-01-27,12.8,15,10.6
1924-01-28,14.95,18,11.9
1924-01-29,14.75,17,12.5
1924-01-30,15.35,17,13.7
1924-01-31,15.8,17,14.6
1924-02-01,18.35,27.2,9.5
1924-02-02,17.45,23.4,11.5
1924-02-03,21.3,31,11.6
1924-02-04,13.25,19,7.5
1924-02-05,9.75,18,1.5
1924-02-06,13.55,23.3,3.8
1924-02-07,17.9,27,8.8
1924-02-08,18.3,25,11.6
1924-02-09,18.25,23,13.5
1924-02-10,20.5,25.3,15.7
1924-02-11,19.9,28.3,11.5
1924-02-12,15.25,18,12.5
1924-02-13,16.75,23,10.5
1924-02-14,17.55,26.2,8.9
1924-02-15,18.45,24.3,12.6
1924-02-16,20.5,27.2,13.8
1924-02-17,17.4,23.3,11.5
1924-02-18,11.55,12.3,10.8
1924-02-19,15.35,20.2,10.5
1924-02-20,15.75,21,10.5
1924-02-21,12.95,13.4,12.5
1924-02-22,10.85,12.2,9.5
1924-02-23,15.85,22.2,9.5
1924-02-24,13.75,14,13.5
1924-02-25,6.85,8.2,5.5
1924-02-26,5.9,12.2,-0.4
1924-02-27,6.6,13.2,0
1924-02-28,10.95,17.4,4.5
1924-02-29,13.25,23,3.5
1924-03-01,14.75,21,8.5
1924-03-02,17.4,21.2,13.6
1924-03-03,19.25,23,15.5
1924-03-04,23.45,31.1,15.8
1924-03-05,22.5,28,17
1924-03-06,19.6,23,16.2
1924-03-07,18.45,25,11.9
1924-03-08,19.25,27,11.5
1924-03-09,12.4,12.8,12
1924-03-10,11.6,17,6.2
1924-03-11,13.8,22,5.6
1924-03-12,19.15,26.3,12
1924-03-13,19.9,24,15.8
1924-03-14,11.7,15.2,8.2
1924-03-15,15.35,24.2,6.5
1924-03-16,21.95,28,15.9
1924-03-17,22.05,29.4,14.7
1924-03-18,17.55,21,14.1
1924-03-19,16.4,20.3,12.5
1924-03-20,16.95,25.2,8.7
1924-03-21,17.7,26,9.4
1924-03-22,21.45,26.4,16.5
1924-03-23,18.95,24.2,13.7
1924-03-24,20.65,25.4,15.9
1924-03-25,20.4,28,12.8
1924-03-26,21.4,31.2,11.6
1924-03-27,21.9,25.2,18.6
1924-03-28,28.4,37.2,19.6
1924-03-29,24.35,29.2,19.5
1924-03-30,23.1,32,14.2
1924-03-31,16,20.5,11.5
1924-04-01,15.65,20.4,10.9
1924-04-02,15.6,19.4,11.8
1924-04-03,18.7,25,12.4
1924-04-04,21.05,32.2,9.9
1924-04-05,23.85,29,18.7
1924-04-06,20.9,22,19.8
1924-04-07,20.4,23.3,17.5
1924-04-08,23.35,28.2,18.5
1924-04-09,24.2,31.2,17.2
1924-04-10,25.3,32,18.6
1924-04-11,25.25,34.5,16
1924-04-12,24.85,32.2,17.5
1924-04-13,29.85,39.5,20.2
1924-04-14,31.5,41.5,21.5
1924-04-15,30.5,38.5,22.5
1924-04-16,26.85,31.2,22.5
1924-04-17,22.4,24.4,20.4
1924-04-18,21.3,28,14.6
1924-04-19,21.95,29.4,14.5
1924-04-20,22.3,29,15.6
1924-04-21,23.8,33,14.6
1924-04-22,27.45,36,18.9
1924-04-23,25.35,30.2,20.5
1924-04-24,27,32.3,21.7
1924-04-25,27.35,33.2,21.5
1924-04-26,26.05,31.2,20.9
1924-04-27,20.05,21.2,18.9
1924-04-28,22.75,27,18.5
1924-04-29,26.85,34.2,19.5
1924-04-30,24.8,30,19.6
1924-05-01,19.85,27.2,12.5
1924-05-02,18.95,26.1,11.8
1924-05-03,24.3,29.1,19.5
1924-05-04,23.85,28.2,19.5
1924-05-05,24.95,31.1,18.8
1924-05-06,25.95,31.2,20.7
1924-05-07,28.45,37.2,19.7
1924-05-08,23.55,28.4,18.7
1924-05-09,24.15,30.4,17.9
1924-05-10,20.45,21.4,19.5
1924-05-11,18.95,19.4,18.5
1924-05-12,17.55,23.2,11.9
1924-05-13,20.05,27.2,12.9
1924-05-14,26,31.3,20.7
1924-05-15,22.6,23.2,22
1924-05-16,17.1,20.4,13.8
1924-05-17,20.35,27.2,13.5
1924-05-18,25.4,31.3,19.5
1924-05-19,26.9,31.2,22.6
1924-05-20,27.75,33,22.5
1924-05-21,26.15,29.4,22.9
1924-05-22,25.45,32.4,18.5
1924-05-23,26.4,32,20.8
1924-05-24,28.45,36,20.9
1924-05-25,27.1,30.4,23.8
1924-05-26,26.3,30,22.6
1924-05-27,29.45,35.2,23.7
1924-05-28,29.25,34,24.5
1924-05-29,30.75,36,25.5
1924-05-30,29.9,34.4,25.4
1924-05-31,25.25,28,22.5
1924-06-01,25.5,29,22
1924-06-02,23.5,24.3,22.7
1924-06-03,23.45,27.2,19.7
1924-06-04,24.85,31,18.7
1924-06-05,26.25,32,20.5
1924-06-06,27,32.2,21.8
1924-06-07,27.75,33,22.5
1924-06-08,28.35,33,23.7
1924-06-09,28.1,32.4,23.8
1924-06-10,28.3,33.4,23.2
1924-06-11,28.85,35.4,22.3
1924-06-12,28.95,35.4,22.5
1924-06-13,28.45,35.2,21.7
1924-06-14,28.1,34.4,21.8
1924-06-15,29.05,36.2,21.9
