Estación: ,C19040,LOS ALDAMAS. LOS ALDAMAS
Variable: ,Evaporación (mm)
Longitud: ,99° 12' 00'',Latitud:,26° 04' 00

Fecha,Valor,NúmDatos
1991-01-16,2.8,CLIC
1991-01-17,0.68,CLIC
1991-01-18,3.49,CLIC
1991-01-19,3.4,CLIC
1991-01-20,4.53,CLIC
1991-01-21,0.5,CLIC
1991-01-22,1.36,CLIC
1991-01-23,1.87,CLIC
1991-01-24,2.01,CLIC
1991-01-25,2.34,CLIC
1991-01-26,0.06,CLIC
1991-01-27,1.71,CLIC
1991-01-28,1.37,CLIC
1991-01-29,4.18,CLIC
1991-01-30,3.93,CLIC
1991-01-31,3.42,CLIC
1991-12-01,2.41,CLIC
1991-12-02,1.4,CLIC
1991-12-03,3.9,CLIC
1991-12-04,2.7,CLIC
1991-12-05,2.59,CLIC
1991-12-06,1.86,CLIC
1991-12-07,2.85,CLIC
1991-12-08,1.45,CLIC
1991-12-09,1.41,CLIC
1991-12-10,1.78,CLIC
1991-12-11,2.85,CLIC
1991-12-12,1.5,CLIC
1993-12-01,2.18,CLIC
1993-12-02,3.32,CLIC
1993-12-03,2.71,CLIC
1993-12-04,3.64,CLIC
1993-12-05,2.4,CLIC
1993-12-06,1.51,CLIC
1993-12-07,1.44,CLIC
1993-12-08,0.58,CLIC
1993-12-09,3.3,CLIC
1993-12-10,3.26,CLIC
1993-12-11,2.2,CLIC
1993-12-12,2.47,CLIC
1993-12-13,4.33,CLIC
1993-12-14,3.8,CLIC
1993-12-15,2,CLIC
1993-12-16,2.39,CLIC
