Estación: ,C19040,LOS ALDAMAS. LOS ALDAMAS
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 12' 00'',Latitud:,26° 04' 00

Fecha,Promedio,Máximo,Mínimo
1941-11-10,18.9,29.8,8
1941-11-11,21.9,29.8,14
1941-11-12,19,24,14
1941-11-13,18.75,26.5,11
1941-11-14,16.25,26.5,6
1941-11-15,19,27,11
1941-11-16,19,27,11
1941-11-17,20.25,29.5,11
1941-11-18,16.75,19,14.5
1941-11-19,19.25,29.5,9
1941-11-20,16.75,19,14.5
1941-11-21,12.75,16.5,9
1941-11-22,13.75,18.5,9
1941-11-23,16.5,22,11
1941-11-24,15,20,10
1941-11-25,14.5,21,8
1941-11-26,14.5,20,9
1941-11-27,18.5,23,14
1941-11-28,18.25,26.5,10
1941-11-29,20.5,28,13
1941-11-30,20.5,28,13
1941-12-01,17.5,22,13
1941-12-02,19.25,27.5,11
1941-12-03,19.25,25.5,13
1941-12-04,19.5,29,10
1941-12-05,18.5,27,10
1941-12-06,14.25,19.5,9
1941-12-07,16,22,10
1941-12-08,10.25,12.5,8
1941-12-09,12.5,18,7
1941-12-10,11.75,15.5,8
1941-12-11,15.25,20,10.5
1941-12-12,15.25,21.5,9
1941-12-13,14.25,21.5,7
1941-12-14,14.75,22.5,7
1941-12-15,10.75,13.5,8
1941-12-16,13.25,18,8.5
1941-12-17,14.5,22.5,6.5
1941-12-18,17.25,27.5,7
1941-12-19,17.5,23.5,11.5
1941-12-20,18.25,22,14.5
1941-12-21,19.5,24,15
1941-12-22,18.25,21,15.5
1941-12-23,16.5,21.5,11.5
1941-12-24,15.25,25.5,5
1941-12-25,16.75,25.5,8
1941-12-26,12.25,22,2.5
1941-12-27,15,22,8
1941-12-28,15,22,8
1941-12-29,15.5,21.5,9.5
1941-12-30,15.25,20.5,10
1941-12-31,16.4,20,12.8
1942-01-01,17,21.5,12.5
1942-01-02,10.75,17.5,4
1942-01-03,5.75,11.5,0
1942-01-04,6.25,11.5,1
1942-01-05,3.25,5,1.5
1942-01-06,2.75,5.5,0
1942-01-07,5.25,10.5,0
1942-01-08,6.25,12.5,0
1942-01-09,6,12,0
1942-01-10,5.75,11.5,0
1942-01-11,10.75,21.5,0
1942-01-12,16,23,9
1942-01-13,16.75,24.5,9
1942-01-14,15.5,22.5,8.5
1942-01-15,15.9,18,13.8
1942-01-16,15.25,17.5,13
1942-01-17,17.5,25.5,9.5
1942-01-18,17.25,23,11.5
1942-01-19,16,19,13
1942-01-20,15.25,18.5,12
1942-01-21,14.5,23,6
1942-01-22,14,25,3
1942-01-23,14.8,26.8,2.8
1942-01-24,19,29.5,8.5
1942-01-25,18.25,29.5,7
1942-01-26,19,31,7
1942-01-27,18.75,25.5,12
1942-01-28,17.25,24.5,10
1942-01-29,16.75,24.5,9
1942-01-30,19,27.5,10.5
1942-01-31,13.5,19.5,7.5
1942-02-01,12.5,22,3
1942-02-02,14.4,23.3,5.5
1942-02-03,19,23.5,14.5
1942-02-04,21.75,26.5,17
1942-02-05,20,28,12
1942-02-06,20,27.5,12.5
1942-02-07,23.25,29,17.5
1942-02-08,21,27,15
1942-02-09,21.1,27.7,14.5
1942-02-10,15.45,21.5,9.4
1942-02-11,16.75,23,10.5
1942-02-12,12.75,19.5,6
1942-02-13,11.75,17.5,6
1942-02-14,17.5,23.5,11.5
1942-02-15,20.75,28,13.5
1942-02-16,18.75,22,15.5
1942-02-17,13.4,19.5,7.3
1942-02-18,14.15,16.5,11.8
1942-02-19,6.75,12,1.5
1942-02-20,8.45,15.9,1
1942-02-21,14.4,24,4.8
1942-02-22,15.75,24,7.5
1942-02-23,18.5,29.5,7.5
1942-02-24,16,21,11
1942-02-25,12,21,3
1942-02-26,13.1,19,7.2
1942-02-27,11.1,18,4.2
1942-02-28,12.4,21.8,3
1942-03-01,12.9,21.8,4
1942-03-02,12.75,21.5,4
1942-03-03,15.9,29.3,2.5
1942-03-04,14.5,21,8
1942-03-05,16,25,7
1942-03-06,18.75,26.5,11
1942-03-07,23.5,36.5,10.5
1942-03-08,16,21.5,10.5
1942-03-09,13.75,27.5,0
1942-03-10,18.25,33,3.5
1942-03-11,22.15,34,10.3
1942-03-12,22,29.5,14.5
1942-03-13,25.65,32.8,18.5
1942-03-14,24.6,32.5,16.7
1942-03-15,25,32,18
1942-03-16,25.15,32.5,17.8
1942-03-17,23.5,33.5,13.5
1942-03-18,20.5,30,11
1942-03-19,23.75,33,14.5
1942-03-20,24.25,32,16.5
1942-03-21,23.5,32,15
1942-03-22,24,32,16
1942-03-23,21.25,30,12.5
1942-03-24,24,30.5,17.5
1942-03-25,27.25,36,18.5
1942-03-26,28.9,37,20.8
1942-03-27,17.75,19.5,16
1942-03-28,22.25,32,12.5
1942-03-29,21.25,32,10.5
1942-03-30,16.25,22,10.5
1942-03-31,16.4,18.5,14.3
1942-04-01,20.25,26.5,14
1942-04-02,23,34.5,11.5
1942-04-03,24,33.5,14.5
1942-04-04,23.25,32,14.5
1942-04-05,26,33,19
1942-04-06,26.25,33.5,19
1942-04-07,30,39.5,20.5
1942-04-08,24.75,32,17.5
1942-04-09,18.75,27,10.5
1942-04-10,20.5,30.5,10.5
1942-04-11,23.5,34,13
1942-04-12,25,34,16
1942-04-13,25,34,16
1942-04-14,25,34,16
1942-04-15,25,34,16
1942-04-16,25,31.5,18.5
1942-04-17,25.4,30,20.8
1942-04-18,27,34.5,19.5
1942-04-19,22.75,34,11.5
1942-04-20,22.75,34,11.5
1942-04-21,22.25,25,19.5
1942-04-22,21.7,25,18.4
1942-04-23,26.6,34.7,18.5
1942-04-24,29.85,38,21.7
1942-04-25,28.5,36,21
1942-04-26,28.65,36.5,20.8
1942-04-27,26.4,32,20.8
1942-04-28,22.5,31.5,13.5
1942-04-29,28.5,33,24
1942-04-30,27.9,38,17.8
1942-05-01,28,33,23
1942-05-02,30.6,37.5,23.7
1942-05-03,23,32,14
1942-05-04,29.75,38.5,21
1942-05-05,27,35,19
1942-05-06,21.1,31.5,10.7
1942-05-07,22,24,20
1942-05-08,21.5,24,19
1942-05-09,27,35,19
1942-05-10,26.75,35,18.5
1942-05-11,25,31.5,18.5
1942-05-12,29.9,37,22.8
1942-05-13,31,40,22
1942-05-14,27.45,30.1,24.8
1942-05-15,23.85,37,10.7
1942-05-16,28,40,16
1942-05-17,29.25,40,18.5
1942-05-18,29.5,40,19
1942-05-19,28.85,40,17.7
1942-05-20,29.25,40,18.5
1942-05-21,28.5,40,17
1942-05-22,28.75,40,17.5
1942-05-23,29.15,40.3,18
1942-05-24,28.5,40,17
1942-05-25,28.6,40.2,17
1942-05-26,28.75,40,17.5
1942-05-27,29,40,18
1942-05-28,29,40,18
1942-05-29,28.5,40,17
1942-05-30,26.85,36.5,17.2
1942-06-01,27.85,35.2,20.5
1942-06-02,28.85,36,21.7
1942-06-03,29.15,35.5,22.8
1942-06-04,28.6,35.5,21.7
1942-06-05,29.15,37,21.3
1942-06-06,27.45,35,19.9
1942-06-07,30.65,37.5,23.8
1942-06-08,30.65,39,22.3
1942-06-09,30.75,41.5,20
1942-06-10,34.4,43.8,25
1942-06-11,35.7,45,26.4
1942-06-12,35.55,44.5,26.6
1942-06-13,35.35,43.9,26.8
1942-06-14,33.65,40.8,26.5
1942-06-15,33.9,42,25.8
1942-06-16,30.3,39.8,20.8
1942-06-17,32.4,39.5,25.3
1942-06-18,32.5,39.7,25.3
1942-06-19,32.65,39.8,25.5
1942-06-20,31.4,38,24.8
1942-06-21,30.75,38,23.5
1942-06-22,26.2,28.9,23.5
1942-06-23,22.5,25,20
1942-06-24,25.5,29,22
1942-06-25,26,30,22
1942-06-26,28.5,33,24
1942-06-27,30.15,35.5,24.8
1942-06-28,28.9,35.5,22.3
1942-06-29,28.3,34.5,22.1
1942-07-01,28.6,34.9,22.3
1942-07-02,26,30,22
1942-07-03,29.2,35.2,23.2
1942-07-04,27.3,33,21.6
1942-07-05,28.65,33,24.3
1942-07-06,28.6,33.9,23.3
1942-07-07,29.75,33.5,26
1942-07-08,28.65,34.5,22.8
1942-07-09,29.15,35,23.3
1942-07-10,29,35.2,22.8
1942-07-11,29,34,24
1942-07-12,29.1,34.2,24
1942-07-13,29.25,34.5,24
1942-07-14,28.5,33,24
1942-07-15,28.15,34.3,22
1942-07-16,29.1,35.2,23
1942-07-17,27.7,31.5,23.9
1942-07-18,29.65,35,24.3
1942-07-19,28.9,34.8,23
1942-07-20,28.5,35,22
1942-07-21,29.75,36.4,23.1
1942-07-22,29.9,36.8,23
1942-07-23,27.85,34,21.7
1942-07-24,28.15,35.2,21.1
1942-07-25,28.95,36.1,21.8
1942-07-26,29.15,36,22.3
1942-07-27,28.45,34.8,22.1
1942-07-28,28.8,33,24.6
1942-07-29,30.9,35.8,26
1942-07-30,29.65,35.5,23.8
1942-07-31,30.25,36.5,24
1942-08-01,30.65,36.5,24.8
1942-08-02,30.6,36.5,24.7
1942-08-03,29.5,36,23
1942-08-04,31.1,35.8,26.4
1942-08-05,25.15,26.5,23.8
1942-08-06,27.4,33,21.8
1942-08-07,27.85,33,22.7
1942-08-08,29.35,36,22.7
1942-08-09,29.6,36.5,22.7
1942-08-10,29.75,36.5,23
1942-08-11,30.7,37.8,23.6
1942-08-12,29.65,37,22.3
1942-08-13,29.65,36.5,22.8
1942-08-14,30,36.2,23.8
1942-08-15,29.55,36.2,22.9
1942-08-16,29.75,35,24.5
