Estación: ,C19044,MAMULIQUE. SALS.VICTORIA
Variable: ,Precipitación (mm)
Longitud: ,100° 13' 20'',Latitud:,26° 08' 34

Fecha,Valor,NúmDatos
1968-06-01,8.5,CLIC
1968-06-02,0,CLIC
1968-06-03,0,CLIC
1968-06-04,6.3,CLIC
1968-06-05,18,CLIC
1968-06-06,5,CLIC
1968-06-07,0,CLIC
1968-06-08,0,CLIC
1968-06-09,22.5,CLIC
1968-06-10,9,CLIC
1968-06-11,0,CLIC
1968-06-12,1,CLIC
1968-06-13,0,CLIC
1968-06-14,0,CLIC
1968-06-15,5,CLIC
1968-06-16,0,CLIC
1968-06-17,0,CLIC
1968-06-18,0,CLIC
1968-06-19,0,CLIC
1968-06-20,0,CLIC
1968-06-21,0,CLIC
1968-06-22,0,CLIC
1968-06-23,0,CLIC
1968-06-24,0,CLIC
1968-06-25,0,CLIC
1968-06-26,0,CLIC
1968-06-27,1.5,CLIC
1968-06-28,0,CLIC
1968-06-29,0,CLIC
1968-06-30,0,CLIC
1968-07-01,8.5,CLIC
1968-07-02,0,CLIC
1968-07-03,0,CLIC
1968-07-04,0,CLIC
1968-07-05,6.3,CLIC
1968-07-06,18,CLIC
1968-07-07,5,CLIC
1968-07-08,0,CLIC
1968-07-09,0,CLIC
1968-07-10,22.5,CLIC
1968-07-11,9,CLIC
1968-07-12,0,CLIC
1968-07-13,1,CLIC
1968-07-14,0,CLIC
1968-07-15,0,CLIC
1968-07-16,5,CLIC
1968-07-17,0,CLIC
1968-07-18,0,CLIC
1968-07-19,0,CLIC
1968-07-20,0,CLIC
1968-07-21,0,CLIC
1968-07-22,0,CLIC
1968-07-23,0,CLIC
1968-07-24,0,CLIC
1968-07-25,0,CLIC
1968-07-26,1.5,CLIC
1968-07-27,0,CLIC
1968-07-28,0,CLIC
1968-07-29,0,CLIC
1968-07-30,0,CLIC
1968-07-31,0,CLIC
1968-08-01,8.5,CLIC
1968-08-02,16,CLIC
1968-08-03,15,CLIC
1968-08-04,0,CLIC
1968-08-05,0,CLIC
1968-08-06,0,CLIC
1968-08-07,0,CLIC
1968-08-08,0,CLIC
1968-08-09,0,CLIC
1968-08-10,0,CLIC
1968-08-11,0,CLIC
1968-08-12,0,CLIC
1968-08-13,0,CLIC
1968-08-14,0,CLIC
1968-08-15,0,CLIC
1968-08-16,0,CLIC
1968-08-17,0,CLIC
1968-08-18,0,CLIC
1968-08-19,0,CLIC
1968-08-20,0,CLIC
1968-08-21,0,CLIC
1968-08-22,0,CLIC
1968-08-23,0,CLIC
1968-08-24,3.5,CLIC
1968-08-25,34,CLIC
1968-08-26,2.5,CLIC
1968-08-27,8.2,CLIC
1968-08-28,0,CLIC
1968-08-29,0,CLIC
1968-08-30,0,CLIC
1968-08-31,19,CLIC
1968-09-01,30.3,CLIC
1968-09-02,0,CLIC
1968-09-03,0,CLIC
1968-09-04,5.2,CLIC
1968-09-05,17,CLIC
1968-09-06,5,CLIC
1968-09-07,0,CLIC
1968-09-08,0,CLIC
1968-09-09,21,CLIC
1968-09-10,8,CLIC
1968-09-11,0,CLIC
1968-09-12,1,CLIC
1968-09-13,0,CLIC
1968-09-14,0,CLIC
1968-09-15,5,CLIC
1968-09-16,0,CLIC
1968-09-17,0,CLIC
1968-09-18,0,CLIC
1968-09-19,0,CLIC
1968-09-20,0,CLIC
1968-09-21,0,CLIC
1968-09-22,0,CLIC
1968-09-23,0,CLIC
1968-09-24,7,CLIC
1968-09-25,17,CLIC
1968-09-26,1.5,CLIC
1968-09-27,0,CLIC
1968-09-28,0,CLIC
1968-09-29,12,CLIC
1968-09-30,0,CLIC
1968-10-01,0,CLIC
1968-10-02,0,CLIC
1968-10-03,47,CLIC
1968-10-04,6.3,CLIC
1968-10-05,0,CLIC
1968-10-06,5.2,CLIC
1968-10-07,0,CLIC
1968-10-08,0,CLIC
1968-10-09,0,CLIC
1968-10-10,16.8,CLIC
1968-10-11,4.2,CLIC
1968-10-12,0,CLIC
1968-10-13,0,CLIC
1968-10-14,0,CLIC
1968-10-15,0,CLIC
1968-10-16,4.5,CLIC
1968-10-17,6.2,CLIC
1968-10-18,0,CLIC
1968-10-19,4.1,CLIC
1968-10-20,8.4,CLIC
1968-10-21,0,CLIC
1968-10-22,8.6,CLIC
1968-10-23,0,CLIC
1968-10-24,0,CLIC
1968-10-25,0,CLIC
1968-10-26,0,CLIC
1968-10-27,0,CLIC
1968-10-28,0,CLIC
1968-10-29,0,CLIC
1968-10-30,0,CLIC
1968-10-31,0,CLIC
1968-11-01,0,CLIC
1968-11-02,0,CLIC
1968-11-03,0,CLIC
1968-11-04,0,CLIC
1968-11-05,0,CLIC
1968-11-06,0,CLIC
1968-11-07,7.3,CLIC
1968-11-08,0,CLIC
1968-11-09,0,CLIC
1968-11-10,0,CLIC
1968-11-11,0,CLIC
1968-11-12,0,CLIC
1968-11-13,0,CLIC
1968-11-14,0,CLIC
1968-11-15,0,CLIC
1968-11-16,0,CLIC
1968-11-17,0,CLIC
1968-11-18,0,CLIC
1968-11-19,0,CLIC
1968-11-20,7.6,CLIC
1968-11-21,3.2,CLIC
1968-11-22,0,CLIC
1968-11-23,0,CLIC
1968-11-24,0,CLIC
1968-11-25,0,CLIC
1968-11-26,0,CLIC
1968-11-27,0,CLIC
1968-11-28,0,CLIC
1968-11-29,0,CLIC
1968-11-30,0,CLIC
1968-12-01,0,CLIC
1968-12-02,0,CLIC
1968-12-03,0,CLIC
1968-12-04,0,CLIC
1968-12-05,0,CLIC
1968-12-06,0,CLIC
1968-12-07,0,CLIC
1968-12-08,0,CLIC
1968-12-09,0,CLIC
1968-12-10,0,CLIC
1968-12-11,0,CLIC
1968-12-12,0,CLIC
1968-12-13,0,CLIC
1968-12-14,0,CLIC
1968-12-15,0,CLIC
1968-12-16,0,CLIC
1968-12-17,0,CLIC
1968-12-18,0,CLIC
1968-12-19,0,CLIC
1968-12-20,0,CLIC
1968-12-21,0,CLIC
1968-12-22,5.5,CLIC
1968-12-23,0,CLIC
1968-12-24,0,CLIC
1968-12-25,0,CLIC
1968-12-26,0,CLIC
1968-12-27,0,CLIC
1968-12-28,0,CLIC
1968-12-29,0,CLIC
1968-12-30,0,CLIC
1968-12-31,0,CLIC
1969-04-01,0,CLIC
1969-04-02,0,CLIC
1969-04-03,0,CLIC
1969-04-04,11,CLIC
1969-04-05,6,CLIC
1969-04-06,0,CLIC
1969-04-07,0,CLIC
1969-04-08,0,CLIC
1969-04-09,0,CLIC
1969-04-10,3,CLIC
1969-04-11,0,CLIC
1969-04-12,0,CLIC
1969-04-13,0,CLIC
1969-04-14,0,CLIC
1969-04-15,0,CLIC
1969-04-16,0,CLIC
1969-04-17,0,CLIC
1969-04-18,0,CLIC
