Estación: ,C19046,MIER Y NORIEGA (SMN)
Variable: ,Evaporación (mm)
Longitud: ,100° 06' 56'',Latitud:,23° 25' 16

Fecha,Valor,NúmDatos
1961-01-01,3.1,CLIC
1961-01-02,3.8,CLIC
1961-01-03,4,CLIC
1961-01-04,6.2,CLIC
1961-01-05,5,CLIC
1961-01-06,4.2,CLIC
1961-01-07,3.1,CLIC
1961-01-08,4.1,CLIC
1961-01-09,3.8,CLIC
1961-01-10,5.2,CLIC
1961-01-11,9.3,CLIC
1961-01-12,3.1,CLIC
1961-01-13,6,CLIC
1961-01-14,6.1,CLIC
1961-01-15,6.1,CLIC
1961-01-16,5.9,CLIC
1961-01-17,7.1,CLIC
1961-01-18,4.1,CLIC
1961-01-19,3.9,CLIC
1961-01-20,6.2,CLIC
1961-01-21,5.1,CLIC
1961-01-22,4.1,CLIC
1961-01-23,6,CLIC
1961-01-24,6,CLIC
1961-01-25,5.1,CLIC
1961-01-26,6.2,CLIC
1961-01-27,5.2,CLIC
1961-01-28,5.9,CLIC
1961-02-01,5.3,CLIC
1961-02-02,4.9,CLIC
1961-02-03,8.2,CLIC
1961-02-04,5.1,CLIC
1961-02-05,5.1,CLIC
1961-02-06,3.9,CLIC
1961-02-07,4.9,CLIC
1961-02-08,6.3,CLIC
1961-02-09,5.9,CLIC
1961-02-10,7.2,CLIC
1961-02-11,8.2,CLIC
1961-02-12,3.1,CLIC
1961-02-13,3.1,CLIC
1961-02-14,2.9,CLIC
1961-02-15,3.9,CLIC
1961-02-16,3.1,CLIC
1961-02-17,4.1,CLIC
1961-02-18,7.2,CLIC
1961-02-19,6,CLIC
1961-02-20,7,CLIC
1961-02-21,6.1,CLIC
1961-02-22,6.1,CLIC
1961-02-23,6.1,CLIC
1961-02-24,8.2,CLIC
1961-02-25,7.2,CLIC
1961-02-26,6,CLIC
1961-02-27,7.1,CLIC
1961-02-28,8,CLIC
1961-03-01,6.1,CLIC
1961-03-02,8.2,CLIC
1961-03-03,7,CLIC
1961-03-04,3.8,CLIC
1961-03-05,5.4,CLIC
