Estación: ,C19049,MONTERREY.MONTERREY(DGE)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 19' 00'',Latitud:,25° 41' 00

Fecha,Promedio,Máximo,Mínimo
1925-12-01,17.2,24.5,9.9
1925-12-02,20.25,32.4,8.1
1925-12-03,10.25,12.6,7.9
1925-12-04,11.4,14.8,8
1925-12-05,9,11.4,6.6
1925-12-06,6.95,11.8,2.1
1925-12-07,10.05,15.3,4.8
1925-12-08,11.8,17.5,6.1
1925-12-09,14.5,19.2,9.8
1925-12-10,17.7,25.8,9.6
1925-12-11,17.9,26.4,9.4
1925-12-12,19.05,25.4,12.7
1925-12-13,19.5,25.9,13.1
1925-12-14,13.95,19.8,8.1
1925-12-15,5.5,8.9,2.1
1925-12-16,5,7.6,2.4
1925-12-17,6.9,9.9,3.9
1925-12-18,12.15,22.8,1.5
1925-12-19,9.9,15.9,3.9
1925-12-20,10.9,18.4,3.4
1925-12-21,9.95,14.8,5.1
1925-12-22,6.8,12.1,1.5
1925-12-23,7.5,13.3,1.7
1925-12-24,9.85,12.5,7.2
1925-12-25,12.4,19.4,5.4
1925-12-26,15.85,22.9,8.8
1925-12-27,10.15,10.9,9.4
1925-12-28,-3.4,-2,-4.8
1925-12-29,-1.05,3,-5.1
1925-12-30,2.65,4.1,1.2
1925-12-31,3.95,6.4,1.5
1929-01-01,9.75,14.3,5.2
1929-01-02,9.1,16,2.2
1929-01-03,13.1,22,4.2
1929-01-04,16.25,25.2,7.3
1929-01-05,12.7,16.3,9.1
1929-01-06,7.8,13.4,2.2
1929-01-07,9.8,18.3,1.3
1929-01-08,13.8,21.2,6.4
1929-01-09,16.15,23.1,9.2
1929-01-10,12.65,17,8.3
1929-01-11,14.15,22.2,6.1
1929-01-12,11.1,19,3.2
1929-01-13,12.2,21.3,3.1
1929-01-14,14.15,22,6.3
1929-01-15,17,25,9
1929-01-16,17.1,23,11.2
1929-01-17,19.5,27,12
1929-01-18,21.5,31,12
1929-01-19,19.15,27,11.3
1929-01-20,16.2,21,11.4
1929-01-21,18.55,24,13.1
1929-01-22,21.2,29.4,13
1929-01-23,17.8,22.3,13.3
1929-01-24,22.55,32.1,13
1929-01-25,12.7,15.1,10.3
1929-01-26,7.3,13.4,1.2
1929-01-27,10.7,19.1,2.3
1929-01-28,13.8,22.4,5.2
1929-01-29,11.8,22.3,1.3
1929-01-30,17.1,26,8.2
1929-01-31,15.75,22.3,9.2
1929-02-01,7.7,10.3,5.1
1929-02-02,7.5,10,5
1929-02-03,10.3,14.4,6.2
1929-02-04,14.15,21.1,7.2
1929-02-05,17,30,4
1929-02-06,16.15,25.3,7
1929-02-07,15.1,22,8.2
1929-02-08,14.6,17,12.2
1929-02-09,8,17,-1
1929-02-10,5.55,12.3,-1.2
1929-02-11,4.6,11.3,-2.1
1929-02-12,4.7,12.4,-3
1929-02-13,11.1,23.2,-1
1929-02-14,18.9,27.4,10.4
1929-02-15,18.15,25,11.3
1929-02-16,11.7,16.3,7.1
1929-02-17,13.9,19.4,8.4
1929-02-18,13.75,16.3,11.2
1929-02-19,16.7,25,8.4
1929-02-20,10.25,11.3,9.2
1929-02-21,15.1,24.1,6.1
1929-02-22,15.8,24.3,7.3
1929-02-23,11.7,14.3,9.1
1929-02-24,18.65,27.3,10
1929-02-25,18.85,27.3,10.4
1929-02-26,17.3,27.3,7.3
1929-02-27,16.75,22.4,11.1
1929-02-28,15.3,25.3,5.3
1929-03-01,14.6,20,9.2
1929-03-02,16.7,30,3.4
1929-03-03,20.3,30.4,10.2
1929-03-04,18.35,26.3,10.4
1929-03-05,20.9,30.4,11.4
1929-03-06,23.65,30,17.3
1929-03-07,27.2,37,17.4
1929-03-08,21,30,12
1929-03-09,21.15,28.3,14
1929-03-10,20.15,25.3,15
1929-03-11,18.65,22.3,15
1929-03-12,23,31,15
1929-03-13,23.65,30,17.3
1929-03-14,17.05,23,11.1
1929-03-15,16.4,22.8,10
1929-03-16,15.5,23,8
1929-03-17,16.65,19.1,14.2
1929-03-18,17.15,22.3,12
1929-03-19,19.05,26,12.1
1929-03-20,19.65,25,14.3
1929-03-21,24,30,18
1929-03-22,24.55,35,14.1
1929-03-23,23.3,34.3,12.3
1929-03-24,22,29,15
1929-03-25,22.65,28.3,17
1929-03-26,21.5,26,17
1929-03-27,22.1,27,17.2
1929-03-28,24.45,30.4,18.5
1929-03-29,22.3,29.3,15.3
1929-03-30,23.25,32.4,14.1
1929-03-31,25.05,35,15.1
1929-04-01,23.15,27.3,19
1929-04-02,25.35,31.3,19.4
1929-04-03,25.6,32.1,19.1
1929-04-04,25.7,34,17.4
1929-04-05,25.5,33,18
1929-04-06,23.25,31.1,15.4
1929-04-07,24.85,32.3,17.4
1929-04-08,25.2,31,19.4
1929-04-09,25.25,32.4,18.1
1929-04-10,27.2,36,18.4
1929-04-11,24,30,18
1929-04-12,24,29,19
1929-04-13,28.65,39,18.3
1929-04-14,25.9,35.3,16.5
1929-04-15,21.85,31.3,12.4
1929-04-16,21.6,31,12.2
1929-04-17,22,29,15
1929-04-18,23,28,18
1929-04-19,25.1,32,18.2
1929-04-20,28,38,18
1929-04-21,26.5,34,19
1929-04-22,20.65,23.3,18
1929-04-23,23.65,29,18.3
1929-04-24,25.7,34.4,17
1929-04-25,24.65,31.3,18
1929-04-26,21.35,25.4,17.3
1929-04-27,23.7,31,16.4
1929-04-28,25.7,34.3,17.1
1929-04-29,26.55,32.1,21
1929-04-30,29.25,37.3,21.2
1929-05-01,30.6,41,20.2
1929-05-02,20.15,24,16.3
1929-05-03,20.65,30,11.3
1929-05-04,25.7,39.1,12.3
1929-05-05,26.75,38.1,15.4
1929-05-06,28.7,39,18.4
1929-05-07,28.05,36.1,20
1929-05-08,28.15,35,21.3
1929-05-09,27.05,33,21.1
1929-05-10,27.2,33,21.4
1929-05-11,26.6,33,20.2
1929-05-12,26.15,31.3,21
1929-05-13,25.15,31.3,19
1929-05-14,23.7,29.4,18
1929-05-15,25.2,31,19.4
1929-05-16,25.65,31.3,20
1929-05-17,26.75,32.3,21.2
1929-05-18,28.65,36,21.3
1929-05-19,30.7,39,22.4
1929-05-20,24.65,30,19.3
1929-05-21,22.5,27,18
1929-05-22,23.7,29.3,18.1
1929-05-23,23,26,20
1929-05-24,24.75,31.3,18.2
1929-05-25,26.1,31.2,21
1929-05-26,28.55,35,22.1
1929-05-27,27.2,33.1,21.3
1929-05-28,28.7,34,23.4
1929-05-29,26.65,32.3,21
1929-05-30,24.8,31.3,18.3
1929-05-31,26.2,32.1,20.3
1929-06-01,25.8,31.3,20.3
1929-06-02,28.35,35.4,21.3
1929-06-03,29.75,37,22.5
1929-06-04,28.7,35.3,22.1
1929-06-05,27.2,35,19.4
1929-06-06,28.2,35,21.4
1929-06-07,28.25,36.1,20.4
1929-06-08,29.65,38,21.3
1929-06-09,28.7,37.3,20.1
1929-06-10,29.55,37.1,22
1929-06-11,29.7,38,21.4
1929-06-12,28.65,37.3,20
1929-06-13,28,36,20
1929-06-14,27.8,34.3,21.3
1929-06-15,29.25,35.3,23.2
1929-06-16,28.2,36.1,20.3
1929-06-17,28.3,35.4,21.2
1929-06-18,28.2,35,21.4
1929-06-19,25.8,30.3,21.3
1929-06-20,25.5,31,20
1929-06-21,26.55,33.1,20
1929-06-22,27.5,35,20
1929-06-23,28.65,35.3,22
1929-06-24,28.2,35.3,21.1
1929-06-25,29.6,36,23.2
1929-06-26,27.35,34.3,20.4
1929-06-27,29.1,37,21.2
1929-06-28,28.65,36,21.3
1929-06-29,26.25,32.1,20.4
1929-06-30,27.8,34.3,21.3
1929-07-01,28.25,35.3,21.2
1929-07-02,29.2,36.3,22.1
1929-07-03,28.7,35.3,22.1
1929-07-04,30.3,39.5,21.1
1929-07-05,26.3,31.3,21.3
1929-07-06,26.7,32.2,21.2
1929-07-07,27.15,33.1,21.2
1929-07-08,25.8,33.3,18.3
1929-07-09,26.6,32.2,21
1929-07-10,26.7,33,20.4
1929-07-11,27.2,33,21.4
1929-07-12,26.55,31,22.1
1929-07-13,26,31,21
1929-07-14,26.5,32,21
1929-07-15,27.65,35,20.3
1929-07-16,29,36,22
1929-07-17,29.65,38,21.3
1929-07-18,29.2,37,21.4
1929-07-19,30.05,37,23.1
1929-07-20,29.15,36,22.3
1929-07-21,29.6,37,22.2
1929-07-22,28.8,34.3,23.3
1929-07-23,28.35,34.3,22.4
1929-07-24,29.05,37.1,21
1929-07-25,26.2,33.1,19.3
1929-07-26,27.75,33.4,22.1
1929-07-27,28.2,34.4,22
1929-07-28,27.6,33,22.2
1929-07-29,27.1,32.2,22
1929-07-30,27.85,34.3,21.4
1929-07-31,27.6,35,20.2
1929-08-01,26.65,32.3,21
1929-08-02,27.1,33,21.2
1929-08-03,29,36,22
1929-08-04,28.65,35.3,22
1929-08-05,28.25,35.3,21.2
1929-08-06,29.35,37.3,21.4
1929-08-07,30,37,23
1929-08-08,29.3,35.3,23.3
1929-08-09,27.65,34,21.3
1929-08-10,29.15,37,21.3
1929-08-11,29.35,37.3,21.4
1929-08-12,29.15,36.3,22
1929-08-13,29.6,37.1,22.1
1929-08-14,30.3,38.3,22.3
1929-08-15,25.15,27.2,23.1
1929-08-16,29.3,37.3,21.3
1929-08-17,29.15,36.3,22
1929-08-18,28.7,35.1,22.3
1929-08-19,26.1,33.1,19.1
1929-08-20,26.35,33.3,19.4
1929-08-21,27.2,33.2,21.2
