Estación: ,C19059,SANTA ROSA. DR. ARROYO
Variable: ,Evaporación (mm)
Longitud: ,100° 17' 08.9'',Latitud:,24° 10' 17.5''

Fecha,Valor,NúmDatos
1966-06-01,4.2,CLIC
1966-06-02,5.4,CLIC
1966-06-03,4.1,CLIC
1966-06-04,6.8,CLIC
1966-06-05,3.6,CLIC
1966-06-06,3.7,CLIC
1966-06-07,2.3,CLIC
1966-06-08,1.3,CLIC
1966-06-09,1.7,CLIC
1966-06-10,2,CLIC
1966-06-11,4,CLIC
1966-06-12,2.3,CLIC
1966-06-13,4.9,CLIC
1966-06-14,3.7,CLIC
1966-06-15,3.4,CLIC
1966-06-16,4.3,CLIC
1966-06-17,5.7,CLIC
1966-06-18,3.4,CLIC
1966-06-19,4.5,CLIC
1966-06-20,3.4,CLIC
1966-06-21,2.8,CLIC
1966-06-22,3.2,CLIC
1966-06-23,5.9,CLIC
1966-06-24,4.2,CLIC
1966-06-25,4.9,CLIC
1966-06-26,4,CLIC
1966-06-27,4.7,CLIC
1966-06-28,3.7,CLIC
1966-06-29,4.5,CLIC
1966-06-30,4.4,CLIC
1967-09-01,4.4,CLIC
1967-09-02,3.8,CLIC
1967-09-03,3.7,CLIC
1967-09-04,4,CLIC
1967-09-05,5.8,CLIC
1967-09-06,4.7,CLIC
1967-09-07,8,CLIC
1967-09-08,8.4,CLIC
1967-09-09,6.8,CLIC
1967-09-10,6.8,CLIC
1967-09-11,7.7,CLIC
1967-09-12,6.5,CLIC
1967-09-13,9,CLIC
1967-09-14,9,CLIC
1967-09-15,9,CLIC
1967-09-16,7.6,CLIC
1967-09-17,7.8,CLIC
1967-09-18,6.5,CLIC
1967-09-19,7.6,CLIC
1967-09-20,8.2,CLIC
1967-09-21,8,CLIC
1967-09-22,5.6,CLIC
1967-09-23,5.7,CLIC
1967-09-24,7.6,CLIC
1967-09-25,7.8,CLIC
1967-09-26,7.2,CLIC
1967-09-27,6.8,CLIC
1967-09-28,6.8,CLIC
1967-09-29,8.1,CLIC
1967-09-30,8.1,CLIC
1988-03-01,3.28,CLIC
1988-03-02,1.98,CLIC
1988-03-03,1.95,CLIC
1988-03-04,2.95,CLIC
1988-03-05,3.2,CLIC
1988-03-06,8.19,CLIC
1988-03-07,7.76,CLIC
1988-03-08,5.89,CLIC
1988-03-09,0.96,CLIC
1988-03-10,8.6,CLIC
1988-03-11,6.48,CLIC
1988-03-12,10.12,CLIC
1988-03-13,1.6,CLIC
1988-03-14,1.95,CLIC
1988-03-15,1.75,CLIC
1988-03-16,5.1,CLIC
