Estación: ,C19060,SOMBRERETILLO.SABINAS H.
Variable: ,Evaporación (mm)
Longitud: ,99° 56' 21'',Latitud:,26° 20' 36

Fecha,Valor,NúmDatos
1978-12-01,1.6,CLIC
1978-12-02,2.7,CLIC
1978-12-03,1.9,CLIC
1978-12-04,2.7,CLIC
1978-12-05,3.2,CLIC
1978-12-06,1.5,CLIC
1978-12-07,2.8,CLIC
1978-12-08,0.4,CLIC
1978-12-09,0.6,CLIC
1978-12-10,0.6,CLIC
1978-12-11,0.5,CLIC
1978-12-12,2.2,CLIC
1978-12-13,1,CLIC
1978-12-14,1,CLIC
1978-12-15,0.1,CLIC
1978-12-16,0.6,CLIC
1978-12-17,0.5,CLIC
1978-12-18,0.8,CLIC
1978-12-19,2.2,CLIC
1978-12-20,0.2,CLIC
1978-12-21,3.2,CLIC
1978-12-22,5.6,CLIC
1978-12-23,0.8,CLIC
1978-12-24,0.8,CLIC
1978-12-25,0.9,CLIC
1978-12-26,0.6,CLIC
1978-12-27,0.2,CLIC
1978-12-28,0.3,CLIC
1978-12-29,0.4,CLIC
1978-12-30,0.4,CLIC
1978-12-31,0.5,CLIC
1979-01-01,0.2,CLIC
1979-01-02,0.7,CLIC
1979-01-03,1,CLIC
1979-01-04,1.5,CLIC
1979-01-05,2,CLIC
1979-01-06,1,CLIC
1979-01-07,1.7,CLIC
1979-01-08,1.3,CLIC
1979-01-09,0.6,CLIC
1979-01-10,1,CLIC
1979-01-11,1.1,CLIC
1979-01-12,0.6,CLIC
1979-01-13,1,CLIC
1979-01-14,1.2,CLIC
1979-01-15,1.8,CLIC
1979-01-16,3.4,CLIC
1979-01-17,1.5,CLIC
1979-01-18,2.3,CLIC
1979-01-19,3.8,CLIC
1979-01-20,1.6,CLIC
1979-01-21,1.3,CLIC
1979-01-22,2.3,CLIC
1979-01-23,1.7,CLIC
1979-01-24,3.2,CLIC
1979-01-25,0.6,CLIC
1979-01-26,0.8,CLIC
1979-01-27,0.5,CLIC
1979-01-28,0.1,CLIC
1979-01-29,0.8,CLIC
1979-01-30,1.1,CLIC
1979-01-31,0.9,CLIC
1979-02-01,0.1,CLIC
1979-02-02,0.9,CLIC
1979-02-03,2.1,CLIC
1979-02-04,1.6,CLIC
1979-02-05,0.3,CLIC
1979-02-06,2.3,CLIC
1979-02-07,3.4,CLIC
1979-02-08,2.5,CLIC
1979-02-09,2.6,CLIC
1979-02-10,3.1,CLIC
1979-02-11,2.8,CLIC
1979-02-12,4.1,CLIC
1979-02-13,4.7,CLIC
1979-02-14,4.6,CLIC
1979-02-15,4.6,CLIC
1979-02-16,0.6,CLIC
1979-02-17,1.1,CLIC
1979-02-18,1.5,CLIC
1979-02-19,1.3,CLIC
1979-02-20,1.6,CLIC
1979-02-21,1.8,CLIC
1979-02-22,1.7,CLIC
1979-02-24,6.5,CLIC
1979-02-25,4.4,CLIC
1979-02-26,5,CLIC
1979-02-27,3.9,CLIC
1979-02-28,4.6,CLIC
1979-03-01,4.1,CLIC
1979-03-02,4,CLIC
1979-03-03,6.2,CLIC
1979-03-04,3.1,CLIC
1979-03-05,2.4,CLIC
1979-03-06,3.1,CLIC
1979-03-07,5.9,CLIC
1979-03-08,6.2,CLIC
1979-03-09,6.5,CLIC
1979-03-10,3.4,CLIC
1979-03-11,2.4,CLIC
1979-03-12,2.7,CLIC
1979-03-13,4.2,CLIC
1979-03-14,3.3,CLIC
1979-03-15,0.7,CLIC
1979-03-16,0.1,CLIC
1979-03-17,2.3,CLIC
1979-03-18,4.6,CLIC
1979-03-19,5,CLIC
1979-03-20,1.7,CLIC
1979-03-21,5.8,CLIC
1979-03-22,5.7,CLIC
1979-03-23,5.2,CLIC
1979-03-24,6.9,CLIC
1979-03-25,4.9,CLIC
1979-03-26,5.3,CLIC
1979-03-27,5.4,CLIC
1979-03-28,6.1,CLIC
1979-03-29,7.3,CLIC
1979-03-30,4.8,CLIC
1979-03-31,5.1,CLIC
1979-04-01,4.1,CLIC
1979-04-02,1.4,CLIC
1979-04-03,3.9,CLIC
1979-04-04,11.1,CLIC
1979-04-05,2.8,CLIC
1979-04-06,12.5,CLIC
1979-04-07,3.7,CLIC
1979-04-08,5.1,CLIC
1979-04-09,4.4,CLIC
1979-04-10,4.3,CLIC
1979-04-11,4,CLIC
1979-04-12,3.3,CLIC
1979-04-13,4.8,CLIC
1979-04-14,7.2,CLIC
1979-04-15,3.1,CLIC
1979-04-16,9.4,CLIC
1979-04-17,6.2,CLIC
1979-04-18,4.1,CLIC
1979-04-19,2.6,CLIC
1979-04-20,4.6,CLIC
1979-04-21,1.7,CLIC
1979-04-22,2.5,CLIC
1979-04-23,3,CLIC
1979-04-24,6.4,CLIC
1979-04-25,10.5,CLIC
1979-04-26,4.7,CLIC
1979-04-27,4.3,CLIC
1979-04-28,2.8,CLIC
1979-04-29,9.5,CLIC
1979-04-30,4.6,CLIC
1979-05-01,2.7,CLIC
1979-05-02,4.9,CLIC
1979-05-03,6.7,CLIC
1979-05-04,7.1,CLIC
1979-05-05,3.9,CLIC
1979-05-06,9,CLIC
1979-05-07,8.9,CLIC
1979-05-08,7.3,CLIC
1979-05-09,8.2,CLIC
1979-05-10,7,CLIC
1979-05-11,5.1,CLIC
1979-05-12,3.9,CLIC
1979-05-13,6,CLIC
1979-05-14,7.8,CLIC
1979-05-15,3.2,CLIC
1979-05-16,1.3,CLIC
1979-05-17,3.5,CLIC
1979-05-18,5.9,CLIC
1979-05-19,8.2,CLIC
1979-05-20,4.9,CLIC
1979-05-21,6.7,CLIC
1979-05-22,8.3,CLIC
1979-05-23,7.4,CLIC
1979-05-24,6.9,CLIC
1979-05-25,9.1,CLIC
1979-05-26,3.8,CLIC
1979-05-27,8.2,CLIC
1979-05-28,5.6,CLIC
1979-05-29,7,CLIC
1979-05-30,8.1,CLIC
1979-05-31,8,CLIC
1979-06-02,2.9,CLIC
