Estación: ,C19061,TOPO CHICO. MONTERREY
Variable: ,Evaporación (mm)
Longitud: ,100° 18' 29'',Latitud:,25° 43' 56

Fecha,Valor,NúmDatos
1958-02-01,4,CLIC
1958-02-02,3.4,CLIC
1958-02-03,3.3,CLIC
1958-02-04,4.8,CLIC
1958-02-05,3.5,CLIC
1958-02-06,2.9,CLIC
1958-02-07,2.1,CLIC
1958-02-08,2.4,CLIC
1958-02-09,1.8,CLIC
1958-02-10,3.9,CLIC
1958-02-11,2.2,CLIC
1958-02-12,2.3,CLIC
1958-02-13,4.2,CLIC
1958-02-14,2.4,CLIC
1958-02-15,2.1,CLIC
1958-02-16,2.8,CLIC
1958-02-17,4.1,CLIC
1958-02-18,5.2,CLIC
1958-02-19,3.5,CLIC
1958-02-20,2.2,CLIC
1958-02-21,2.5,CLIC
1958-02-22,3.2,CLIC
1958-02-23,4.1,CLIC
1958-02-24,2.8,CLIC
1958-02-25,2.5,CLIC
1958-02-26,3.1,CLIC
1958-02-27,3.3,CLIC
1958-02-28,3.1,CLIC
1960-11-01,6.3,CLIC
1960-11-02,4.4,CLIC
1960-11-03,5,CLIC
1960-11-04,6.7,CLIC
1960-11-05,2.7,CLIC
1960-11-06,2.4,CLIC
1960-11-07,3.4,CLIC
1960-11-08,1.6,CLIC
1960-11-09,2.4,CLIC
1960-11-10,0.9,CLIC
1960-11-11,2,CLIC
1960-11-12,3.2,CLIC
1960-11-13,1.9,CLIC
1960-11-14,0.6,CLIC
1960-11-15,1.5,CLIC
1960-11-16,1.5,CLIC
1960-11-17,3.2,CLIC
1960-11-18,2.8,CLIC
1960-11-19,1.5,CLIC
1960-11-20,1.5,CLIC
1960-11-21,3.2,CLIC
1960-11-22,2.5,CLIC
1960-11-23,4.5,CLIC
1960-11-24,4.9,CLIC
1960-11-25,3.6,CLIC
1960-11-26,3.1,CLIC
1960-11-27,1.5,CLIC
1960-11-28,5.3,CLIC
1960-11-29,3.6,CLIC
1960-11-30,2.6,CLIC
1960-12-01,2.2,CLIC
1960-12-02,1,CLIC
1960-12-03,3.4,CLIC
1960-12-04,0.8,CLIC
1960-12-05,0.9,CLIC
1960-12-06,1.4,CLIC
1960-12-07,1.2,CLIC
1960-12-08,1.1,CLIC
1960-12-09,1.1,CLIC
1960-12-10,1.6,CLIC
1960-12-11,1.2,CLIC
1960-12-12,1.3,CLIC
1960-12-13,1.7,CLIC
1960-12-14,0.9,CLIC
1960-12-15,1,CLIC
1960-12-16,0.4,CLIC
1960-12-17,2.3,CLIC
1960-12-18,2.8,CLIC
1960-12-19,2.2,CLIC
1960-12-20,4.2,CLIC
1960-12-21,2.7,CLIC
1960-12-22,2.1,CLIC
1960-12-23,4.3,CLIC
1960-12-24,1.8,CLIC
1960-12-25,2.1,CLIC
1960-12-26,1,CLIC
1960-12-27,6.3,CLIC
1960-12-28,1.4,CLIC
1960-12-29,2.1,CLIC
1960-12-30,0.3,CLIC
1960-12-31,2.4,CLIC
1961-01-01,3.2,CLIC
1961-01-02,3.1,CLIC
1961-01-03,2.1,CLIC
1961-01-04,2,CLIC
1961-01-05,1.8,CLIC
1961-01-06,2.1,CLIC
1961-01-07,0.4,CLIC
1961-01-08,5.8,CLIC
1961-01-09,3.3,CLIC
1961-01-10,2.2,CLIC
1961-01-11,2.1,CLIC
1961-01-12,3,CLIC
1961-01-13,5.1,CLIC
1961-01-14,3.5,CLIC
1961-01-15,4.1,CLIC
1961-01-16,2,CLIC
1961-01-17,2.2,CLIC
1961-01-18,2.3,CLIC
1961-01-19,1.7,CLIC
1961-01-20,2,CLIC
1961-01-21,1.2,CLIC
1961-01-22,3.5,CLIC
1961-01-23,2.7,CLIC
1961-01-24,2.5,CLIC
1961-01-25,1.9,CLIC
1961-01-26,1.7,CLIC
1961-01-27,0.1,CLIC
1961-01-28,1.5,CLIC
1961-01-29,3.4,CLIC
1961-01-30,3,CLIC
1961-01-31,0.8,CLIC
1961-02-01,2.1,CLIC
1961-02-02,2.8,CLIC
1961-02-03,3.7,CLIC
1961-02-04,2.2,CLIC
1961-02-05,4.5,CLIC
1961-02-06,0.8,CLIC
1961-02-07,3.4,CLIC
1961-02-08,2.4,CLIC
1961-02-09,2.3,CLIC
1961-02-10,5,CLIC
1961-02-11,7.6,CLIC
1961-02-12,7.1,CLIC
1961-02-13,6.8,CLIC
1961-02-14,5,CLIC
1961-02-15,2.3,CLIC
1961-02-16,1.9,CLIC
1961-02-17,5.1,CLIC
1961-02-18,5.5,CLIC
1961-02-19,2.1,CLIC
1961-02-20,1.8,CLIC
1961-02-21,4.3,CLIC
1961-02-22,3.8,CLIC
1961-02-23,3.5,CLIC
1961-02-24,3.1,CLIC
1961-02-25,6.7,CLIC
1961-02-26,1.4,CLIC
1961-02-27,3.6,CLIC
1961-02-28,2.7,CLIC
1961-03-01,5.3,CLIC
1961-03-02,2.3,CLIC
1961-03-03,7.4,CLIC
1961-03-04,9.9,CLIC
1961-03-05,9.8,CLIC
1961-03-06,8.9,CLIC
1961-03-07,8,CLIC
1961-03-08,9.3,CLIC
1961-03-09,8.6,CLIC
1961-03-10,8.1,CLIC
1961-03-11,5.9,CLIC
1961-03-12,5.1,CLIC
1961-03-13,5.4,CLIC
1961-03-14,7.6,CLIC
1961-03-15,6.5,CLIC
1961-03-16,6.6,CLIC
1961-03-17,6.8,CLIC
1961-03-18,4.8,CLIC
1961-03-19,6.7,CLIC
1961-03-20,6.3,CLIC
1961-03-21,4.4,CLIC
1961-03-22,6.4,CLIC
1961-03-23,3,CLIC
1961-03-24,3.2,CLIC
1961-03-25,4,CLIC
1961-03-26,8.1,CLIC
1961-03-27,6.9,CLIC
1961-03-28,7.5,CLIC
1961-03-29,5,CLIC
1961-03-30,5.3,CLIC
1961-03-31,4.6,CLIC
1961-04-01,5.4,CLIC
1961-04-02,5.2,CLIC
1961-04-03,10.4,CLIC
1961-04-04,10.7,CLIC
1961-04-05,0.3,CLIC
1961-04-06,9,CLIC
1961-04-07,1.9,CLIC
1961-04-08,3.1,CLIC
1961-04-09,9,CLIC
1961-04-10,1.3,CLIC
1961-04-11,5.1,CLIC
1961-04-12,5.7,CLIC
1961-04-13,9.3,CLIC
1961-04-14,13.5,CLIC
1961-04-15,11.6,CLIC
1961-04-16,6.2,CLIC
1961-04-17,12.8,CLIC
1961-04-18,1.9,CLIC
1961-04-19,8.4,CLIC
1961-04-20,8.3,CLIC
1961-04-21,8,CLIC
1961-04-22,1.4,CLIC
1961-04-23,11.4,CLIC
1961-04-24,11.6,CLIC
1961-04-25,14,CLIC
1961-04-26,11.3,CLIC
1961-04-27,9.2,CLIC
1961-04-28,4.2,CLIC
1961-04-29,5.4,CLIC
1961-04-30,6.5,CLIC
