Estación: ,C19061,TOPO CHICO. MONTERREY
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 18' 29'',Latitud:,25° 43' 56

Fecha,Promedio,Máximo,Mínimo
1958-07-01,26,30,22
1958-07-02,29.5,32,27
1958-07-03,26.5,32,21
1958-07-04,27,32,22
1958-07-05,28.5,32,25
1958-07-06,29,34,24
1958-07-07,27.5,31,24
1958-07-08,26,30,22
1958-07-09,24.5,26,23
1958-07-10,25.5,29,22
1958-07-11,26.5,31,22
1958-07-12,26.5,29,24
1958-07-13,23.5,27,20
1958-07-14,24.5,29,20
1958-07-15,25,30,20
1958-07-16,27.5,30,25
1958-07-17,27.5,31,24
1958-07-18,27.5,32,23
1958-07-19,27.5,32,23
1958-07-20,26.5,33,20
1958-07-21,26,32,20
1958-07-22,27,34,20
1958-07-23,26,32,20
1958-07-24,27.5,30,25
1958-07-25,29,31,27
1958-07-26,29.5,32,27
1958-07-27,27,31,23
1958-07-28,26,30,22
1958-07-29,26,30,22
1958-07-30,27,31,23
1958-07-31,25.5,31,20
1958-08-01,30,36,24
1958-08-02,28,32,24
1958-08-03,27.5,32,23
1958-08-04,26.5,30,23
1958-08-05,27,30,24
1958-08-06,27.5,30,25
1958-08-07,27.5,30,25
1958-08-08,27.5,30,25
1958-08-09,27.5,30,25
1958-08-10,28.5,32,25
1958-08-11,28,33,23
1958-08-12,23,24,22
1958-08-13,26.5,31,22
1958-08-14,29.5,35,24
1958-08-15,29,35,23
1958-08-16,26.5,31,22
1958-08-17,28.5,37,20
1958-08-18,26,32,20
1958-08-19,28,32,24
1958-08-20,29.5,35,24
1958-08-21,30.5,36,25
1958-08-22,31,37,25
1958-08-23,31,37,25
1958-08-24,31.5,38,25
1958-08-25,28,32,24
1958-08-26,29,36,22
1958-08-27,27.5,32,23
1958-08-28,27.5,32,23
1958-08-29,26.5,31,22
1958-08-30,26,28,24
1958-08-31,26,32,20
1958-09-01,27,32,22
1958-09-02,27,32,22
1958-09-03,27,32,22
1958-09-04,28.5,33,24
1958-09-05,28,32,24
1958-09-06,27,32,22
1958-09-07,27,32,22
1958-09-08,25,28,22
1958-09-09,26.5,30,23
1958-09-10,25.5,29,22
1958-09-11,26,29,23
1958-09-12,26.5,30,23
1958-09-13,28,32,24
1958-09-14,27,31,23
1958-09-15,24,26,22
1958-09-16,26.5,31,22
1958-09-17,25.5,29,22
1958-09-18,25,32,18
1958-09-19,27,31,23
1958-09-20,25.5,30,21
1958-09-21,25,30,20
1958-09-22,26.5,31,22
1958-09-23,27.5,31,24
1958-09-24,26.5,31,22
1958-09-25,26,30,22
1958-09-26,23,26,20
1958-09-27,25,28,22
1958-09-28,25,29,21
1958-09-29,25,29,21
1958-09-30,24,27,21
1958-10-01,18.5,27,10
1958-10-02,18,24,12
1958-10-03,21.5,23,20
1958-10-04,21.5,23,20
1958-10-05,23,26,20
1958-10-06,23,26,20
1958-10-07,25.5,31,20
1958-10-08,24.5,27,22
1958-10-09,26.5,32,21
1958-10-10,25.5,29,22
1958-10-11,23.5,27,20
1958-10-12,23.5,27,20
1958-10-13,23.5,27,20
1958-10-14,23.5,27,20
1958-10-15,23.5,27,20
1958-10-16,25,30,20
1958-10-17,25.5,30,21
1958-10-18,25.5,30,21
1958-10-19,24.5,28,21
1958-10-20,25,30,20
1958-10-21,25.5,30,21
1958-10-22,24,26,22
1958-10-23,23,26,20
1958-10-24,23,26,20
1958-10-25,23,26,20
1958-10-26,25,30,20
1958-10-27,22.5,24,21
1958-10-28,17,24,10
1958-10-29,17,24,10
1958-10-30,11,12,10
1958-10-31,17,23,11
1958-11-01,17,23,11
1958-11-02,17,23,11
1958-11-03,20,29,11
1958-11-04,19.5,28,11
1958-11-05,21.5,28,15
1958-11-06,19,23,15
1958-11-07,17.5,23,12
1958-11-08,22,31,13
1958-11-09,23,31,15
1958-11-10,26.5,38,15
1958-11-11,23,28,18
1958-11-12,21,24,18
1958-11-13,20.5,26,15
1958-11-14,22,27,17
1958-11-15,22,27,17
1958-11-16,22.5,27,18
1958-11-17,25,30,20
1958-11-18,17,20,14
1958-11-19,15.5,19,12
1958-11-20,16.5,22,11
1958-11-21,17,22,12
1958-11-22,16.5,22,11
1958-11-23,20,23,17
1958-11-24,20.5,25,16
1958-11-25,21,25,17
1958-11-26,21,25,17
1958-11-27,10.5,13,8
1958-11-28,11,13,9
1958-11-29,8,10,6
1958-11-30,7.5,9,6
1958-12-01,11,14,8
1958-12-02,17.5,24,11
1958-12-03,19,27,11
1958-12-04,20,29,11
1958-12-05,23,29,17
1958-12-06,17.5,21,14
1958-12-07,14.5,19,10
1958-12-08,18,27,9
1958-12-09,20.5,27,14
1958-12-10,13.5,14,13
1958-12-11,12.5,18,7
1958-12-12,13.5,20,7
1958-12-13,13.5,18,9
1958-12-14,5,6,4
1958-12-15,9,14,4
1958-12-16,10,20,0
1958-12-17,14.5,24,5
1958-12-18,16,21,11
1958-12-19,15,22,8
1958-12-20,11.5,18,5
1958-12-21,12,13,11
1958-12-22,12.5,14,11
1958-12-23,12.5,15,10
1958-12-24,14.5,15,14
1958-12-25,12.5,16,9
1958-12-26,12,14,10
1958-12-27,12,14,10
1958-12-28,17,21,13
1958-12-29,14,21,7
1958-12-30,15,18,12
1958-12-31,12.5,14,11
1959-01-01,13.5,19,8
1959-01-02,16.5,26,7
1959-01-03,20,31,9
1959-01-04,17.5,24,11
1959-01-05,19,26,12
1959-01-06,16,20,12
1959-01-07,10.5,14,7
1959-01-08,16,22,10
1959-01-09,10,12,8
1959-01-10,6.5,9,4
1959-01-11,12,19,5
1959-01-12,13.5,20,7
1959-01-13,13.5,18,9
1959-01-14,12,17,7
1959-01-15,11.5,13,10
1959-01-16,8.5,10,7
1959-01-17,12.5,19,6
1959-01-18,13,20,6
1959-01-19,12,16,8
1959-01-20,15.5,20,11
1959-01-21,12.5,15,10
1959-01-22,10.5,12,9
1959-01-23,11.5,17,6
1959-01-24,10.5,15,6
1959-01-25,16.5,23,10
1959-01-26,18.5,27,10
1959-01-27,14,16,12
1959-01-28,13.5,18,9
1959-01-29,13,16,10
1959-01-30,12,14,10
1959-01-31,12.5,16,9
1959-02-01,10,12,8
1959-02-02,5.5,6,5
1959-02-03,10,16,4
1959-02-04,13.5,22,5
1959-02-05,15,24,6
1959-02-06,10.5,12,9
1959-02-07,16,25,7
1959-02-08,18.5,26,11
1959-02-09,22,29,15
1959-02-10,22,27,17
1959-02-11,14.5,17,12
1959-02-12,11,13,9
1959-02-13,12,14,10
1959-02-14,13.5,16,11
1959-02-15,9,10,8
1959-02-16,11.5,16,7
1959-02-17,12,18,6
1959-02-18,15,20,10
1959-02-19,13.5,17,10
1959-02-20,7,9,5
1959-02-21,9.5,13,6
1959-02-22,11.5,16,7
1959-02-23,12.5,15,10
1959-02-24,11.5,13,10
1959-02-25,10,11,9
1959-02-26,9,10,8
1959-02-27,11,15,7
1959-02-28,10,14,6
1959-03-01,11,13,9
1959-03-02,11,13,9
1959-03-03,11,12,10
1959-03-04,12.5,16,9
1959-03-05,12,16,8
1959-03-06,9.5,12,7
1959-03-07,10.5,12,9
1959-03-08,10,13,7
1959-03-09,13,20,6
1959-03-10,13,18,8
1959-03-11,13,15,11
1959-03-12,14.5,18,11
1959-03-13,13.5,15,12
1959-03-14,13,16,10
1959-03-15,14.5,17,12
1959-03-16,11,14,8
1959-03-17,10.5,13,8
1959-03-18,8,9,7
1959-03-19,10.5,14,7
1959-03-20,12,16,8
1959-03-21,14,20,8
1959-03-22,13.5,19,8
1959-03-23,14.5,20,9
1959-03-24,12,20,4
1959-03-25,13.5,17,10
1959-03-26,13.5,16,11
1959-03-27,13.5,17,10
1959-03-28,13,16,10
1959-03-29,12.5,16,9
1959-03-30,12.5,15,10
1959-03-31,14.5,20,9
1959-04-01,18,20,16
1959-04-02,17,19,15
1959-04-03,18.5,23,14
1959-04-04,17.5,23,12
1959-04-05,21.5,24,19
1959-04-06,17.5,25,10
1959-04-07,16,21,11
1959-04-08,16,18,14
1959-04-09,14,21,7
1959-04-10,13,20,6
1959-04-11,13,14,12
1959-04-12,12.5,15,10
1959-04-13,13,15,11
1959-04-14,11.5,13,10
1959-04-15,9.5,12,7
1959-04-16,12,16,8
1959-04-17,12.5,17,8
1959-04-18,13.5,18,9
1959-04-19,12,14,10
1959-04-20,12,15,9
1959-04-21,11.5,14,9
1959-04-22,11,12,10
1959-04-23,10.5,13,8
1959-04-24,10.5,12,9
1959-04-25,12,16,8
1959-04-26,12,14,10
1959-04-27,10.5,12,9
1959-04-28,10,13,7
1959-04-29,13,18,8
1959-04-30,14.5,20,9
1959-05-01,17,25,9
1959-05-02,14,20,8
1959-05-03,13.5,18,9
1959-05-04,15,20,10
1959-05-05,16,21,11
1959-05-06,14.5,18,11
1959-05-07,15,16,14
1959-05-08,19.5,28,11
1959-05-09,16,22,10
1959-05-10,15,22,8
1959-05-11,16,22,10
1959-05-12,25,36,14
1959-05-13,28,32,24
1959-05-14,23.5,27,20
1959-05-15,23.5,29,18
1959-05-16,24,28,20
1959-05-17,26,32,20
1959-05-18,26.5,34,19
1959-05-19,27.5,36,19
1959-05-20,28.5,34,23
1959-05-21,28.5,33,24
1959-05-22,26,32,20
1959-05-23,22.5,26,19
1959-05-24,23,27,19
1959-05-25,21.5,25,18
1959-05-26,18.5,21,16
1959-05-27,22,31,13
1959-05-28,21,30,12
1959-05-29,26,32,20
