Estación: ,C19064,VAQUERIA. GENERAL TERAN
Variable: ,Evaporación (mm)
Longitud: ,99° 02' 07.5'',Latitud:,25° 06' 58.2''

Fecha,Valor,NúmDatos
1961-11-01,2.3,CLIC
1961-11-02,1.2,CLIC
1961-11-03,1,CLIC
1961-11-04,3.2,CLIC
1961-11-05,2.3,CLIC
1961-11-06,2,CLIC
1961-11-07,2,CLIC
1961-11-08,1.5,CLIC
1961-11-09,1,CLIC
1961-11-10,0.3,CLIC
1961-11-11,0.6,CLIC
1961-11-12,2,CLIC
1961-11-13,1.5,CLIC
1961-11-14,1.4,CLIC
1961-11-15,3.6,CLIC
1961-11-16,3,CLIC
1961-11-17,4,CLIC
1961-11-18,2,CLIC
1961-11-19,2.5,CLIC
1961-11-20,2.3,CLIC
1961-11-21,2.2,CLIC
1961-11-22,5.2,CLIC
1961-11-23,5,CLIC
1961-11-24,4.8,CLIC
1961-11-25,4.1,CLIC
1961-11-26,3.7,CLIC
1961-11-27,3.2,CLIC
1961-11-28,3,CLIC
1961-11-29,2.5,CLIC
1961-11-30,1.2,CLIC
1961-12-01,3,CLIC
1961-12-02,5,CLIC
1961-12-03,5,CLIC
1961-12-04,2,CLIC
1961-12-05,1.7,CLIC
1961-12-06,3.1,CLIC
1961-12-07,3.2,CLIC
1961-12-08,1.4,CLIC
1961-12-09,2.9,CLIC
1961-12-10,6.5,CLIC
1961-12-11,1.8,CLIC
1961-12-12,6.3,CLIC
1961-12-13,2.4,CLIC
1961-12-14,5.4,CLIC
1961-12-15,2.8,CLIC
1961-12-16,0.5,CLIC
1961-12-17,1,CLIC
1961-12-18,0.9,CLIC
1961-12-19,0.1,CLIC
1961-12-20,6.5,CLIC
1961-12-21,2.6,CLIC
1961-12-22,3.9,CLIC
1961-12-23,5.3,CLIC
1961-12-24,1.7,CLIC
1961-12-25,3.6,CLIC
1961-12-26,4.4,CLIC
1961-12-27,4.6,CLIC
1961-12-28,1.5,CLIC
1961-12-29,2.2,CLIC
1961-12-30,5.7,CLIC
1961-12-31,3,CLIC
1962-01-01,3.9,CLIC
1962-01-02,6,CLIC
1962-01-03,7.1,CLIC
1962-01-04,8.1,CLIC
1962-01-05,2,CLIC
1962-01-06,2,CLIC
1962-01-07,1.2,CLIC
1962-01-08,0.6,CLIC
1962-01-09,0.4,CLIC
1962-01-10,0.8,CLIC
1962-01-11,1,CLIC
