Estación: ,C19065,SANTIAGO. SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 56' 00

Fecha,Valor,NúmDatos
1923-03-01,2,CLIC
1923-03-02,0,CLIC
1923-03-03,0,CLIC
1923-03-04,0,CLIC
1923-03-05,0,CLIC
1923-03-06,0,CLIC
1923-03-07,0,CLIC
1923-03-08,0,CLIC
1923-03-09,0,CLIC
1923-03-10,0,CLIC
1923-03-11,0,CLIC
1923-03-12,0,CLIC
1923-03-13,0,CLIC
1923-03-14,0,CLIC
1923-03-15,0,CLIC
1923-03-16,0,CLIC
1923-03-17,0,CLIC
1923-03-18,0,CLIC
1923-03-19,0,CLIC
1923-03-20,0,CLIC
1923-03-21,0,CLIC
1923-03-22,0,CLIC
1923-03-23,0,CLIC
1923-03-24,0,CLIC
1923-03-25,0,CLIC
1923-03-26,5,CLIC
1923-03-27,0,CLIC
1923-03-28,27.2,CLIC
1923-03-29,3.2,CLIC
1923-03-30,4.5,CLIC
1923-03-31,6,CLIC
1923-04-01,0,CLIC
1923-04-02,0,CLIC
1923-04-03,0,CLIC
1923-04-04,0,CLIC
1923-04-05,0,CLIC
1923-04-06,0,CLIC
1923-04-07,0,CLIC
1923-04-08,0,CLIC
1923-04-09,0.5,CLIC
1923-04-10,6.2,CLIC
1923-04-11,0,CLIC
1923-04-12,0,CLIC
1923-04-13,0,CLIC
1923-04-14,1,CLIC
1923-04-15,8.5,CLIC
1923-04-16,3.7,CLIC
1923-04-17,3.7,CLIC
1923-04-18,10.2,CLIC
1923-04-19,2.5,CLIC
1923-04-20,0,CLIC
1923-04-21,0,CLIC
1923-04-22,0,CLIC
1923-04-23,0,CLIC
1923-04-24,0,CLIC
1923-04-25,0,CLIC
1923-04-26,0.7,CLIC
1923-04-27,0,CLIC
1923-04-28,0,CLIC
1923-04-29,0.2,CLIC
1923-05-01,0,CLIC
1923-05-02,0,CLIC
1923-05-03,0,CLIC
1923-05-04,0,CLIC
1923-05-05,0,CLIC
1923-05-06,0,CLIC
1923-05-07,1.5,CLIC
1923-05-08,17.7,CLIC
1923-05-09,0,CLIC
1923-05-10,0,CLIC
1923-05-11,0,CLIC
1923-05-12,0,CLIC
1923-05-13,0,CLIC
1923-05-14,0,CLIC
1923-05-15,0,CLIC
1923-05-16,0,CLIC
1923-05-17,1,CLIC
1923-05-18,0,CLIC
1923-05-19,0,CLIC
1923-05-20,0,CLIC
1923-05-21,0.7,CLIC
1923-05-22,0,CLIC
1923-05-23,30.7,CLIC
1923-05-24,0,CLIC
1923-05-25,0,CLIC
1923-05-26,0,CLIC
1923-05-27,0,CLIC
1923-05-28,0,CLIC
1923-05-29,1.2,CLIC
1923-05-30,1.5,CLIC
1923-05-31,0,CLIC
1923-06-01,0,CLIC
1923-06-02,0,CLIC
1923-06-03,0,CLIC
1923-06-04,0,CLIC
1923-06-05,0,CLIC
1923-06-06,0,CLIC
1923-06-07,0.5,CLIC
1923-06-08,0,CLIC
1923-06-09,0,CLIC
1923-06-10,0,CLIC
1923-06-11,0,CLIC
1923-06-12,26.7,CLIC
1923-06-13,0,CLIC
1923-06-14,0,CLIC
1923-06-15,19.2,CLIC
1923-06-16,0,CLIC
1923-06-17,0,CLIC
1923-06-18,5.7,CLIC
1923-06-19,0,CLIC
1923-06-20,0,CLIC
1923-06-21,0,CLIC
1923-06-22,0.7,CLIC
1923-06-23,0,CLIC
1923-06-24,0,CLIC
1923-06-25,0,CLIC
1923-06-26,0,CLIC
1923-06-27,0,CLIC
1923-06-28,5,CLIC
1923-06-29,12,CLIC
1923-06-30,0,CLIC
1923-07-01,0,CLIC
1923-07-02,6,CLIC
1923-07-03,6.5,CLIC
1923-07-04,0,CLIC
1923-07-05,0,CLIC
1923-07-06,0,CLIC
1923-07-07,0,CLIC
1923-07-08,2.2,CLIC
1923-07-09,0,CLIC
1923-07-10,0,CLIC
1923-07-11,0,CLIC
1923-07-12,0,CLIC
1923-07-13,0,CLIC
1923-07-14,0,CLIC
1923-07-15,0,CLIC
1923-07-16,0,CLIC
1923-07-17,0,CLIC
1923-07-18,0,CLIC
1923-07-19,0,CLIC
1923-07-20,0,CLIC
1923-07-21,0,CLIC
1923-07-22,0,CLIC
1923-07-23,0,CLIC
1923-07-24,0,CLIC
1923-07-25,0,CLIC
1923-07-26,0,CLIC
1923-07-27,0,CLIC
1923-07-28,0,CLIC
1923-07-29,0,CLIC
1923-07-30,0,CLIC
