Estación: ,C19065,SANTIAGO. SANTIAGO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 10' 00'',Latitud:,25° 56' 00

Fecha,Promedio,Máximo,Mínimo
1923-03-01,10.5,12,9
1923-03-02,12.25,14.5,10
1923-03-03,21,32,10
1923-03-04,23.25,32.5,14
1923-03-05,23.75,30.5,17
1923-03-06,24.25,32.5,16
1923-03-07,17.5,29,6
1923-03-08,15.25,21.5,9
1923-03-09,21.5,30,13
1923-03-10,23.5,33,14
1923-03-11,25.5,36,15
1923-03-12,22.5,33,12
1923-03-13,18,28,8
1923-03-14,20,32,8
1923-03-15,20,28,12
1923-03-16,13.25,19.5,7
1923-03-17,14,27,1
1923-03-18,17,28,6
1923-03-19,9,14,4
1923-03-20,8.25,12.5,4
1923-03-21,18.75,33.5,4
1923-03-22,19.75,31.5,8
1923-03-23,16,28,4
1923-03-24,17,28,6
1923-03-25,20.5,30,11
1923-03-26,16,27,5
1923-03-27,15.3,19.6,11
1923-03-28,16.25,21.5,11
1923-03-29,13.25,16.5,10
1923-03-30,17.5,24,11
1923-04-01,15.25,19.5,11
1923-04-02,21.75,31.5,12
1923-04-03,24.25,34.5,14
1923-04-04,24.25,35.5,13
1923-04-05,22,33,11
1923-04-06,23.25,31.5,15
1923-04-07,26.75,35.5,18
1923-04-08,26.25,36.5,16
1923-04-09,25.75,30.5,21
1923-04-10,23.5,27,20
1923-04-11,26,32,20
1923-04-12,25,33,17
1923-04-13,24.85,33.7,16
1923-04-14,18.85,24.5,13.2
1923-04-15,18.5,24,13
1923-04-16,15.75,18.5,13
1923-04-17,18.25,22.5,14
1923-04-18,19.25,22.5,16
1923-04-19,22.5,27,18
1923-04-20,25,33,17
1923-04-21,22,29,15
1923-04-22,24.25,31.5,17
1923-04-23,25.25,33.5,17
1923-04-24,25.5,32.5,18.5
1923-04-25,23.75,31.5,16
1923-04-26,24.5,30,19
1923-04-27,27.25,34.5,20
1923-04-28,27.25,36.5,18
1923-04-29,25.75,31,20.5
1923-05-01,28.25,36.5,20
1923-05-02,26.25,35.5,17
1923-05-03,25.5,34,17
1923-05-04,26.25,34.5,18
1923-05-05,27.25,35.5,19
1923-05-06,26,34,18
1923-05-07,24.5,32,17
1923-05-08,24,28,20
1923-05-09,22.75,31.5,14
1923-05-10,24,33,15
1923-05-11,24.75,34.5,15
1923-05-12,28.25,40.5,16
1923-05-13,27.75,35.5,20
1923-05-14,30.75,40.5,21
1923-05-15,27.75,38.5,17
1923-05-16,25.5,34,17
1923-05-17,27.25,34.5,20
1923-05-18,28,34,22
1923-05-19,26.75,34.5,19
1923-05-20,27.75,36.5,19
1923-05-21,29,36,22
1923-05-22,29.75,36.5,23
1923-05-23,27.5,33,22
1923-05-24,26.75,34.5,19
1923-05-25,27.25,35.5,19
1923-05-26,27.25,36.5,18
1923-05-27,28.25,37.5,19
1923-05-28,29.75,38.5,21
1923-05-29,29.75,37.5,22
1923-05-30,26.75,35.5,18
1923-06-01,28.75,35.5,22
1923-06-02,29.75,38.5,21
1923-06-03,30.25,39.5,21
1923-06-04,29.5,35.5,23.5
1923-06-05,27.25,35.5,19
1923-06-06,28.25,36.5,20
1923-06-07,28.75,35.5,22
1923-06-08,30.5,37.5,23.5
1923-06-09,29.25,37.5,21
1923-06-10,29,36.5,21.5
1923-06-11,26.5,33,20
1923-06-12,28.5,33.5,23.5
1923-06-13,27.75,36.5,19
1923-06-14,27.25,33.5,21
1923-06-15,29.5,35.5,23.5
1923-06-16,29,34.5,23.5
1923-06-17,28.5,35,22
1923-06-18,27.25,32.5,22
1923-06-19,28.25,35.5,21
1923-06-20,28.25,36.5,20
1923-06-21,29.25,37.5,21
1923-06-22,27.75,35.5,20
1923-06-23,29.25,36.5,22
1923-06-24,29.75,38.5,21
1923-06-25,29.75,38.5,21
1923-06-26,29.5,37,22
1923-06-27,30,39,21
1923-06-28,30.75,39.5,22
1923-06-29,30.5,39.5,21.5
1923-07-01,28,37.5,18.5
1923-07-02,26.75,33.5,20
1923-07-03,25.5,34,17
1923-07-04,26.75,35.5,18
1923-07-05,27.25,35.5,19
1923-07-06,28,36,20
1923-07-07,27,34,20
1923-07-08,28,35,21
1923-07-09,29.5,37.5,21.5
1923-07-10,23.25,28.5,18
1923-07-11,24,28,20
1923-07-12,28.75,37.5,20
1923-07-13,28.75,39.5,18
1923-07-14,28,40,16
1923-07-15,28,40,16
1923-07-16,28.75,38.5,19
1923-07-17,28.75,38.5,19
1923-07-18,30,40.5,19.5
1923-07-19,29.25,38.5,20
1923-07-20,28.5,38.5,18.5
1923-07-21,27.25,35.5,19
1923-07-22,28.25,34.5,22
1923-07-23,27,36.5,17.5
1923-07-24,28.25,37.5,19
1923-07-25,29,38.5,19.5
1923-07-26,29.75,39.5,20
1923-07-27,29.75,39.5,20
1923-07-28,30.25,40.5,20
1923-07-29,29.25,41.5,17
1923-07-30,30.75,40.5,21
1923-08-01,30.25,40.5,20
1923-08-02,30.75,41.5,20
1923-08-03,30.75,41.5,20
1923-08-04,31.75,40,23.5
1923-08-05,29.5,39.5,19.5
1923-08-06,27.75,36.5,19
1923-08-07,28.5,36,21
1923-08-08,27.75,36.5,19
1923-08-09,30,39,21
1923-08-10,29.75,38.5,21
1923-08-11,28.25,37.5,19
1923-08-12,29.25,38.5,20
1923-08-13,29.25,38.5,20
1923-08-14,29,39,19
1923-08-15,28.75,39.5,18
1923-08-16,29.25,38.5,20
1923-08-17,30.25,40.5,20
1923-08-18,29.75,39.5,20
1923-08-19,30.25,40.5,20
1923-08-20,30.25,39.5,21
1923-08-21,30.25,40.5,20
1923-08-22,29.75,39.5,20
1923-08-23,29.75,39.5,20
1923-08-24,29.25,38.5,20
1923-08-25,29.75,38.5,21
1923-08-26,30.25,40.5,20
1923-08-27,30.25,38.5,22
1923-08-28,28.5,34.5,22.5
1923-08-29,29,36.5,21.5
1923-08-30,28.75,37.5,20
1923-09-01,30.25,40.5,20
1923-09-02,29.75,40.5,19
1923-09-03,29.75,39.5,20
1923-09-04,29.75,37.5,22
1923-09-05,28.75,37.5,20
1923-09-06,28,36,20
1923-09-07,28.5,36,21
1923-09-08,28,36,20
1923-09-09,23.6,27.2,20
1923-09-10,25.6,31.2,20
1923-09-11,28.25,35.5,21
1923-09-12,26.5,33,20
1923-09-13,26.25,32.5,20
1923-09-14,25.5,30,21
1923-09-15,26.25,31.5,21
1923-09-16,25.25,30.5,20
1923-09-17,27.5,33,22
1923-09-18,27.75,33.5,22
1923-09-19,27.75,35.5,20
1923-09-20,26.75,33.5,20
1923-09-21,23.5,27,20
1923-09-22,23.5,28,19
1923-09-23,26.25,31.5,21
1923-09-24,26,33,19
1923-09-25,26.75,34.5,19
1923-09-26,26.75,34.5,19
1923-09-27,26.75,34.5,19
1923-09-28,26.75,35.5,18
1923-09-29,26.25,32.5,20
1923-10-01,26.25,32.5,20
1923-10-02,26.25,32.5,20
1923-10-03,24.5,29,20
1923-10-04,23.5,27,20
1923-10-05,24,29,19
1923-10-06,22,26,18
1923-10-07,23,30,16
1923-10-08,24,29,19
1923-10-09,24.5,30,19
1923-10-10,26.25,31.5,21
1923-10-11,25.75,31.5,20
1923-10-12,24.5,30,19
1923-10-13,24.75,30.5,19
1923-10-14,23.5,29,18
1923-10-15,22.5,28,17
1923-10-16,22,27,17
1923-10-17,23.5,33,14
1923-10-18,19,28,10
1923-10-19,16.5,27,6
1923-10-20,16.5,26,7
1923-10-21,16.5,24,9
1923-10-22,15.25,21.5,9
1923-10-23,16.5,24,9
1923-10-24,20,27,13
1923-10-25,21.5,26,17
1923-10-26,21.5,27,16
1923-10-27,19.5,24,15
1923-10-28,21,28,14
1923-10-29,21.5,26,17
1923-10-30,21.5,30,13
1923-11-01,13.25,15.5,11
1923-11-02,15.75,20.5,11
1923-11-03,17.5,21,14
1923-11-04,13,15,11
1923-11-05,12,14,10
1923-11-06,13,18,8
1923-11-07,14.25,19.5,9
1923-11-08,14.75,20.5,9
1923-11-09,14.75,17.5,12
1923-11-10,16.75,19.5,14
1923-11-11,18.25,20.5,16
1923-11-12,19.25,22.5,16
1923-11-13,19.75,22.5,17
1923-11-14,18.75,20.5,17
1923-11-15,17.25,20.5,14
1923-11-16,14.25,16.5,12
1923-11-17,12.75,14.5,11
1923-11-18,12.25,16.5,8
1923-11-19,10.5,15,6
1923-11-20,11.5,17,6
1923-11-21,13,18,8
1923-11-22,16,22,10
1923-11-23,17.5,24,11
1923-11-24,16,21,11
1923-11-25,17,23,11
1923-11-26,14.5,16,13
1923-11-27,14,18,10
1923-11-28,11.5,14,9
1923-11-29,10.5,15,6
1923-12-01,17,24,10
1923-12-02,23,30,16
1923-12-03,16.75,19.5,14
1923-12-04,20.25,27,13.5
1923-12-05,20.5,27,14
1923-12-06,18.5,27,10
1923-12-07,16.75,27.5,6
1923-12-08,21.25,32.5,10
1923-12-09,20,29,11
1923-12-10,19.5,26,13
1923-12-11,17.5,26,9
1923-12-12,10.75,13.5,8
1923-12-13,11.75,16.5,7
1923-12-14,8,15,1
1923-12-15,6,13,-1
1923-12-16,7.25,11.5,3
1923-12-17,8.5,13,4
1923-12-18,10,16,4
1923-12-19,12,19,5
1923-12-20,16.5,25,8
1923-12-21,15.75,22.5,9
1923-12-22,14.25,17.5,11
1923-12-23,9.5,10,9
1923-12-24,9.75,12.5,7
1923-12-25,13.75,20.5,7
1923-12-26,17,27,7
