Estación: ,C19068,DOCTOR ARROYO  (SMN)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 10' 36'',Latitud:,23° 40' 35

Fecha,Promedio,Máximo,Mínimo
1956-01-01,17,26,8
1956-01-02,19,33,5
1956-01-03,15.5,25,6
1956-01-04,12,24,0
1956-01-05,14.5,27,2
1956-01-06,15,28,2
1956-01-07,12.5,25,0
1956-01-08,13,26,0
1956-01-09,13,26,0
1956-01-10,12,22,2
1956-01-11,12.5,22,3
1956-01-12,12,24,0
1956-01-13,11.5,23,0
1956-01-14,13,26,0
1956-01-15,20,35,5
1956-01-16,16,27,5
1956-01-17,19,28,10
1956-01-18,18,31,5
1956-01-19,18,29,7
1956-01-20,15,27,3
1956-01-21,22.5,35,10
1956-01-22,15.5,26,5
1956-01-23,14.5,25,4
1956-01-24,15.5,26,5
1956-01-25,17.5,27,8
1956-01-26,18,26,10
1956-01-27,15.5,26,5
1956-01-28,18,28,8
1956-01-29,15.5,26,5
1956-01-30,20,35,5
1956-01-31,16.5,28,5
1956-02-01,21,32,10
1956-02-02,19,30,8
1956-02-03,19.5,30,9
1956-02-04,17,28,6
1956-02-05,14.5,21,8
1956-02-06,12.5,28,-3
1956-02-07,18.1,28,8.2
1956-02-08,19.5,30,9
1956-02-09,20.5,30,11
1956-02-10,17.5,30,5
1956-02-11,12,29,-5
1956-02-12,16,32,0
1956-02-13,17,29,5
1956-02-14,19,33,5
1956-02-15,19.5,34,5
1956-02-16,21.5,36,7
1956-02-17,20.5,32,9
1956-02-18,19,31,7
1956-02-19,19,32,6
1956-02-20,19.5,32,7
1956-02-21,21.5,30,13
1956-02-22,22,31,13
1956-02-23,23,34,12
1956-02-24,24.5,39,10
1956-02-25,24.5,39,10
1956-02-26,23.5,37,10
1956-02-27,21,33,9
1956-02-28,15,21,9
1956-02-29,19.5,30,9
1956-03-01,21,34,8
1956-03-02,22,35,9
1956-03-03,21,32,10
1956-03-04,24,36,12
1956-03-05,24,36,12
1956-03-06,21.5,34,9
1956-03-07,23,36,10
1956-03-08,15,25,5
1956-03-09,18.5,35,2
1956-03-10,21,37,5
1956-03-11,25,42,8
1956-03-12,20,30,10
1956-03-13,25,35,15
1956-03-14,23,38,8
1956-03-15,24,35,13
1956-03-16,23.5,36,11
1956-03-17,22,32,12
1956-03-18,23,34,12
1956-03-19,22,35,9
1956-03-20,22,36,8
1956-03-21,22,32,12
1956-03-22,17.5,28,7
1956-03-23,22,36,8
1956-03-24,20,32,8
1956-03-25,21.5,30,13
1956-03-26,19.5,32,7
1956-03-27,23.5,35,12
1956-03-28,23,36,10
1956-03-29,19.5,34,5
1956-03-30,23,36,10
1956-03-31,18.5,28,9
1956-04-01,27.5,40,15
1956-04-02,22.5,36,9
1956-04-03,20,32,8
1956-04-04,24,36,12
1956-04-05,21.5,31,12
1956-04-06,22,38,6
1956-04-07,25.5,36,15
1956-04-08,25.5,40,11
1956-04-09,25,35,15
1956-04-10,21,32,10
1956-04-11,22.5,36,9
1956-04-12,25.5,37,14
1956-04-13,23.5,33,14
1956-04-14,25.5,39,12
1956-04-15,29.5,40,19
1956-04-16,22,35,9
1956-04-17,21.5,36,7
1956-04-18,22.5,35,10
1956-04-19,22.5,30,15
1956-04-20,22,29,15
1956-04-21,18.5,25,12
1956-04-22,21,30,12
1956-04-23,19.5,25,14
1956-04-24,21.5,32,11
1956-04-25,24.5,35,14
1956-04-26,25,35,15
1956-04-27,20,33,7
1956-04-28,22,32,12
1956-04-29,23.5,38,9
1956-04-30,26,38,14
1956-05-01,27.5,40,15
1956-05-02,23.5,33,14
1956-05-03,21.5,33,10
1956-05-04,22.5,33,12
1956-05-05,25,38,12
1956-05-06,28,41,15
1956-05-07,24.5,38,11
1956-05-08,25,35,15
1956-05-09,22,30,14
1956-05-10,24.5,34,15
1956-05-11,24.5,33,16
1956-05-12,25,33,17
1956-05-13,28.5,40,17
1956-05-14,24.5,35,14
1956-05-15,22,26,18
1956-05-16,24,32,16
1956-05-17,22.5,32,13
1956-05-18,24.5,35,14
1956-05-19,20,32,8
1956-05-20,24.5,35,14
1956-05-21,20.5,33,8
1956-05-22,22,33,11
1956-05-23,24,32,16
1956-05-24,24,34,14
1956-05-25,24,32,16
1956-05-26,24,32,16
1956-05-27,24,37,11
1956-05-28,21.5,27,16
1956-05-29,22.5,30,15
1956-05-30,22.5,30,15
1956-05-31,20,27,13
1956-06-01,21.5,28,15
1956-06-02,23.5,34,13
1956-06-03,25,39,11
1956-06-04,25,36,14
1956-06-05,25.5,35,16
1956-06-06,24,33,15
1956-06-07,25.5,36,15
1956-06-08,24,32,16
1956-06-09,25,35,15
1956-06-10,27,39,15
1956-06-11,24,35,13
1956-06-12,25.5,38,13
1956-06-13,26.5,38,15
1956-06-14,28,36,20
1956-06-15,24.5,35,14
1956-06-16,27.5,39,16
1956-06-17,27,39,15
1956-06-18,27,39,15
1956-06-19,23,31,15
1956-06-20,26.5,33,20
1956-06-21,22,29,15
1956-06-22,24.5,35,14
1956-06-23,23,28,18
1956-06-24,19,24,14
1956-06-25,21,26,16
1956-06-26,20.5,24,17
1956-06-27,19.5,24,15
1956-06-28,22,29,15
1956-06-29,18.5,23,14
1956-06-30,22,30,14
1956-07-01,20,23,17
1956-07-02,24.5,32,17
1956-07-03,26.5,38,15
1956-07-04,24.5,31,18
1956-07-05,24,36,12
1956-07-06,24,34,14
1956-07-07,25,36,14
1956-07-08,21.5,27,16
1956-07-09,24,32,16
1956-07-10,23.5,32,15
1956-07-11,22.5,29,16
1956-07-12,24,33,15
1956-07-13,23,31,15
1956-07-14,22,29,15
1956-07-15,21.5,29,14
1956-07-16,21.5,33,10
1956-07-17,21.5,33,10
1956-07-18,22,34,10
1956-07-19,22,29,15
1956-07-20,23.5,32,15
1956-07-21,21,30,12
1956-07-22,23,33,13
1956-07-23,21.5,28,15
1956-07-24,20,28,12
1956-07-25,23.5,32,15
1956-07-26,22,29,15
1956-07-27,23.5,31,16
1956-07-28,23.5,32,15
1956-07-29,22.5,33,12
1956-07-30,22.5,33,12
1956-07-31,18,26,10
1956-08-01,24.5,34,15
1956-08-02,23,33,13
1956-08-03,22.5,33,12
1956-08-04,22.5,33,12
1956-08-05,24,34,14
1956-08-06,23.5,32,15
1956-08-07,25,34,16
1956-08-08,25,34,16
1956-08-09,23.5,33,14
1956-08-10,22,33,11
1956-08-11,26,36,16
1956-08-12,26,36,16
1956-08-13,22.5,30,15
1956-08-14,23.5,32,15
1956-08-15,19,27,11
1956-08-16,26.5,38,15
1956-08-17,23,29,17
1956-08-18,22,32,12
1956-08-19,22.5,29,16
1956-08-20,22,28,16
1956-08-21,20,26,14
1956-08-22,23,30,16
1956-08-23,25.5,34,17
1956-08-24,24.5,32,17
1956-08-25,22,28,16
1956-08-26,22.5,29,16
1956-08-27,25,33,17
1956-08-28,25,32,18
1956-08-29,24.5,33,16
1956-08-30,30,41,19
1956-08-31,23.5,30,17
1956-09-01,23,31,15
1956-09-02,25,36,14
1956-09-03,21,27,15
1956-09-04,23.5,32,15
1956-09-05,22,30,14
1956-09-06,21,25,17
1956-09-07,22.5,30,15
1956-09-08,22.5,33,12
1956-09-09,20,29,11
1956-09-10,20.5,28,13
1956-09-11,24,32,16
1956-09-12,21,30,12
1956-09-13,26.5,36,17
1956-09-14,23,31,15
1956-09-15,23,32,14
1956-09-16,20,28,12
1956-09-17,20,28,12
1956-09-18,22.5,31,14
1956-09-19,21,27,15
1956-09-20,18,25,11
1956-09-21,20,25,15
1956-09-22,25,32,18
1956-09-23,22,26,18
1956-09-24,22.5,29,16
1956-09-25,22.5,29,16
1956-09-26,17.9,22.8,13
1956-09-27,23,31,15
1956-09-28,23,32,14
1956-09-29,24,30,18
1956-09-30,22.5,28,17
1956-10-01,24,35,13
1956-10-02,24,34,14
1956-10-03,27.5,43,12
1956-10-04,26,40,12
1956-10-05,26.5,40,13
1956-10-06,24,38,10
1956-10-07,27,44,10
1956-10-08,18,30,6
1956-10-09,17,28,6
1956-10-10,19,30,8
1956-10-11,22,35,9
1956-10-12,22.5,30,15
1956-10-13,26,38,14
1956-10-14,26.5,33,20
1956-10-15,27.5,40,15
1956-10-16,26.5,39,14
1956-10-17,25.5,36,15
1956-10-18,23,33,13
1956-10-19,22,30,14
1956-10-20,26,39,13
1956-10-21,20.5,29,12
1956-10-22,23.5,39,8
1956-10-23,21,33,9
1956-10-24,21.5,33,10
1956-10-25,24,38,10
1956-10-26,20.5,26,15
1956-10-27,22,31,13
1956-10-28,27.5,42,13
1956-10-29,19.5,25,14
1956-10-30,25,35,15
1956-10-31,25.5,40,11
1956-11-01,18,34,2
1956-11-02,27,39,15
1956-11-03,26.5,38,15
1956-11-04,23.5,30,17
1956-11-05,24,35,13
1956-11-06,24.5,35,14
1956-11-07,20.5,26,15
1956-11-08,24,33,15
1956-11-09,20.5,25,16
1956-11-10,23.5,31,16
1956-11-11,23.5,30,17
1956-11-12,19,25,13
1956-11-13,18,26,10
1956-11-14,18.5,24,13
1956-11-15,24,34,14
1956-11-16,24,34,14
1956-11-17,22.5,30,15
1956-11-18,24,39,9
1956-11-19,21.5,34,9
1956-11-20,28,42,14
1956-11-21,18,30,6
1956-11-22,11.5,17,6
1956-11-23,15.5,28,3
1956-11-24,17,30,4
1956-11-25,18.5,29,8
1956-11-26,19,30,8
1956-11-27,12.5,17,8
1956-11-28,15,24,6
1956-11-29,17,26,8
