Estación: ,C19070,LAMPAZOS (DGE)
Variable: ,Precipitación (mm)
Longitud: ,100° 31' 00'',Latitud:,27° 02' 00

Fecha,Valor,NúmDatos
1972-01-01,0,CLIC
1972-01-02,0,CLIC
1972-01-03,4.5,CLIC
1972-01-04,0,CLIC
1972-01-05,0,CLIC
1972-01-06,0,CLIC
1972-01-07,0,CLIC
1972-01-08,0,CLIC
1972-01-09,0,CLIC
1972-01-10,0,CLIC
1972-01-11,0,CLIC
1972-01-12,0,CLIC
1972-01-13,0,CLIC
1972-01-14,0,CLIC
1972-01-15,0,CLIC
1972-01-16,0,CLIC
1972-01-17,0,CLIC
1972-01-18,0,CLIC
1972-01-19,0,CLIC
1972-01-20,0,CLIC
1972-01-21,0,CLIC
1972-01-22,0,CLIC
1972-01-23,0,CLIC
1972-01-24,0,CLIC
1972-01-25,0,CLIC
1972-01-26,0,CLIC
1972-01-27,0,CLIC
1972-01-28,0,CLIC
1972-01-29,0,CLIC
1972-01-30,0,CLIC
1972-01-31,0,CLIC
1972-02-01,0,CLIC
1972-02-02,0,CLIC
1972-02-03,0,CLIC
1972-02-04,0,CLIC
1972-02-05,0,CLIC
1972-02-06,0,CLIC
1972-02-07,10,CLIC
1972-02-08,0,CLIC
1972-02-09,0,CLIC
1972-02-10,0,CLIC
1972-02-11,0,CLIC
1972-02-12,0,CLIC
1972-02-13,0,CLIC
1972-02-14,0,CLIC
1972-02-15,0,CLIC
1972-02-16,0,CLIC
1972-02-17,0,CLIC
1972-02-18,0,CLIC
1972-02-19,0,CLIC
1972-02-20,0,CLIC
1972-02-21,0,CLIC
1972-02-22,0,CLIC
1972-02-23,0,CLIC
1972-02-24,0,CLIC
1972-02-25,0,CLIC
1972-02-26,0,CLIC
1972-02-27,0,CLIC
1972-02-28,4.5,CLIC
1972-02-29,0,CLIC
1972-04-01,0,CLIC
1972-04-02,0,CLIC
1972-04-03,0,CLIC
1972-04-04,0,CLIC
1972-04-05,0,CLIC
1972-04-06,0,CLIC
1972-04-07,0,CLIC
1972-04-08,0,CLIC
1972-04-09,0,CLIC
1972-04-10,0,CLIC
1972-04-11,0,CLIC
1972-04-12,0,CLIC
1972-04-13,0,CLIC
1972-04-14,0,CLIC
1972-04-15,0,CLIC
1972-04-16,0,CLIC
1972-04-17,0,CLIC
1972-04-18,0,CLIC
1972-04-19,0,CLIC
1972-04-20,0,CLIC
1972-04-21,0,CLIC
1972-04-22,0,CLIC
1972-04-23,0,CLIC
1972-04-24,0,CLIC
1972-04-25,0,CLIC
1972-04-26,0,CLIC
1972-04-27,0,CLIC
1972-04-28,0,CLIC
1972-04-29,0,CLIC
1972-04-30,0,CLIC
1972-05-01,0,CLIC
1972-05-02,4,CLIC
1972-05-03,0,CLIC
1972-05-04,0,CLIC
1972-05-05,0,CLIC
1972-05-06,0,CLIC
1972-05-07,0,CLIC
1972-05-08,0,CLIC
1972-05-09,1,CLIC
1972-05-10,0,CLIC
1972-05-11,0,CLIC
1972-05-12,0,CLIC
1972-05-13,5,CLIC
1972-05-14,26,CLIC
1972-05-15,3,CLIC
1972-05-16,0,CLIC
1972-05-17,112,CLIC
1972-05-18,0,CLIC
1972-05-19,0,CLIC
1972-05-20,0,CLIC
1972-05-21,0,CLIC
1972-05-22,0,CLIC
1972-05-23,0,CLIC
1972-05-24,0,CLIC
1972-05-25,0,CLIC
1972-05-26,0,CLIC
1972-05-27,0,CLIC
1972-05-28,0,CLIC
1972-05-29,0,CLIC
1972-05-30,6,CLIC
1972-05-31,0,CLIC
1972-06-01,0,CLIC
1972-06-02,0,CLIC
1972-06-03,0,CLIC
1972-06-04,28,CLIC
1972-06-05,31,CLIC
1972-06-06,0,CLIC
1972-06-07,23,CLIC
1972-06-08,11,CLIC
1972-06-09,1,CLIC
1972-06-10,0,CLIC
1972-06-11,3,CLIC
1972-06-12,1,CLIC
1972-06-13,2,CLIC
1972-06-14,0,CLIC
1972-06-15,0,CLIC
1972-06-16,1,CLIC
1972-06-17,0,CLIC
1972-06-18,0,CLIC
1972-06-19,0,CLIC
1972-06-20,0,CLIC
1972-06-21,0,CLIC
1972-06-22,0,CLIC
1972-06-23,0,CLIC
1972-06-24,0,CLIC
1972-06-25,0,CLIC
1972-06-26,0,CLIC
1972-06-27,0,CLIC
1972-06-28,0,CLIC
1972-06-29,0,CLIC
1972-06-30,0,CLIC
1972-07-01,0,CLIC
1972-07-02,0,CLIC
1972-07-03,0,CLIC
1972-07-04,0,CLIC
1972-07-05,6,CLIC
1972-07-06,1,CLIC
1972-07-07,0,CLIC
1972-07-08,0,CLIC
1972-07-09,0,CLIC
1972-07-10,0,CLIC
1972-07-11,0,CLIC
1972-07-12,0,CLIC
1972-07-13,0,CLIC
1972-07-14,0,CLIC
1972-07-15,0,CLIC
