Estación: ,C19073,GALEANA. GALEANA (SMN) usar 19085
Variable: ,Precipitación (mm)
Longitud: ,100° 04' 59'',Latitud:,24° 49' 13

Fecha,Valor,NúmDatos
1923-08-13,0,CLIC
1923-08-14,0,CLIC
1923-08-15,0,CLIC
1923-08-16,0,CLIC
1923-08-17,0,CLIC
1923-08-18,0,CLIC
1923-08-19,0,CLIC
1923-08-20,0,CLIC
1923-08-21,0,CLIC
1923-08-22,0,CLIC
1923-08-23,1.2,CLIC
1923-08-24,0,CLIC
1923-08-25,0,CLIC
1923-08-26,0,CLIC
1923-08-27,2.5,CLIC
1923-08-28,0,CLIC
1923-08-29,0,CLIC
1923-08-30,0,CLIC
1923-08-31,0,CLIC
1923-09-01,0,CLIC
1923-09-02,0,CLIC
1923-09-03,0,CLIC
1923-09-04,13.5,CLIC
1923-09-05,6,CLIC
1923-09-06,0.7,CLIC
1923-09-07,29.5,CLIC
1923-09-08,2.7,CLIC
1923-09-09,3.2,CLIC
1923-09-10,0,CLIC
1923-09-11,0,CLIC
1923-09-12,24.7,CLIC
1923-09-13,21.2,CLIC
1923-09-14,7,CLIC
1923-09-15,3.2,CLIC
1923-09-16,23.5,CLIC
1923-09-17,24.5,CLIC
1923-09-18,0,CLIC
1923-09-19,0,CLIC
1923-09-20,1.5,CLIC
1923-09-21,0,CLIC
1923-09-22,0,CLIC
1923-09-23,0,CLIC
1923-09-24,0,CLIC
1923-09-25,0,CLIC
1923-09-26,0,CLIC
1923-09-27,0,CLIC
1923-09-28,0,CLIC
1923-09-29,4,CLIC
1923-09-30,0,CLIC
1923-10-01,0,CLIC
1923-10-02,0.5,CLIC
1923-10-03,0,CLIC
1923-10-04,1.5,CLIC
1923-10-05,1.2,CLIC
1923-10-06,9.2,CLIC
1923-10-07,0,CLIC
1923-10-08,0,CLIC
1923-10-09,0,CLIC
1923-10-10,6.7,CLIC
1923-10-11,1.7,CLIC
1923-10-12,10,CLIC
1923-10-13,1.2,CLIC
1923-10-14,0,CLIC
1923-10-15,2.2,CLIC
1923-10-16,0.7,CLIC
1923-10-17,0,CLIC
1923-10-18,0,CLIC
1923-10-19,0,CLIC
1923-10-20,0,CLIC
1923-10-21,0,CLIC
1923-10-22,0,CLIC
1923-10-23,0,CLIC
1923-10-24,0,CLIC
1923-10-25,0,CLIC
1923-10-26,0,CLIC
1923-10-27,0,CLIC
1923-10-28,0,CLIC
1923-10-29,0,CLIC
1923-10-30,0,CLIC
1923-10-31,0,CLIC
1923-11-01,0,CLIC
1923-11-02,0,CLIC
1923-11-03,0,CLIC
1923-11-04,2,CLIC
1923-11-05,10.5,CLIC
1923-11-06,2.5,CLIC
1923-11-07,0.7,CLIC
1923-11-08,0,CLIC
1923-11-09,0,CLIC
1923-11-10,1.5,CLIC
1923-11-11,0,CLIC
1923-11-12,0,CLIC
1923-11-13,0,CLIC
1923-11-14,18,CLIC
1923-11-15,8,CLIC
1923-11-16,15.7,CLIC
1923-11-17,9.7,CLIC
1923-11-18,2,CLIC
1923-11-19,0,CLIC
1923-11-20,0,CLIC
1923-11-21,0,CLIC
1923-11-22,0,CLIC
1923-11-23,0,CLIC
1923-11-24,0,CLIC
1923-11-25,0,CLIC
1923-11-26,0,CLIC
1923-11-27,0,CLIC
1923-11-28,0.5,CLIC
1923-11-29,0,CLIC
1923-11-30,0,CLIC
1923-12-01,0,CLIC
1923-12-02,0,CLIC
1923-12-03,0,CLIC
1923-12-04,0,CLIC
1923-12-05,0,CLIC
1923-12-06,0,CLIC
1923-12-07,0,CLIC
1923-12-08,0,CLIC
1923-12-09,0,CLIC
1923-12-10,0,CLIC
1923-12-11,0,CLIC
1923-12-12,18.7,CLIC
1923-12-13,0,CLIC
1923-12-14,0,CLIC
1923-12-15,0,CLIC
1923-12-16,1,CLIC
1923-12-17,15.7,CLIC
1923-12-18,1,CLIC
1923-12-19,0,CLIC
1923-12-20,3.2,CLIC
1923-12-21,2.2,CLIC
1923-12-22,11.5,CLIC
1923-12-23,0,CLIC
