Estación: ,C19073,GALEANA. GALEANA (SMN) usar 19085
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 04' 59'',Latitud:,24° 49' 13

Fecha,Promedio,Máximo,Mínimo
1923-08-14,25.85,33.2,18.5
1923-08-15,28.15,34.1,22.2
1923-08-16,27.7,35.2,20.2
1923-08-17,27.2,35.3,19.1
1923-08-18,27.2,34.2,20.2
1923-08-19,27.15,34.1,20.2
1923-08-20,29.2,34.1,24.3
1923-08-21,28.3,35.3,21.3
1923-08-22,27.15,34.2,20.1
1923-08-23,26.6,33.1,20.1
1923-08-24,26.6,33.1,20.1
1923-08-25,26.75,33.2,20.3
1923-08-26,27.8,35.3,20.3
1923-08-27,28.25,34.3,22.2
1923-08-28,27.2,33.3,21.1
1923-08-29,27.6,33.1,22.1
1923-08-30,26.75,34.3,19.2
1923-08-31,24.3,30.4,18.2
1923-09-01,26.65,35.2,18.1
1923-09-02,27.7,37.1,18.3
1923-09-03,26.3,33.3,19.3
1923-09-04,25.65,30.2,21.1
1923-09-05,26.2,31.1,21.3
1923-09-06,26.45,31.6,21.3
1923-09-07,26.25,31.2,21.3
1923-09-08,23.35,26.4,20.3
1923-09-09,25.25,29.2,21.3
1923-09-10,26.05,31.8,20.3
1923-09-11,27.55,31.3,23.8
1923-09-12,25.85,31.4,20.3
1923-09-13,25.75,30.2,21.3
1923-09-14,25.45,29.8,21.1
1923-09-15,25,30.6,19.4
1923-09-16,25.95,30.6,21.3
1923-09-17,26.85,31.4,22.3
1923-09-18,26.7,32.2,21.2
1923-09-19,26.3,33.3,19.3
1923-09-20,26.9,32.6,21.2
1923-09-21,25.25,29.2,21.3
1923-09-22,25.35,29.6,21.1
1923-09-23,25.8,31.3,20.3
1923-09-24,26.15,33.2,19.1
1923-09-25,26.2,33.1,19.3
1923-09-26,26.15,33,19.3
1923-09-27,25.45,32.6,18.3
1923-09-28,25.45,32.6,18.3
1923-09-29,25.45,31.6,19.3
1923-09-30,26.05,30.8,21.3
1923-10-01,26.45,30.8,22.1
1923-10-02,25.25,29.4,21.1
1923-10-03,25,28.8,21.2
1923-10-04,23.7,26.2,21.2
1923-10-05,21.65,23.2,20.1
1923-10-06,20.95,23.6,18.3
1923-10-07,24.8,29.4,20.2
1923-10-08,24.85,29.4,20.3
1923-10-09,23.95,28.6,19.3
1923-10-10,23.55,27.8,19.3
1923-10-11,24.05,27.8,20.3
1923-10-12,23.85,27.4,20.3
1923-10-13,23.45,27.6,19.3
1923-10-14,24.05,27.8,20.3
1923-10-15,25.45,30.6,20.3
1923-10-16,27.2,33.3,21.1
1923-10-17,24.8,32.6,17
1923-10-18,21.3,30.4,12.2
1923-10-19,22,25.4,18.6
1923-10-20,18.1,25.8,10.4
1923-10-21,18.4,24.4,12.4
1923-10-22,17.5,24.2,10.8
1923-10-23,20,27.6,12.4
1923-10-24,18.6,25.4,11.8
1923-10-25,20.3,27.8,12.8
1923-10-26,19.4,25.4,13.4
1923-10-27,20.2,25.6,14.8
1923-10-28,20.8,25.4,16.2
1923-10-29,19.4,27.4,11.4
1923-10-30,21.2,28.8,13.6
1923-10-31,23.95,28.6,19.3
1923-11-01,24.7,30.6,18.8
1923-11-02,25.55,31.8,19.3
1923-11-03,22.6,29.6,15.6
1923-11-04,21.6,28.6,14.6
1923-11-05,21,26.2,15.8
1923-11-06,12.3,14.2,10.4
1923-11-07,15.9,21.8,10
1923-11-08,16.7,20.2,13.2
1923-11-09,18.4,22.4,14.4
1923-11-10,17.5,19.2,15.8
1923-11-11,19.5,24.4,14.6
1923-11-12,20.6,25.8,15.4
1923-11-13,19.8,26.2,13.4
1923-11-14,21.45,24.8,18.1
1923-11-15,15.4,16.4,14.4
1923-11-16,14,16.4,11.6
1923-11-17,13.2,15.2,11.2
1923-11-18,16.3,20.2,12.4
1923-11-19,16.3,20.8,11.8
1923-11-20,16.5,20.6,12.4
1923-11-21,19.9,28.4,11.4
1923-11-22,21.6,29.8,13.4
1923-11-23,20.9,27.4,14.4
1923-11-24,21.1,27.8,14.4
1923-11-25,20.6,26.4,14.8
1923-11-26,21.9,29.4,14.4
1923-11-27,21.9,28.4,15.4
1923-11-28,22.05,24.8,19.3
1923-11-29,18.4,26.4,10.4
1923-11-30,18.8,25.8,11.8
1923-12-01,20.1,26.8,13.4
1923-12-02,21.1,27.8,14.4
1923-12-03,22.5,30.6,14.4
1923-12-04,22.6,30.8,14.4
1923-12-05,17.7,24.8,10.6
1923-12-06,20.4,28.4,12.4
1923-12-07,20.5,27.4,13.6
1923-12-08,19.1,25.8,12.4
1923-12-09,19.5,27.6,11.4
1923-12-10,21.9,30.4,13.4
1923-12-11,21.6,26.4,16.8
1923-12-12,21,27.4,14.6
1923-12-13,20.1,27.6,12.6
1923-12-14,19,27.6,10.4
1923-12-15,15,21.4,8.6
1923-12-16,13.15,17.8,8.5
1923-12-17,14.6,20.8,8.4
1923-12-18,16.4,22.4,10.4
1923-12-19,18.8,25.8,11.8
1923-12-20,19.5,26.4,12.6
1923-12-21,18.6,23.8,13.4
1923-12-22,19.7,22.6,16.8
1923-12-23,18.7,23.8,13.6
1923-12-24,18.1,23.4,12.8
1923-12-25,20.5,30.6,10.4
1923-12-26,22.3,31.8,12.8
1923-12-27,22.9,32.4,13.4
1923-12-28,22.8,31.8,13.8
1923-12-29,23,32.4,13.6
1923-12-30,23.1,29.8,16.4
1923-12-31,21.1,27.8,14.4
1924-01-01,20.2,28.8,11.6
1924-01-02,20.1,27.4,12.8
1924-01-03,21.5,29.4,13.6
1924-01-04,16.4,21.4,11.4
1924-01-05,14.75,24.2,5.3
1924-01-06,8.1,11.8,4.4
1924-01-07,7.85,13.4,2.3
1924-01-08,10.2,12.8,7.6
1924-01-09,14.1,17.8,10.4
1924-01-10,14.5,18.6,10.4
1924-01-11,15.9,21.4,10.4
1924-01-12,16.5,18.4,14.6
1924-01-13,16.6,18.8,14.4
1924-01-14,14.9,16.4,13.4
1924-01-15,13.4,16.4,10.4
1924-01-16,13.3,18.2,8.4
1924-01-17,9.9,11.4,8.4
1924-01-18,7.8,10.8,4.8
1924-01-19,8.5,12.8,4.2
1924-01-20,10.4,13.4,7.4
1924-01-21,10,11.4,8.6
1924-01-22,8.4,12.6,4.2
1924-01-23,12.6,16.8,8.4
1924-01-24,14.5,17.4,11.6
1924-01-25,14.2,17.6,10.8
1924-01-26,15.6,18.4,12.8
1924-01-27,16.5,20.2,12.8
1924-01-28,18.2,21.6,14.8
1924-01-29,18,20.6,15.4
1924-01-30,21.2,27.6,14.8
1924-01-31,20.2,27.6,12.8
1924-02-20,17.6,21.2,14
1924-02-21,22.75,28.5,17
1924-02-22,24.5,28,21
1924-02-23,19,22.5,15.5
1924-02-24,13.5,15.5,11.5
1924-02-25,15.75,20.5,11
1924-02-26,18.5,23,14
1924-02-27,19.5,23,16
1924-02-28,21.75,26,17.5
1924-02-29,19,22.5,15.5
1924-03-01,24.25,26.5,22
1924-03-02,27.25,33,21.5
1924-03-03,28.25,32.5,24
1924-03-04,26.5,29.5,23.5
1924-03-05,23.5,24,23
1924-03-06,24,28.5,19.5
1924-03-07,26.85,30.2,23.5
1924-03-08,22.4,24.3,20.5
1924-03-09,19.15,21.5,16.8
1924-03-10,23.25,27,19.5
1924-03-11,25.75,32,19.5
1924-03-12,27,28.5,25.5
1924-03-13,22.1,29.2,15
1924-03-14,24.75,28,21.5
1924-03-15,24.6,28.5,20.7
1924-03-16,28.75,32,25.5
1924-03-17,27,31.5,22.5
1924-03-18,28,32,24
1924-03-19,22.65,25.5,19.8
1924-03-20,24.5,29,20
1924-03-21,30,35,25
1924-03-22,24.5,26,23
1924-03-23,28,30.5,25.5
1924-03-24,31.5,35.5,27.5
1924-03-25,31.75,34,29.5
1924-03-26,29.75,35,24.5
1924-03-27,31,33,29
1924-03-28,29.25,31.5,27
1924-03-29,29.25,32,26.5
1924-03-30,27.75,28,27.5
1924-03-31,20.5,27,14
1924-04-01,23.25,31,15.5
1924-04-02,22.25,31.5,13
1924-04-03,23.75,33,14.5
1924-04-04,24.75,34.5,15
1924-04-05,20.75,27.5,14
1924-04-06,22.25,28.5,16
1924-04-07,23.25,32,14.5
1924-04-08,23.75,32,15.5
1924-04-09,21,26,16
1924-04-10,22.75,28.5,17
1924-04-11,23,30.5,15.5
1924-04-12,24,33.5,14.5
1924-04-13,23.75,34,13.5
1924-04-14,28,39,17
1924-04-15,29.5,38,21
1924-04-16,22,28.5,15.5
1924-04-17,20.25,25.5,15
1924-04-18,23,30,16
1924-04-19,24.25,33.5,15
1924-04-20,25.25,34.5,16
1924-04-21,24.25,34,14.5
1924-04-22,27.75,38.5,17
1924-04-23,27.75,35.5,20
1924-04-24,27.5,36.5,18.5
1924-04-25,26.5,33.5,19.5
1924-04-26,25.25,31.5,19
1924-04-27,27.5,36.5,18.5
1924-04-28,27,34.5,19.5
1924-04-29,24.75,30,19.5
1924-04-30,22.5,27,18
1924-05-01,18,24,12
1924-05-02,18.5,25,12
1924-05-03,18.25,24,12.5
1924-05-04,20,28.5,11.5
1924-05-05,21.5,29,14
1924-05-06,19.5,28,11
1924-05-07,19.5,25,14
1924-05-08,23,26,20
1924-05-09,20,27,13
1924-05-10,21.25,23.5,19
1924-05-11,21,28,14
1924-05-12,25.5,28,23
1924-05-13,22,29,15
1924-05-14,19,23,15
1924-05-15,16,20.5,11.5
1924-05-16,18.5,25,12
