Estación: ,C19075,DOCTOR ARROYO (DGE) usar 19068
Variable: ,Evaporación (mm)
Longitud: ,100° 11' 00'',Latitud:,23° 40' 00

Fecha,Valor,NúmDatos
1983-03-01,6.9,CLIC
1983-03-02,5.1,CLIC
1983-03-03,4.9,CLIC
1983-03-04,6.1,CLIC
1983-03-05,5.7,CLIC
1983-03-06,6.7,CLIC
1983-03-07,8.1,CLIC
1983-03-08,4.1,CLIC
1983-03-09,7.6,CLIC
1983-03-10,4.2,CLIC
1983-03-11,10.3,CLIC
1983-03-12,6.1,CLIC
1983-03-13,2.3,CLIC
1983-03-14,4.9,CLIC
1983-03-15,3.8,CLIC
1983-03-16,9,CLIC
1983-03-17,6.3,CLIC
1983-03-18,7.4,CLIC
1983-03-19,9.3,CLIC
1983-03-20,5.3,CLIC
1983-03-21,4.8,CLIC
1983-03-22,8.5,CLIC
1983-03-23,7.8,CLIC
1983-03-24,8.7,CLIC
1983-03-25,7.6,CLIC
1983-03-26,11.7,CLIC
1983-03-27,7.6,CLIC
1983-03-28,6.6,CLIC
1983-03-29,5.2,CLIC
1983-03-30,6.4,CLIC
1983-03-31,7.9,CLIC
1983-04-01,9.1,CLIC
1983-04-02,10.3,CLIC
1983-04-03,10.5,CLIC
1983-04-04,9.9,CLIC
1983-04-05,8.9,CLIC
1983-04-06,9.3,CLIC
1983-04-07,6.5,CLIC
1983-04-08,7,CLIC
1983-04-09,7.9,CLIC
1983-04-10,5.2,CLIC
1983-04-11,10.4,CLIC
1983-04-12,6.4,CLIC
1983-04-13,8.9,CLIC
1983-04-14,8.7,CLIC
1983-04-15,11.9,CLIC
1983-04-16,4.2,CLIC
1983-04-17,6.2,CLIC
1983-04-18,6.6,CLIC
1983-04-19,9.2,CLIC
1983-04-20,9.1,CLIC
1983-04-21,11.9,CLIC
1983-04-22,9.9,CLIC
1983-04-23,8.1,CLIC
1983-04-24,7.6,CLIC
1983-04-25,7.5,CLIC
1983-04-26,6.7,CLIC
1983-04-27,5,CLIC
1983-04-28,5.2,CLIC
1983-04-29,5.5,CLIC
1983-04-30,5.4,CLIC
1983-05-01,6.9,CLIC
1983-05-02,5.1,CLIC
1983-05-03,4.9,CLIC
1983-05-04,6.1,CLIC
1983-05-05,5.7,CLIC
1983-05-06,6.7,CLIC
1983-05-07,8.1,CLIC
1983-05-08,8.1,CLIC
1983-05-09,7.6,CLIC
1983-05-10,4.2,CLIC
1983-05-11,6.1,CLIC
1983-05-12,6.1,CLIC
1983-05-13,2.3,CLIC
1983-05-14,5,CLIC
1983-05-15,3.8,CLIC
1983-05-16,9,CLIC
1983-05-17,6.3,CLIC
1983-05-18,7.5,CLIC
1983-05-19,9.3,CLIC
1983-05-20,4.8,CLIC
1983-05-21,5,CLIC
1983-05-22,8.5,CLIC
1983-05-23,7.8,CLIC
1983-05-24,8.7,CLIC
1983-05-25,10.6,CLIC
1983-05-26,8.7,CLIC
1983-05-27,7.6,CLIC
1983-05-28,6.6,CLIC
1983-05-29,5.2,CLIC
1983-05-30,6.4,CLIC
1983-05-31,5,CLIC
1983-09-01,7.8,CLIC
1983-09-02,6.1,CLIC
1983-09-03,5.8,CLIC
1983-09-04,6.2,CLIC
1983-09-05,8.1,CLIC
1983-09-06,2.7,CLIC
1983-09-07,1,CLIC
1983-09-08,8,CLIC
1983-09-09,1,CLIC
1983-09-10,4.6,CLIC
1983-09-11,4.5,CLIC
1983-09-12,5.4,CLIC
1983-09-13,3.2,CLIC
1983-09-14,9.6,CLIC
1983-09-15,7.8,CLIC
1983-09-16,8,CLIC
1983-09-17,6.3,CLIC
1983-09-18,5.6,CLIC
1983-09-19,8.6,CLIC
1983-09-20,6.5,CLIC
1983-09-21,0.8,CLIC
1983-09-22,3.8,CLIC
1983-09-23,5.7,CLIC
1983-09-24,5,CLIC
1983-09-25,2.3,CLIC
1983-09-26,4.6,CLIC
1983-09-27,1.1,CLIC
1983-09-28,7.3,CLIC
1983-09-29,2,CLIC
1983-09-30,5.1,CLIC
1983-10-01,4.4,CLIC
1983-10-02,5.2,CLIC
1983-10-03,3.9,CLIC
1983-10-04,5.1,CLIC
1983-10-05,3.7,CLIC
1983-10-06,3.5,CLIC
1983-10-07,8.7,CLIC
1983-10-08,5.3,CLIC
1983-10-09,9.5,CLIC
1983-10-10,6.4,CLIC
1983-10-11,4.4,CLIC
1983-10-12,2.6,CLIC
1983-10-13,3.3,CLIC
1983-10-14,4.5,CLIC
1983-10-15,5.7,CLIC
1983-10-16,3.8,CLIC
1983-10-17,3.5,CLIC
1983-10-18,2.8,CLIC
1983-10-19,7.1,CLIC
1983-10-20,3.8,CLIC
1983-10-21,5,CLIC
1983-10-22,5,CLIC
1983-10-23,4.3,CLIC
1983-10-24,8,CLIC
1983-10-25,7.6,CLIC
1983-10-26,5.8,CLIC
1983-10-27,3.6,CLIC
1983-10-28,6.7,CLIC
1983-10-29,7.5,CLIC
1983-10-30,3.1,CLIC
1983-10-31,5.6,CLIC
1983-11-01,4.1,CLIC
1983-11-02,3.7,CLIC
1983-11-03,4.2,CLIC
1983-11-04,2.8,CLIC
1983-11-05,1.8,CLIC
1983-11-06,3.8,CLIC
1983-11-07,4.2,CLIC
1983-11-08,5.7,CLIC
1983-11-09,5.2,CLIC
1983-11-10,6.3,CLIC
1983-11-11,4.9,CLIC
1983-11-12,1,CLIC
1983-11-13,6.6,CLIC
1983-11-14,7.3,CLIC
1983-11-15,3.6,CLIC
1983-11-16,4.6,CLIC
1983-11-17,3.6,CLIC
1983-11-18,4.1,CLIC
1983-11-19,7.3,CLIC
1983-11-20,4.9,CLIC
1983-11-21,2.7,CLIC
1983-11-22,4,CLIC
1983-11-23,3.1,CLIC
1983-11-24,3.4,CLIC
1983-11-25,4.2,CLIC
1983-11-26,3.3,CLIC
1983-11-27,7.9,CLIC
1983-11-28,3.1,CLIC
1983-11-29,4.8,CLIC
1983-11-30,2.4,CLIC
1983-12-01,4.5,CLIC
1983-12-02,2.5,CLIC
1983-12-03,3.9,CLIC
1983-12-04,5,CLIC
1983-12-05,6.1,CLIC
1983-12-06,3.6,CLIC
1983-12-07,2.9,CLIC
1983-12-08,5.6,CLIC
1983-12-09,3.3,CLIC
1983-12-10,4,CLIC
1983-12-11,4.5,CLIC
1983-12-12,5,CLIC
1983-12-13,4.7,CLIC
1983-12-14,5.4,CLIC
1983-12-15,1.7,CLIC
1983-12-16,4.6,CLIC
1983-12-17,2.8,CLIC
1983-12-18,3.6,CLIC
1983-12-19,2.8,CLIC
1983-12-20,3.1,CLIC
1983-12-21,5.7,CLIC
1983-12-22,3.9,CLIC
1983-12-23,1.6,CLIC
1983-12-24,4.5,CLIC
1983-12-25,2.8,CLIC
1983-12-26,3.4,CLIC
1983-12-27,3.4,CLIC
1983-12-28,5.2,CLIC
1983-12-29,4.5,CLIC
1983-12-30,2.4,CLIC
1983-12-31,2,CLIC
1984-01-01,1.01,CLIC
1984-01-02,1.4,CLIC
1984-01-03,1,CLIC
1984-01-04,1,CLIC
1984-01-05,0.7,CLIC
1984-01-06,0.3,CLIC
1984-01-07,1.96,CLIC
1984-01-08,4.98,CLIC
1984-01-09,5.01,CLIC
1984-01-10,4.02,CLIC
1984-01-11,2.04,CLIC
1984-01-12,1.7,CLIC
1984-01-13,0.91,CLIC
1984-01-14,1.08,CLIC
1984-01-15,1.12,CLIC
1984-01-16,0.5,CLIC
1984-01-17,0.5,CLIC
1984-01-18,0.83,CLIC
1984-01-19,0.99,CLIC
1984-01-20,1.97,CLIC
1984-01-21,3.08,CLIC
1984-01-22,2.98,CLIC
1984-01-23,3.03,CLIC
1984-01-24,3.01,CLIC
1984-01-25,3.96,CLIC
1984-01-26,3.96,CLIC
1984-01-27,3.03,CLIC
1984-01-28,5.99,CLIC
1984-01-29,3.68,CLIC
1984-01-30,6.35,CLIC
1984-01-31,4,CLIC
1984-02-01,3.91,CLIC
1984-02-02,0.88,CLIC
1984-02-03,1.52,CLIC
1984-02-04,3.09,CLIC
1984-02-05,1.98,CLIC
1984-02-06,0.63,CLIC
1984-02-07,2.17,CLIC
1984-02-08,1.47,CLIC
1984-02-09,3.16,CLIC
1984-02-10,4.45,CLIC
1984-02-11,4.77,CLIC
1984-02-12,6.01,CLIC
1984-02-13,4.4,CLIC
1984-02-14,3.51,CLIC
1984-02-15,4.51,CLIC
1984-02-16,5.06,CLIC
1984-02-17,5.76,CLIC
1984-02-18,3.45,CLIC
1984-02-19,3.52,CLIC
1984-02-20,5.11,CLIC
1984-02-21,1.62,CLIC
1984-02-22,3.28,CLIC
1984-02-23,5.7,CLIC
1984-02-24,6.7,CLIC
1984-02-25,3.6,CLIC
1984-02-26,4.1,CLIC
1984-02-27,4.8,CLIC
1984-02-28,1.5,CLIC
1984-02-29,2.96,CLIC
1984-03-01,3.7,CLIC
1984-03-02,5.38,CLIC
1984-03-03,7,CLIC
1984-03-04,9.29,CLIC
1984-03-05,5.98,CLIC
1984-03-06,3.92,CLIC
1984-03-07,5.06,CLIC
1984-03-08,5.75,CLIC
1984-03-09,7.3,CLIC
1984-03-10,4.9,CLIC
1984-03-11,5.77,CLIC
1984-03-12,8.19,CLIC
1984-03-13,4.5,CLIC
1984-03-14,4.8,CLIC
1984-03-15,8.67,CLIC
1984-03-16,4.3,CLIC
1984-03-17,6.19,CLIC
1984-03-18,9.73,CLIC
1984-03-19,6.1,CLIC
1984-03-20,5.4,CLIC
1984-03-21,6.4,CLIC
1984-03-22,4.75,CLIC
1984-03-23,6.1,CLIC
1984-03-24,4.15,CLIC
1984-03-25,8.38,CLIC
1984-03-26,10.21,CLIC
1984-03-27,10.78,CLIC
1984-03-28,7.56,CLIC
1984-03-29,6.07,CLIC
1984-03-30,4.8,CLIC
1984-03-31,5.75,CLIC
1984-04-01,5.95,CLIC
1984-04-02,6.35,CLIC
1984-04-03,5.85,CLIC
1984-04-04,7.16,CLIC
1984-04-05,6.95,CLIC
1984-04-06,6.82,CLIC
1984-04-07,9.07,CLIC
1984-04-08,8.92,CLIC
1984-04-09,9.01,CLIC
1984-04-10,8.1,CLIC
