Estación: ,C19082,ARAMBERRI 2. ARAMBERRI
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 50' 00'',Latitud:,24° 10' 00

Fecha,Promedio,Máximo,Mínimo
1974-06-16,19,25,13
1974-06-17,20,26,14
1974-06-18,21.5,26,17
1974-06-19,21.5,26,17
1974-06-20,19.5,25,14
1974-06-21,20,24,16
1974-06-22,21.5,26,17
1974-06-23,21,27,15
1974-06-24,22.5,29,16
1974-06-25,20,22,18
1974-06-26,18.5,25,12
1974-06-27,18,25,11
1974-06-28,19,26,12
1974-06-29,21,29,13
1974-06-30,23,31,15
1974-07-01,22.5,29,16
1974-07-02,23,30,16
1974-07-03,21.5,27,16
1974-07-04,19,22,16
1974-07-05,19,22,16
1974-07-06,20,26,14
1974-07-07,21.5,29,14
1974-07-08,22.5,30,15
1974-07-09,22.5,29,16
1974-07-10,20.5,27,14
1974-07-11,22.5,30,15
1974-07-12,19.5,23,16
1974-07-13,20.5,25,16
1974-07-14,19.5,27,12
1974-07-15,21,29,13
1974-07-16,21.75,30,13.5
1974-07-17,22.5,29,16
1974-07-18,21.25,26.5,16
1974-07-19,20.5,28,13
1974-07-20,21,28,14
1974-07-21,22.75,30,15.5
1974-07-22,23.5,30,17
1974-07-23,23,29.5,16.5
1974-07-24,22.5,30,15
1974-07-25,24,32,16
1974-07-26,25.25,33,17.5
1974-07-27,25,33,17
1974-07-28,25.25,34,16.5
1974-07-29,24.25,32.5,16
1974-07-30,23.5,31.5,15.5
1974-07-31,23.5,30,17
1974-08-01,24.25,32.5,16
1974-08-02,25.25,33.5,17
1974-08-03,23.5,31,16
1974-08-04,23.75,31,16.5
1974-08-05,23.75,31.5,16
1974-08-06,25.25,33.5,17
1974-08-07,24,29,19
1974-08-08,25.25,32.5,18
1974-08-09,25.75,36,15.5
1974-08-10,26.25,35.5,17
1974-08-11,25,33,17
1974-08-12,24.25,32.5,16
1974-08-13,24.5,32.5,16.5
1974-08-14,24,32,16
1974-08-15,24.5,32,17
1974-08-16,24,31,17
1974-08-17,23.5,31,16
1974-08-18,23.75,31.5,16
1974-08-19,24.75,32,17.5
1974-08-20,24.25,32.5,16
1974-08-21,24,32,16
1974-08-22,23,30,16
1974-08-23,22.25,28.5,16
1974-08-24,21.75,29.5,14
1974-08-25,22.25,29,15.5
1974-08-26,23.5,31,16
1974-08-27,25,32,18
1974-08-28,24,30.5,17.5
1974-08-29,24.75,31,18.5
1974-08-30,25,31.5,18.5
1974-08-31,23.75,30,17.5
1974-09-01,24.5,33,16
1974-09-02,25.25,34.5,16
1974-09-03,21.5,26.5,16.5
1974-09-04,21.25,26.5,16
1974-09-05,18.75,24,13.5
1974-09-06,20,29,11
1974-09-07,20.75,29,12.5
1974-09-08,20.75,29.5,12
1974-09-09,22,30,14
1974-09-10,22,29,15
1974-09-11,23.25,29,17.5
1974-09-12,24.5,31,18
1974-09-13,23.75,28.5,19
1974-09-14,22,26,18
1974-09-15,21.5,27,16
1974-09-16,23.5,30,17
1974-09-17,22.5,29.5,15.5
1974-09-18,21.75,27.5,16
1974-09-19,22.5,27.5,17.5
1974-09-20,22,27,17
1974-09-21,21,24,18
1974-09-22,18,20,16
1974-09-23,18.5,21,16
1974-09-24,22.5,28.5,16.5
1974-09-25,22.25,26,18.5
1974-09-26,18.5,22.5,14.5
1974-09-27,23.5,32,15
1974-09-28,24.5,30,19
1974-09-29,19,21.5,16.5
1974-09-30,18.25,22,14.5
1974-10-01,17.75,23,12.5
1974-10-02,16.25,22,10.5
1974-10-03,17.5,22,13
1974-10-04,17.25,24.5,10
1974-10-05,18.25,24.5,12
1974-10-06,18.25,24.5,12
1974-10-07,18.25,24,12.5
1974-10-08,18.25,24,12.5
1974-10-09,18.75,24,13.5
1974-10-10,17,23,11
1974-10-11,18.75,27,10.5
1974-10-12,17,22,12
1974-10-13,20.5,27.5,13.5
1974-10-14,22,30,14
1974-10-15,21.75,30,13.5
1974-10-16,15.25,20.5,10
1974-10-17,16.75,22.5,11
1974-10-18,16.25,21,11.5
1974-10-19,16.25,22,10.5
1974-10-20,15.25,22,8.5
1974-10-21,17.25,23,11.5
1974-10-22,17.75,23,12.5
1974-10-23,17,20,14
1974-10-24,19.5,24,15
1974-10-25,19.25,24,14.5
1974-10-26,17,20,14
1974-10-27,19.5,27.5,11.5
1974-10-28,22.75,31.5,14
1974-10-29,23,30,16
1974-10-30,19.75,25,14.5
1974-10-31,21.5,28,15
1974-11-01,20.75,28,13.5
1974-11-02,22.25,30,14.5
1974-11-03,23.75,32,15.5
1974-11-04,20.5,25.5,15.5
1974-11-05,14.5,18,11
1974-11-06,13.5,18,9
1974-11-07,12.5,16,9
1974-11-08,12.5,16.5,8.5
1974-11-09,15.25,21.5,9
1974-11-10,19.5,28.5,10.5
1974-11-11,15.25,18.5,12
1974-11-12,11.25,17,5.5
1974-11-13,14.5,24.5,4.5
1974-11-14,14.75,23,6.5
1974-11-15,13.5,23,4
1974-11-16,17.5,29.5,5.5
1974-11-17,17,24,10
1974-11-18,19.5,28,11
1974-11-19,22.5,32,13
1974-11-20,18.25,23,13.5
1974-11-21,17,23.5,10.5
1974-11-22,19.75,28.5,11
1974-11-23,21.5,29,14
1974-11-24,15.25,18,12.5
1974-11-25,10.5,17,4
1974-11-26,11.5,21,2
1974-11-27,12,20,4
1974-11-28,12.75,20.5,5
1974-11-29,13.5,21,6
1974-11-30,13.5,25.5,1.5
1974-12-01,5.25,9,1.5
1974-12-02,6.25,11.5,1
1974-12-03,9,15.5,2.5
1974-12-04,13.75,23,4.5
1974-12-05,14.75,20.5,9
1974-12-06,20.5,29,12
1974-12-07,14.25,18.5,10
1974-12-08,10.75,16,5.5
1974-12-09,7.75,10.5,5
1974-12-10,15.5,26,5
1974-12-11,13,18.5,7.5
1974-12-12,15.5,23,8
1974-12-13,18.25,23.5,13
1974-12-14,19,27,11
1974-12-15,12.5,18,7
1974-12-16,11.75,18,5.5
1974-12-17,9.25,17.5,1
1974-12-18,15,27,3
1974-12-19,16.4,23.3,9.5
1974-12-20,14.5,18.5,10.5
1974-12-21,15.25,22,8.5
1974-12-22,16.75,25.5,8
1974-12-23,18.25,27,9.5
1974-12-24,22.5,29.5,15.5
1974-12-25,14,16.5,11.5
1974-12-26,14,24,4
1974-12-27,13.5,20.5,6.5
1974-12-28,17.25,24.5,10
1974-12-29,19,30.5,7.5
1974-12-30,17.75,25,10.5
1974-12-31,15.75,20,11.5
1975-01-01,15.25,22,8.5
1975-01-02,17,26,8
1975-01-03,8.5,9.5,7.5
1975-01-04,9.5,15.5,3.5
1975-01-05,14.25,25,3.5
1975-01-06,13.75,20,7.5
1975-01-07,19.25,28,10.5
1975-01-08,19.5,25,14
1975-01-09,19.75,28,11.5
1975-01-10,21.5,28,15
1975-01-11,16.5,23,10
1975-01-12,8.5,12,5
1975-01-13,1.75,10.5,-7
1975-01-14,6.25,18.5,-6
1975-01-15,10.5,22,-1
1975-01-16,11.5,23,0
1975-01-17,15,23,7
1975-01-18,16,24.5,7.5
1975-01-19,15.5,21,10
1975-01-20,7,11,3
1975-01-21,13.5,24,3
1975-01-22,12.5,19,6
1975-01-23,11.5,16,7
1975-01-24,15,22,8
1975-01-25,17,26,8
1975-01-26,19.25,29,9.5
1975-01-27,21.5,31,12
1975-01-28,18.25,26,10.5
1975-01-29,19.75,28.5,11
1975-01-30,20,29,11
1975-01-31,18.75,27.5,10
1975-02-01,21,29,13
1975-02-02,20,26,14
1975-02-03,17.5,24,11
1975-02-04,18.25,26,10.5
1975-02-05,17.75,25,10.5
1975-02-06,14,18,10
1975-02-07,7.25,12,2.5
1975-02-08,12.5,21.5,3.5
1975-02-09,15.5,22,9
1975-02-10,18.5,29,8
1975-02-11,19.5,29,10
1975-02-12,13.5,19.5,7.5
1975-02-13,15.5,24.5,6.5
1975-02-14,19,31,7
1975-02-15,21.25,30,12.5
1975-02-16,18.5,30,7
1975-02-17,21.25,33,9.5
1975-02-18,18,22,14
1975-02-19,12,18,6
1975-02-20,15,24,6
1975-02-21,21.25,29.5,13
1975-02-22,23,31,15
1975-02-23,7.25,13.5,1
1975-02-24,10.75,20,1.5
1975-02-25,16,28.5,3.5
1975-02-26,18.75,29.5,8
1975-02-27,15.25,22,8.5
1975-02-28,15.5,22,9
1975-03-01,19.75,29,10.5
1975-03-02,19,26.5,11.5
1975-03-03,19.5,27,12
1975-03-04,16.75,21,12.5
1975-03-05,17,26,8
1975-03-06,21,32,10
1975-03-07,21.75,32,11.5
1975-03-08,19,23,15
1975-03-09,24,35,13
1975-03-10,25.75,34.5,17
1975-03-11,23.25,32,14.5
1975-03-12,27,34,20
1975-03-13,15,21,9
1975-03-14,13.5,22,5
1975-03-15,19.25,33,5.5
1975-03-16,19,25,13
1975-03-17,23.75,35,12.5
1975-03-18,21.75,29,14.5
1975-03-19,19.5,29,10
1975-03-20,22.75,34.5,11
1975-03-21,26,37,15
1975-03-22,25.75,35,16.5
1975-03-23,26.5,35,18
1975-03-24,20.5,26,15
1975-03-25,20,29,11
1975-03-26,24,36,12
1975-03-27,25.5,34.5,16.5
1975-03-28,28.75,36.5,21
1975-03-29,17.5,21,14
1975-03-30,12.25,23.5,1
1975-03-31,16.5,31.5,1.5
1975-04-01,21.25,34.5,8
1975-04-02,23.5,36,11
1975-04-03,14.75,21,8.5
1975-04-04,17.25,26,8.5
1975-04-05,19.75,29,10.5
