Estación: ,C19083,EJIDO ACUÑA. DR. ARROYO
Variable: ,Evaporación (mm)
Longitud: ,100° 07' 00'',Latitud:,23° 39' 00

Fecha,Valor,NúmDatos
1974-07-01,7.9,CLIC
1974-07-02,2.1,CLIC
1974-07-03,4.6,CLIC
1974-07-04,6.5,CLIC
1974-07-05,3.6,CLIC
1974-07-06,5.2,CLIC
1974-07-07,7.4,CLIC
1974-07-08,7.8,CLIC
1974-07-09,6.1,CLIC
1974-07-10,6.2,CLIC
1974-07-11,7.3,CLIC
1974-07-12,7.1,CLIC
1974-07-13,7.1,CLIC
1974-07-14,7.8,CLIC
1974-07-15,9.7,CLIC
1974-07-16,5,CLIC
1974-07-17,8.7,CLIC
1974-07-18,5.2,CLIC
1974-07-19,9,CLIC
1974-07-20,4.8,CLIC
1974-07-21,4.8,CLIC
1974-07-22,9.4,CLIC
1974-07-23,9.5,CLIC
1974-07-24,7.1,CLIC
1974-07-25,4.6,CLIC
1974-07-26,7.6,CLIC
1974-07-27,2.9,CLIC
1974-07-28,7.8,CLIC
1974-07-29,7.4,CLIC
1974-07-30,8.4,CLIC
1974-07-31,9.1,CLIC
1974-08-01,7.1,CLIC
1974-08-02,2.8,CLIC
1974-08-03,5.2,CLIC
1974-08-04,8.1,CLIC
1974-08-05,10.7,CLIC
1974-08-06,7.9,CLIC
1974-08-07,10.4,CLIC
1974-08-08,4.7,CLIC
1974-08-09,4.9,CLIC
1974-08-10,5.6,CLIC
1974-08-11,6.3,CLIC
1974-08-12,3.4,CLIC
1974-08-13,3.5,CLIC
1974-08-14,2.2,CLIC
1974-08-15,3,CLIC
1974-08-16,4.3,CLIC
1974-08-17,5.6,CLIC
1974-08-18,5.6,CLIC
1974-08-19,5.9,CLIC
1974-08-20,6.3,CLIC
1974-08-21,3.3,CLIC
1974-08-22,6.1,CLIC
1974-08-23,4.8,CLIC
1974-08-24,7.7,CLIC
1974-08-25,6.3,CLIC
1974-08-26,7.8,CLIC
1974-08-27,8.9,CLIC
1974-08-28,8.2,CLIC
1974-08-29,3.3,CLIC
1974-08-30,6.6,CLIC
1974-08-31,8,CLIC
1974-09-01,6.2,CLIC
1974-09-02,6.5,CLIC
1974-09-03,7.5,CLIC
1974-09-04,6.5,CLIC
1974-09-05,4.7,CLIC
1974-09-06,9.1,CLIC
1974-09-07,9,CLIC
1974-09-08,10.1,CLIC
1974-09-09,8.3,CLIC
1974-09-10,6.2,CLIC
1974-09-11,7.2,CLIC
1974-09-12,6.4,CLIC
1974-09-13,14.6,CLIC
1974-09-14,9.3,CLIC
1974-09-15,8.4,CLIC
1974-09-16,9.3,CLIC
1974-09-17,8.8,CLIC
1974-09-18,4.6,CLIC
1974-09-19,4.8,CLIC
1974-09-20,7.1,CLIC
1974-09-22,7,CLIC
1974-09-23,5,CLIC
1974-09-24,9,CLIC
1974-09-25,6.4,CLIC
1974-09-26,2.6,CLIC
1974-09-28,1.6,CLIC
1974-09-29,1.6,CLIC
1974-09-30,6.5,CLIC
1974-10-01,4.8,CLIC
1974-10-02,6.5,CLIC
1974-10-03,5.8,CLIC
1974-10-04,5.8,CLIC
1974-10-05,4.1,CLIC
