Estación: ,C19083,EJIDO ACUÑA. DR. ARROYO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 07' 00'',Latitud:,23° 39' 00

Fecha,Promedio,Máximo,Mínimo
1974-11-29,11.5,19,4
1974-11-30,11.5,17,6
1974-12-01,20.5,25,16
1974-12-02,16,20,12
1974-12-03,17,20,14
1974-12-04,19,25,13
1974-12-05,14,17,11
1974-12-06,14,18,10
1974-12-07,17.5,25,10
1974-12-08,14.5,18,11
1974-12-09,12,17,7
1974-12-10,13,17,9
1974-12-11,12.5,17,8
1974-12-12,14,18,10
1974-12-13,13,16,10
1974-12-14,11,15,7
1974-12-15,11,16,6
1974-12-16,11,15,7
1974-12-17,14,19,9
1974-12-18,14.5,21,8
1974-12-19,15.5,21,10
1974-12-20,14.5,18,11
1974-12-21,16,22,10
1974-12-22,15.5,21,10
1974-12-23,16.5,23,10
1974-12-24,18,26,10
1974-12-25,17.5,24,11
1974-12-26,20,28,12
1974-12-27,15,18,12
1974-12-28,13.5,17,10
1974-12-29,13.5,17,10
1974-12-30,13,17,9
1974-12-31,14,19,9
1975-01-01,14,20,8
1975-01-02,15,23,7
1975-01-03,15.5,24,7
1975-01-04,16,24,8
1975-01-05,13,16,10
1975-01-06,12.5,20,5
1975-01-07,12,20,4
1975-01-08,14,22,6
1975-01-09,10,15,5
1975-01-10,10,16,4
1975-01-11,13,21,5
1975-01-12,16.5,24,9
1975-01-13,14.5,21,8
1975-01-14,14,22,6
1975-01-15,15.5,24,7
1975-01-16,13,18,8
1975-01-17,15.5,25,6
1975-01-18,17.5,26,9
1975-01-19,12.5,14,11
1975-01-20,13.5,22,5
1975-01-21,14,22,6
1975-01-22,14.5,25,4
1975-01-23,15.5,24,7
1975-01-24,16.5,24,9
1975-01-25,12,18,6
1975-01-26,14.5,25,4
1975-01-27,12.5,21,4
1975-01-28,15.5,25,6
1975-01-29,17,25,9
1975-01-30,16.5,24,9
1975-01-31,18.5,25,12
1975-02-01,11.5,13,10
1975-02-02,16,22,10
1975-02-03,17.5,23,12
1975-02-04,17.5,24,11
1975-02-05,15.5,22,9
1975-02-06,15,23,7
1975-02-07,12,16,8
1975-02-08,15.5,26,5
1975-02-09,14.5,23,6
1975-02-10,15.5,24,7
1975-02-11,16.5,25,8
1975-02-12,14,21,7
1975-02-13,12,20,4
1975-02-14,14,24,4
1975-02-15,13.5,23,4
1975-02-16,15,24,6
1975-02-17,17,27,7
1975-02-18,17,26,8
1975-02-19,16,25,7
1975-02-20,10.5,15,6
1975-02-21,13.5,24,3
1975-02-22,16.5,27,6
1975-02-23,11.5,16,7
1975-02-24,7.5,20,-5
1975-02-25,10.5,22,-1
1975-02-26,13,25,1
1975-02-27,13,21,5
1975-02-28,15.5,24,7
1975-03-01,16,25,7
1975-03-02,16.5,26,7
1975-03-03,16.5,25,8
1975-03-04,16.5,27,6
1975-03-05,18,26,10
1975-03-06,17.5,25,10
1975-03-07,18.5,28,9
1975-03-08,20,31,9
1975-03-09,18.5,26,11
1975-03-10,20,28,12
1975-03-11,20,29,11
1975-03-12,17.5,25,10
1975-03-13,17.5,28,7
1975-03-14,15,27,3
1975-03-15,13,22,4
1975-03-16,20,31,9
1975-03-17,20,30,10
1975-03-18,19,29,9
1975-03-19,18.5,29,8
1975-03-20,17.5,26,9
1975-03-21,20,30,10
1975-03-22,21.5,31,12
1975-03-23,21.5,33,10
1975-03-24,19.5,28,11
1975-03-25,17,27,7
1975-03-26,17.5,27,8
1975-03-27,21,29,13
1975-03-28,19.5,27,12
1975-03-29,22,32,12
1975-03-30,18.5,28,9
1975-03-31,16,26,6
1975-04-01,19.5,31,8
1975-04-02,21.5,32,11
1975-04-03,22.5,33,12
1975-04-04,15,24,6
1975-04-05,18.5,28,9
1975-04-06,21.5,30,13
1975-04-07,18.5,26,11
1975-04-08,20.5,29,12
1975-04-09,22.5,31,14
1975-04-10,23,32,14
1975-04-11,21.5,31,12
1975-04-12,20.5,28,13
1975-04-13,20,26,14
1975-04-14,22.5,31,14
1975-04-15,23,33,13
1975-04-16,20.5,27,14
1975-04-17,21.5,31,12
1975-04-18,24,34,14
1975-04-19,25.5,36,15
1975-04-20,20.5,32,9
1975-04-21,19,28,10
1975-04-22,19,26,12
1975-04-23,18,27,9
1975-04-24,21,30,12
1975-04-25,20.5,27,14
1975-04-26,24.5,36,13
1975-04-27,25.5,35,16
1975-04-28,23,34,12
1975-04-29,23,32,14
1975-04-30,22.5,31,14
1975-05-01,23.5,34,13
1975-05-02,22.5,31,14
1975-05-03,23.5,31,16
1975-05-04,24.5,32,17
1975-05-05,24.5,33,16
1975-05-06,23,31,15
1975-05-07,24.5,35,14
1975-05-08,25,33,17
1975-05-09,24.5,34,15
1975-05-10,22.5,31,14
1975-05-11,22.5,32,13
1975-05-12,22,31,13
1975-05-13,17,25,9
1975-05-14,20.5,31,10
1975-05-15,22,33,11
1975-05-16,21.5,30,13
1975-05-17,22.5,33,12
1975-05-18,23,30,16
1975-05-19,22,31,13
1975-05-20,22.5,30,15
1975-05-21,20.5,29,12
1975-05-22,21.5,30,13
1975-05-23,22,31,13
1975-05-24,25.5,33,18
1975-05-25,25.5,34,17
1975-05-26,22,30,14
1975-05-27,21,29,13
1975-05-28,21.5,28,15
1975-05-29,22,30,14
1975-05-30,24.5,32,17
1975-05-31,25,33,17
1975-06-01,19.5,27,12
1975-06-02,18.5,26,11
1975-06-03,18.5,27,10
1975-06-04,18,26,10
1975-06-05,19.5,28,11
1975-06-06,17,20,14
1975-06-07,21.5,28,15
1975-06-08,21.5,28,15
1975-06-09,22,29,15
1975-06-10,22,29,15
1975-06-11,22.5,30,15
1975-06-12,24,34,14
1975-06-13,18.5,25,12
1975-06-14,22.5,30,15
1975-06-15,23.5,32,15
1975-06-16,22,31,13
1975-06-17,23.5,32,15
1975-06-18,21.5,29,14
1975-06-19,21.5,29,14
1975-06-20,21.5,29,14
1975-06-21,20,26,14
1975-06-22,18.5,26,11
1975-06-23,17.5,25,10
1975-06-24,16,23,9
1975-06-25,17.5,23,12
1975-06-26,20.5,26,15
1975-06-27,19,26,12
1975-06-28,20.5,26,15
1975-06-29,19,25,13
1975-06-30,20.5,28,13
1975-07-01,18.5,25,12
1975-07-02,18,26,10
1975-07-03,19,27,11
1975-07-04,16.5,24,9
1975-07-05,17.5,26,9
1975-07-06,19.5,27,12
1975-07-07,17.5,25,10
1975-07-08,18,24,12
1975-07-09,20,29,11
1975-07-10,18.5,28,9
1975-07-11,20.5,30,11
1975-07-12,19.5,28,11
1975-07-13,20,26,14
1975-07-14,19.5,25,14
1975-07-15,18,23,13
1975-07-16,22,29,15
1975-07-17,21,28,14
1975-07-18,21,29,13
1975-07-19,21.5,30,13
1975-07-20,19.5,25,14
1975-07-21,19,27,11
1975-07-22,18.5,26,11
1975-07-23,20.5,28,13
1975-07-24,17.5,23,12
1975-07-25,18,26,10
1975-07-26,18,26,10
1975-07-27,18,26,10
1975-07-28,19,27,11
1975-07-29,19,28,10
1975-07-30,19.5,28,11
1975-07-31,19,28,10
1975-08-01,20,29,11
1975-08-02,19,27,11
1975-08-03,19,28,10
1975-08-04,19,28,10
1975-08-05,19,28,10
1975-08-06,16.5,23,10
1975-08-07,17,23,11
1975-08-08,17.5,24,11
1975-08-09,14.5,18,11
1975-08-10,17,20,14
1975-08-11,17,22,12
1975-08-12,21,25,17
1975-08-13,19.5,26,13
1975-08-14,20,28,12
1975-08-15,19.5,27,12
1975-08-16,21,28,14
1975-08-17,19,28,10
1975-08-18,17.5,24,11
1975-08-19,18.5,28,9
1975-08-20,19,28,10
1975-08-21,20,28,12
1975-08-22,19,27,11
1975-08-23,20,28,12
1975-08-24,20,28,12
1975-08-25,20,28,12
1975-08-26,20.5,29,12
1975-08-27,19,26,12
1975-08-28,20,27,13
1975-08-29,20,28,12
1975-08-30,18,24,12
1975-08-31,19.5,24,15
1975-09-01,17.5,24,11
1975-09-02,17.5,24,11
1975-09-03,15.5,25,6
1975-09-04,18,26,10
1975-09-05,18.5,27,10
1975-09-06,13,17,9
1975-09-07,16,24,8
1975-09-08,18.5,23,14
1975-09-09,18.5,25,12
1975-09-10,19,24,14
1975-09-11,19,27,11
1975-09-12,19,27,11
1975-09-13,19,27,11
1975-09-14,20.5,27,14
1975-09-15,19,27,11
1975-09-16,16.5,23,10
1975-09-17,18.5,28,9
1975-09-18,18.5,29,8
1975-09-19,18.5,29,8
1975-09-20,21.5,30,13
1975-09-21,18,29,7
1975-09-22,17.5,29,6
1975-09-23,17,22,12
1975-09-24,12,22,2
1975-09-25,12,23,1
1975-09-26,12.5,24,1
1975-09-27,13.5,26,1
1975-09-28,12.5,25,0
1975-09-29,10.5,21,0
1975-09-30,15,24,6
1975-11-01,15,26,4
1975-11-02,18.5,25,12
1975-11-03,13.5,25,2
1975-11-04,13.5,25,2
1975-11-05,16,26,6
1975-11-06,15,25,5
1975-11-07,11,21,1
1975-11-08,13.5,26,1
1975-11-09,14,27,1
1975-11-10,11.5,25,-2
1975-11-11,13,26,0
1975-11-12,11.5,26,-3
1975-11-13,11.5,26,-3
1975-11-14,7.5,21,-6
1975-11-15,10,26,-6
1975-11-16,9.5,26,-7
1975-11-17,9,24,-6
1975-11-18,10.5,23,-2
1975-11-19,12,25,-1
1975-11-20,12.5,25,0
1975-11-21,12.5,26,-1
1975-11-22,12.5,26,-1
1975-11-23,8.5,17,0
