Estación: ,C19086,MIER Y NORIEGA (DGE) usar 19046
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 10' 00'',Latitud:,23° 29' 00

Fecha,Promedio,Máximo,Mínimo
1974-06-16,21.25,21.5,21
1974-06-17,20.9,21.8,20
1974-06-18,18.95,21.9,16
1974-06-19,18.45,19.4,17.5
1974-06-20,17.9,18,17.8
1974-06-21,15.2,19.4,11
1974-06-22,16.55,20.5,12.6
1974-06-23,16.65,19.8,13.5
1974-06-24,16.2,20.4,12
1974-06-25,16.7,18,15.4
1974-06-26,20.25,26,14.5
1974-06-27,20.25,25,15.5
1974-06-28,20.75,26,15.5
1974-06-29,23.25,29,17.5
1974-06-30,23.15,28,18.3
1974-07-01,21.5,26,17
1974-07-02,22.5,27,18
1974-07-03,24.5,29,20
1974-07-04,23,26,20
1974-07-05,19.5,21,18
1974-07-06,18.5,24,13
1974-07-07,19,27,11
1974-07-08,20.25,27.5,13
1974-07-09,20.75,27,14.5
1974-07-10,19.75,26.5,13
1974-07-11,21,28,14
1974-07-12,18.75,22,15.5
1974-07-13,19.25,23.5,15
1974-07-14,17.5,26.5,8.5
1974-07-15,19.25,28,10.5
1974-07-16,19.5,28,11
1974-07-17,20.5,27.5,13.5
1974-07-18,19.25,23,15.5
1974-07-19,19.75,28,11.5
1974-07-20,16.25,20.5,12
1974-07-21,21.25,30.5,12
1974-07-22,23.5,31.5,15.5
1974-07-23,17.75,20,15.5
1974-07-24,18.25,22,14.5
1974-07-25,23,30,16
1974-07-26,24.5,32,17
1974-07-27,21.5,29,14
1974-07-28,21.75,31,12.5
1974-07-29,20.75,29.5,12
1974-07-30,20.25,30,10.5
1974-07-31,20.25,25,15.5
1974-09-01,22.25,29.5,15
1974-09-02,22.5,31,14
1974-09-03,23,31,15
1974-09-04,21.5,27,16
1974-09-05,22,28.5,15.5
1974-09-06,21,29.5,12.5
1974-09-07,21.5,31.5,11.5
1974-09-08,21.75,31.5,12
1974-09-09,20,29.5,10.5
1974-09-10,19.5,28,11
1974-09-11,21,27,15
1974-09-12,23.75,32,15.5
1974-09-13,22,27,17
1974-09-14,20.75,25,16.5
1974-09-15,21.5,28,15
1974-09-16,21.5,28,15
1974-09-17,22,29.5,14.5
1974-09-18,21.25,27.5,15
1974-09-19,21.75,27,16.5
1974-09-20,22,28,16
1974-09-21,19,25,13
1974-09-22,16,20,12
1974-09-23,18,20,16
1974-09-24,20.5,26,15
1974-09-25,22,28,16
1974-09-26,23,29,17
1974-09-27,23.25,29,17.5
1974-09-28,24,29.5,18.5
1974-09-29,19.75,23.5,16
1974-09-30,20.25,26.5,14
1974-10-01,18.5,24.5,12.5
1974-10-02,18,24.5,11.5
1974-10-03,18,25,11
1974-10-04,16.5,24,9
1974-10-05,19.25,26,12.5
1974-10-06,19.75,26,13.5
1974-10-07,17.75,25.5,10
1974-10-08,20,26,14
1974-10-09,20.25,26,14.5
1974-10-10,18.75,24.5,13
1974-10-11,18.5,27,10
1974-10-12,17.75,26,9.5
1974-10-13,18,26,10
1974-10-14,21.5,30,13
1974-10-15,17,19,15
1974-10-16,17.25,24,10.5
1974-10-17,17.75,25,10.5
1974-10-18,14.25,17,11.5
1974-10-19,15.5,24,7
1974-10-20,16.25,23.5,9
1974-10-21,16,22,10
1974-10-22,17,22,12
1974-10-23,17.75,22.5,13
1974-10-24,18.5,23,14
1974-10-25,19,24,14
1974-10-26,19.75,25.5,14
1974-10-27,20.5,26,15
1974-10-28,20.75,27,14.5
1974-10-29,20,28,12
1974-10-30,19.75,26.5,13
1974-10-31,22.5,29,16
1974-11-01,20.75,26,15.5
1974-11-02,20.75,26,15.5
1974-11-03,23,30,16
1974-11-04,21.25,30,12.5
1974-11-05,19,24,14
1974-11-06,16.75,19.5,14
1974-11-07,16.5,21.5,11.5
1974-11-08,18.25,23.5,13
1974-11-09,19.75,26.5,13
1974-11-10,20,27.5,12.5
1974-11-11,20.75,28,13.5
1974-11-12,10.75,12,9.5
1974-11-13,11.75,21.5,2
1974-11-14,14.75,25.5,4
1974-11-15,18,26,10
1974-11-16,19.5,27,12
1974-11-17,19.75,28,11.5
1974-11-18,20.25,27.5,13
1974-11-19,20.5,29,12
1974-11-20,18.25,25,11.5
1974-11-21,16.75,22,11.5
1974-11-22,18,26,10
1974-11-23,19.5,28,11
1974-11-24,15.75,19.5,12
1974-11-25,11,18,4
1974-11-26,10.5,20,1
1974-11-27,12.25,21.5,3
1974-11-28,13,24,2
1974-11-29,13.75,23,4.5
1974-11-30,14.25,21,7.5
1974-12-01,6.25,7.5,5
1974-12-02,8.5,12,5
1974-12-03,10.75,15,6.5
1974-12-04,15.25,22,8.5
1974-12-05,14.75,22,7.5
1974-12-06,18,26,10
1974-12-07,15.25,22,8.5
1974-12-08,12.75,16.5,9
1974-12-09,13.75,19,8.5
1974-12-10,15,21.5,8.5
1974-12-11,14.25,21,7.5
1974-12-12,13.75,19,8.5
1974-12-13,11.5,14,9
1974-12-14,16.5,23,10
1974-12-15,18.5,24,13
1974-12-16,16,23,9
1974-12-17,11,16,6
1974-12-18,15,24,6
1974-12-19,13,19,7
1974-12-20,14.5,19,10
1974-12-21,14,22,6
1974-12-22,13.25,19.5,7
1974-12-23,16.25,22.5,10
1974-12-24,18.25,26,10.5
1974-12-25,16,21,11
1974-12-26,15.75,20,11.5
1974-12-27,14.5,17,12
1974-12-28,17.5,23,12
1974-12-29,18.75,26.5,11
1974-12-30,17.75,24.5,11
1974-12-31,18.75,27,10.5
1975-01-01,13.5,16,11
1975-01-02,17,23,11
1975-01-03,17,23,11
1975-01-04,9.75,11,8.5
1975-01-05,13.5,22,5
1975-01-06,13.75,20.5,7
1975-01-07,16.25,23.5,9
1975-01-08,16.75,23.5,10
1975-01-09,16.75,24.5,9
1975-01-10,16.75,24.5,9
1975-01-11,16,24.5,7.5
1975-01-12,15.5,24,7
1975-01-13,12.25,20,4.5
1975-01-14,10.5,20.5,0.5
1975-01-15,12.5,23,2
1975-01-16,12.5,21.5,3.5
1975-01-17,12,19.5,4.5
1975-01-18,16.5,24,9
1975-01-19,12.25,15.5,9
1975-01-20,6.5,7,6
1975-01-21,11.75,19,4.5
1975-01-22,11.75,19,4.5
1975-01-23,13.75,17.5,10
1975-01-24,16.5,23,10
1975-01-25,16.75,23.5,10
1975-01-26,16.75,26.5,7
1975-01-27,16.25,26,6.5
1975-01-28,17.75,27,8.5
1975-01-29,17.5,26,9
1975-01-30,17.25,25,9.5
1975-01-31,20.5,27,14
1975-02-01,19.25,25,13.5
1975-02-02,19,24,14
1975-02-03,18.25,22,14.5
1975-02-04,18.5,23.5,13.5
1975-02-05,19.75,26,13.5
1975-02-06,16.5,24,9
1975-02-07,11.25,15.5,7
1975-02-08,15.5,24.5,6.5
1975-02-09,13,19.5,6.5
1975-02-10,14.5,19.5,9.5
1975-02-11,17.5,27,8
1975-02-12,15,22,8
1975-02-13,13.5,21,6
1975-02-14,17,27,7
1975-02-15,18.25,26.5,10
1975-02-16,18.75,27.5,10
1975-02-17,20.25,29.5,11
1975-02-18,19.5,27,12
1975-02-19,17.75,23.5,12
1975-02-20,13.75,15,12.5
1975-02-21,16.25,25.5,7
1975-02-22,18,27.5,8.5
1975-02-23,17,25,9
1975-02-24,10.5,21,0
1975-02-25,11.5,23,0
1975-02-26,15.75,27,4.5
1975-02-27,15.25,23.5,7
1975-02-28,16,22,10
1975-03-01,18.5,26.5,10.5
1975-03-02,18.25,26,10.5
1975-03-03,18.5,27,10
1975-03-04,19.25,28,10.5
1975-03-05,18,23.5,12.5
1975-03-06,21,29.5,12.5
1975-03-07,20.5,31.5,9.5
1975-03-08,18,25,11
1975-03-09,21,28.5,13.5
1975-03-10,22.25,31,13.5
1975-03-11,19.75,27,12.5
1975-03-12,20.75,29,12.5
1975-03-13,19,28,10
1975-03-14,12.75,20,5.5
1975-03-15,19,30,8
1975-03-16,20.5,30,11
1975-03-17,22.5,31,14
1975-03-18,22,30.5,13.5
1975-03-19,18.5,27,10
1975-03-20,20.5,32,9
1975-03-21,22.75,33.5,12
1975-03-22,24.5,33,16
1975-03-23,23.5,32,15
1975-03-24,21.75,30,13.5
1975-03-25,17.5,26,9
1975-03-26,21,30,12
1975-03-27,22,29,15
1975-03-28,24.5,32,17
1975-03-29,24,31,17
1975-03-30,19.5,25,14
1975-03-31,19.5,32,7
1975-04-01,21.75,33,10.5
1975-04-02,24,34,14
1975-04-03,21.5,28.5,14.5
1975-04-04,19,30.5,7.5
1975-04-05,19.25,28,10.5
1975-04-06,18.25,23,13.5
1975-04-07,22,30.5,13.5
1975-04-08,24,32,16
1975-04-09,23.5,32.5,14.5
1975-04-10,24.5,32.5,16.5
1975-04-11,23.75,32.5,15
1975-04-12,21,28,14
1975-04-13,22.75,33,12.5
1975-04-14,23,33,13
1975-04-15,21.75,29,14.5
1975-04-16,22.75,32,13.5
1975-04-17,23.5,35,12
1975-04-18,25,35.5,14.5
1975-04-19,24,30,18
1975-04-20,19.75,28.5,11
1975-04-21,19.75,27.5,12
1975-04-22,17.75,23,12.5
1975-04-23,21,30.5,11.5
1975-04-24,21.5,29,14
1975-04-25,25.5,35,16
1975-04-26,25.5,35,16
1975-04-27,24.5,33,16
1975-04-28,23.5,32.5,14.5
1975-04-29,24.5,32,17
1975-04-30,23.75,33.5,14
1975-05-01,22.5,30,15
1975-05-02,23.25,30,16.5
1975-05-03,25,34,16
