Estación: ,C19087,ZARAGOZA. ZARAGOZA
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 45' 00'',Latitud:,23° 59' 00

Fecha,Promedio,Máximo,Mínimo
1974-06-16,19,25,13
1974-06-17,21,28,14
1974-06-18,20.5,27,14
1974-06-19,20,26,14
1974-06-20,21.5,28,15
1974-06-21,21,26,16
1974-06-22,21.5,28,15
1974-06-23,21,26,16
1974-06-24,21.5,28,15
1974-06-25,21.5,28,15
1974-06-26,17.5,25,10
1974-06-27,17,24,10
1974-06-28,17.5,24,11
1974-06-29,19,27,11
1974-06-30,20,29,11
1974-07-01,23.5,28,19
1974-07-02,20.5,27,14
1974-07-03,20,27,13
1974-07-04,20.5,26,15
1974-07-05,19,27,11
1974-07-06,18,25,11
1974-07-07,18.5,26,11
1974-07-08,21,28,14
1974-07-09,19.5,26,13
1974-07-10,19,26,12
1974-07-11,20,26,14
1974-07-12,18.5,21,16
1974-07-13,20,24,16
1974-07-14,18,26,10
1974-07-15,19,27,11
1974-07-16,20.25,28,12.5
1974-07-17,20.75,28,13.5
1974-07-18,19.5,25,14
1974-07-19,19,27,11
1974-07-20,20,28,12
1974-07-21,20.75,28.5,13
1974-07-22,21.5,28.5,14.5
1974-07-23,21.25,28,14.5
1974-07-24,20.5,28,13
1974-07-25,21.5,30,13
1974-07-26,21.75,30,13.5
1974-07-27,21.75,29,14.5
1974-07-28,21.5,30.5,12.5
1974-07-29,21.5,29.5,13.5
1974-07-30,21,29,13
1974-07-31,20,27,13
1974-08-01,21.5,29,14
1974-08-02,21,27.5,14.5
1974-08-03,20.75,27,14.5
1974-08-04,21,28,14
1974-08-05,21.25,29.5,13
1974-08-06,22.75,31,14.5
1974-08-07,21.75,28,15.5
1974-08-08,19.25,27,11.5
1974-08-09,20.5,28,13
1974-08-10,23,32,14
1974-08-11,21.75,30.5,13
1974-08-12,21,29,13
1974-08-13,22.25,30.5,14
1974-08-14,21.25,30,12.5
1974-08-15,21.25,29.5,13
1974-08-16,21.75,29.5,14
1974-08-17,20.75,28.5,13
1974-08-18,21.5,29.5,13.5
1974-08-19,19.5,26,13
1974-08-20,21.75,30,13.5
1974-08-21,21.25,29.5,13
1974-08-22,20.75,28.5,13
1974-08-23,20.75,28,13.5
1974-08-24,16,20,12
1974-08-25,21,29,13
1974-08-26,20.5,28,13
1974-08-27,22.25,30,14.5
1974-08-28,22,29,15
1974-08-29,22.5,29,16
1974-08-30,22.25,28.5,16
1974-08-31,21,27.5,14.5
1974-09-01,22.25,30.5,14
1974-09-02,22.25,31,13.5
1974-09-03,20.25,26,14.5
1974-09-04,20,25,15
1974-09-05,18.25,23,13.5
1974-09-06,18.75,28,9.5
1974-09-07,19.75,28,11.5
1974-09-08,19.25,28.5,10
1974-09-09,20,28.5,11.5
1974-09-10,20.5,29,12
1974-09-11,20.75,29,12.5
1974-09-12,22.75,32.5,13
1974-09-13,21.5,27,16
1974-09-14,22.75,28.5,17
1974-09-15,20.5,25,16
1974-09-16,22,28,16
1974-09-17,20.25,27.5,13
1974-09-18,20.25,26,14.5
1974-09-19,21,26.5,15.5
1974-09-20,20.25,26,14.5
1974-09-21,17.75,21.5,14
1974-09-22,17,19,15
1974-09-23,18,21,15
1974-09-24,21.75,28,15.5
1974-09-25,20.75,25,16.5
1974-09-26,20.75,27,14.5
1974-09-27,22.5,29,16
1974-09-28,23,29,17
1974-09-29,17.75,19.5,16
1974-09-30,21.5,28.5,14.5
1974-10-01,18.55,21.6,15.5
1974-10-02,15.75,22,9.5
1974-10-03,16,22,10
1974-10-04,16,24,8
1974-10-05,16.5,23.5,9.5
1974-10-06,17.5,24.5,10.5
1974-10-07,17.25,23.5,11
1974-10-08,17.25,23.5,11
1974-10-09,17.75,23.5,12
1974-10-10,16,23,9
1974-10-11,17,25.5,8.5
1974-10-12,18.25,26,10.5
1974-10-13,19.25,26,12.5
1974-10-14,21,30,12
1974-10-15,16,18,14
1974-10-16,15.25,20.5,10
1974-10-17,16.5,22,11
1974-10-18,15.25,19.5,11
1974-10-19,15,21.5,8.5
1974-10-20,14.25,21,7.5
1974-10-21,16,22,10
1974-10-22,15.25,19,11.5
1974-10-23,16.75,19.5,14
1974-10-24,18,22,14
1974-10-25,17.75,22.5,13
1974-10-26,18.25,23,13.5
1974-10-27,20.5,27,14
1974-10-28,22.25,29,15.5
1974-10-29,21.25,28.5,14
1974-10-30,20,27,13
1974-10-31,20,27.5,12.5
1974-11-01,19.5,27,12
1974-11-02,21,29,13
1974-11-03,20.5,30,11
1974-11-04,18,27,9
1974-11-05,16.25,21,11.5
1974-11-06,15.25,21,9.5
1974-11-07,15,22,8
1974-11-08,16.25,24.5,8
1974-11-09,18,28.5,7.5
1974-11-10,18.5,28,9
1974-11-11,15.25,18.5,12
1974-11-12,10.5,16,5
1974-11-13,12.75,23,2.5
1974-11-14,13.25,22,4.5
1974-11-15,11.5,19,4
1974-11-16,16.5,28,5
1974-11-17,16.75,27,6.5
1974-11-18,18.75,28,9.5
1974-11-19,18.75,27,10.5
1974-11-20,15.75,21.5,10
1974-11-21,14.75,20,9.5
1974-11-22,18.5,28.5,8.5
1974-11-23,19.25,28.5,10
1974-11-24,14.75,17,12.5
1974-11-25,9.5,16,3
1974-11-26,10.5,21,0
1974-11-27,10,19,1
1974-11-28,13.75,24,3.5
1974-11-29,14,24,4
1974-11-30,8,13,3
1974-12-01,5.25,8,2.5
1974-12-02,9,15,3
1974-12-03,10.5,18,3
1974-12-04,14.75,24,5.5
1974-12-05,16.75,28.5,5
1974-12-06,20,28,12
1974-12-07,12.5,18,7
1974-12-08,9.5,15,4
1974-12-09,8.25,11.5,5
1974-12-10,16,26,6
1974-12-11,14.5,22,7
1974-12-12,14.5,22,7
1974-12-13,17.25,23,11.5
1974-12-14,18.25,25.5,11
1974-12-15,16,23.5,8.5
1974-12-16,14.45,21,7.9
1974-12-17,10,20,0
1974-12-18,12.75,24,1.5
1974-12-19,17.5,26,9
1974-12-20,14.75,20,9.5
1974-12-21,14.25,21,7.5
1974-12-22,14.5,24,5
1974-12-23,15.25,25,5.5
1974-12-24,16.5,21,12
1974-12-25,13.5,18,9
1974-12-26,15,23,7
1974-12-27,14,20,8
1974-12-28,18.75,27.5,10
1974-12-29,19.75,29.5,10
1974-12-30,19.25,29,9.5
1974-12-31,17.75,24,11.5
1975-01-01,15,19.5,10.5
1975-01-02,16.25,25,7.5
1975-01-03,12,16,8
1975-01-04,10.5,15,6
1975-01-05,13.25,23.5,3
1975-01-06,13.75,22.5,5
1975-01-07,16.75,25.5,8
1975-01-08,17.5,24,11
1975-01-09,19.25,26.5,12
1975-01-10,20.75,26,15.5
1975-01-11,17.75,26.5,9
1975-01-12,8,10.5,5.5
1975-01-13,3.25,12.5,-6
1975-01-14,7,20,-6
1975-01-15,11.75,23.5,0
1975-01-16,14,24,4
1975-01-17,14.25,21.5,7
1975-01-18,14.75,24,5.5
1975-01-19,15,20,10
1975-01-20,7.5,12,3
1975-01-21,12.5,22,3
1975-01-22,10.5,16,5
1975-01-23,11.25,16,6.5
1975-01-24,16.75,26.5,7
1975-01-25,16.5,25,8
1975-01-26,18.5,28,9
1975-01-27,19.5,29,10
1975-01-28,18.5,28.5,8.5
1975-01-29,18,28,8
1975-01-30,17.75,27,8.5
1975-01-31,17.25,27,7.5
1975-02-01,19,27,11
1975-02-02,19.75,26,13.5
1975-02-03,19,26,12
1975-02-04,18,26.5,9.5
1975-02-05,18,27,9
1975-02-06,13,18,8
1975-02-07,10,16,4
1975-02-08,14.75,26,3.5
1975-02-09,14.25,22.5,6
1975-02-10,17.5,28,7
1975-02-11,18,28,8
1975-02-12,12.5,19,6
1975-02-13,14.25,23,5.5
1975-02-14,17.5,29,6
1975-02-15,19.75,28,11.5
1975-02-16,21,28,14
1975-02-17,19.5,30.5,8.5
1975-02-18,18.75,25.5,12
1975-02-19,12.5,20,5
1975-02-20,13.5,22,5
1975-02-21,16.25,27,5.5
1975-02-22,20.75,29.5,12
1975-02-23,5.75,10,1.5
1975-02-24,8,19,-3
1975-02-25,12.75,27.5,-2
1975-02-26,14.5,22,7
1975-02-27,16.75,26,7.5
1975-03-01,18.25,27.5,9
1975-03-02,18.75,26.5,11
1975-03-03,19,27,11
1975-03-04,16.5,21.5,11.5
1975-03-05,17.5,26.5,8.5
1975-03-06,19.5,30.5,8.5
1975-03-07,20.5,31,10
1975-03-08,17.5,23,12
1975-03-09,21.5,32,11
1975-03-10,23.5,33,14
1975-03-11,22.25,29.5,15
1975-03-12,24.25,32,16.5
1975-03-13,16,20,12
1975-03-14,12.5,21,4
1975-03-15,18.5,31,6
1975-03-16,15.5,23,8
1975-03-17,19,28,10
1975-03-18,22.25,32,12.5
1975-03-19,17.5,27,8
1975-03-20,21.5,33,10
1975-03-21,23.75,35,12.5
1975-03-22,25,35,15
1975-03-23,25,34,16
1975-03-24,19.25,24.5,14
1975-03-25,18,26.5,9.5
1975-03-26,22.25,33,11.5
1975-03-27,22.75,31,14.5
1975-03-28,26,34,18
1975-03-29,18.25,33.5,3
1975-03-30,14.5,26,3
1975-03-31,18.5,34,3
1975-04-01,20.75,35,6.5
1975-04-02,23.25,34.5,12
1975-04-03,14,18.5,9.5
1975-04-04,18,28,8
1975-04-05,20.25,28.5,12
1975-04-06,20,27,13
1975-04-07,23.75,33,14.5
1975-04-08,25,34,16
1975-04-09,22.75,29.5,16
