Estación: ,C19088,DOCTOR ARROYO 2. (DGE)
Variable: ,Evaporación (mm)
Longitud: ,100° 10' 36'',Latitud:,23° 40' 34

Fecha,Valor,NúmDatos
1974-06-16,4.4,CLIC
1974-06-17,6.5,CLIC
1974-06-18,6,CLIC
1974-06-19,7,CLIC
1974-06-20,2.5,CLIC
1974-06-21,1.5,CLIC
1974-06-22,3.5,CLIC
1974-06-23,1,CLIC
1974-06-24,4.1,CLIC
1974-06-25,6.3,CLIC
1974-06-26,3.8,CLIC
1974-06-27,7.4,CLIC
1974-06-28,6,CLIC
1974-06-29,7.1,CLIC
1974-06-30,3.4,CLIC
1974-07-01,2,CLIC
1974-07-02,4.1,CLIC
1974-07-03,7,CLIC
1974-07-04,4.4,CLIC
1974-07-05,1.8,CLIC
1974-07-06,4.1,CLIC
1974-07-07,5.9,CLIC
1974-07-08,5.1,CLIC
1974-07-09,5.6,CLIC
1974-07-10,6.1,CLIC
1974-07-11,3.3,CLIC
1974-07-12,3.1,CLIC
1974-07-13,6.2,CLIC
1974-07-14,8.3,CLIC
1974-07-15,5.7,CLIC
1974-07-16,3.9,CLIC
1974-07-17,2.2,CLIC
1974-07-18,2,CLIC
1974-07-19,4.6,CLIC
1974-07-20,6.4,CLIC
1974-07-21,6.5,CLIC
1974-07-22,8.6,CLIC
1974-07-23,3.2,CLIC
1974-07-24,5.9,CLIC
1974-07-25,6.2,CLIC
1974-07-26,4.8,CLIC
1974-07-27,3.1,CLIC
1974-07-28,5.7,CLIC
1974-07-29,6.5,CLIC
1974-07-30,7.9,CLIC
1974-07-31,8.4,CLIC
1974-08-01,3.8,CLIC
1974-08-02,5,CLIC
1974-08-03,7.4,CLIC
1974-08-04,6.9,CLIC
1974-08-05,6.8,CLIC
1974-08-06,9.4,CLIC
1974-08-07,3.7,CLIC
1974-08-08,7.2,CLIC
1974-08-09,8.4,CLIC
1974-08-10,8.7,CLIC
1974-08-11,5.1,CLIC
1974-08-12,6,CLIC
1974-08-13,7.2,CLIC
1974-08-14,7,CLIC
1974-08-15,5.1,CLIC
1974-08-16,7.8,CLIC
1974-08-17,3.4,CLIC
1974-08-18,5,CLIC
1974-08-19,8.3,CLIC
1974-08-20,5.1,CLIC
1974-08-21,6.7,CLIC
1974-08-22,5.4,CLIC
1974-08-23,5.9,CLIC
1974-08-24,5.1,CLIC
1974-08-25,6.6,CLIC
1974-08-26,7.4,CLIC
1974-08-27,6.9,CLIC
1974-08-28,7.6,CLIC
1974-08-29,3.5,CLIC
1974-08-30,6,CLIC
1974-08-31,7.3,CLIC
1974-09-01,6.5,CLIC
1974-09-02,8.5,CLIC
1974-09-03,4.7,CLIC
1974-09-04,5,CLIC
1974-09-05,7.3,CLIC
1974-09-06,6.6,CLIC
1974-09-07,7.8,CLIC
1974-09-08,7.6,CLIC
1974-09-09,6.7,CLIC
1974-09-10,4.4,CLIC
1974-09-11,3.6,CLIC
1974-09-12,6.7,CLIC
1974-09-13,5.6,CLIC
1974-09-14,6,CLIC
1974-09-15,3.7,CLIC
1974-09-16,5.9,CLIC
1974-09-17,6.1,CLIC
1974-09-18,5.4,CLIC
1974-09-19,3.6,CLIC
1974-09-20,6.4,CLIC
1974-09-21,4.1,CLIC
1974-09-22,1.5,CLIC
1974-09-23,1.6,CLIC
1974-09-24,5.6,CLIC
1974-09-25,5.5,CLIC
1974-09-26,4.6,CLIC
1974-09-27,5.2,CLIC
1974-09-28,5.1,CLIC
1974-09-29,4.8,CLIC
1974-09-30,5.3,CLIC
1974-10-01,6.2,CLIC
1974-10-02,6.1,CLIC
1974-10-03,6,CLIC
1974-10-04,2.4,CLIC
1974-10-05,6.6,CLIC
1974-10-06,5.7,CLIC
1974-10-07,4.8,CLIC
1974-10-08,5.1,CLIC
1974-10-09,2.3,CLIC
1974-10-10,6.4,CLIC
1974-10-11,6,CLIC
1974-10-12,5.5,CLIC
1974-10-13,5.2,CLIC
1974-10-14,5.3,CLIC
1974-10-15,4.6,CLIC
1974-10-16,3.3,CLIC
1974-10-17,3.4,CLIC
1974-10-18,2.7,CLIC
1974-10-19,2,CLIC
1974-10-20,3.7,CLIC
1974-10-21,4,CLIC
1974-10-22,4.6,CLIC
1974-10-23,2.4,CLIC
1974-10-24,3.8,CLIC
1974-10-25,2.5,CLIC
1974-10-26,2.1,CLIC
1974-10-27,4.3,CLIC
1974-10-28,3.8,CLIC
1974-10-29,6.4,CLIC
1974-10-30,3.4,CLIC
1974-10-31,3.1,CLIC
1974-11-01,4.9,CLIC
1974-11-02,4.6,CLIC
1974-11-03,3.6,CLIC
1974-11-04,6.3,CLIC
1974-11-05,3.9,CLIC
1974-11-06,3.7,CLIC
1974-11-07,4,CLIC
1974-11-08,3.5,CLIC
1974-11-09,4.4,CLIC
1974-11-10,3.9,CLIC
1974-11-11,4.3,CLIC
1974-11-12,4.7,CLIC
1974-11-13,5.5,CLIC
1974-11-14,2.7,CLIC
1974-11-15,5.4,CLIC
1974-11-16,3.5,CLIC
1974-11-17,3.2,CLIC
1974-11-18,4.6,CLIC
1974-11-19,4.8,CLIC
1974-11-20,3.8,CLIC
1974-11-21,2.9,CLIC
1974-11-22,2.8,CLIC
1974-11-23,3.1,CLIC
1974-11-24,3.2,CLIC
1974-11-25,5.7,CLIC
1974-11-26,3.3,CLIC
1974-11-27,3.5,CLIC
1974-11-28,3.5,CLIC
1974-11-29,4.1,CLIC
