Estación: ,C19088,DOCTOR ARROYO 2. (DGE)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 10' 36'',Latitud:,23° 40' 34

Fecha,Promedio,Máximo,Mínimo
1972-04-09,21,30,12
1972-04-10,22.5,33,12
1972-04-11,25,34,16
1972-04-12,25,34,16
1972-04-13,24.5,36,13
1972-04-14,25,35,15
1972-04-15,24.5,35,14
1972-04-16,23,32,14
1972-04-17,21,30,12
1972-04-18,22.5,32,13
1972-04-19,21.5,31,12
1972-04-20,23.5,34,13
1972-04-21,25,35,15
1972-04-22,24.5,34,15
1972-04-23,23,30,16
1972-04-24,22,31,13
1972-04-25,23.5,31,16
1972-04-26,23,30,16
1972-04-27,24.5,32,17
1972-04-28,23.5,31,16
1972-04-29,22,32,12
1972-04-30,24.25,33,15.5
1972-05-01,24,31,17
1972-05-02,23.75,31,16.5
1972-05-03,21.5,31,12
1972-05-04,18.5,23,14
1972-05-05,15.75,19,12.5
1972-05-06,21.5,28,15
1972-05-07,23,31,15
1972-05-08,24.25,32,16.5
1972-05-09,23.25,29,17.5
1972-05-10,22.75,29.5,16
1972-05-11,24.5,32,17
1972-05-12,24,32,16
1972-05-13,25,33,17
1972-05-14,24.5,31,18
1972-05-15,24,32,16
1972-05-16,23.5,31,16
1972-05-17,25,33,17
1972-05-18,25,34,16
1972-05-19,22,28,16
1972-05-20,21,30,12
1972-05-21,24.25,32.5,16
1972-05-22,24,32,16
1972-05-23,24,32,16
1972-05-24,24,32,16
1972-05-25,24,31,17
1972-05-26,21.5,31,12
1972-05-27,22,30,14
1972-05-28,20.5,27,14
1972-05-29,21,27,15
1972-05-30,20.5,26,15
1972-05-31,22,28,16
1972-06-01,21,27,15
1972-06-02,20.5,26,15
1972-06-03,23.5,31,16
1972-06-04,21.5,27,16
1972-06-05,21.5,28,15
1972-06-06,22.5,30,15
1972-06-07,23.5,32,15
1972-06-08,22.5,29,16
1972-06-09,23,32,14
1972-06-10,23.5,31,16
1972-06-11,23,30,16
1972-06-12,21.5,28,15
1972-06-13,23.5,31,16
1972-06-14,21,26,16
1972-06-15,23.5,30,17
1972-06-16,23,29,17
1972-06-17,24.75,33.5,16
1972-06-18,23.5,31,16
1972-06-19,24,32,16
1972-06-20,22.5,30,15
1972-06-21,22.5,30,15
1972-06-22,23,31,15
1972-06-23,24.5,32,17
1972-06-24,25,33,17
1972-06-25,25.5,33,18
1972-06-26,24.5,31,18
1972-06-27,24.5,33,16
1972-06-28,22.5,29,16
1972-06-29,22,30,14
1972-06-30,23,30,16
1972-07-01,23.5,31,16
1972-07-02,22.5,29,16
1972-07-03,24.75,32,17.5
1972-07-04,23,32,14
1972-07-05,21.5,31,12
1972-07-06,21.5,31,12
1972-07-07,22.5,31,14
1972-07-08,23,31,15
1972-07-09,22.5,30,15
1972-07-10,23.75,31.5,16
1972-07-11,22,30,14
1972-07-12,23.5,32,15
1972-07-13,24,33,15
1972-07-14,23,31,15
1972-07-15,22.5,30,15
1972-07-16,23.75,31.5,16
1972-07-17,25.25,34.5,16
1972-07-18,26,36,16
1972-07-19,25,34,16
1972-07-20,25,34,16
1972-07-21,24,34,14
1972-07-22,25.5,35,16
1972-07-23,25,35,15
1972-07-24,24.5,35,14
1972-07-25,25,37,13
1972-07-26,24.5,35,14
1972-07-27,23.5,32,15
1972-07-28,24,32,16
1972-07-29,24,33,15
1972-07-30,22.5,32,13
1972-07-31,23,32,14
1972-08-01,24.5,34,15
1972-08-02,23,32,14
1972-08-03,24,33,15
1972-08-04,24.5,34,15
1972-08-05,24,33,15
1972-08-06,22.5,32,13
1972-08-07,23,32,14
1972-08-08,23.25,31.5,15
1972-08-09,25,33,17
1972-08-10,22,32,12
1972-08-11,23.5,32,15
1972-08-12,22.5,35,10
1972-08-13,23.25,31.5,15
1972-08-14,22.5,32,13
1972-08-15,21.5,31,12
1972-08-16,21.5,30,13
1972-08-17,23.5,33,14
1972-08-18,23,34,12
1972-08-19,21,32,10
1972-08-20,24,34,14
1972-08-21,22.25,31.5,13
1972-08-22,22.5,31,14
1972-08-23,21.5,30,13
1972-08-24,24.25,33.5,15
1972-08-25,23.75,33.5,14
1972-08-26,25,35,15
1972-08-27,23,32,14
1972-08-28,24,33,15
1972-08-29,24,33,15
1972-08-30,23.5,32,15
1972-08-31,23.5,32,15
1972-09-01,22.5,30,15
1972-09-02,23.5,31,16
1972-09-03,24,31,17
1972-09-04,23,31,15
1972-09-05,22.5,30,15
1972-09-06,22.5,30,15
1972-09-07,24.5,31,18
1972-09-08,24,31,17
1972-09-09,23.75,31.5,16
1972-09-10,23.5,32,15
1972-09-11,24,32,16
1972-09-12,24.5,33,16
1972-09-13,25,35,15
1972-09-14,23.25,31.5,15
1972-09-15,24,32,16
1972-09-16,24.5,32,17
1972-09-17,23,31,15
1972-09-18,23.5,31,16
1972-09-19,23.5,33,14
1972-09-20,24.5,34,15
1972-09-21,22,30,14
1972-09-22,23.5,31,16
1972-09-23,24.5,33,16
1972-09-24,23,31,15
1972-09-25,23,30,16
1972-09-26,24.5,32,17
1972-09-27,23.5,32,15
1972-09-28,23.5,32,15
1972-09-29,23,31,15
1972-09-30,21.5,31,12
1972-10-01,22.5,30,15
1972-10-02,22.5,30,15
1972-10-03,22.5,31,14
1972-10-04,21.5,32,11
1972-10-05,24,33,15
1972-10-06,22.5,30,15
1972-10-07,22.5,31,14
1972-10-08,23,30,16
1972-10-09,24,32,16
1972-10-10,24.5,35,14
1972-10-11,23,33,13
1972-10-12,23,35,11
1972-10-13,23,34,12
1972-10-14,21.5,30,13
1972-10-15,24.5,32,17
1972-10-16,22,32,12
1972-10-17,22,30,14
1972-10-18,22,30,14
1972-10-19,23.5,32,15
1972-10-20,24.5,34,15
1972-10-21,23,32,14
1972-10-22,24,33,15
1972-10-23,23.5,32,15
1972-10-24,26,35,17
1972-10-25,24,33,15
1972-10-26,23,31,15
1972-10-27,19.5,30,9
1972-10-28,21,32,10
1972-10-29,22.5,30,15
1972-10-30,22.5,30,15
1972-10-31,23,30,16
1972-11-01,22.5,29,16
1972-11-02,25,33,17
1972-11-03,22,30,14
1972-11-04,23,30,16
1972-11-05,23,31,15
1972-11-06,22,30,14
1972-11-07,22,30,14
1972-11-08,21,30,12
1972-11-09,20.5,30,11
1972-11-10,21.5,31,12
1972-11-11,22,30,14
1972-11-12,21.5,31,12
1972-11-13,21.5,30,13
1972-11-14,21,30,12
1972-11-15,23,31,15
1972-11-16,23.5,31,16
1972-11-17,20.5,32,9
1972-11-18,22.5,33,12
1972-11-19,23,30,16
1972-11-20,21,30,12
1972-11-21,20,28,12
1972-11-22,19,28,10
1972-11-23,19.5,28,11
1972-11-24,19,28,10
1972-11-25,19.5,28,11
1972-11-26,17,24,10
1972-11-27,18.5,25,12
1972-11-28,18.5,25,12
1972-11-29,17.5,24,11
1972-11-30,19.5,28,11
1972-12-01,19,28,10
1972-12-02,16.5,23,10
1972-12-03,18,25,11
1972-12-04,19,28,10
1972-12-05,16.5,24,9
1972-12-06,16,23,9
1972-12-07,18,26,10
1972-12-08,18,25,11
1972-12-09,20.5,31,10
1972-12-10,20.5,30,11
1972-12-11,17,23,11
1972-12-12,17.5,23,12
1972-12-13,18,25,11
1972-12-14,16.5,23,10
1972-12-15,17.5,25,10
1972-12-16,12.5,18,7
1972-12-17,9,15,3
1972-12-18,12,20,4
1972-12-19,10.5,16,5
1972-12-20,10,15,5
1972-12-21,9,13,5
1972-12-22,9,18,0
1972-12-23,11,21,1
1972-12-24,9,17,1
1972-12-25,8.5,16,1
1972-12-26,13,22,4
1972-12-27,12.75,20.5,5
1972-12-28,11.5,18,5
1972-12-29,12.5,20,5
1972-12-30,17.5,25,10
1972-12-31,17.5,25,10
1973-01-01,15,21,9
1973-01-02,15.5,21,10
1973-01-03,16.25,26.5,6
1973-01-04,16.25,25.5,7
1973-01-05,18,25,11
1973-01-06,19,26,12
1973-01-07,18,25,11
1973-01-08,19,27,11
1973-01-09,13.5,19,8
1973-01-10,12,16,8
1973-01-11,10.5,15,6
1973-01-12,7.5,15,0
1973-01-13,9,18,0
1973-01-14,9.5,19,0
1973-01-15,8.5,17,0
1973-01-16,10.5,21,0
1973-01-17,10,15,5
1973-01-18,8.75,13.5,4
1973-01-19,10.5,16,5
1973-01-20,11.25,15.5,7
1973-01-21,11,18,4
1973-01-22,9.75,15.5,4
1973-01-23,13,21,5
1973-01-24,12.5,21,4
1973-01-25,13.75,20.5,7
1973-01-26,11.5,19,4
1973-01-27,13.5,23,4
1973-01-28,13.25,20.5,6
1973-01-29,8.5,12,5
1973-01-30,9,18,0
1973-01-31,8.5,17,0
1973-02-01,12,20,4
1973-02-02,12,20,4
1973-02-03,11.5,19,4
1973-02-04,12.5,21,4
1973-02-05,13,21,5
1973-02-06,13,20,6
1973-02-07,12,19,5
1973-02-08,13.5,21,6
1973-02-09,10,12,8
1973-02-10,6,10,2
1973-02-11,7,14,0
1973-02-12,11.5,23,0
1973-02-13,13.5,22,5
1973-02-14,15,24,6
1973-02-15,13.5,20,7
1973-02-16,13,19,7
1973-02-17,14,21,7
1973-02-18,18,29,7
1973-02-19,19,30,8
1973-02-20,20.5,31,10
1973-02-21,21.5,33,10
1973-02-22,19.5,29,10
1973-02-23,18.5,27,10
1973-02-24,17.5,26,9
1973-02-25,15.5,24,7
1973-02-26,16,23,9
1973-02-27,15.5,20,11
1973-02-28,18,25,11
