Estación: ,C19094,E.T.A. 43. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 34' 00'',Latitud:,24° 52' 00

Fecha,Valor,NúmDatos
1975-03-01,5.7,CLIC
1975-03-02,7,CLIC
1975-03-03,7.3,CLIC
1975-03-04,7.4,CLIC
1975-03-05,1.9,CLIC
1975-03-06,0.5,CLIC
1975-03-07,6.1,CLIC
1975-03-08,7,CLIC
1975-03-09,2.3,CLIC
1975-03-10,6.8,CLIC
1975-03-11,5.8,CLIC
1975-03-12,5.3,CLIC
1975-03-13,14.3,CLIC
1975-03-14,6.6,CLIC
1975-03-15,7.4,CLIC
1975-03-16,5.7,CLIC
1975-03-17,5.4,CLIC
1975-03-18,5.4,CLIC
1975-03-19,6.1,CLIC
1975-03-20,6.9,CLIC
1975-03-21,7.3,CLIC
1975-03-22,7.3,CLIC
1975-03-23,5.6,CLIC
1975-03-24,7.7,CLIC
1975-03-25,7.2,CLIC
1975-03-26,8.4,CLIC
1975-03-27,8.2,CLIC
1975-03-28,10.4,CLIC
1975-03-29,11,CLIC
1975-03-30,6.1,CLIC
1975-03-31,2.3,CLIC
1975-04-01,5.6,CLIC
1975-04-02,7.7,CLIC
1975-04-03,9.1,CLIC
1975-04-04,9.1,CLIC
1975-04-05,5.5,CLIC
1975-04-06,6,CLIC
1975-04-07,8.6,CLIC
1975-04-08,4.7,CLIC
1975-04-09,5.2,CLIC
1975-04-10,6,CLIC
1975-04-11,6.1,CLIC
1975-04-12,0.5,CLIC
1975-04-13,0.5,CLIC
1975-04-14,4.8,CLIC
1975-04-15,5.9,CLIC
1975-04-16,7.5,CLIC
1975-04-17,11.1,CLIC
1975-04-18,10.8,CLIC
1975-04-19,9.3,CLIC
1975-04-20,12,CLIC
1975-04-21,6.5,CLIC
1975-04-22,6.4,CLIC
1975-04-23,11.8,CLIC
1975-04-24,12.7,CLIC
1975-04-25,11.6,CLIC
1975-04-26,11.2,CLIC
1975-04-27,10.3,CLIC
1975-04-28,6.7,CLIC
1975-04-29,6.4,CLIC
1975-04-30,7.4,CLIC
1975-05-01,10.2,CLIC
1975-05-02,6,CLIC
