Estación: ,C19095,OJO DE AGUA DE SABINAS
Variable: ,Evaporación (mm)
Longitud: ,100° 05' 00'',Latitud:,26° 30' 00

Fecha,Valor,NúmDatos
1982-03-15,4.8,CLIC
1982-03-16,4.8,CLIC
1982-03-17,5.1,CLIC
1982-03-18,3.4,CLIC
1982-03-19,4.5,CLIC
1982-03-20,3.3,CLIC
1982-03-21,3.9,CLIC
1982-03-22,4,CLIC
1982-03-23,3,CLIC
1982-03-24,4.3,CLIC
1982-03-25,3.3,CLIC
1982-03-26,4.5,CLIC
1982-03-27,1.9,CLIC
1982-03-28,2.8,CLIC
1982-03-29,3.5,CLIC
1982-03-30,5.4,CLIC
1982-03-31,5.2,CLIC
1982-04-01,4.8,CLIC
1982-04-02,3.3,CLIC
1982-04-03,4.7,CLIC
1982-04-04,4,CLIC
1982-04-05,4.1,CLIC
1982-04-06,3.4,CLIC
1982-04-07,4.6,CLIC
1982-04-08,4.9,CLIC
1982-04-09,3,CLIC
1982-04-10,1.5,CLIC
1982-04-11,4.6,CLIC
1982-04-12,5.5,CLIC
1982-04-13,6,CLIC
1982-04-14,8,CLIC
1982-04-15,6.1,CLIC
1982-04-16,5.9,CLIC
1982-04-17,6,CLIC
1982-04-18,4.5,CLIC
1982-04-19,3.8,CLIC
1982-04-20,4.2,CLIC
1982-04-21,4.8,CLIC
1982-04-22,4.1,CLIC
1982-04-23,5.9,CLIC
1982-04-24,5,CLIC
1982-04-25,3.1,CLIC
1982-04-26,3,CLIC
1982-04-27,3.7,CLIC
1982-04-28,3.3,CLIC
1982-04-29,1.9,CLIC
1982-04-30,1.8,CLIC
1982-05-01,3.9,CLIC
1982-05-02,3.4,CLIC
1982-05-03,5.4,CLIC
1982-05-04,5.2,CLIC
1982-05-05,6,CLIC
1982-05-06,4.3,CLIC
1982-05-07,5.7,CLIC
1982-05-08,4.4,CLIC
1982-05-09,5.5,CLIC
1982-05-10,4.5,CLIC
1982-05-11,6.6,CLIC
1982-05-12,4.9,CLIC
1982-05-13,4.9,CLIC
1982-05-14,5.1,CLIC
1982-05-15,5,CLIC
1982-05-16,4.8,CLIC
1982-05-17,4.5,CLIC
1982-05-18,5.9,CLIC
1982-05-19,5.9,CLIC
1982-05-20,5,CLIC
1982-05-21,5.7,CLIC
1982-05-22,5.3,CLIC
1982-05-24,5.7,CLIC
1982-05-25,5.4,CLIC
1982-05-26,4.8,CLIC
1982-05-27,4.3,CLIC
1982-05-28,5,CLIC
1982-05-29,5.6,CLIC
1982-05-30,3.4,CLIC
1982-05-31,5.8,CLIC
1982-06-01,6.5,CLIC
1982-06-02,6.7,CLIC
1982-06-03,7.6,CLIC
1982-06-04,6,CLIC
1982-06-05,5,CLIC
1982-06-06,5,CLIC
1982-06-07,4.2,CLIC
1982-06-08,5.6,CLIC
1982-06-09,5.2,CLIC
1982-06-10,5,CLIC
