Estación: ,C19095,OJO DE AGUA DE SABINAS
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 05' 00'',Latitud:,26° 30' 00

Fecha,Promedio,Máximo,Mínimo
1982-04-01,22.5,29,16
1982-04-02,22,26,18
1982-04-03,20.25,23.5,17
1982-04-04,20.5,25,16
1982-04-05,21,27,15
1982-04-06,20.5,25,16
1982-04-07,17.25,23.5,11
1982-04-08,22,28,16
1982-04-09,22,29,15
1982-04-10,20,26,14
1982-04-11,16.5,23,10
1982-04-12,18,25,11
1982-04-13,20.5,28,13
1982-04-14,20.5,27,14
1982-04-15,22.25,28.5,16
1982-04-16,23.25,29.5,17
1982-04-17,21.5,25,18
1982-04-18,23,27,19
1982-04-19,22,26,18
1982-04-20,19.5,23,16
1982-04-21,18,21,15
1982-04-22,20.5,30,11
1982-04-23,15.5,21,10
1982-04-24,14.5,18,11
1982-04-25,15.5,21,10
1982-04-26,18.5,26,11
1982-04-27,17.75,25.5,10
1982-04-28,16.75,23,10.5
1982-04-29,14,18,10
1982-04-30,14,22,6
1982-06-01,25.5,29,22
1982-06-02,25,27,23
1982-06-03,25.5,29,22
1982-06-04,25.25,28.5,22
1982-06-05,25.75,30.5,21
1982-06-06,25.5,29,22
1982-06-07,25.75,29.5,22
1982-06-08,26.25,30.5,22
1982-06-09,25,29,21
1982-06-10,25.25,30.5,20
1982-06-11,25.25,28.5,22
1982-06-12,26.75,31.5,22
1982-06-13,25,30,20
1982-06-14,27,33,21
1982-06-15,24.75,30.5,19
1982-06-16,24.75,29.5,20
1982-06-17,26,30,22
1982-06-18,27.5,32,23
1982-06-19,28,33,23
1982-06-20,25,29,21
1982-06-21,24,28,20
1982-06-22,25,29,21
1982-06-23,25.75,30.5,21
1982-06-24,26,29,23
1982-06-25,26,30,22
1982-06-26,25.75,29.5,22
1982-06-27,26.5,30,23
1982-06-28,26.5,31,22
1982-06-29,26.5,29,24
1982-06-30,26.75,30.5,23
1982-07-01,31,38,24
1982-07-02,29,35,23
1982-07-03,31.5,39,24
1982-07-04,30.5,38,23
1982-07-05,29.5,39,20
1982-07-06,29.75,38.5,21
1982-07-07,29,36,22
1982-07-08,30.25,37,23.5
1982-07-09,30.5,38,23
1982-07-10,28.5,35,22
1982-07-11,30,37,23
1982-07-12,31,38,24
1982-07-13,30.5,39,22
1982-07-14,29.5,36,23
1982-07-15,30,38,22
1982-07-16,31,39,23
1982-07-17,30,38,22
1982-07-18,28.75,35.5,22
1982-07-19,29.5,36,23
1982-07-20,29.5,37,22
1982-07-21,30.5,38,23
1982-07-22,31.5,39,24
1982-07-23,31,38,24
1982-07-24,29.5,37,22
1982-07-25,30.5,38,23
1982-07-26,30.75,37.5,24
1982-07-27,30.5,38,23
1982-07-28,31.5,39,24
1982-07-29,31,38,24
1982-07-30,30,37,23
1982-07-31,30,36,24
1982-08-01,30,36,24
1982-08-02,29,34,24
1982-08-03,30.5,38,23
1982-08-04,30.5,37,24
1982-08-05,29.5,36,23
1982-08-06,30,38,22
1982-08-07,31.5,39,24
1982-08-08,30.5,39,22
1982-08-09,29,36,22
1982-08-10,29,37,21
1982-08-11,28,34,22
1982-08-12,29.5,36,23
1982-08-13,30,37,23
1982-08-14,30.5,39,22
1982-08-15,30.5,38,23
1982-08-16,31,39,23
1982-08-17,30,36,24
1982-08-18,30,36,24
1982-08-19,30.5,37,24
1982-08-20,30,37,23
1982-08-21,29,35,23
1982-08-22,29,38,20
1982-08-23,30,39,21
1982-08-24,27.5,34,21
1982-08-25,29,36,22
1982-08-26,28.5,33,24
1982-08-27,29.5,36,23
1982-08-28,30,38,22
1982-08-29,30,37,23
1982-08-30,29,36,22
1982-08-31,29.5,36,23
1982-09-01,25.5,30,21
1982-09-02,26.5,31,22
1982-09-03,28.25,33,23.5
1982-09-04,25.75,30,21.5
1982-09-05,25.25,31.5,19
1982-09-06,27.5,35,20
1982-09-07,28.5,36,21
1982-09-08,28.5,35,22
1982-09-09,26.5,30,23
1982-09-10,26.25,31.5,21
1982-09-11,28,36,20
1982-09-12,27.5,33,22
1982-09-13,30,37,23
1982-09-14,28,32,24
1982-09-15,28.25,34,22.5
1982-09-16,26.5,32,21
1982-09-17,28.75,31.5,26
1982-09-18,29,34,24
1982-09-19,28.25,33,23.5
1982-09-20,28,32,24
1982-09-21,25.5,30,21
1982-09-22,24.5,29,20
1982-09-23,24.5,30,19
1982-09-24,27,31,23
1982-09-25,26.25,33,19.5
1982-09-26,25.75,31.5,20
1982-09-27,27,33,21
1982-09-28,27,32,22
1982-09-29,26,31,21
1982-09-30,27,34,20
1982-10-01,25.5,29,22
1982-10-02,24,27,21
1982-10-03,25,29,21
1982-10-04,23.5,28,19
1982-10-05,23,26,20
1982-10-06,23.5,27,20
1982-10-07,24.05,26.1,22
1982-10-08,24,28,20
1982-10-09,25.5,29,22
1982-10-10,21,24,18
1982-10-11,19.5,21,18
1982-10-12,20.5,29,12
1982-10-13,20.5,28,13
1982-10-14,20.5,29,12
1982-10-15,17,21,13
1982-10-16,20,26,14
1982-10-17,20.5,27,14
1982-10-18,22,29,15
1982-10-19,24.5,28,21
1982-10-20,24,29,19
1982-10-21,23,30,16
1982-10-22,21,27,15
1982-10-23,20,28,12
1982-10-24,16,21,11
1982-10-25,18.5,24,13
1982-10-26,17.5,25,10
1982-10-27,19.5,28,11
1982-10-28,19.5,29,10
1982-10-29,20.5,30,11
1982-10-30,25,34,16
1982-10-31,24,31,17
1982-11-01,19.5,29,10
1982-11-02,17.5,24,11
1982-11-03,19,26,12
1982-11-04,21.5,28,15
1982-11-05,15.55,19.1,12
1982-11-06,15.25,18,12.5
1982-11-07,19.5,26,13
1982-11-08,21,27,15
1982-11-09,19.5,26,13
1982-11-10,17.5,23,12
1982-11-11,16,22,10
1982-11-12,20.25,29,11.5
1982-11-13,18.5,27,10
1982-11-14,15.5,19,12
1982-11-15,15,22,8
1982-11-16,17.5,26,9
1982-11-17,17.5,23,12
1982-11-18,19.5,28,11
1982-11-19,21.5,29,14
1982-11-20,19,23,15
1982-11-21,22,28,16
1982-11-22,20.5,27,14
1982-11-23,15.5,21,10
1982-11-24,18.5,26,11
1982-11-25,17.5,21,14
1982-11-26,15.5,22,9
1982-11-27,13,19,7
1982-11-28,12,18,6
1982-11-29,13.75,19.5,8
1982-11-30,13,17,9
1982-12-01,15.5,21,10
1982-12-02,19,26,12
1982-12-03,16.25,21.5,11
1982-12-04,16.5,23,10
1982-12-05,14.75,20,9.5
1982-12-06,15.5,24,7
1982-12-07,14.25,21,7.5
1982-12-08,17.5,23,12
1982-12-09,18,26,10
1982-12-10,14.25,21,7.5
1982-12-11,16.5,26,7
1982-12-12,18,28,8
1982-12-13,17.5,26,9
1982-12-14,16.75,23,10.5
1982-12-15,17.5,26,9
1982-12-16,14.5,20,9
1982-12-17,14.75,19.5,10
1982-12-18,16,21,11
1982-12-19,16.75,22,11.5
1982-12-20,16.5,21,12
1982-12-21,19.5,26,13
1982-12-22,17.5,25,10
1982-12-23,16,23,9
1982-12-24,17,24,10
1982-12-25,16,21,11
1982-12-26,17.5,23,12
1982-12-27,17.5,24,11
1982-12-28,15.5,21,10
1982-12-29,15.5,20,11
1982-12-30,17.5,23,12
1982-12-31,16.5,20,13
1983-01-01,9,13,5
1983-01-02,7.25,10.5,4
1983-01-03,7,12,2
1983-01-04,10,15,5
1983-01-05,10.25,16,4.5
1983-01-06,8,13,3
1983-01-07,10,15,5
1983-01-08,11,16,6
1983-01-09,12,17,7
1983-01-10,13.5,19,8
1983-01-11,14,21,7
1983-01-12,14.25,20.5,8
1983-01-13,14.5,22,7
1983-01-14,16,23,9
1983-01-15,12.5,19,6
1983-01-16,14,21,7
1983-01-17,12.5,20,5
1983-01-18,12.5,19,6
1983-01-19,14,21,7
1983-01-20,14.5,21.5,7.5
1983-01-21,12,18,6
1983-01-22,9,14,4
1983-01-23,10.5,15,6
1983-01-24,10.75,14.5,7
1983-01-25,11.25,15,7.5
1983-01-26,12,16,8
1983-01-27,11,15,7
1983-01-28,10.25,14.5,6
1983-01-29,11.5,15,8
1983-01-30,12,17,7
1983-01-31,13,18,8
1983-02-01,12.5,16,9
1983-02-02,10.5,15,6
1983-02-03,11.5,16,7
1983-02-04,12.5,18,7
1983-02-05,12,16,8
1983-02-06,12.5,15,10
1983-02-07,12.5,13,12
1983-02-08,13,19,7
1983-02-09,14,18,10
1983-02-10,14,19,9
1983-02-11,16,21,11
1983-02-12,16,23,9
1983-02-13,17.5,24,11
1983-02-14,15,19,11
1983-02-15,15,21,9
1983-02-16,15.75,22.5,9
1983-02-17,16,24,8
1983-02-18,15,20,10
1983-02-19,18.5,26,11
1983-02-20,17.5,21,14
1983-02-21,14,19,9
1983-02-22,13.5,19,8
1983-02-23,14.25,19.5,9
1983-02-24,16.5,22,11
1983-02-25,17.5,21,14
1983-02-26,13.5,18,9
1983-02-27,14.5,19,10
1983-02-28,14,18,10
1983-03-01,15.5,20,11
1983-03-02,16.5,21,12
1983-03-03,21.5,29,14
1983-03-04,20.5,24,17
1983-03-05,19.5,23,16
1983-03-06,17.5,21,14
1983-03-07,17.5,22,13
1983-03-08,17,22,12
1983-03-09,18,21,15
1983-03-10,14.75,19.5,10
1983-03-11,15.75,21,10.5
1983-03-12,15.5,20,11
1983-03-13,15.75,19.5,12
1983-03-14,18,23,13
1983-03-15,17.25,21,13.5
1983-03-16,17.5,23,12
