Estación: ,C19096,LA HUASTECA.STA.CATARINA
Variable: ,Evaporación (mm)
Longitud: ,100° 27' 37.2'',Latitud:,25° 38' 11.2''

Fecha,Valor,NúmDatos
1982-11-01,5.2,CLIC
1982-11-02,3.6,CLIC
1982-11-03,2.5,CLIC
1982-11-04,5,CLIC
1982-11-05,3.5,CLIC
1982-11-06,4.3,CLIC
1982-11-07,4.9,CLIC
1982-11-08,2.2,CLIC
1982-11-09,5.6,CLIC
1982-11-10,2.5,CLIC
1982-11-11,4.5,CLIC
1982-11-12,3.5,CLIC
1982-11-13,5.5,CLIC
1982-11-14,4.3,CLIC
1982-11-15,5.7,CLIC
1982-11-16,3.5,CLIC
1982-11-17,2.8,CLIC
1982-11-18,3.5,CLIC
1982-11-19,4.5,CLIC
1982-11-20,2.5,CLIC
1982-11-21,4.1,CLIC
1982-11-22,3.3,CLIC
1982-11-23,3.7,CLIC
1982-11-24,4.5,CLIC
1982-11-25,4,CLIC
1982-11-26,3.5,CLIC
1982-11-27,7.1,CLIC
1982-11-28,1.9,CLIC
1982-11-29,3.9,CLIC
1982-11-30,4.6,CLIC
1982-12-01,3.8,CLIC
1982-12-02,3,CLIC
1982-12-03,4.2,CLIC
1982-12-04,5.9,CLIC
1982-12-05,5.4,CLIC
1982-12-06,1.5,CLIC
1982-12-07,3.5,CLIC
1982-12-08,2.6,CLIC
1982-12-09,1.3,CLIC
1982-12-10,1.2,CLIC
1982-12-11,2.6,CLIC
1982-12-12,1.9,CLIC
1982-12-13,2.5,CLIC
1982-12-14,1,CLIC
1982-12-15,2.8,CLIC
1982-12-16,3,CLIC
1982-12-17,1.9,CLIC
1982-12-18,4.4,CLIC
1982-12-19,5.6,CLIC
1982-12-20,4.4,CLIC
1982-12-21,4.9,CLIC
1982-12-22,4.4,CLIC
1982-12-23,4.4,CLIC
1982-12-24,3.7,CLIC
1982-12-25,3.9,CLIC
1982-12-26,4.7,CLIC
1982-12-27,3.3,CLIC
1982-12-28,3.9,CLIC
1982-12-29,3,CLIC
1982-12-30,2.8,CLIC
1982-12-31,1.4,CLIC
1983-01-01,2.1,CLIC
1983-01-02,2.6,CLIC
1983-01-03,2.4,CLIC
1983-01-04,1.9,CLIC
1983-01-05,3.5,CLIC
1983-01-06,3.2,CLIC
1983-01-07,3.5,CLIC
1983-01-08,3.5,CLIC
1983-01-09,3.4,CLIC
1983-01-10,5.1,CLIC
1983-01-11,4.6,CLIC
1983-01-12,2.7,CLIC
1983-01-13,3.6,CLIC
1983-01-14,3.6,CLIC
1983-01-15,3.1,CLIC
1983-01-16,2,CLIC
1983-01-17,1.9,CLIC
1983-01-18,2.1,CLIC
1983-01-19,2.1,CLIC
1983-01-20,2.7,CLIC
1983-01-21,2.2,CLIC
1983-01-22,1.4,CLIC
1983-01-23,2.8,CLIC
1983-01-24,1.9,CLIC
1983-01-25,1.5,CLIC
1983-01-26,3.6,CLIC
1983-01-27,2.3,CLIC
1983-01-28,2.1,CLIC
1983-01-29,1.9,CLIC
1983-01-30,5,CLIC
1983-01-31,5.6,CLIC
1983-02-01,2.4,CLIC
1983-02-02,4.7,CLIC
1983-02-03,2.1,CLIC
1983-02-04,3.5,CLIC
1983-02-05,3.3,CLIC
1983-02-06,3,CLIC
1983-02-07,1.5,CLIC
1983-02-08,4,CLIC
1983-02-09,4,CLIC
1983-02-10,2.8,CLIC
1983-02-11,2.8,CLIC
1983-02-12,4,CLIC
1983-02-13,4,CLIC
1983-02-14,1.7,CLIC
1983-02-15,3.8,CLIC
1983-02-16,2.4,CLIC
1983-02-17,3,CLIC
1983-02-18,4.6,CLIC
1983-02-19,5.2,CLIC
1983-02-20,4.7,CLIC
1983-02-21,4.1,CLIC
1983-02-22,4.4,CLIC
1983-02-23,4.1,CLIC
1983-02-24,3.5,CLIC
1983-02-25,3.9,CLIC
1983-02-26,3.6,CLIC
1983-02-27,3.3,CLIC
1983-02-28,2.7,CLIC
1983-03-01,5.9,CLIC
1983-03-02,2.1,CLIC
1983-03-03,7.6,CLIC
1983-03-04,3.4,CLIC
1983-03-05,9.3,CLIC
1983-03-06,6.6,CLIC
1983-03-07,6.7,CLIC
1983-03-08,3.6,CLIC
1983-03-09,5.1,CLIC
1983-03-10,4.8,CLIC
1983-03-11,3.8,CLIC
1983-03-12,3.3,CLIC
1983-03-13,3.6,CLIC
1983-03-14,3.1,CLIC
1983-03-15,3.9,CLIC
1983-03-16,4.4,CLIC
1983-03-17,4.8,CLIC
1983-03-18,3.8,CLIC
1983-03-19,6.9,CLIC
1983-03-20,6.1,CLIC
1983-03-21,8,CLIC
1983-03-22,6.7,CLIC
1983-03-23,4.4,CLIC
1983-03-24,7.6,CLIC
1983-03-25,4.8,CLIC
1983-03-26,7.2,CLIC
1983-03-27,7.1,CLIC
1983-03-28,6,CLIC
1983-03-29,2.9,CLIC
1983-03-30,4.5,CLIC
1983-03-31,7.9,CLIC
1983-04-01,13.1,CLIC
1983-04-02,1.1,CLIC
1983-04-03,4.1,CLIC
1983-04-04,10,CLIC
1983-04-05,5.1,CLIC
1983-04-06,7.8,CLIC
1983-04-07,2,CLIC
1983-04-08,5.1,CLIC
1983-04-09,3.5,CLIC
1983-04-10,8.1,CLIC
1983-04-11,8.1,CLIC
1983-04-12,10,CLIC
1983-04-13,10.1,CLIC
1983-04-14,7.9,CLIC
1983-04-15,6.8,CLIC
1983-04-16,5.1,CLIC
1983-04-17,7.9,CLIC
1983-04-18,6.9,CLIC
1983-04-19,10,CLIC
1983-04-20,7.6,CLIC
1983-04-21,11.3,CLIC
1983-04-22,10.7,CLIC
1983-04-23,10.2,CLIC
1983-04-24,7.6,CLIC
1983-04-25,5.8,CLIC
1983-04-26,2.6,CLIC
1983-04-27,12.3,CLIC
1983-04-28,14.4,CLIC
1983-04-29,6.4,CLIC
1983-04-30,6.9,CLIC
1991-08-08,2.32,CLIC
1991-08-09,2.39,CLIC
1991-08-10,10.18,CLIC
1991-08-11,9.19,CLIC
1991-08-12,6.59,CLIC
1991-08-13,10.37,CLIC
1991-08-14,9.98,CLIC
1991-08-15,8.82,CLIC
1991-08-16,7.45,CLIC
1991-08-17,10.74,CLIC
1991-08-18,8.88,CLIC
1991-08-19,10.7,CLIC
1991-08-20,8.89,CLIC
1991-08-21,8.55,CLIC
1991-08-22,9.59,CLIC
1991-08-23,8.47,CLIC
1991-08-24,4.5,CLIC
1991-08-25,6.85,CLIC
1991-08-26,7.75,CLIC
1991-08-27,2.83,CLIC
1991-08-28,6.06,CLIC
1991-08-29,8.36,CLIC
1991-08-30,8.82,CLIC
1991-08-31,6.84,CLIC
1991-09-01,3.62,CLIC
1991-09-02,7.8,CLIC
1991-09-03,6.03,CLIC
1991-09-04,2.5,CLIC
1991-09-05,1.51,CLIC
1991-09-06,6.01,CLIC
1991-09-07,4.5,CLIC
1991-09-08,1.5,CLIC
1991-09-09,4.78,CLIC
1991-09-10,5.85,CLIC
1991-09-11,6.92,CLIC
1991-09-12,4,CLIC
1991-09-13,6.5,CLIC
1991-09-14,3.97,CLIC
1991-09-15,3.44,CLIC
1991-09-16,2.88,CLIC
1991-09-17,3.5,CLIC
1991-09-18,3.22,CLIC
1991-09-19,5.76,CLIC
1991-09-20,2.72,CLIC
1991-09-21,1.78,CLIC
1991-09-22,7.5,CLIC
1991-09-23,3.76,CLIC
1991-09-24,9.31,CLIC
1991-09-25,2.5,CLIC
1991-09-26,7.53,CLIC
1991-09-27,4.41,CLIC
1991-09-28,3.64,CLIC
1991-09-29,3.33,CLIC
1991-09-30,1.04,CLIC
1991-11-01,2.28,CLIC
1991-11-02,4.18,CLIC
1991-11-03,1.06,CLIC
1991-11-04,3.02,CLIC
1991-11-05,2.96,CLIC
1991-11-06,2.27,CLIC
1991-11-07,5.57,CLIC
1991-11-08,0.77,CLIC
1991-11-09,1.87,CLIC
1991-11-10,4.51,CLIC
1991-11-11,1.79,CLIC
1991-11-12,1.09,CLIC
1991-11-13,0.78,CLIC
1991-11-14,1.66,CLIC
1991-11-15,2.96,CLIC
1991-11-16,4.89,CLIC
1991-11-17,2.24,CLIC
1991-11-18,5.38,CLIC
1991-11-19,8.81,CLIC
1991-11-20,5.4,CLIC
1991-11-21,2.85,CLIC
1991-11-22,6.07,CLIC
1991-11-23,4.81,CLIC
1991-11-24,2.3,CLIC
1991-11-25,3.31,CLIC
1991-11-26,4.22,CLIC
1991-11-27,4.02,CLIC
1991-11-28,3.73,CLIC
1991-11-29,4.36,CLIC
1991-11-30,5.32,CLIC
1991-12-01,4,CLIC
1991-12-02,7.36,CLIC
1991-12-03,0.33,CLIC
1991-12-04,7.73,CLIC
1991-12-05,2.51,CLIC
1991-12-06,1.76,CLIC
1991-12-07,3.77,CLIC
1991-12-08,2.98,CLIC
1991-12-09,0.36,CLIC
1991-12-10,0.09,CLIC
1991-12-11,1.6,CLIC
1991-12-12,1.43,CLIC
1991-12-13,2.97,CLIC
1991-12-14,3,CLIC
1991-12-15,1,CLIC
1991-12-16,1,CLIC
1991-12-17,1,CLIC
1991-12-18,0.99,CLIC
1991-12-19,2.42,CLIC
1991-12-20,3.66,CLIC
1991-12-21,4.38,CLIC
1991-12-22,4.13,CLIC
1991-12-23,2.41,CLIC
1991-12-24,2.11,CLIC
1991-12-25,0.84,CLIC
1991-12-26,1.98,CLIC
1991-12-27,2.7,CLIC
1991-12-28,1.9,CLIC
1991-12-29,2,CLIC
1991-12-30,3.71,CLIC
1991-12-31,1.79,CLIC
1992-01-01,0.05,CLIC
1992-01-02,0.23,CLIC
1992-01-03,0.62,CLIC
1992-01-04,0.05,CLIC
1992-01-05,2.5,CLIC
1992-01-06,1.86,CLIC
1992-01-07,5.61,CLIC
1992-01-08,0.34,CLIC
1992-01-09,1,CLIC
1992-01-10,1,CLIC
1992-01-11,0.17,CLIC
1992-01-12,2.48,CLIC
1992-01-13,2.45,CLIC
1992-01-14,2.25,CLIC
1992-01-15,0.05,CLIC
1992-01-16,0.1,CLIC
1992-01-17,0.1,CLIC
1992-01-18,0.15,CLIC
1992-01-19,3.71,CLIC
1992-01-20,3.19,CLIC
1992-01-21,1.99,CLIC
1992-01-22,3.61,CLIC
1992-01-23,1.84,CLIC
1992-01-24,3.55,CLIC
1992-01-25,0.21,CLIC
1992-01-26,0.05,CLIC
1992-01-27,1.79,CLIC
1992-01-28,0.1,CLIC
1992-01-29,0.15,CLIC
1992-01-30,3.44,CLIC
1992-01-31,4.68,CLIC
1992-02-01,1.35,CLIC
1992-02-02,1.18,CLIC
1992-02-03,1.45,CLIC
1992-02-04,3.62,CLIC
1992-02-05,1.95,CLIC
1992-02-06,1.35,CLIC
1992-02-07,2.1,CLIC
1992-02-08,2.4,CLIC
1992-02-09,2.78,CLIC
