Estación: ,C19097,COLOMBIA. COLOMBIA
Variable: ,Precipitación (mm)
Longitud: ,99° 45' 34'',Latitud:,27° 42' 08

Fecha,Valor,NúmDatos
1965-01-01,0,CLIC
1965-01-02,0,CLIC
1965-01-03,0,CLIC
1965-01-04,0,CLIC
1965-01-05,0,CLIC
1965-01-06,0,CLIC
1965-01-07,0,CLIC
1965-01-08,4.5,CLIC
1965-01-09,8.5,CLIC
1965-01-10,6.5,CLIC
1965-01-11,9.6,CLIC
1965-01-12,10.7,CLIC
1965-01-13,5.8,CLIC
1965-01-14,13.4,CLIC
1965-01-15,0,CLIC
1965-01-16,0,CLIC
1965-01-17,0,CLIC
1965-01-18,0,CLIC
1965-01-19,0,CLIC
1965-01-20,0,CLIC
1965-01-21,0,CLIC
1965-01-22,0,CLIC
1965-01-23,0,CLIC
1965-01-24,0,CLIC
1965-01-25,0,CLIC
1965-01-26,0,CLIC
1965-01-27,0,CLIC
1965-01-28,0,CLIC
1965-01-29,0,CLIC
1965-01-30,0,CLIC
1965-01-31,0,CLIC
1965-02-01,0,CLIC
1965-02-02,0,CLIC
1965-02-03,0,CLIC
1965-02-04,0,CLIC
1965-02-05,0,CLIC
1965-02-06,0,CLIC
1965-02-07,5.5,CLIC
1965-02-08,0,CLIC
1965-02-09,0,CLIC
1965-02-10,0,CLIC
1965-02-11,0,CLIC
1965-02-12,0,CLIC
1965-02-13,0,CLIC
1965-02-14,0,CLIC
1965-02-15,0,CLIC
1965-02-16,0,CLIC
1965-02-17,0,CLIC
1965-02-18,0,CLIC
1965-02-19,0,CLIC
1965-02-20,0,CLIC
1965-02-21,0,CLIC
1965-02-22,0,CLIC
1965-02-23,0,CLIC
1965-02-24,0,CLIC
1965-02-25,0,CLIC
1965-02-26,0,CLIC
1965-02-27,0,CLIC
1965-02-28,0,CLIC
1965-03-01,12,CLIC
1965-03-02,0,CLIC
1965-03-03,0,CLIC
1965-03-04,0,CLIC
1965-03-05,0,CLIC
1965-03-06,0,CLIC
1965-03-07,0,CLIC
1965-03-08,0,CLIC
1965-03-09,0,CLIC
1965-03-10,0,CLIC
1965-03-11,0,CLIC
1965-03-12,0,CLIC
1965-03-13,0,CLIC
1965-03-14,0,CLIC
1965-03-15,0,CLIC
1965-03-16,0,CLIC
1965-03-17,0,CLIC
1965-03-18,0,CLIC
1965-03-19,0,CLIC
1965-03-20,0,CLIC
1965-03-21,0,CLIC
1965-03-22,0,CLIC
1965-03-23,0,CLIC
1965-03-24,0,CLIC
1965-03-25,0,CLIC
1965-03-26,0,CLIC
1965-03-27,0,CLIC
1965-03-28,0,CLIC
1965-03-29,0,CLIC
1965-03-30,0,CLIC
1965-03-31,0,CLIC
1965-04-01,0,CLIC
1965-04-02,0,CLIC
1965-04-03,0,CLIC
1965-04-04,0,CLIC
1965-04-05,0,CLIC
1965-04-06,0,CLIC
1965-04-07,12.5,CLIC
1965-04-08,10,CLIC
1965-04-09,23.5,CLIC
