Estación: ,C19098,GENERAL TREVIÑO. GRAL.T.
Variable: ,Evaporación (mm)
Longitud: ,99° 27' 55.5'',Latitud:,26° 13' 12.3''

Fecha,Valor,NúmDatos
1976-09-19,4.6,CLIC
1976-09-20,5.4,CLIC
1976-09-21,3.7,CLIC
1976-09-22,4.6,CLIC
1976-09-23,4.4,CLIC
1976-09-24,3.9,CLIC
1976-09-25,3.9,CLIC
1976-09-26,4.4,CLIC
1976-09-27,4.8,CLIC
1976-09-28,3.8,CLIC
1976-09-29,2.9,CLIC
1976-09-30,3.4,CLIC
1976-10-01,1.7,CLIC
1976-10-02,6.2,CLIC
1976-10-03,2.9,CLIC
1976-10-04,3.9,CLIC
1976-10-05,3.2,CLIC
1976-10-06,4.8,CLIC
1976-10-07,2.3,CLIC
1976-10-08,3.4,CLIC
1976-10-09,2.8,CLIC
1976-10-10,5.4,CLIC
1976-10-11,3,CLIC
1976-10-12,2.3,CLIC
1976-10-13,3,CLIC
1976-10-14,1,CLIC
1976-10-15,2.9,CLIC
1976-10-16,7.6,CLIC
1976-10-17,1.2,CLIC
1976-10-18,3.5,CLIC
1976-10-19,2.3,CLIC
1976-10-20,3.2,CLIC
1976-10-21,2.7,CLIC
1976-10-22,1.9,CLIC
1976-10-23,4.2,CLIC
1976-10-24,3.2,CLIC
1976-10-25,3.2,CLIC
1976-10-26,0.7,CLIC
1976-10-28,1.1,CLIC
1976-10-29,1.9,CLIC
1976-10-30,2.1,CLIC
1976-10-31,2.8,CLIC
1976-11-01,3.2,CLIC
1976-11-02,1.5,CLIC
1976-11-03,3.1,CLIC
1976-11-04,2.7,CLIC
1976-11-05,3.9,CLIC
1976-11-06,1.8,CLIC
1976-11-07,0.1,CLIC
1976-11-08,2.5,CLIC
1976-11-09,2.3,CLIC
1976-11-10,2.9,CLIC
1976-11-11,2.2,CLIC
1976-11-12,1.2,CLIC
1976-11-13,0.4,CLIC
1976-11-14,2.5,CLIC
1976-11-15,0.5,CLIC
1976-11-17,0.3,CLIC
1976-11-18,1.3,CLIC
1976-11-19,2.1,CLIC
1976-11-20,2.3,CLIC
1976-11-21,4.2,CLIC
1976-11-22,3,CLIC
1976-11-23,2.3,CLIC
1976-11-24,4.6,CLIC
1976-11-25,4.1,CLIC
1976-11-26,2.5,CLIC
1976-11-28,0.8,CLIC
1976-11-29,1.9,CLIC
1976-11-30,1.8,CLIC
1976-12-01,1.5,CLIC
1976-12-02,4.6,CLIC
1976-12-03,2.3,CLIC
1976-12-04,1.2,CLIC
1976-12-05,1.5,CLIC
1976-12-06,2.8,CLIC
1976-12-07,1.8,CLIC
1976-12-08,1.9,CLIC
1976-12-09,0.8,CLIC
1976-12-10,0.6,CLIC
1976-12-11,0.5,CLIC
1976-12-12,0.2,CLIC
1976-12-13,0.3,CLIC
1976-12-14,1.4,CLIC
1976-12-15,0.9,CLIC
1976-12-16,1.6,CLIC
1976-12-17,0.8,CLIC
1976-12-18,1.1,CLIC
1976-12-19,0.7,CLIC
1976-12-20,3.7,CLIC
1976-12-21,0.8,CLIC
1976-12-22,0.1,CLIC
1976-12-23,0.2,CLIC
1976-12-24,0.4,CLIC
1976-12-25,2.3,CLIC
1976-12-26,2.5,CLIC
1976-12-27,2.4,CLIC
1976-12-28,4.6,CLIC
1976-12-29,7.5,CLIC
1976-12-30,2.3,CLIC
1976-12-31,2.5,CLIC
1977-01-01,0.3,CLIC
1977-01-02,0.6,CLIC
1977-01-03,0.1,CLIC
1977-01-04,0.7,CLIC
1977-01-05,0.3,CLIC
1977-01-06,0.6,CLIC
1977-01-07,1.6,CLIC
1977-01-08,2.2,CLIC
1977-01-09,1.3,CLIC
1977-01-10,0.4,CLIC
1977-01-11,1,CLIC
1977-01-12,0.6,CLIC
1977-01-13,1,CLIC
1977-01-14,1.6,CLIC
1977-01-15,0.5,CLIC
1977-01-16,0.3,CLIC
1977-01-17,0.9,CLIC
1977-01-18,2.5,CLIC
1977-01-19,1.5,CLIC
1977-01-20,0.1,CLIC
1977-01-21,1.2,CLIC
1977-01-22,1.8,CLIC
1977-01-23,1.1,CLIC
1977-01-24,0.8,CLIC
1977-01-25,0.9,CLIC
1977-01-26,2.6,CLIC
1977-01-27,2.9,CLIC
1977-01-28,3.2,CLIC
1977-01-29,2.3,CLIC
1977-01-30,0.2,CLIC
1977-01-31,0.3,CLIC
1977-02-01,5.4,CLIC
1977-02-02,1,CLIC
1977-02-03,2.6,CLIC
1977-02-04,0.5,CLIC
1977-02-05,2.9,CLIC
1977-02-06,0.1,CLIC
1977-02-07,0.1,CLIC
1977-02-08,0.3,CLIC
1977-02-09,1,CLIC
1977-02-10,1.7,CLIC
1977-02-11,0.6,CLIC
1977-02-12,4.4,CLIC
1977-02-13,3.2,CLIC
1977-02-14,4.2,CLIC
1977-02-15,2,CLIC
1977-02-16,2.9,CLIC
1977-02-17,3.7,CLIC
1977-02-18,3.8,CLIC
1977-02-19,5.7,CLIC
1977-02-20,2.6,CLIC
1977-02-21,1.6,CLIC
1977-02-22,3.8,CLIC
1977-02-23,5.8,CLIC
1977-02-24,6.3,CLIC
1977-02-25,5.6,CLIC
1977-02-26,4.3,CLIC
1977-02-27,3.4,CLIC
1977-02-28,5.1,CLIC
1977-03-01,3.5,CLIC
1977-03-02,5.4,CLIC
1977-03-03,4,CLIC
1977-03-04,4.7,CLIC
1977-03-05,1.8,CLIC
1977-03-06,3.3,CLIC
1977-03-07,3.6,CLIC
1977-03-08,4.8,CLIC
1977-03-09,3.3,CLIC
1977-03-10,4,CLIC
1977-03-11,5.8,CLIC
1977-03-12,2.1,CLIC
1977-03-13,6,CLIC
1977-03-14,5.1,CLIC
1977-03-15,1.8,CLIC
1977-03-16,2.8,CLIC
1977-03-17,5.8,CLIC
1977-03-18,4.2,CLIC
1977-03-19,4.3,CLIC
1977-03-20,3.7,CLIC
1977-03-21,6.2,CLIC
1977-03-22,4,CLIC
1977-03-23,0.8,CLIC
1977-03-24,3,CLIC
1977-03-25,2.5,CLIC
1977-03-26,2.7,CLIC
1977-03-27,6.2,CLIC
1977-03-28,5.3,CLIC
1977-03-29,3.8,CLIC
1977-03-30,3.1,CLIC
1977-03-31,1.6,CLIC
1977-04-01,1.5,CLIC
1977-04-02,3.3,CLIC
1977-04-03,7.4,CLIC
1977-04-04,7.3,CLIC
1977-04-05,5.7,CLIC
1977-04-06,8.6,CLIC
1977-04-07,7.6,CLIC
1977-04-08,5.4,CLIC
1977-04-09,5.5,CLIC
1977-04-10,5.1,CLIC
1977-04-11,2.5,CLIC
1977-04-12,2.2,CLIC
1977-04-13,0.8,CLIC
1977-04-14,4.9,CLIC
1977-04-15,6.6,CLIC
1977-04-16,4.7,CLIC
1977-04-17,4.9,CLIC
1977-04-18,4.4,CLIC
1977-04-19,2.7,CLIC
1977-04-20,7.3,CLIC
1977-04-21,0.8,CLIC
1977-04-22,5.2,CLIC
1977-04-23,5.4,CLIC
1977-04-24,4.8,CLIC
1977-04-25,4.3,CLIC
1977-04-26,4.8,CLIC
1977-04-27,6.5,CLIC
1977-04-28,3,CLIC
1977-04-29,2.3,CLIC
1977-04-30,5.4,CLIC
1977-05-01,5.2,CLIC
1977-05-02,4.3,CLIC
1977-05-03,9,CLIC
1977-05-04,5.2,CLIC
1977-05-05,4.5,CLIC
1977-05-06,5.2,CLIC
1977-05-07,4.4,CLIC
1977-05-08,3.8,CLIC
1977-05-09,6.3,CLIC
1977-05-10,6.1,CLIC
1977-05-11,4.1,CLIC
1977-05-12,3.4,CLIC
1977-05-13,4.1,CLIC
1977-05-14,6,CLIC
1977-05-15,4.9,CLIC
1977-05-16,8.8,CLIC
1977-05-17,1.8,CLIC
1977-05-18,6.8,CLIC
1977-05-19,4.4,CLIC
1977-05-20,5,CLIC
1977-05-21,5.1,CLIC
1977-05-23,4.3,CLIC
1977-05-24,6.1,CLIC
1977-05-25,4.4,CLIC
1977-05-26,5.8,CLIC
1977-05-27,5.6,CLIC
1977-05-28,5.5,CLIC
1977-05-29,5.8,CLIC
1977-05-30,6.6,CLIC
1977-05-31,6.6,CLIC
1977-06-01,6.6,CLIC
1977-06-02,7.8,CLIC
1977-06-03,7.2,CLIC
1977-06-04,6.3,CLIC
1977-06-05,5.7,CLIC
1977-06-06,6.3,CLIC
1977-06-07,6.4,CLIC
1977-06-08,8.2,CLIC
1977-06-09,8,CLIC
1977-06-10,7.6,CLIC
1977-06-11,6.6,CLIC
1977-06-12,4.4,CLIC
1977-06-13,10.5,CLIC
1977-06-14,3,CLIC
1977-06-15,6.6,CLIC
1977-06-16,7.2,CLIC
1977-06-17,8.7,CLIC
1977-06-18,9.4,CLIC
1977-06-19,9.5,CLIC
1977-06-20,9.8,CLIC
1977-06-21,4.5,CLIC
1977-06-22,8.6,CLIC
1977-06-23,7.1,CLIC
1977-06-24,6,CLIC
1977-06-25,7,CLIC
1977-06-26,8.4,CLIC
1977-06-27,8.1,CLIC
1977-06-28,5.8,CLIC
1977-06-29,7.5,CLIC
1977-06-30,8.4,CLIC
1977-07-01,8.1,CLIC
1977-07-02,9,CLIC
1977-07-03,9.9,CLIC
1977-07-04,7.9,CLIC
1977-07-05,8.3,CLIC
1977-07-06,8.4,CLIC
1977-07-07,7.5,CLIC
1977-07-08,8.1,CLIC
1977-07-09,9.1,CLIC
1977-07-10,8.6,CLIC
1977-07-11,9.7,CLIC
1977-07-12,10.3,CLIC
1977-07-13,8.5,CLIC
1977-07-14,8.8,CLIC
1977-07-15,7.6,CLIC
1977-07-16,10.4,CLIC
1977-07-17,4.1,CLIC
1977-07-18,4.2,CLIC
1977-07-19,8.8,CLIC
1977-07-20,7.2,CLIC
1977-07-21,8.6,CLIC
1977-07-22,15.5,CLIC
1977-07-23,3.2,CLIC
1977-07-24,9.6,CLIC
1977-07-25,8.9,CLIC
1977-07-26,8.9,CLIC
1977-07-27,8.6,CLIC
1977-07-28,9.5,CLIC
1977-07-29,5.2,CLIC
1977-07-30,10.4,CLIC
1977-07-31,8.2,CLIC
1977-08-01,4.8,CLIC
1977-08-02,7.9,CLIC
1977-08-03,13,CLIC
1977-08-04,12.3,CLIC
1977-08-05,12.6,CLIC
1977-08-06,13.3,CLIC
1977-08-07,9.8,CLIC
1977-08-08,6.6,CLIC
1977-08-09,9.3,CLIC
1977-08-10,9.8,CLIC
1977-08-11,9.5,CLIC
1977-08-12,1.4,CLIC
1977-08-13,7.3,CLIC
1977-08-14,8.1,CLIC
1977-08-15,8.4,CLIC
1977-08-16,9.3,CLIC
1977-08-17,9.1,CLIC
1977-08-18,6.4,CLIC
1977-08-19,10.3,CLIC
1977-08-20,8.3,CLIC
1977-08-21,8.1,CLIC
1977-08-22,11.2,CLIC
1977-08-23,9.5,CLIC
1977-08-24,9.1,CLIC
1977-08-25,9.4,CLIC
1977-08-26,8.8,CLIC
1977-08-27,8.6,CLIC
1977-08-28,1.1,CLIC
1977-08-29,0.3,CLIC
1977-08-30,4.5,CLIC
1977-08-31,5.9,CLIC
1977-09-03,6.6,CLIC
1977-09-04,8,CLIC
1977-09-05,5.4,CLIC
1977-09-06,3,CLIC
1977-09-07,4.2,CLIC
1977-09-08,5.3,CLIC
1977-09-09,3.7,CLIC
1977-09-10,5.1,CLIC
1977-09-11,9.5,CLIC
1977-09-12,5.4,CLIC
1977-09-13,6.6,CLIC
1977-09-14,3,CLIC
1977-09-15,6.5,CLIC
1977-09-16,6.2,CLIC
1977-09-17,5,CLIC
1977-09-18,7.8,CLIC
1977-09-19,6.4,CLIC
1977-09-20,6.5,CLIC
1977-09-21,6.2,CLIC
1977-09-22,5.9,CLIC
1977-09-23,4,CLIC
1977-09-24,6.4,CLIC
1977-09-25,5.6,CLIC
1977-09-26,6,CLIC
1977-09-27,6.7,CLIC
1977-09-28,7,CLIC
1977-09-29,6.2,CLIC
1977-09-30,6.3,CLIC
1977-10-01,6.7,CLIC
1977-10-02,8,CLIC
1977-10-03,8.4,CLIC
1977-10-04,3.7,CLIC
1977-10-05,3.6,CLIC
1977-10-06,3.7,CLIC
1977-10-07,5,CLIC
1977-10-08,6.1,CLIC
1977-10-09,4.9,CLIC
1977-10-10,4.2,CLIC
1977-10-11,7.3,CLIC
1977-10-12,3.7,CLIC
1977-10-13,4.9,CLIC
1977-10-14,4.9,CLIC
1977-10-15,4.4,CLIC
1977-10-16,4.6,CLIC
1977-10-17,5.2,CLIC
1977-10-18,5.4,CLIC
1977-10-19,4.4,CLIC
1977-10-20,5,CLIC
1977-10-21,4,CLIC
1977-10-22,1.5,CLIC
1977-10-23,2,CLIC
1977-10-24,1.9,CLIC
1977-10-25,1,CLIC
1977-10-26,2.5,CLIC
1977-10-27,0.9,CLIC
1977-10-28,1.8,CLIC
1977-10-29,3.4,CLIC
1977-10-30,4.2,CLIC
1977-10-31,4.8,CLIC
1977-11-01,5.9,CLIC
1977-11-02,4.8,CLIC
1977-11-03,5,CLIC
1977-11-04,3.7,CLIC
1977-11-05,4.1,CLIC
1977-11-06,3.5,CLIC
1977-11-07,5.8,CLIC
1977-11-08,3.6,CLIC
1977-11-09,4.7,CLIC
1977-11-10,4.7,CLIC
1977-11-11,3.7,CLIC
1977-11-12,2,CLIC
1977-11-13,3.3,CLIC
1977-11-14,3.9,CLIC
1977-11-15,2.6,CLIC
1977-11-16,2.6,CLIC
1977-11-17,1.3,CLIC
1977-11-18,3.1,CLIC
1977-11-19,4.2,CLIC
1977-11-20,4.1,CLIC
1977-11-21,5,CLIC
1977-11-22,4.3,CLIC
1977-11-23,9,CLIC
1977-11-24,5.9,CLIC
1977-11-25,3.7,CLIC
1977-11-26,2.2,CLIC
1977-11-27,3.8,CLIC
1977-11-28,3.4,CLIC
1977-11-29,3.8,CLIC
1977-11-30,3.2,CLIC
1977-12-01,2.4,CLIC
1977-12-02,3.1,CLIC
1977-12-03,3.8,CLIC
1977-12-04,4.5,CLIC
1977-12-05,6.6,CLIC
1977-12-06,4.4,CLIC
1977-12-07,2.6,CLIC
1977-12-08,2,CLIC
1977-12-09,3.1,CLIC
1977-12-10,0.7,CLIC
1977-12-11,0.6,CLIC
1977-12-12,0.3,CLIC
1977-12-13,1,CLIC
1977-12-14,2.8,CLIC
1977-12-15,2.8,CLIC
1977-12-16,4,CLIC
1977-12-17,4.7,CLIC
1977-12-18,4,CLIC
1977-12-19,4.1,CLIC
1977-12-20,4.8,CLIC
1977-12-21,3.8,CLIC
1977-12-22,3.2,CLIC
1977-12-23,2.5,CLIC
1977-12-24,2.9,CLIC
1977-12-25,3.4,CLIC
1977-12-26,2.9,CLIC
1977-12-27,2.1,CLIC
1977-12-28,0.8,CLIC
1977-12-29,1.6,CLIC
1977-12-30,2,CLIC
1977-12-31,1,CLIC
1978-01-01,1,CLIC
1978-01-02,1.5,CLIC
1978-01-03,1,CLIC
1978-01-04,1.2,CLIC
1978-01-05,1.3,CLIC
1978-01-06,1.6,CLIC
1978-01-07,4.9,CLIC
1978-01-08,5.3,CLIC
1978-01-09,2.9,CLIC
1978-01-10,2.7,CLIC
1978-01-11,2,CLIC
1978-01-12,1.6,CLIC
1978-01-13,3.8,CLIC
1978-01-14,2.5,CLIC
1978-01-15,3,CLIC
1978-01-16,2.5,CLIC
1978-01-17,4.6,CLIC
1978-01-18,2,CLIC
1978-01-19,2.1,CLIC
1978-01-20,1.3,CLIC
1978-01-21,0.2,CLIC
1978-01-22,0.5,CLIC
1978-01-23,0.2,CLIC
1978-01-24,2,CLIC
1978-01-25,3,CLIC
1978-01-26,4.4,CLIC
1978-01-27,3.7,CLIC
1978-01-28,0.3,CLIC
1978-01-29,0.7,CLIC
1978-01-30,0.7,CLIC
1978-01-31,1.4,CLIC
1978-02-01,0.2,CLIC
1978-02-02,0.9,CLIC
1978-02-03,1.3,CLIC
1978-02-04,1.3,CLIC
1978-02-05,0.3,CLIC
1978-02-06,3.7,CLIC
1978-02-07,7.2,CLIC
1978-02-08,2.5,CLIC
1978-02-09,1.5,CLIC
1978-02-10,0.5,CLIC
1978-02-11,6.2,CLIC
1978-02-12,1.5,CLIC
1978-02-13,4.1,CLIC
1978-02-14,1.7,CLIC
1978-02-15,2.1,CLIC
1978-02-16,2.3,CLIC
1978-02-17,3.7,CLIC
1978-02-18,2.8,CLIC
1978-02-19,3.1,CLIC
1978-02-20,4.2,CLIC
1978-02-21,4,CLIC
1978-02-22,3.1,CLIC
1978-02-23,8.1,CLIC
1978-02-24,4.7,CLIC
1978-02-25,6.4,CLIC
1978-02-26,2.3,CLIC
1978-02-27,3.6,CLIC
1978-02-28,5.5,CLIC
1978-03-01,4.8,CLIC
1978-03-02,5.7,CLIC
1978-03-03,4.4,CLIC
1978-03-04,3.8,CLIC
1978-03-05,3.5,CLIC
1978-03-06,6.5,CLIC
1978-03-07,8,CLIC
1978-03-08,5.6,CLIC
1978-03-09,4.6,CLIC
1978-03-10,8,CLIC
1978-03-11,7.7,CLIC
1978-03-12,5.7,CLIC
1978-03-13,5.1,CLIC
1978-03-14,5.5,CLIC
1978-03-15,7.1,CLIC
1978-03-16,6.9,CLIC
1978-03-17,9.2,CLIC
1978-03-18,7.2,CLIC
1978-03-19,5.5,CLIC
1978-03-20,6.4,CLIC
1978-03-21,5.3,CLIC
1978-03-22,6,CLIC
1978-03-23,5.2,CLIC
1978-03-24,4.4,CLIC
1978-03-25,3.8,CLIC
1978-03-26,5,CLIC
1978-03-27,4.5,CLIC
1978-03-28,8.5,CLIC
1978-03-29,6.1,CLIC
1978-03-30,3.5,CLIC
1978-03-31,4.7,CLIC
1978-04-01,7.2,CLIC
1978-04-02,5.4,CLIC
1978-04-03,6,CLIC
1978-04-04,6.7,CLIC
1978-04-05,6.5,CLIC
1978-04-06,5.6,CLIC
1978-04-07,7.5,CLIC
1978-04-08,6.2,CLIC
1978-04-09,6.3,CLIC
1978-04-10,7.9,CLIC
1978-04-11,1.1,CLIC
1978-04-12,4.3,CLIC
1978-04-13,5.6,CLIC
1978-04-14,7.1,CLIC
1978-04-15,4.7,CLIC
1978-04-16,9,CLIC
1978-04-17,7,CLIC
1978-04-18,6.1,CLIC
1978-04-19,4.7,CLIC
1978-04-20,4.9,CLIC
1978-04-21,6.7,CLIC
1978-04-22,5.2,CLIC
1978-04-23,7.6,CLIC
1978-04-24,9.7,CLIC
1978-04-25,7,CLIC
1978-04-26,2.5,CLIC
1978-04-27,9.1,CLIC
1978-04-28,1.9,CLIC
1978-04-29,5,CLIC
1978-04-30,7.3,CLIC
1978-05-01,9.3,CLIC
1978-05-02,9.7,CLIC
1978-05-03,7.7,CLIC
1978-05-04,12,CLIC
1978-05-05,5.9,CLIC
1978-05-06,5,CLIC
1978-05-07,7.3,CLIC
1978-05-08,6.2,CLIC
1978-05-09,8,CLIC
1978-05-10,5.3,CLIC
1978-05-11,5.4,CLIC
1978-05-12,8.1,CLIC
1978-05-14,6.5,CLIC
1978-05-15,5.9,CLIC
1978-05-16,8.1,CLIC
1978-05-17,9.4,CLIC
1978-05-18,7.6,CLIC
1978-05-19,6.3,CLIC
1978-05-20,6.2,CLIC
1978-05-21,3.7,CLIC
1978-05-22,7.4,CLIC
1978-05-23,6.8,CLIC
1978-05-24,9.9,CLIC
1978-05-25,7.5,CLIC
1978-05-26,5,CLIC
1978-05-27,8.8,CLIC
1978-05-28,8.9,CLIC
1978-05-29,4.2,CLIC
1978-05-30,7,CLIC
1978-05-31,6.2,CLIC
1978-06-01,3.5,CLIC
1978-06-03,5.8,CLIC
1978-06-04,6.8,CLIC
1978-06-05,7.6,CLIC
1978-06-06,7.6,CLIC
1978-06-07,4.1,CLIC
1978-06-08,7.4,CLIC
1978-06-09,8.9,CLIC
1978-06-10,9.1,CLIC
1978-06-11,9.1,CLIC
1978-06-12,9.5,CLIC
1978-06-13,8.8,CLIC
1978-06-14,9.2,CLIC
1978-06-15,16.8,CLIC
1978-06-16,13.3,CLIC
1978-06-17,8.2,CLIC
1978-06-18,14.2,CLIC
1978-06-19,9.6,CLIC
1978-06-20,7.8,CLIC
1978-06-21,8,CLIC
1978-06-22,8.7,CLIC
1978-06-23,11.9,CLIC
1978-06-24,9.9,CLIC
1978-06-25,10.5,CLIC
1978-06-26,10.5,CLIC
1978-06-27,9.7,CLIC
1978-06-28,7.2,CLIC
1978-06-29,8.7,CLIC
1978-06-30,8.2,CLIC
1978-07-01,8.5,CLIC
1978-07-02,11.3,CLIC
1978-07-03,9.6,CLIC
1978-07-04,10.1,CLIC
1978-07-05,11.7,CLIC
1978-07-06,8.1,CLIC
1978-07-07,14.6,CLIC
1978-07-08,10.9,CLIC
1978-07-09,10.3,CLIC
1978-07-10,10,CLIC
1978-07-11,10.3,CLIC
1978-07-12,10.4,CLIC
1978-07-13,10.1,CLIC
1978-07-14,10.9,CLIC
1978-07-15,10.3,CLIC
1978-07-16,9.6,CLIC
1978-07-17,10.3,CLIC
1978-07-18,10.4,CLIC
1978-07-19,10.1,CLIC
1978-07-20,14.9,CLIC
1978-07-21,10.2,CLIC
1978-07-22,10.1,CLIC
1978-07-23,6.5,CLIC
1978-07-24,7.2,CLIC
1978-07-25,8.9,CLIC
1978-07-26,11.5,CLIC
1978-07-27,7.7,CLIC
1978-07-28,3.5,CLIC
1978-07-29,8.5,CLIC
1978-07-30,10.6,CLIC
1978-07-31,6.7,CLIC
1978-08-01,6.8,CLIC
1978-08-02,8.2,CLIC
1978-08-03,10,CLIC
1978-08-04,8.6,CLIC
1978-08-05,8.4,CLIC
1978-08-06,8.3,CLIC
1978-08-07,7.2,CLIC
1978-08-08,7.2,CLIC
1978-08-09,6.9,CLIC
1978-08-10,7.8,CLIC
1978-08-11,8.8,CLIC
