Estación: ,C19101,SAN DIEGO. GENERAL TERAN
Variable: ,Evaporación (mm)
Longitud: ,99° 14' 59.7'',Latitud:,25° 12' 05.2''

Fecha,Valor,NúmDatos
1977-11-01,4.3,CLIC
1977-11-02,4.3,CLIC
1977-11-03,4.4,CLIC
1977-11-04,4.2,CLIC
1977-11-05,3.4,CLIC
1977-11-06,3.7,CLIC
1977-11-07,4,CLIC
1977-11-08,3.5,CLIC
1977-11-09,6,CLIC
1977-11-10,1.5,CLIC
1977-11-11,3,CLIC
1977-11-12,2.8,CLIC
1977-11-13,2.7,CLIC
1977-11-14,4.2,CLIC
1977-11-15,0.9,CLIC
1977-11-16,3.5,CLIC
1977-11-17,1.8,CLIC
1977-11-18,2.8,CLIC
1977-11-19,8.3,CLIC
1977-11-20,1.8,CLIC
1977-11-21,1.2,CLIC
1977-11-22,1.3,CLIC
1977-11-23,0.4,CLIC
1977-11-24,4.7,CLIC
1977-11-25,4,CLIC
1977-11-26,3,CLIC
1977-11-27,4,CLIC
1977-11-28,2,CLIC
1977-11-29,2.7,CLIC
1977-11-30,3.5,CLIC
1977-12-01,2.9,CLIC
1977-12-02,2.5,CLIC
1977-12-03,4.1,CLIC
1977-12-04,3.8,CLIC
1977-12-05,3.2,CLIC
1977-12-06,3.7,CLIC
1977-12-07,2.1,CLIC
1977-12-08,3.9,CLIC
1977-12-09,2.1,CLIC
1977-12-11,1.9,CLIC
1977-12-12,3.1,CLIC
1977-12-13,1.9,CLIC
1977-12-14,2.8,CLIC
1977-12-15,1.2,CLIC
1977-12-16,4.9,CLIC
1978-01-02,1,CLIC
1978-01-03,0.5,CLIC
1978-01-04,0.6,CLIC
1978-01-05,2.8,CLIC
1978-01-06,2,CLIC
1978-01-07,3.2,CLIC
1978-01-08,5.2,CLIC
1978-01-09,3.6,CLIC
1978-01-10,2.2,CLIC
1978-01-11,2.1,CLIC
1978-01-12,3.5,CLIC
1978-01-13,3.3,CLIC
1978-01-14,4,CLIC
1978-01-15,2.7,CLIC
1978-01-16,6.3,CLIC
1978-01-17,3.6,CLIC
1978-01-18,1.9,CLIC
1978-01-19,1.2,CLIC
1978-01-20,0.8,CLIC
1978-01-21,0.4,CLIC
1978-01-22,0.6,CLIC
1978-01-23,1.2,CLIC
1978-01-24,2.5,CLIC
1978-01-25,2.3,CLIC
1978-01-26,3.7,CLIC
1978-01-27,2,CLIC
1978-01-28,2.1,CLIC
1978-01-29,0.8,CLIC
1978-01-30,0.7,CLIC
1978-01-31,1.3,CLIC
1978-02-01,2,CLIC
1978-02-02,1.7,CLIC
1978-02-03,0.6,CLIC
1978-02-04,2.2,CLIC
1978-02-05,2.5,CLIC
1978-02-06,2.1,CLIC
1978-02-07,2.7,CLIC
1978-02-08,1.2,CLIC
1978-02-09,1.5,CLIC
1978-02-10,1,CLIC
1978-02-11,2,CLIC
1978-02-12,8.1,CLIC
1978-02-13,6.3,CLIC
1978-02-14,0.7,CLIC
1978-02-15,0.8,CLIC
1978-02-16,4.1,CLIC
1978-02-17,3.8,CLIC
1978-02-18,3.3,CLIC
1978-02-19,2.3,CLIC
1978-02-20,4,CLIC
1978-02-21,2.6,CLIC
1978-02-22,2.9,CLIC
1978-02-23,3.1,CLIC
1978-02-24,4.8,CLIC
1978-02-25,6.7,CLIC
1978-02-26,3.3,CLIC
1978-02-27,5,CLIC
1978-02-28,4.2,CLIC
1978-03-01,7,CLIC
1978-03-02,3.5,CLIC
1978-03-03,4.5,CLIC
1978-03-04,3.8,CLIC
1978-03-05,3.8,CLIC
1978-03-06,6,CLIC
1978-03-07,9.6,CLIC
1978-03-08,3.8,CLIC
1978-03-09,5,CLIC
1978-03-10,8,CLIC
1978-03-11,9,CLIC
1978-03-12,5,CLIC
1978-03-13,9,CLIC
1978-03-14,7,CLIC
1978-03-15,10,CLIC
1978-03-16,7,CLIC
1978-03-17,6.1,CLIC
1978-03-18,10.5,CLIC
1978-03-19,3.5,CLIC
1978-03-20,1.3,CLIC
1978-03-21,5.7,CLIC
1978-03-22,5.5,CLIC
1978-03-23,3.5,CLIC
1978-03-24,6.3,CLIC
1978-03-25,6.5,CLIC
1978-04-01,5,CLIC
1978-04-02,6,CLIC
1978-04-03,8,CLIC
1978-04-04,8.1,CLIC
1978-04-05,8.9,CLIC
1978-04-06,12.7,CLIC
1978-04-07,3,CLIC
1978-04-08,7,CLIC
1978-04-09,7.4,CLIC
1978-04-10,6.2,CLIC
1978-04-11,3,CLIC
1978-04-12,4,CLIC
1978-04-13,6.6,CLIC
1978-04-14,8.2,CLIC
1978-04-15,7,CLIC
1978-04-16,7.2,CLIC
1978-04-17,8,CLIC
1978-04-18,8.6,CLIC
1978-04-19,7.5,CLIC
1978-04-20,2.8,CLIC
1978-04-21,0.6,CLIC
1978-04-22,7.8,CLIC
1978-04-23,8,CLIC
1978-04-24,7.9,CLIC
1978-04-25,9.7,CLIC
1978-04-26,7.5,CLIC
1978-04-27,8.2,CLIC
1978-04-28,7.1,CLIC
1978-04-29,5.5,CLIC
1978-04-30,6.5,CLIC
1978-05-01,5.8,CLIC
1978-05-02,9.7,CLIC
1978-05-03,8.7,CLIC
1978-05-04,4.5,CLIC
1978-05-05,6.5,CLIC
1978-05-06,9.1,CLIC
1978-05-07,11.3,CLIC
1978-05-08,7.3,CLIC
1978-05-09,9.5,CLIC
1978-05-10,5,CLIC
1978-05-11,8.5,CLIC
1978-05-12,7.6,CLIC
1978-05-13,1,CLIC
1978-05-14,7.7,CLIC
1978-05-15,9.3,CLIC
1978-05-16,10,CLIC
1978-05-17,11,CLIC
1978-05-18,8.2,CLIC
1978-05-19,6.2,CLIC
1978-05-20,3.6,CLIC
1978-05-21,2,CLIC
1978-05-22,3.7,CLIC
1978-05-23,3.9,CLIC
1978-05-24,6.6,CLIC
1978-05-25,8.4,CLIC
1978-05-26,5.6,CLIC
1978-05-27,9.5,CLIC
1978-05-28,6.2,CLIC
1978-05-29,10.3,CLIC
1978-05-30,7.7,CLIC
1978-05-31,7.3,CLIC
1978-06-01,6.6,CLIC
1978-06-02,8.6,CLIC
1978-06-03,5.9,CLIC
1978-06-04,11.1,CLIC
1978-06-05,14.7,CLIC
1978-06-06,9.2,CLIC
1978-06-07,6.5,CLIC
1978-06-08,6.5,CLIC
1978-06-09,8.4,CLIC
1978-06-10,9.6,CLIC
1978-06-11,9.1,CLIC
1978-06-12,15.4,CLIC
1978-06-13,13.9,CLIC
1978-06-14,10.7,CLIC
1978-06-15,10.1,CLIC
1978-06-16,10.8,CLIC
1978-06-17,11.3,CLIC
1978-06-18,7.5,CLIC
1978-06-19,3,CLIC
1978-06-20,3.9,CLIC
1978-06-21,9.1,CLIC
1978-06-22,8.1,CLIC
1978-06-23,12.1,CLIC
1978-06-24,10.8,CLIC
1978-06-25,11.5,CLIC
1978-06-26,9.1,CLIC
1978-06-27,12.3,CLIC
1978-06-28,12.3,CLIC
1978-06-29,10.4,CLIC
1978-06-30,9.5,CLIC
1978-07-01,8.6,CLIC
1978-07-02,8.5,CLIC
1978-07-03,7,CLIC
1978-07-04,7.2,CLIC
1978-07-05,14.4,CLIC
1978-07-06,13.4,CLIC
1978-07-07,11,CLIC
1978-07-08,11.5,CLIC
1978-07-09,13.5,CLIC
1978-07-10,9,CLIC
1978-07-11,12.5,CLIC
1978-07-12,11.6,CLIC
1978-07-13,9.4,CLIC
1978-07-14,14,CLIC
1978-07-15,13.2,CLIC
1978-07-16,12.8,CLIC
1978-07-17,11.5,CLIC
1978-07-18,9.6,CLIC
1978-07-19,13.4,CLIC
1978-07-20,8.5,CLIC
1978-07-21,7.2,CLIC
1978-07-22,10.3,CLIC
1978-07-23,10.7,CLIC
1978-07-24,10,CLIC
1978-07-25,14.6,CLIC
1978-07-26,10.8,CLIC
1978-07-27,7,CLIC
1978-07-28,7.8,CLIC
1978-07-29,13,CLIC
1978-07-30,9.9,CLIC
1978-07-31,8.8,CLIC
1978-08-01,8.2,CLIC
1978-08-02,8.5,CLIC
1978-08-03,11.9,CLIC
1978-08-04,9,CLIC
1978-08-05,12,CLIC
1978-08-06,11.7,CLIC
1978-08-07,11.3,CLIC
1978-08-08,13.4,CLIC
1978-08-09,14,CLIC
1978-08-10,7.6,CLIC
1978-08-11,10.8,CLIC
1978-08-12,11.2,CLIC
1978-08-13,6.8,CLIC
1978-08-14,6.6,CLIC
1978-08-15,13.4,CLIC
1978-08-16,9.2,CLIC
1978-08-17,9.5,CLIC
1978-08-18,11.5,CLIC
1978-08-19,10.4,CLIC
1978-08-20,12.2,CLIC
1978-08-21,8.8,CLIC
1978-08-22,4.8,CLIC
1978-08-23,8.6,CLIC
1978-08-24,10.4,CLIC
1978-08-25,11,CLIC
1978-08-26,9.3,CLIC
1978-08-27,9.2,CLIC
1978-08-28,6.5,CLIC
1978-08-29,4.5,CLIC
1978-08-30,4.5,CLIC
1978-08-31,2.1,CLIC
1978-09-01,1.4,CLIC
1978-09-02,1.6,CLIC
1978-09-03,6.3,CLIC
1978-09-04,5.4,CLIC
1978-09-05,1.3,CLIC
1978-09-06,1.6,CLIC
1978-09-08,0.9,CLIC
1978-09-09,0.5,CLIC
1978-09-10,0.7,CLIC
1978-09-11,1.8,CLIC
1978-09-12,2.2,CLIC
1978-09-13,2.3,CLIC
1978-09-14,3.5,CLIC
1978-09-15,2.4,CLIC
1978-09-16,5.6,CLIC
1978-09-17,4.2,CLIC
1978-09-18,5.1,CLIC
1978-09-19,9.7,CLIC
1978-09-20,8.8,CLIC
1978-09-21,5.5,CLIC
1978-09-23,2.8,CLIC
1978-09-24,0.2,CLIC
1978-09-25,0.5,CLIC
1978-09-27,0.9,CLIC
1978-09-28,0.8,CLIC
1978-09-29,1.6,CLIC
1978-09-30,1.3,CLIC
1978-10-01,5.7,CLIC
1978-10-02,5.4,CLIC
1978-10-03,3.9,CLIC
1978-10-04,2.5,CLIC
1978-10-05,2.1,CLIC
1978-10-07,0.2,CLIC
1978-10-08,0.7,CLIC
1978-10-09,2.6,CLIC
1978-10-10,3,CLIC
1978-10-11,3.8,CLIC
1978-10-12,3.3,CLIC
1978-10-13,4,CLIC
1978-10-14,3.9,CLIC
1978-10-15,3.3,CLIC
1978-10-16,5,CLIC
1978-10-17,1.5,CLIC
1978-10-18,4,CLIC
1978-10-19,3,CLIC
1978-10-20,3.3,CLIC
1978-10-21,4.2,CLIC
1978-10-22,3.2,CLIC
1978-10-23,3.3,CLIC
1978-10-24,5.4,CLIC
1978-10-25,3.6,CLIC
1978-10-26,3.4,CLIC
1978-10-27,2.9,CLIC
1978-10-28,2.4,CLIC
1978-10-29,1.7,CLIC
1978-10-30,3.1,CLIC
1978-10-31,3.3,CLIC
1978-11-01,3.2,CLIC
1978-11-02,1.9,CLIC
1978-11-03,2.1,CLIC
1978-11-04,2.7,CLIC
1978-11-05,2.6,CLIC
1978-11-06,7,CLIC
1978-11-07,3.7,CLIC
1978-11-08,3.3,CLIC
1978-11-09,2,CLIC
1978-11-10,1.9,CLIC
1978-11-11,3.5,CLIC
1978-11-12,2.3,CLIC
1978-11-13,3.4,CLIC
1978-11-14,1.6,CLIC
1978-11-15,4.2,CLIC
1978-11-16,2.3,CLIC
1978-11-17,1.7,CLIC
1978-11-18,1.3,CLIC
1978-11-19,0.6,CLIC
1978-11-20,0.8,CLIC
1978-11-21,2.7,CLIC
1978-11-22,0.9,CLIC
1978-11-23,0.4,CLIC
1978-11-24,0.7,CLIC
1978-11-25,4.7,CLIC
1978-11-26,6.2,CLIC
1978-11-27,1.4,CLIC
1978-11-28,0.3,CLIC
1978-11-29,0.7,CLIC
1978-11-30,1.6,CLIC
1979-01-01,3.7,CLIC
1979-01-02,3.1,CLIC
1979-01-03,3.8,CLIC
1979-01-04,2.4,CLIC
1979-01-05,0.7,CLIC
1979-01-06,2.9,CLIC
1979-01-07,3.8,CLIC
1979-01-08,1,CLIC
1979-01-09,0.2,CLIC
1979-01-10,2.2,CLIC
1979-01-11,3.9,CLIC
1979-01-12,4.7,CLIC
1979-01-13,5.6,CLIC
1979-01-14,1.2,CLIC
1979-01-15,2.2,CLIC
1979-01-16,1.3,CLIC
1979-01-17,1.9,CLIC
1979-01-18,2.3,CLIC
1979-01-19,2.9,CLIC
1979-01-20,4.2,CLIC
1979-01-21,4.4,CLIC
1979-01-22,3.7,CLIC
1979-01-23,2.5,CLIC
1979-01-24,2.1,CLIC
1979-01-25,2.6,CLIC
1979-01-26,2.2,CLIC
1979-01-27,2.8,CLIC
1979-01-28,3.3,CLIC
1979-01-29,0.6,CLIC
1979-01-30,2.3,CLIC
1979-01-31,2.3,CLIC
1979-02-01,3.3,CLIC
1979-02-02,1.2,CLIC
1979-02-03,1.2,CLIC
1979-02-04,1.5,CLIC
1979-02-05,1.8,CLIC
1979-02-06,1.9,CLIC
1979-02-07,3,CLIC
1979-02-08,3.6,CLIC
1979-02-09,3.1,CLIC
1979-02-10,2.2,CLIC
1979-02-11,0.4,CLIC
1979-02-12,3.1,CLIC
1979-02-13,3.2,CLIC
1979-02-14,4.8,CLIC
1979-02-15,4.6,CLIC
1979-02-16,0.6,CLIC
1979-02-17,0.7,CLIC
1979-02-18,1,CLIC
1979-02-19,0.9,CLIC
1979-02-20,1.5,CLIC
1979-02-21,1,CLIC
1979-02-22,4.8,CLIC
1979-02-23,4.1,CLIC
1979-02-24,9.3,CLIC
1979-02-25,6,CLIC
1979-02-26,2.4,CLIC
1979-02-27,2.1,CLIC
1979-02-28,2.7,CLIC
1979-03-01,3.6,CLIC
1979-03-02,5.9,CLIC
1979-03-03,7.2,CLIC
1979-03-04,4.5,CLIC
1979-03-05,0.9,CLIC
1979-03-06,5.1,CLIC
1979-03-07,3.9,CLIC
1979-03-08,3.9,CLIC
1979-03-09,0.6,CLIC
1979-03-10,8.1,CLIC
1979-03-11,2.6,CLIC
1979-03-12,2.4,CLIC
1979-03-13,4,CLIC
1979-03-14,3.3,CLIC
1979-03-15,3.9,CLIC
1979-03-16,5.5,CLIC
1979-03-17,1.8,CLIC
1979-03-18,6.1,CLIC
1979-03-19,0.4,CLIC
1979-03-20,1.8,CLIC
1979-03-21,5.8,CLIC
1979-03-22,4,CLIC
1979-03-23,6.9,CLIC
1979-03-24,7,CLIC
1979-03-25,4.3,CLIC
1979-03-26,6.7,CLIC
1979-03-27,4.5,CLIC
1979-03-28,5.5,CLIC
1979-03-29,4.8,CLIC
1979-03-30,7.7,CLIC
1979-03-31,6.1,CLIC
1979-04-01,2.4,CLIC
1979-04-02,4.1,CLIC
1979-04-03,3,CLIC
1979-04-04,3.9,CLIC
1979-04-05,5.1,CLIC
1979-04-06,4,CLIC
1979-04-07,5.8,CLIC
1979-04-08,5,CLIC
1979-04-09,3.2,CLIC
1979-04-10,4.8,CLIC
1979-04-11,5.2,CLIC
1979-04-12,3.6,CLIC
1979-04-13,4.2,CLIC
1979-04-14,4.5,CLIC
1979-04-15,1.2,CLIC
1979-04-16,7.3,CLIC
1979-04-17,6.2,CLIC
1979-04-18,5.3,CLIC
1979-04-19,1.8,CLIC
1979-04-20,0.7,CLIC
1979-04-21,2.2,CLIC
1979-04-22,1.8,CLIC
1979-04-23,5.8,CLIC
1979-04-24,5.2,CLIC
1979-04-25,6.4,CLIC
1979-04-26,7.4,CLIC
1979-04-27,5,CLIC
1979-04-28,3.7,CLIC
1979-04-29,1,CLIC
1979-04-30,7,CLIC
1979-05-01,4,CLIC
1979-05-02,8.2,CLIC
1979-05-04,8.3,CLIC
1979-05-05,6.3,CLIC
1979-05-06,5.9,CLIC
1979-05-07,7.1,CLIC
1979-05-08,7.5,CLIC
1979-05-09,8.7,CLIC
1979-05-10,9.2,CLIC
1979-05-11,6.1,CLIC
1979-05-12,5.1,CLIC
1979-05-13,5.3,CLIC
1979-05-14,9.4,CLIC
1979-05-15,5.8,CLIC
1979-05-16,8.7,CLIC
1979-05-17,6.5,CLIC
1979-05-18,1.8,CLIC
1979-05-19,6.5,CLIC
1979-05-20,4.2,CLIC
1979-05-21,4.3,CLIC
1979-05-22,4.5,CLIC
1979-05-23,5.5,CLIC
1979-05-24,6.2,CLIC
1979-05-25,3.7,CLIC
1979-05-26,5.1,CLIC
1979-05-27,7.9,CLIC
1979-05-28,5.7,CLIC
1979-05-29,7.9,CLIC
1979-05-30,10.8,CLIC
1979-05-31,9.4,CLIC
1979-06-01,5.3,CLIC
1979-06-02,6.1,CLIC
1979-06-03,5.3,CLIC
1979-06-04,2.9,CLIC
1979-06-05,3.5,CLIC
1979-06-06,3.2,CLIC
1979-06-07,2,CLIC
1979-06-08,3.8,CLIC
1979-06-09,2,CLIC
1979-06-10,3.1,CLIC
1979-06-11,2.2,CLIC
1979-06-12,7.9,CLIC
1979-06-13,6.5,CLIC
1979-06-14,7.1,CLIC
1979-06-15,6,CLIC
1979-06-16,7.4,CLIC
1979-06-17,8,CLIC
1979-06-18,6.7,CLIC
1979-06-19,6.4,CLIC
1979-06-20,6.2,CLIC
1979-06-21,6,CLIC
1979-06-22,6.2,CLIC
1979-06-23,9.7,CLIC
1979-06-24,6.7,CLIC
1979-06-25,9.3,CLIC
1979-06-26,7.7,CLIC
1979-06-27,5.4,CLIC
1979-06-28,9,CLIC
1979-06-29,9.4,CLIC
1979-06-30,9,CLIC
1979-07-01,6.6,CLIC
1979-07-02,4.6,CLIC
1979-07-03,9.2,CLIC
1979-07-04,4.8,CLIC
1979-07-05,9.8,CLIC
1979-07-06,7.8,CLIC
1979-07-07,7.9,CLIC
1979-07-08,7.3,CLIC
1979-07-09,7.1,CLIC
1979-07-10,9.9,CLIC
1979-07-11,5,CLIC
1979-07-12,6.5,CLIC
1979-07-13,7.5,CLIC
1979-07-14,6.3,CLIC
1979-07-15,12.7,CLIC
1979-07-16,10,CLIC
1979-07-17,10.3,CLIC
1979-07-18,8.7,CLIC
1979-07-19,8.6,CLIC
1979-07-20,7.5,CLIC
1979-07-21,7.3,CLIC
1979-07-22,6.8,CLIC
1979-07-23,8.3,CLIC
1979-07-24,9.9,CLIC
1979-07-25,6.6,CLIC
1979-07-26,7.3,CLIC
1979-07-27,5.4,CLIC
1979-07-28,10,CLIC
1979-07-29,9.3,CLIC
1979-07-30,7.4,CLIC
1979-07-31,7.2,CLIC
1979-08-01,7.3,CLIC
1979-08-02,8.1,CLIC
1979-08-03,3.7,CLIC
1979-08-04,7.8,CLIC
1979-08-05,7.2,CLIC
1979-08-06,8.8,CLIC
1979-08-07,7.1,CLIC
1979-08-08,7,CLIC
1979-08-09,7.3,CLIC
1979-08-10,9.7,CLIC
1979-08-11,9.5,CLIC
1979-08-12,9,CLIC
1979-08-13,7.9,CLIC
1979-08-14,9.5,CLIC
1979-08-15,8.5,CLIC
1979-08-16,6.4,CLIC
1979-08-17,8.6,CLIC
1979-08-18,7,CLIC
1979-08-19,6.1,CLIC
1979-08-20,7.9,CLIC
1979-08-21,8.2,CLIC
1979-08-22,9.8,CLIC
1979-08-23,8.8,CLIC
1979-08-24,9.2,CLIC
1979-08-25,8,CLIC
1979-08-26,3.5,CLIC
