Estación: ,C19102,COLA DE CABALLO
Variable: ,Precipitación (mm)
Longitud: ,100° 09' 45'',Latitud:,25° 21' 58

Fecha,Valor,NúmDatos
1978-01-01,0,CLIC
1978-01-02,0,CLIC
1978-01-03,0,CLIC
1978-01-04,0,CLIC
1978-01-05,0,CLIC
1978-01-06,0,CLIC
1978-01-07,0,CLIC
1978-01-08,0,CLIC
1978-01-09,0,CLIC
1978-01-10,0,CLIC
1978-01-11,0,CLIC
1978-01-12,0,CLIC
1978-01-13,0,CLIC
1978-01-14,0,CLIC
1978-01-15,0,CLIC
1978-01-16,0,CLIC
1978-01-17,5,CLIC
1978-01-18,4.2,CLIC
1978-01-19,0.4,CLIC
1978-01-20,0.9,CLIC
1978-01-21,0.5,CLIC
1978-01-22,0.3,CLIC
1978-01-23,0,CLIC
1978-01-24,0,CLIC
1978-01-25,0,CLIC
1978-01-26,0,CLIC
1978-01-27,0,CLIC
1978-01-28,0.3,CLIC
1978-01-29,0,CLIC
1978-01-30,2.3,CLIC
1978-01-31,0.3,CLIC
1978-02-01,10.7,CLIC
1978-02-02,0,CLIC
1978-02-03,4.5,CLIC
1978-02-04,0,CLIC
1978-02-05,0,CLIC
1978-02-06,2,CLIC
1978-02-07,0.3,CLIC
1978-02-08,0,CLIC
1978-02-09,0.2,CLIC
1978-02-10,0.4,CLIC
1978-02-11,0,CLIC
1978-02-12,0,CLIC
1978-02-13,0,CLIC
1978-02-14,0,CLIC
1978-02-15,0,CLIC
1978-02-16,0,CLIC
1978-02-17,1.8,CLIC
1978-02-18,0,CLIC
1978-02-19,0,CLIC
1978-02-20,0,CLIC
1978-02-21,0,CLIC
1978-02-22,0,CLIC
1978-02-23,0,CLIC
1978-02-24,0,CLIC
1978-02-25,0,CLIC
1978-02-26,0,CLIC
1978-02-27,0,CLIC
1978-02-28,0,CLIC
1978-03-01,0,CLIC
1978-03-02,0,CLIC
1978-03-03,0,CLIC
1978-03-04,0,CLIC
1978-03-05,0,CLIC
1978-03-06,0,CLIC
1978-03-07,0,CLIC
1978-03-08,0,CLIC
1978-03-09,0,CLIC
1978-03-10,0,CLIC
1978-03-11,0,CLIC
1978-03-12,0,CLIC
1978-03-13,0,CLIC
1978-03-14,0,CLIC
1978-03-15,0,CLIC
1978-03-16,0,CLIC
1978-03-17,0,CLIC
1978-03-18,0,CLIC
1978-03-19,0,CLIC
1978-03-20,0,CLIC
1978-03-21,0,CLIC
1978-03-22,0,CLIC
1978-03-23,0,CLIC
1978-03-24,12.2,CLIC
1978-03-25,4.2,CLIC
1978-03-26,0.4,CLIC
1978-03-27,0,CLIC
1978-03-28,0,CLIC
1978-03-29,0,CLIC
1978-03-30,0,CLIC
1978-03-31,0,CLIC
1978-04-01,2,CLIC
1978-04-02,0,CLIC
1978-04-03,0.2,CLIC
1978-04-04,0.1,CLIC
1978-04-05,0.9,CLIC
1978-04-06,0,CLIC
1978-04-07,0,CLIC
1978-04-08,0,CLIC
1978-04-09,0,CLIC
1978-04-10,0,CLIC
1978-04-11,32.4,CLIC
1978-04-12,0,CLIC
1978-04-13,0,CLIC
1978-04-14,0,CLIC
1978-04-15,0,CLIC
1978-04-16,0,CLIC
1978-04-17,0,CLIC
1978-04-18,0,CLIC
1978-04-19,20.2,CLIC
1978-04-20,0.6,CLIC
1978-04-21,3.1,CLIC
1978-04-22,0,CLIC
1978-04-23,0,CLIC
1978-04-24,0,CLIC
1978-04-25,0,CLIC
1978-04-26,0.2,CLIC
1978-04-27,0,CLIC
1978-04-28,0,CLIC
1978-04-29,0,CLIC
1978-04-30,0,CLIC
1978-05-01,0,CLIC
1978-05-02,0,CLIC
1978-05-03,0,CLIC
1978-05-04,0,CLIC
1978-05-05,0,CLIC
1978-05-06,0,CLIC
1978-05-07,0,CLIC
1978-05-08,0,CLIC
1978-05-09,0,CLIC
1978-05-10,0,CLIC
1978-05-11,2.9,CLIC
1978-05-12,0,CLIC
1978-05-13,51,CLIC
1978-05-14,0,CLIC
1978-05-15,0,CLIC
1978-05-16,0,CLIC
1978-05-17,0,CLIC
1978-05-18,21.8,CLIC
1978-05-19,1.5,CLIC
1978-05-20,4.8,CLIC
1978-05-21,2.3,CLIC
1978-05-22,0,CLIC
1978-05-23,1.7,CLIC
1978-05-24,1.7,CLIC
1978-05-25,0.2,CLIC
1978-05-26,0,CLIC
1978-05-27,0,CLIC
1978-05-28,0,CLIC
1978-05-29,0,CLIC
1978-05-30,0,CLIC
1978-05-31,0,CLIC
1978-06-01,0,CLIC
1978-06-02,51.8,CLIC
1978-06-03,7,CLIC
1978-06-04,0,CLIC
1978-06-05,0,CLIC
1978-06-06,0.3,CLIC
1978-06-07,2.8,CLIC
1978-06-08,11.8,CLIC
1978-06-09,0,CLIC
1978-06-10,0,CLIC
1978-06-11,0,CLIC
1978-06-12,0,CLIC
1978-06-13,0,CLIC
1978-06-14,0,CLIC
1978-06-15,0,CLIC
1978-06-16,0,CLIC
1978-06-17,0,CLIC
1978-06-18,0,CLIC
1978-06-19,0,CLIC
1978-06-20,0,CLIC
1978-06-21,0,CLIC
1978-06-22,0,CLIC
1978-06-23,0,CLIC
1978-06-24,0,CLIC
1978-06-25,0,CLIC
1978-06-26,0,CLIC
1978-06-27,0,CLIC
1978-06-28,0,CLIC
1978-06-29,0,CLIC
1978-06-30,0,CLIC
1978-07-01,3.2,CLIC
1978-07-02,0,CLIC
1978-07-03,0,CLIC
1978-07-04,0,CLIC
1978-07-05,0,CLIC
1978-07-06,0,CLIC
1978-07-07,0,CLIC
1978-07-08,0,CLIC
1978-07-09,0,CLIC
1978-07-10,0,CLIC
1978-07-11,4.7,CLIC
1978-07-12,0,CLIC
