Estación: ,C19106,LA POMONA. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 13' 18'',Latitud:,24° 59' 34

Fecha,Valor,NúmDatos
1978-08-02,8,CLIC
1978-08-03,7.9,CLIC
1978-08-04,9.5,CLIC
1978-08-05,10.3,CLIC
1978-08-06,16.9,CLIC
1978-08-07,10.8,CLIC
1978-08-08,8.1,CLIC
1978-08-09,4.9,CLIC
1978-08-10,8.7,CLIC
1978-08-11,6.1,CLIC
1978-08-12,8.8,CLIC
1978-08-13,9,CLIC
1978-08-14,9.3,CLIC
1978-08-15,9.8,CLIC
1978-08-16,10.6,CLIC
1978-08-17,10.5,CLIC
1978-08-18,9.8,CLIC
1978-08-19,11.7,CLIC
1978-08-20,12.7,CLIC
1978-08-21,9.3,CLIC
1978-08-22,0.9,CLIC
1978-08-23,7.9,CLIC
1978-08-24,7.8,CLIC
1978-08-25,9,CLIC
1978-08-26,13.2,CLIC
1978-08-27,9.9,CLIC
1978-08-28,7.6,CLIC
1978-08-30,2.1,CLIC
1978-08-31,3.9,CLIC
1978-09-01,0.8,CLIC
1978-09-02,2.2,CLIC
1978-09-03,4.1,CLIC
1978-09-04,4.6,CLIC
1978-09-05,4.6,CLIC
1978-09-06,4.5,CLIC
1978-09-07,1.3,CLIC
1978-09-08,3,CLIC
1978-09-09,7.1,CLIC
1978-09-11,3.6,CLIC
1978-09-12,5.1,CLIC
1978-09-13,6.2,CLIC
1978-09-14,3.1,CLIC
1978-09-15,7.8,CLIC
1978-09-16,8.4,CLIC
1978-09-17,6.4,CLIC
1978-09-18,5.6,CLIC
1978-09-19,11.1,CLIC
1978-09-20,3.1,CLIC
1978-09-24,2.1,CLIC
1978-09-25,3.4,CLIC
1978-09-26,3,CLIC
1978-09-27,0.9,CLIC
1978-09-28,2.6,CLIC
1978-09-29,4.5,CLIC
1978-09-30,3.2,CLIC
1978-10-01,7.6,CLIC
1978-10-02,1.4,CLIC
1978-10-03,1.3,CLIC
1978-10-04,1.1,CLIC
1978-10-06,1.9,CLIC
1978-10-08,1,CLIC
1978-10-09,1.1,CLIC
1978-10-10,0.2,CLIC
1978-10-11,3.5,CLIC
1978-10-12,4.3,CLIC
1978-10-13,3,CLIC
1978-10-14,2.6,CLIC
1978-10-15,3.5,CLIC
1978-10-16,2.8,CLIC
1978-10-17,1.9,CLIC
1978-10-18,3.6,CLIC
1978-10-19,1.3,CLIC
1978-10-20,1.4,CLIC
1978-10-21,0.7,CLIC
1978-10-22,1.1,CLIC
1978-10-23,3.1,CLIC
1978-10-24,2,CLIC
1978-10-25,3.8,CLIC
1978-10-26,2.8,CLIC
1978-10-27,1.2,CLIC
1978-10-28,0.8,CLIC
1978-10-29,1.2,CLIC
1978-10-30,1.2,CLIC
1978-10-31,1.9,CLIC
1978-11-01,2,CLIC
1978-11-02,2,CLIC
1978-11-03,6,CLIC
1978-11-04,1.6,CLIC
1978-11-05,4.4,CLIC
1978-11-06,4.9,CLIC
1978-11-07,2.7,CLIC
1978-11-08,3.3,CLIC
1978-11-09,3.3,CLIC
1978-11-10,2.8,CLIC
1978-11-11,3.2,CLIC
1978-11-12,2.4,CLIC
1978-11-13,3.6,CLIC
1978-11-14,4.7,CLIC
1978-11-15,4.5,CLIC
