Estación: ,C19107,SAN NICOLAS. CD. ANAHUAC
Variable: ,Evaporación (mm)
Longitud: ,99° 58' 32.9'',Latitud:,27° 31' 54

Fecha,Valor,NúmDatos
1978-01-01,0.7,CLIC
1978-01-02,0.9,CLIC
1978-01-03,0.5,CLIC
1978-01-04,0.8,CLIC
1978-01-05,1.3,CLIC
1978-01-06,1.9,CLIC
1978-01-07,2.1,CLIC
1978-01-08,3.8,CLIC
1978-01-09,2.6,CLIC
1978-01-10,2.4,CLIC
1978-01-11,1.4,CLIC
1978-01-12,3.1,CLIC
1978-01-13,3.7,CLIC
1978-01-14,2.6,CLIC
1978-01-15,2.9,CLIC
1978-01-16,3.2,CLIC
1978-01-17,3.9,CLIC
1978-01-18,0.9,CLIC
1978-01-19,0.6,CLIC
1978-01-20,0.8,CLIC
1978-01-21,1.1,CLIC
1978-01-22,1.4,CLIC
1978-01-23,1.7,CLIC
1978-01-24,2.6,CLIC
1978-01-25,2.1,CLIC
1978-01-26,3.2,CLIC
1978-01-27,3.9,CLIC
1978-01-28,1.6,CLIC
1978-01-29,0.2,CLIC
1978-01-30,0.5,CLIC
1978-01-31,0.9,CLIC
1978-02-01,0.7,CLIC
1978-02-02,0.8,CLIC
1978-02-03,0.5,CLIC
1978-02-04,0.6,CLIC
1978-02-05,0.6,CLIC
1978-02-06,0.4,CLIC
1978-02-07,1.3,CLIC
1978-02-08,1.8,CLIC
1978-02-09,0.7,CLIC
1978-02-10,0.1,CLIC
1978-02-11,1.5,CLIC
1978-02-12,1.7,CLIC
1978-02-13,2.9,CLIC
1978-02-14,2.8,CLIC
1978-02-15,3.7,CLIC
1978-02-16,3.5,CLIC
1978-02-17,3.8,CLIC
1978-02-18,2.1,CLIC
1978-02-19,3.5,CLIC
1978-02-20,3.2,CLIC
1978-02-21,2.1,CLIC
1978-02-22,3.9,CLIC
1978-02-23,4,CLIC
1978-02-24,4.3,CLIC
1978-02-25,5.6,CLIC
1978-02-26,5.2,CLIC
1978-02-27,4.2,CLIC
1978-02-28,7.3,CLIC
1978-03-01,4.9,CLIC
1978-03-02,3,CLIC
1978-03-03,3.9,CLIC
1978-03-04,4.3,CLIC
1978-03-05,2.8,CLIC
1978-03-06,4.3,CLIC
1978-03-07,4.2,CLIC
1978-03-08,4.3,CLIC
1978-03-09,6.8,CLIC
1978-03-10,9,CLIC
1978-03-11,7.2,CLIC
1978-03-12,5,CLIC
1978-03-13,9.1,CLIC
1978-03-14,9.9,CLIC
1978-03-15,7.4,CLIC
1978-03-16,6.9,CLIC
1978-03-17,7.9,CLIC
1978-03-18,7.3,CLIC
1978-03-19,6.1,CLIC
1978-03-20,6.7,CLIC
1978-03-21,6.4,CLIC
1978-03-22,7.5,CLIC
1978-03-23,5.9,CLIC
1978-03-24,5.2,CLIC
1978-03-25,5.3,CLIC
1978-03-26,4.6,CLIC
1978-03-27,6.8,CLIC
1978-03-28,7.1,CLIC
1978-03-29,9.7,CLIC
1978-03-30,5.4,CLIC
1978-03-31,5.7,CLIC
1978-07-15,11.9,CLIC
1978-07-16,14.1,CLIC
1978-07-17,13.9,CLIC
1978-07-18,13.5,CLIC
1978-07-19,12.5,CLIC
1978-07-20,14.7,CLIC
1978-07-21,14.6,CLIC
1978-07-22,6.4,CLIC
1978-07-23,10.9,CLIC
1978-07-24,8,CLIC
1978-07-25,11.1,CLIC
1978-07-26,12.9,CLIC
1978-07-27,7.5,CLIC
1978-07-28,4.7,CLIC
1978-07-29,9.3,CLIC
1978-07-30,5.5,CLIC
1978-07-31,4.2,CLIC
1978-09-02,5.4,CLIC
1978-09-03,7.5,CLIC
1978-09-04,7.9,CLIC
1978-09-06,3.5,CLIC
1978-09-07,5.5,CLIC
1978-09-08,2.9,CLIC
1978-09-09,0.8,CLIC
1978-09-10,1.5,CLIC
1978-09-11,6.9,CLIC
1978-09-12,7.6,CLIC
1978-09-13,4.7,CLIC
1978-09-14,6.1,CLIC
1978-09-15,5.5,CLIC
1978-09-16,6.8,CLIC
1978-09-17,10,CLIC
1978-09-18,8.8,CLIC
1978-09-19,7.6,CLIC
1978-09-20,5.7,CLIC
1978-09-21,4.8,CLIC
1978-09-23,1.2,CLIC
1978-09-24,1.5,CLIC
1978-09-25,1,CLIC
1978-09-26,4.9,CLIC
1978-09-27,1.3,CLIC
1978-09-28,1,CLIC
