Estación: ,C19109,UÑA DE GATO. CERRALVO
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 41' 00'',Latitud:,25° 58' 00

Fecha,Promedio,Máximo,Mínimo
1978-12-07,15.5,20,11
1978-12-08,7,9,5
1978-12-09,6.75,10.5,3
1978-12-10,4,12,-4
1978-12-11,5,12,-2
1978-12-12,14,25,3
1978-12-13,13.5,18,9
1978-12-14,12.75,15.5,10
1978-12-15,15.75,23,8.5
1978-12-16,14.75,21,8.5
1978-12-17,13.25,15.5,11
1978-12-18,15.75,23,8.5
1978-12-19,20,29.5,10.5
1978-12-20,22,31.5,12.5
1978-12-21,17.5,22,13
1978-12-22,13.75,22,5.5
1978-12-23,17.5,27.5,7.5
1978-12-24,19.75,28,11.5
1978-12-25,14.25,21,7.5
1978-12-26,16.25,21.5,11
1978-12-27,11.5,14,9
1978-12-28,14,19,9
1978-12-29,16.5,21.5,11.5
1978-12-30,18,21.5,14.5
1978-12-31,21.25,27,15.5
1979-01-01,7.25,9,5.5
1979-01-02,3.5,9,-2
1979-01-03,10.5,25,-4
1979-01-04,10,21.5,-1.5
1979-01-05,9.5,18,1
1979-01-06,9.5,10.5,8.5
1979-01-07,7.25,8,6.5
1979-01-08,4.75,8,1.5
1979-01-09,5.5,9.5,1.5
1979-01-10,4.75,6,3.5
1979-01-11,10.25,18,2.5
1979-01-12,14,25,3
1979-01-13,10.5,12.5,8.5
1979-01-14,2.05,2.6,1.5
1979-01-15,7.25,15.5,-1
1979-01-16,11.25,22.5,0
1979-01-17,14.5,20.5,8.5
1979-01-18,20.75,26.5,15
1979-01-19,22.25,28,16.5
1979-01-20,20.75,26.5,15
1979-01-21,13.5,21.5,5.5
1979-01-22,13.5,22.5,4.5
1979-01-23,13.5,21,6
1979-01-24,5.25,6,4.5
1979-01-25,14,22.5,5.5
1979-01-26,18.25,26.5,10
1979-01-27,16,20.5,11.5
1979-01-28,15.25,21.5,9
1979-01-29,10.75,13.5,8
1979-01-30,10.75,13.5,8
1979-01-31,13.25,22,4.5
1979-02-01,7.25,10,4.5
1979-02-02,13.25,20,6.5
1979-02-03,15.5,23.5,7.5
1979-02-04,14.75,19.5,10
1979-02-05,15.5,20.5,10.5
1979-02-06,13.25,20,6.5
1979-02-07,13.75,20,7.5
1979-02-08,15.25,26.5,4
1979-02-09,9.75,11.5,8
1979-02-10,8.75,12.5,5
1979-02-11,15.75,21,10.5
1979-02-12,19.5,26.5,12.5
1979-02-13,19.75,30.5,9
1979-02-14,21.75,33,10.5
1979-02-15,23,32.5,13.5
1979-02-16,13.75,14.5,13
1979-02-17,6.5,10,3
1979-02-18,3,6,0
1979-02-19,7.5,12.5,2.5
1979-02-20,14,23,5
1979-02-21,18,28.5,7.5
1979-02-22,22.75,37,8.5
1979-02-23,23.5,31,16
1979-02-24,23.25,30.5,16
1979-02-25,16.25,22,10.5
1979-02-26,13.25,22,4.5
1979-02-27,17,28,6
1979-02-28,19.75,27.5,12
1979-03-01,22.5,29.5,15.5
1979-03-02,22.25,30.5,14
1979-03-03,17.25,28,6.5
1979-03-04,15.75,21.5,10
1979-03-05,11.75,16.5,7
1979-03-06,14,21.5,6.5
1979-03-07,17.5,28.5,6.5
1979-03-08,20.25,32.5,8
1979-03-09,25.75,38.5,13
1979-03-10,17.5,20,15
1979-03-11,14.75,19,10.5
1979-03-12,13.75,19,8.5
1979-03-13,20,30.5,9.5
1979-03-14,20,25.5,14.5
1979-03-15,22.25,27,17.5
1979-03-16,16,23.5,8.5
1979-03-17,20.5,26.5,14.5
1979-03-18,26,34.5,17.5
1979-03-19,24.5,30.5,18.5
1979-03-20,24.25,28,20.5
1979-03-21,27,33.5,20.5
1979-03-22,23.5,28.5,18.5
1979-03-23,19.5,26,13
1979-03-24,20.25,28,12.5
1979-03-25,20.5,28.5,12.5
1979-03-26,23.25,31,15.5
1979-03-27,22.25,29,15.5
1979-03-28,24.25,29.5,19
1979-03-29,27.75,34.5,21
1979-03-30,26,30.5,21.5
1979-03-31,26.5,31,22
1979-04-01,27.75,34.5,21
1979-04-02,26.25,31.5,21
1979-04-03,20,25,15
1979-04-04,18,22,14
1979-04-05,19.75,29.5,10
1979-04-06,18,26.5,9.5
1979-04-07,23.75,30,17.5
1979-04-08,27,34.5,19.5
1979-04-09,26,31.5,20.5
1979-04-10,25.25,32,18.5
1979-04-11,27.25,34.5,20
1979-04-12,25.25,31,19.5
1979-04-13,25,30,20
1979-04-14,25,32.5,17.5
1979-04-15,24.25,30,18.5
1979-04-16,25.5,29.5,21.5
1979-04-17,23.5,28.5,18.5
1979-04-18,26.75,33.5,20
1979-04-19,27,32.5,21.5
1979-04-20,25.5,32,19
1979-04-21,23.5,28.5,18.5
1979-04-22,22.5,27.5,17.5
1979-04-23,23.25,29.5,17
1979-04-24,24,32.5,15.5
1979-04-25,28.25,38,18.5
1979-04-26,27.75,35,20.5
1979-04-27,25.75,30.5,21
1979-04-28,26,31.5,20.5
1979-04-29,25.25,28.5,22
1979-04-30,20.75,22.5,19
1979-05-01,23.75,28.5,19
1979-05-02,27.75,35,20.5
1979-05-03,27.25,34,20.5
1979-05-04,21.9,26.5,17.3
1979-05-05,17.75,21.5,14
1979-05-06,23.5,32.5,14.5
1979-05-07,27.75,37.5,18
1979-05-08,28.25,36,20.5
1979-05-09,30.75,39,22.5
1979-05-10,27.25,32,22.5
1979-05-11,27.25,30.5,24
1979-05-12,21.75,26,17.5
1979-05-13,23.5,29,18
1979-05-14,23,31.5,14.5
1979-05-15,23,30.5,15.5
1979-05-16,25,30,20
1979-05-17,24,27.5,20.5
1979-05-18,27,34,20
1979-05-19,27.75,35,20.5
1979-05-20,27.25,34,20.5
1979-05-21,28,35.5,20.5
1979-05-22,27.75,33.5,22
1979-05-23,27.25,34.5,20
1979-05-24,27.75,33,22.5
1979-05-25,26,32,20
1979-05-26,26.5,31,22
1979-05-27,30.75,34.5,27
1979-05-28,26.5,30.5,22.5
1979-05-29,31.5,40,23
1979-05-30,32,40,24
1979-05-31,30.75,37,24.5
1979-06-01,30,35.5,24.5
1979-06-02,25.5,30,21
1979-06-03,25.75,29.5,22
1979-06-04,28,32.5,23.5
1979-06-05,30.5,32.5,28.5
1979-06-06,28.25,33.5,23
1979-06-07,29,33.5,24.5
1979-06-08,31,34,28
1979-06-09,29.25,34.5,24
1979-06-10,26.75,31,22.5
1979-06-11,25.75,30,21.5
1979-06-12,24.5,30.5,18.5
1979-06-13,24.5,32.5,16.5
1979-06-14,25,32.5,17.5
1979-06-15,23.75,29,18.5
1979-06-16,26.25,34.5,18
1979-06-17,27.5,35.5,19.5
1979-06-18,28.75,36,21.5
1979-06-19,29.75,37,22.5
1979-06-20,31,38.5,23.5
1979-06-21,31.75,39,24.5
1979-06-22,31.75,38.5,25
1979-06-23,29.75,36.5,23
1979-06-24,30.5,37,24
1979-06-25,29.75,36.5,23
1979-06-26,29.75,36.5,23
1979-06-27,27,31.5,22.5
1979-06-28,30,37,23
1979-06-29,30.5,38,23
1979-06-30,29.5,37.5,21.5
1979-07-01,29.75,38,21.5
1979-07-02,30.5,38.5,22.5
1979-07-03,30.5,37.5,23.5
1979-07-04,30.5,36,25
1979-07-05,30.75,36.5,25
1979-07-06,30.25,36.5,24
1979-07-07,28.25,32,24.5
1979-07-08,30.5,36,25
1979-07-09,26.75,30,23.5
1979-07-10,27.75,31,24.5
1979-07-11,27.5,31,24
1979-07-12,31.75,39.5,24
1979-07-13,28.75,32.5,25
1979-07-14,31,36.5,25.5
1979-07-15,31.5,38.5,24.5
1979-07-16,31,37.5,24.5
1979-07-17,31,38,24
1979-07-18,31.5,38.5,24.5
1979-07-19,30.75,38.5,23
1979-07-20,31.25,38.5,24
1979-07-21,31,37,25
1979-07-22,30.25,36,24.5
1979-07-23,30.75,38,23.5
1979-07-24,32,39.5,24.5
1979-07-25,33,39.5,26.5
1979-07-26,29.25,34.5,24
1979-07-27,30,36.5,23.5
1979-07-28,30,37,23
1979-07-29,30.75,37.5,24
1979-07-30,29.5,35.5,23.5
1979-07-31,25.25,27.5,23
1979-08-01,30,38,22
1979-08-02,30.5,38,23
1979-08-03,29.5,37,22
1979-08-04,31.5,36,27
1979-08-05,29.5,36,23
1979-08-06,29.5,36,23
1979-08-07,30,37,23
1979-08-08,30,37,23
1979-08-09,30,37,23
1979-08-10,31,39,23
1979-08-11,31.5,40,23
1979-08-12,29,36,22
1979-08-13,27.25,32,22.5
1979-08-14,30,37,23
1979-08-15,27.5,35,20
1979-08-16,28.5,36,21
1979-08-17,29.5,37,22
1979-08-18,30.5,37,24
1979-08-19,29,37,21
1979-08-20,29.5,37,22
1979-08-21,30.25,38,22.5
1979-08-22,30.5,38,23
1979-08-23,30,37,23
1979-08-24,26.25,32.5,20
1979-08-25,28,36,20
1979-08-26,28.5,36,21
1979-08-27,29,37,21
1979-08-28,26,30,22
1979-08-29,29,36,22
1979-08-30,28.5,34,23
1979-08-31,31,38.5,23.5
1979-09-01,31,38,24
1979-09-02,31,38,24
1979-09-03,27.75,32,23.5
1979-09-04,27.5,34,21
1979-09-05,30,36.5,23.5
1979-09-06,28.5,34,23
1979-09-07,25.5,30,21
1979-09-08,25,29,21
1979-09-09,25.25,28.5,22
1979-09-10,25,30,20
1979-09-11,25.25,31.5,19
1979-09-12,25,31,19
1979-09-13,26.75,33.5,20
1979-09-14,26.5,32,21
1979-09-15,24.25,28.5,20
