Estación: ,C19112,BENITEZ. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 28' 25.6'',Latitud:,24° 43' 29.44''

Fecha,Valor,NúmDatos
1980-01-01,2.8,CLIC
1980-01-02,0.9,CLIC
1980-01-03,1.9,CLIC
1980-01-04,1.8,CLIC
1980-01-05,1.6,CLIC
1980-01-06,1.8,CLIC
1980-01-07,2.2,CLIC
1980-01-08,2.4,CLIC
1980-01-09,1.2,CLIC
1980-01-10,1.3,CLIC
1980-01-11,4.7,CLIC
1980-01-12,3.6,CLIC
1980-01-13,1.4,CLIC
1980-01-14,3.7,CLIC
1980-01-15,2,CLIC
1980-01-16,2,CLIC
1980-01-17,1,CLIC
1980-01-18,2,CLIC
1980-01-19,2,CLIC
1980-01-20,1.9,CLIC
1980-01-21,0.3,CLIC
1980-01-22,0.7,CLIC
1980-01-23,3.3,CLIC
1980-01-24,0.3,CLIC
1980-01-25,1,CLIC
1980-01-26,3.5,CLIC
1980-01-27,1.5,CLIC
1980-01-28,1,CLIC
1980-01-29,1,CLIC
1980-01-31,0.6,CLIC
1980-02-01,0.8,CLIC
1980-02-02,0.8,CLIC
1980-02-03,0.6,CLIC
1980-02-04,0.2,CLIC
1980-02-05,1.3,CLIC
1980-02-06,2.3,CLIC
1980-02-07,2.8,CLIC
1980-02-08,2.2,CLIC
1980-02-09,0.5,CLIC
1980-02-10,0.6,CLIC
1980-02-11,1.5,CLIC
1980-02-12,2,CLIC
1980-02-13,0.3,CLIC
1980-02-14,0.6,CLIC
1980-02-15,0.4,CLIC
1980-02-16,3,CLIC
1980-02-17,1.4,CLIC
1980-02-18,0.8,CLIC
1980-02-19,2.2,CLIC
1980-02-20,6,CLIC
1980-02-21,2.3,CLIC
1980-02-22,8.1,CLIC
1980-02-23,5.8,CLIC
1980-02-24,2,CLIC
1980-02-25,0.4,CLIC
1980-02-26,3.9,CLIC
1980-02-27,2.9,CLIC
1980-02-28,8.1,CLIC
1980-02-29,5.2,CLIC
1980-03-01,2.9,CLIC
1980-03-02,1,CLIC
1980-03-03,3.7,CLIC
1980-03-04,2.4,CLIC
1980-03-05,4.1,CLIC
1980-03-06,6.2,CLIC
1980-03-07,3,CLIC
1980-03-08,7.2,CLIC
1980-03-09,5.1,CLIC
1980-03-10,3.5,CLIC
1980-03-11,4.3,CLIC
1980-03-12,4.7,CLIC
1980-03-13,5.9,CLIC
1980-03-14,4.4,CLIC
1980-03-15,3.7,CLIC
1980-03-16,1.2,CLIC
1980-03-17,3.7,CLIC
1980-03-18,9.9,CLIC
1980-03-19,5,CLIC
1980-03-20,5.4,CLIC
1980-03-21,9,CLIC
1980-03-22,6,CLIC
1980-03-23,10.1,CLIC
1980-03-24,6.5,CLIC
1980-03-25,8,CLIC
1980-03-26,6.5,CLIC
1980-03-27,8.6,CLIC
1980-03-28,5.9,CLIC
1980-03-29,7,CLIC
1980-03-30,6.7,CLIC
1980-03-31,9.6,CLIC
1980-04-02,6.4,CLIC
1980-04-03,4.4,CLIC
1980-04-04,9.8,CLIC
1980-04-05,4.1,CLIC
1980-04-06,5.3,CLIC
1980-04-07,5,CLIC
1980-04-08,7,CLIC
1980-04-09,5.1,CLIC
1980-04-10,6.5,CLIC
1980-04-11,5.2,CLIC
1980-04-12,5.7,CLIC
1980-04-13,5.9,CLIC
1980-04-14,3.5,CLIC
1980-04-15,7,CLIC
1980-04-16,4.9,CLIC
1980-04-17,4.1,CLIC
1980-04-18,9.2,CLIC
1980-04-19,9.7,CLIC
1980-04-20,1.1,CLIC
1980-04-21,7,CLIC
1980-04-22,7,CLIC
1980-04-23,7.5,CLIC
1980-04-24,8.4,CLIC
1980-04-25,7,CLIC
1980-04-26,6.6,CLIC
1980-04-27,5.4,CLIC
1980-04-28,7.2,CLIC
1980-04-29,9.1,CLIC
1980-04-30,9.6,CLIC
1980-05-01,7.1,CLIC
1980-05-02,6.8,CLIC
1980-05-03,7.1,CLIC
1980-05-04,4.3,CLIC
1980-05-05,6.2,CLIC
1980-05-06,3,CLIC
1980-05-07,5.3,CLIC
1980-05-08,5.9,CLIC
1980-05-09,7.2,CLIC
1980-05-10,6,CLIC
1980-05-11,5.7,CLIC
1980-05-12,6.4,CLIC
1980-05-13,5.6,CLIC
1980-05-14,8.3,CLIC
1980-05-15,6.6,CLIC
1980-05-16,5.9,CLIC
1980-05-17,6.5,CLIC
1980-05-18,6.1,CLIC
1980-05-19,6.7,CLIC
1980-05-20,4.6,CLIC
1980-05-21,5.8,CLIC
1980-05-22,5.3,CLIC
1980-05-23,7.5,CLIC
1980-05-24,7.7,CLIC
1980-05-25,6.6,CLIC
1980-05-26,6.5,CLIC
1980-05-27,6.9,CLIC
1980-05-28,6.9,CLIC
1980-05-29,6.8,CLIC
1980-05-30,7.5,CLIC
1980-05-31,6.6,CLIC
1980-06-01,2,CLIC
1980-06-02,18,CLIC
1980-06-03,7.3,CLIC
1980-06-04,8.4,CLIC
1980-06-05,8.9,CLIC
1980-06-06,5.4,CLIC
1980-06-07,2.3,CLIC
1980-06-08,6.8,CLIC
1980-06-09,4.8,CLIC
1980-06-10,6.2,CLIC
1980-06-11,1.4,CLIC
1980-06-12,6,CLIC
1980-06-13,6.4,CLIC
1980-06-14,1.7,CLIC
1980-06-15,10.3,CLIC
1980-06-16,9.1,CLIC
1980-06-17,10,CLIC
1980-06-18,4.3,CLIC
1980-06-19,5,CLIC
1980-06-20,9.3,CLIC
1980-06-21,9.1,CLIC
1980-06-22,9.4,CLIC
1980-06-23,2.6,CLIC
1980-06-24,9,CLIC
1980-06-25,7.6,CLIC
1980-06-26,9.3,CLIC
1980-06-27,11.3,CLIC
1980-06-28,10.5,CLIC
1980-06-29,11,CLIC
1980-06-30,10.5,CLIC
1980-07-01,11.3,CLIC
1980-07-02,6.7,CLIC
1980-07-03,6.6,CLIC
1980-07-04,4.5,CLIC
1980-07-05,5.4,CLIC
1980-07-06,9.2,CLIC
1980-07-07,8.9,CLIC
1980-07-08,9,CLIC
1980-07-09,8.3,CLIC
1980-07-10,10.8,CLIC
1980-07-11,5.1,CLIC
1980-07-12,4.1,CLIC
1980-07-13,15.2,CLIC
1980-07-14,10.6,CLIC
1980-07-15,8.6,CLIC
1980-07-16,11.1,CLIC
1980-07-17,9.9,CLIC
1980-07-18,9.6,CLIC
1980-07-19,9.3,CLIC
1980-07-20,7.2,CLIC
1980-07-21,8.3,CLIC
1980-07-22,8,CLIC
1980-07-23,6.7,CLIC
1980-07-24,5.4,CLIC
1980-07-25,3.2,CLIC
1980-07-26,8.3,CLIC
1980-07-27,8.8,CLIC
1980-07-28,11.7,CLIC
1980-07-29,6.7,CLIC
1980-07-30,11.3,CLIC
1980-07-31,5.3,CLIC
