Estación: ,C19113,EL BRASIL. DOCTOR COSS
Variable: ,Evaporación (mm)
Longitud: ,98° 59' 28'',Latitud:,25° 53' 37

Fecha,Valor,NúmDatos
1979-08-01,8.1,CLIC
1979-08-02,9.5,CLIC
1979-08-03,3.4,CLIC
1979-08-04,7.3,CLIC
1979-08-05,8.6,CLIC
1979-08-06,2.2,CLIC
1979-08-07,2,CLIC
1979-08-08,10.9,CLIC
1979-08-09,9.5,CLIC
1979-08-10,9.5,CLIC
1979-08-11,11,CLIC
1979-08-12,11.8,CLIC
1979-08-13,10.4,CLIC
1979-08-14,4,CLIC
1979-08-15,10.5,CLIC
1979-08-16,10.8,CLIC
1979-08-17,7.6,CLIC
1979-08-18,10.3,CLIC
1979-08-19,8.6,CLIC
1979-08-20,12.9,CLIC
1979-08-21,5.7,CLIC
1979-08-22,5.5,CLIC
1979-08-23,1.9,CLIC
1979-08-24,1.7,CLIC
1979-08-25,6.7,CLIC
1979-08-26,4.9,CLIC
1979-08-27,2.8,CLIC
1979-08-28,0.7,CLIC
1979-08-29,0.6,CLIC
1979-08-30,1.2,CLIC
1979-08-31,8.2,CLIC
1979-09-01,5.3,CLIC
1979-09-02,7.9,CLIC
1979-09-03,3.6,CLIC
1979-09-04,3.2,CLIC
1979-09-05,4.2,CLIC
1979-09-06,6.3,CLIC
1979-09-07,7.6,CLIC
1979-09-08,0.2,CLIC
1979-09-09,0.4,CLIC
1979-09-10,1.7,CLIC
1979-09-11,3.5,CLIC
1979-09-12,3.7,CLIC
1979-09-13,6.6,CLIC
1979-09-14,6.2,CLIC
1979-09-15,8.6,CLIC
1979-09-16,5.6,CLIC
1979-09-17,3.2,CLIC
1979-09-18,5,CLIC
1979-09-19,5.4,CLIC
1979-09-20,2.7,CLIC
1979-09-21,5.6,CLIC
1979-09-22,6.4,CLIC
1979-09-23,5.1,CLIC
1979-09-24,4.2,CLIC
1979-09-25,3.1,CLIC
1979-09-26,1.8,CLIC
1979-09-27,4.3,CLIC
1979-09-28,3.9,CLIC
1979-09-29,3.5,CLIC
1979-09-30,5.8,CLIC
1979-10-01,4.9,CLIC
1979-10-02,6.3,CLIC
1979-10-03,4.6,CLIC
1979-10-04,3.8,CLIC
1979-10-05,2.3,CLIC
1979-10-06,2.9,CLIC
1979-10-07,3.8,CLIC
1979-10-08,6.6,CLIC
1979-10-09,4.7,CLIC
1979-10-10,4.4,CLIC
1979-10-11,3.6,CLIC
1979-10-12,3.8,CLIC
1979-10-13,5.1,CLIC
1979-10-14,5.2,CLIC
1979-10-15,4.5,CLIC
1979-10-16,4.1,CLIC
1979-10-17,8.3,CLIC
1979-10-18,5.9,CLIC
1979-10-19,4.8,CLIC
