Estación: ,C19114,EL CUERVITO. GRAL. BRAVO
Variable: ,Evaporación (mm)
Longitud: ,98° 48' 39.8'',Latitud:,25° 53' 12.3''

Fecha,Valor,NúmDatos
1983-04-01,1.1,CLIC
1983-04-02,2,CLIC
1983-04-03,1.9,CLIC
1983-04-04,2.1,CLIC
1983-04-05,1.3,CLIC
1983-04-06,2.8,CLIC
1983-04-07,1.9,CLIC
1983-04-08,2.1,CLIC
1983-04-09,1.8,CLIC
1983-04-10,2.1,CLIC
1983-04-11,2.1,CLIC
1983-04-12,1.9,CLIC
1983-04-13,2,CLIC
1983-04-14,1.9,CLIC
1983-04-15,2.2,CLIC
1983-04-16,1.9,CLIC
1983-04-17,2,CLIC
1983-04-18,1.8,CLIC
1983-04-19,2,CLIC
1983-04-20,1.9,CLIC
1983-04-21,2.3,CLIC
1983-04-22,2,CLIC
1983-04-23,2.8,CLIC
1983-04-24,2.1,CLIC
1983-04-25,2.2,CLIC
1983-04-26,1.9,CLIC
1983-04-27,2.7,CLIC
1983-04-28,3.3,CLIC
1983-04-29,5.1,CLIC
1983-04-30,6,CLIC
1983-08-01,6.3,CLIC
1983-08-02,6.6,CLIC
1983-08-03,7.1,CLIC
1983-08-04,6.4,CLIC
1983-08-05,6.3,CLIC
1983-08-06,5.4,CLIC
1983-08-07,3.4,CLIC
1983-08-08,7.4,CLIC
1983-08-09,6,CLIC
1983-08-10,6.1,CLIC
1983-08-11,6.5,CLIC
1983-08-12,8,CLIC
1983-08-14,4.8,CLIC
1983-08-15,4.8,CLIC
1983-08-16,4.7,CLIC
1983-08-17,7.5,CLIC
1983-08-18,4.4,CLIC
1983-08-19,5.6,CLIC
1983-08-20,5.4,CLIC
1983-08-21,7,CLIC
1983-08-22,8.6,CLIC
1983-08-23,8,CLIC
1983-08-24,5.4,CLIC
1983-08-25,9.1,CLIC
1983-08-26,7.8,CLIC
1983-08-27,6.5,CLIC
1983-08-28,8.6,CLIC
1983-08-29,6.5,CLIC
1983-08-30,7,CLIC
1983-08-31,8.6,CLIC
