Estación: ,C19116,EJIDO LAS FLORES. CHINA
Variable: ,Precipitación (mm)
Longitud: ,99° 52' 00'',Latitud:,25° 04' 00

Fecha,Valor,NúmDatos
1980-10-01,6,CLIC
1980-10-02,6,CLIC
1980-10-03,9,CLIC
1980-10-04,6,CLIC
1980-10-05,6,CLIC
1980-10-06,5,CLIC
1980-10-07,1,CLIC
1980-10-08,3,CLIC
1980-10-09,0,CLIC
1980-10-10,0,CLIC
1980-10-11,6,CLIC
1980-10-12,4,CLIC
1980-10-13,2,CLIC
1980-10-14,3,CLIC
1980-10-15,9,CLIC
1980-10-16,0,CLIC
1980-10-17,8,CLIC
1980-10-18,0,CLIC
1980-10-19,0,CLIC
1980-10-20,0,CLIC
1980-10-21,0,CLIC
1980-10-22,0,CLIC
1980-10-23,0,CLIC
1980-10-24,0,CLIC
1980-10-25,8,CLIC
1980-10-26,8,CLIC
1980-10-27,6,CLIC
1980-10-28,0,CLIC
1980-10-29,6,CLIC
1980-10-30,0,CLIC
1980-10-31,0,CLIC
1981-01-01,0,CLIC
1981-01-02,0,CLIC
1981-01-03,0,CLIC
1981-01-04,0,CLIC
1981-01-05,0,CLIC
1981-01-06,0,CLIC
1981-01-07,0,CLIC
1981-01-08,0,CLIC
1981-01-09,10,CLIC
1981-01-10,6,CLIC
1981-01-11,15,CLIC
1981-01-12,10,CLIC
1981-01-13,0,CLIC
1981-01-14,0,CLIC
1981-01-15,0,CLIC
1981-01-16,31,CLIC
1981-01-17,10,CLIC
1981-01-18,10,CLIC
1981-01-19,10,CLIC
1981-01-20,20,CLIC
1981-01-21,40,CLIC
1981-01-22,0,CLIC
1981-01-23,0,CLIC
1981-01-24,0,CLIC
1981-01-25,0,CLIC
1981-01-26,0,CLIC
1981-01-27,0,CLIC
1981-01-28,0,CLIC
1981-01-29,0,CLIC
1981-01-30,0,CLIC
1981-01-31,0,CLIC
