Estación: ,C19116,EJIDO LAS FLORES. CHINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 52' 00'',Latitud:,25° 04' 00

Fecha,Promedio,Máximo,Mínimo
1980-10-01,22.5,26,19
1980-10-02,24.5,29,20
1980-10-03,22.5,28,17
1980-10-04,20.5,26,15
1980-10-05,23,30,16
1980-10-06,22.5,29,16
1980-10-07,21,26,16
1980-10-08,21,27,15
1980-10-09,21.5,29,14
1980-10-10,22.5,28,17
1980-10-11,22.5,29,16
1980-10-12,22.5,28,17
1980-10-13,23.5,30,17
1980-10-14,22.5,27,18
1980-10-15,23,29,17
1980-10-16,22.5,29,16
1980-10-17,24,31,17
1980-10-18,24,30,18
1980-10-19,19.5,28,11
1980-10-20,19.5,26,13
1980-10-21,18.5,25,12
1980-10-22,22,28,16
1980-10-23,21.5,26,17
1980-10-24,18.5,25,12
1980-10-25,20.5,28,13
1980-10-26,20,26,14
1980-10-27,19.5,27,12
1980-10-28,20,26,14
1980-10-29,22,26,18
1980-10-30,22,28,16
1980-10-31,20,27,13
1981-01-01,17,20,14
1981-01-02,17.55,18.1,17
1981-01-03,15.05,16.1,14
1981-01-04,16,19,13
1981-01-05,15.5,19,12
1981-01-06,16,18,14
1981-01-07,12.5,14,11
1981-01-08,13.5,18,9
1981-01-09,12.5,14,11
1981-01-10,8,16,0
1981-01-11,7.5,11,4
1981-01-12,4.5,9,0
1981-01-13,5.5,8,3
1981-01-14,10.5,18,3
1981-01-15,15.5,17,14
1981-01-16,10.5,15,6
1981-01-17,0.05,0.1,0
1981-01-18,0.05,0.1,0
1981-01-19,0.05,0.1,0
1981-01-20,9,18,0
1981-01-21,12.5,14,11
1981-01-22,0.05,0.1,0
1981-01-23,8.5,17,0
1981-01-24,11,22,0
1981-01-25,18,24,12
1981-01-26,13,18,8
1981-01-27,13.5,22,5
1981-01-28,5.5,11,0
1981-01-29,11.5,22,1
1981-01-30,17.5,21,14
1981-01-31,17.55,20.1,15
