Estación: ,C19118,LA ESCONDIDA. ARAMBERRI
Variable: ,Evaporación (mm)
Longitud: ,99° 50' 00'',Latitud:,24° 10' 00

Fecha,Valor,NúmDatos
1980-06-01,1.6,CLIC
1980-06-02,5,CLIC
1980-06-03,1.1,CLIC
1980-06-04,2.9,CLIC
1980-06-05,3.4,CLIC
1980-06-06,6,CLIC
1980-06-07,3,CLIC
1980-06-08,6.5,CLIC
1980-06-09,3.8,CLIC
1980-06-10,2.4,CLIC
1980-06-11,4.9,CLIC
1980-06-12,6,CLIC
1980-06-13,4.2,CLIC
1980-06-14,4.7,CLIC
1980-06-15,3.2,CLIC
1980-06-16,6.7,CLIC
1980-06-17,3.7,CLIC
1980-06-18,6.3,CLIC
1980-06-19,5.1,CLIC
1980-06-20,4.8,CLIC
1980-06-21,5.1,CLIC
1980-06-22,6.1,CLIC
1980-06-23,3.7,CLIC
1980-06-24,6.5,CLIC
1980-06-25,2.7,CLIC
1980-06-26,4.9,CLIC
1980-06-27,3.6,CLIC
1980-06-28,6.7,CLIC
1980-06-29,4.4,CLIC
1980-06-30,6.8,CLIC
1980-08-01,10.3,CLIC
1980-08-02,9.3,CLIC
1980-08-03,8,CLIC
1980-08-04,0.3,CLIC
1980-08-05,1.6,CLIC
1980-08-06,1,CLIC
1980-08-07,1.1,CLIC
1980-08-08,7,CLIC
1980-08-09,7.5,CLIC
1980-08-10,7.5,CLIC
1980-08-11,2,CLIC
1980-08-12,2,CLIC
1980-08-13,7.9,CLIC
1980-08-14,2.1,CLIC
1980-08-15,4,CLIC
1980-08-17,6,CLIC
1980-08-18,0.7,CLIC
1980-08-19,0.3,CLIC
1980-08-20,2.2,CLIC
1980-08-21,9.1,CLIC
1980-08-22,8.7,CLIC
1980-08-23,2.5,CLIC
1980-08-24,8.1,CLIC
1980-08-25,4.3,CLIC
1980-08-26,7,CLIC
1980-08-27,1,CLIC
1980-08-28,8,CLIC
1980-08-29,11,CLIC
1980-08-30,4.9,CLIC
1980-08-31,6.5,CLIC
1980-09-01,3.5,CLIC
1980-09-02,1.6,CLIC
1980-09-03,5.1,CLIC
1980-09-04,3,CLIC
1980-09-05,9,CLIC
1980-09-06,10.6,CLIC
1980-09-07,6.2,CLIC
1980-09-08,4.3,CLIC
1980-09-09,1.4,CLIC
1980-09-10,3.7,CLIC
1980-09-11,5,CLIC
1980-09-12,2,CLIC
1980-09-13,3,CLIC
1980-09-14,9,CLIC
1980-09-15,11,CLIC
1980-09-16,8,CLIC
1980-09-17,3.4,CLIC
1980-09-18,7,CLIC
1980-09-19,8.3,CLIC
1980-09-20,5.7,CLIC
1980-09-21,5.3,CLIC
1980-09-22,2,CLIC
1980-09-23,2,CLIC
1980-09-24,7,CLIC
1980-09-25,4.7,CLIC
1980-09-26,3,CLIC
1980-09-27,2,CLIC
1980-09-28,3.9,CLIC
1980-09-29,6.1,CLIC
1980-09-30,6.3,CLIC
1980-12-01,4.1,CLIC
1980-12-02,1.9,CLIC
1980-12-03,3.9,CLIC
1980-12-04,1.3,CLIC
1980-12-05,0.3,CLIC
1980-12-06,1.6,CLIC
1980-12-07,0.8,CLIC
1980-12-08,0.7,CLIC
1980-12-09,0.6,CLIC
1980-12-10,1.1,CLIC
1980-12-11,0.2,CLIC
1980-12-12,1,CLIC
1980-12-13,1.8,CLIC
1980-12-14,2.9,CLIC
1980-12-15,2.1,CLIC
1980-12-16,1.2,CLIC
1980-12-17,0.7,CLIC
1980-12-18,2.3,CLIC
1980-12-19,2.4,CLIC
1980-12-20,1.8,CLIC
1980-12-21,1.6,CLIC
1980-12-22,0.7,CLIC
1980-12-23,1.5,CLIC
1980-12-24,3,CLIC
1980-12-25,2,CLIC
