Estación: ,C19118,LA ESCONDIDA. ARAMBERRI
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 50' 00'',Latitud:,24° 10' 00

Fecha,Promedio,Máximo,Mínimo
1980-06-01,23.5,30,17
1980-06-02,22,28,16
1980-06-03,22,28,16
1980-06-04,22.5,29,16
1980-06-05,23.5,30,17
1980-06-06,18.5,25,12
1980-06-07,22,28,16
1980-06-08,23.5,30,17
1980-06-09,23.5,30,17
1980-06-10,23,30,16
1980-06-11,22.5,28,17
1980-06-12,23,30,16
1980-06-13,22.5,29,16
1980-06-14,23.5,30,17
1980-06-15,21,27,15
1980-06-16,21.5,27,16
1980-06-17,23,30,16
1980-06-18,22.25,29,15.5
1980-06-19,22.5,28,17
1980-06-20,21.75,28,15.5
1980-06-21,22.5,30,15
1980-06-22,23,28,18
1980-06-23,24.5,29,20
1980-06-24,24.25,30,18.5
1980-06-25,23.25,29.5,17
1980-06-26,24.25,30,18.5
1980-06-27,22.75,28,17.5
1980-06-28,24.25,29,19.5
1980-06-29,23,27,19
1980-06-30,23.5,30,17
1980-08-01,22,28,16
1980-08-02,21.5,27,16
1980-08-03,22,28,16
1980-08-04,22,28,16
1980-08-05,22,27,17
1980-08-06,20,24,16
1980-08-07,19,23,15
1980-08-08,20.5,25,16
1980-08-09,22,28,16
1980-08-10,17.5,22,13
1980-08-11,19.5,23,16
1980-08-12,19.05,22.1,16
1980-08-13,19,22,16
1980-08-14,19,22,16
1980-08-15,19.5,23,16
1980-08-16,19,21,17
1980-08-17,19.5,23,16
1980-08-18,19,22,16
1980-08-19,19,22,16
1980-08-20,19.5,23,16
1980-08-21,19.5,23,16
1980-08-22,21.5,27,16
1980-08-23,22,28,16
1980-08-24,21.5,27,16
1980-08-25,20.5,25,16
1980-08-26,21.5,27,16
1980-08-27,20.5,25,16
1980-08-28,21.5,27,16
1980-08-29,21.5,27,16
1980-08-30,19.5,23,16
1980-08-31,21.5,27,16
1980-09-01,23.5,28,19
1980-09-02,21.5,27,16
1980-09-03,22.5,30,15
1980-09-04,23,29,17
1980-09-05,21,26,16
1980-09-06,20,29,11
1980-09-07,23,29,17
1980-09-08,22.5,29,16
1980-09-09,22,28,16
1980-09-10,20,30,10
1980-09-11,23,29,17
1980-09-12,23,29,17
1980-09-13,20.5,25,16
1980-09-14,21.05,25.1,17
1980-09-15,22,28,16
1980-09-16,22,28,16
1980-09-17,21,25,17
1980-09-18,22,28,16
1980-09-19,22.5,28,17
1980-09-20,21,26,16
1980-09-21,21,25,17
1980-09-22,22.5,28,17
1980-09-23,23.5,30,17
1980-09-24,22.5,29,16
1980-09-25,23,30,16
1980-09-26,23,29,17
1980-09-27,23,29,17
1980-09-28,22.5,29,16
1980-09-29,23,29,17
1980-09-30,19.5,23,16
1980-11-01,20,24,16
1980-11-02,19.05,22.1,16
1980-11-03,18.5,21,16
1980-11-04,18.5,21,16
1980-11-05,18.5,21,16
1980-11-06,18.5,20,17
1980-11-07,18.5,21,16
1980-11-08,19.5,22,17
1980-11-09,18.05,20.1,16
1980-11-10,18,20,16
1980-11-11,18,20,16
1980-11-12,18.5,21,16
1980-11-13,18,20,16
1980-11-14,17.5,19,16
1980-11-15,18.5,21,16
1980-11-16,18.5,21,16
1980-11-17,19,22,16
1980-11-18,20,23,17
1980-11-19,20.5,25,16
1980-11-20,20,23,17
1980-11-21,17.55,19.1,16
1980-11-22,17.05,18.1,16
1980-11-23,17,18,16
1980-11-24,17,18,16
1980-11-25,16.55,17.1,16
1980-11-26,16.5,17,16
1980-11-27,17.5,19,16
1980-11-28,17.6,18.2,17
1980-11-29,17,18,16
1980-11-30,17,18,16
1980-12-01,13.55,18.1,9
1980-12-02,12.55,17.1,8
1980-12-03,15.5,22,9
1980-12-04,16.5,18,15
1980-12-05,14.5,19,10
1980-12-06,16,20,12
1980-12-07,15.05,19.1,11
1980-12-08,14.5,19,10
1980-12-09,14.05,18.1,10
1980-12-10,14.5,22,7
1980-12-11,13.55,20.1,7
1980-12-12,15,20,10
1980-12-13,14,21,7
1980-12-14,14,22,6
1980-12-15,14.5,23,6
1980-12-16,13.5,22,5
1980-12-17,14,21,7
1980-12-18,13.05,19.1,7
1980-12-19,15.5,21,10
1980-12-20,15,20,10
1980-12-21,16,20,12
1980-12-22,15.5,21,10
1980-12-23,19,22,16
1980-12-24,18.5,20,17
1980-12-25,18.5,20,17
1980-12-26,20.5,23,18
1980-12-27,18,20,16
1980-12-28,17.5,20,15
1980-12-29,18,20,16
1980-12-30,19.5,23,16
1980-12-31,15.5,21,10
1981-02-01,18,20,16
1981-02-02,18.5,22,15
1981-02-03,20,24,16
1981-02-04,18.5,23,14
1981-02-05,16,19,13
1981-02-06,15,18,12
1981-02-07,13,16,10
1981-02-08,11,18,4
1981-02-09,11.5,20,3
1981-02-10,15,21,9
1981-02-11,15,19,11
1981-02-12,14,20,8
1981-02-13,19,26,12
1981-02-14,19.5,23,16
1981-02-15,19.5,22,17
1981-02-16,18.5,21,16
1981-02-17,17,20,14
1981-02-18,18,24,12
1981-02-19,19,22,16
1981-02-20,20,25,15
1981-02-21,22.5,26,19
1981-02-22,18,20,16
1981-02-23,17,21,13
1981-02-24,16.5,19,14
1981-02-25,20,30,10
1981-02-26,21.5,28,15
1981-02-27,24,30,18
1981-02-28,23,26,20
1981-03-01,15.75,20,11.5
1981-03-02,17,23,11
1981-03-03,19,24,14
1981-03-04,19.5,26,13
1981-03-05,18.25,24,12.5
1981-03-06,20.75,25,16.5
1981-03-07,21,26,16
1981-03-08,21,25,17
1981-03-09,21.5,27,16
1981-03-10,20,25,15
1981-03-11,20.5,27,14
1981-03-12,18,23,13
1981-03-13,18.75,24,13.5
1981-03-14,19,26,12
1981-03-15,17.5,25,10
1981-03-16,19.5,25,14
1981-03-17,18.5,27,10
1981-03-18,19.5,28,11
1981-03-19,19.5,27,12
1981-03-20,20.5,28,13
1981-03-21,20,28,12
1981-03-22,19,25,13
1981-03-23,21.5,29,14
1981-03-24,19.75,28,11.5
1981-03-25,19,25,13
1981-03-26,19.5,27,12
1981-03-27,20,27,13
1981-03-28,21,28,14
1981-03-29,20.5,29,12
1981-03-30,20.25,28,12.5
1981-03-31,20,29,11
1981-04-01,19.5,28,11
1981-04-02,21.5,25,18
1981-04-03,23.5,30,17
1981-04-04,24,33,15
1981-04-05,25,39,11
1981-04-06,19,26,12
1981-04-07,21,29,13
1981-04-08,20.25,28.5,12
1981-04-09,23.75,29.5,18
1981-04-10,20,28,12
1981-04-11,20,27,13
1981-04-12,21,30,12
1981-04-13,24,29,19
1981-04-14,24,28,20
1981-04-15,19,20,18
1981-04-16,17.5,26,9
1981-04-17,19,28,10
1981-04-18,19.5,26,13
1981-04-19,21.5,29,14
1981-04-20,21.5,31,12
1981-04-21,20.5,27,14
1981-04-22,17.5,22,13
1981-04-23,17.05,20.1,14
1981-04-24,16.5,23,10
1981-04-25,18.5,26,11
1981-04-26,20.5,27,14
1981-04-27,21,25,17
1981-04-28,21,24,18
1981-04-29,23.5,30,17
1981-04-30,23.75,29,18.5
1981-05-01,20,24,16
1981-05-02,19.5,22,17
1981-05-03,19,23,15
1981-05-04,19,24,14
1981-05-05,18,25,11
1981-05-06,17.5,23,12
1981-05-07,17.5,24,11
1981-05-08,15.5,21,10
1981-05-09,15.5,20,11
1981-05-10,18.5,21,16
1981-05-11,17.5,20,15
1981-05-12,18,22,14
1981-05-13,15,19,11
1981-05-14,18,23,13
1981-05-15,18.5,22,15
1981-05-16,18.5,23,14
1981-05-17,20.5,24,17
1981-05-18,22.5,29,16
1981-05-19,21.75,28.5,15
1981-05-20,20,24,16
1981-05-21,21,27,15
1981-05-22,19,24,14
1981-05-23,19.5,23,16
1981-05-24,20,25,15
1981-05-25,23,30,16
1981-05-26,22,29,15
1981-05-27,22,30,14
1981-05-28,23,31,15
1981-05-29,23,30,16
1981-05-30,21,29,13
1981-05-31,22.25,28,16.5
1981-06-01,18.25,27.5,9
1981-06-02,18.5,29,8
1981-06-03,19,28,10
1981-06-04,18.75,26.5,11
1981-06-05,20.5,31.5,9.5
1981-06-06,20.75,30.5,11
1981-06-07,16.75,23,10.5
1981-06-08,19,30,8
1981-06-09,20.75,32.5,9
1981-06-10,20,30,10
1981-06-11,23,28,18
1981-06-12,18,27,9
1981-06-13,19.5,29,10
1981-06-14,19.25,27.5,11
1981-06-15,18.75,25,12.5
1981-06-16,14.5,18.5,10.5
1981-06-17,16,21,11
1981-06-18,11.25,22,0.5
1981-06-19,17.5,25,10
1981-06-20,19.75,27.5,12
1981-06-21,19,28,10
1981-06-22,19.75,27.5,12
1981-06-23,15.25,24.5,6
1981-06-24,16,25,7
1981-06-25,16.5,24,9
1981-06-26,19.75,29,10.5
1981-06-27,16.75,24.5,9
1981-06-28,18.25,26,10.5
1981-06-29,18,27,9
1981-06-30,17,24,10
1981-08-01,23,30,16
1981-08-02,22.5,30,15
1981-08-03,23.5,35,12
1981-08-04,25.5,35,16
1981-08-05,20.5,30,11
1981-08-06,25.5,35,16
1981-08-07,23,30,16
1981-08-08,23,30,16
1981-08-09,25.5,35,16
1981-08-10,22,31,13
1981-08-11,20.5,30,11
1981-08-12,21,30,12
1981-08-13,22,28,16
1981-08-14,22.5,29,16
1981-08-15,20,28,12
1981-08-16,23,30,16
1981-08-17,23.5,35,12
1981-08-18,22,28,16
1981-08-19,20,29,11
1981-08-20,22,28,16
