Estación: ,C19120,FRESNILLO. VALLECILLO
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 53' 00'',Latitud:,26° 26' 00

Fecha,Promedio,Máximo,Mínimo
1980-04-01,27,36,18
1980-04-02,26,36,16
1980-04-03,25.5,32,19
1980-04-04,21.5,22,21
1980-04-05,22.5,27,18
1980-04-06,25,32,18
1980-04-07,26.5,33,20
1980-04-08,26,34,18
1980-04-09,25.5,31,20
1980-04-10,30.5,41,20
1980-04-11,31,39,23
1980-04-12,30,35,25
1980-04-13,32,38,26
1980-04-14,29.5,35,24
1980-04-15,31,42,20
1980-04-16,28.5,35,22
1980-04-17,27.5,33,22
1980-04-18,30.5,37,24
1980-04-19,24.5,29,20
1980-04-20,26.5,31,22
1980-04-21,28.5,35,22
1980-04-22,27,34,20
1980-04-23,26.5,33,20
1980-04-24,31.5,40,23
1980-04-25,30,35,25
1980-04-26,29.5,39,20
1980-04-27,29.5,36,23
1980-04-28,28.05,34.1,22
1980-04-29,30,35,25
1980-05-01,30.5,38,23
1980-05-02,30.5,37,24
1980-05-03,31,38,24
1980-05-04,28,32,24
1980-05-05,30.5,37,24
1980-05-06,32.5,39,26
1980-05-07,34,42,26
1980-05-08,31.5,39,24
1980-05-09,31,38,24
1980-05-10,31,37,25
1980-05-11,30,36,24
1980-05-12,31,37,25
1980-05-13,31.5,38,25
1980-05-14,31.5,39,24
1980-05-15,31.5,38,25
1980-05-16,32.5,39,26
1980-05-17,32,39,25
1980-05-18,32.5,40,25
1980-05-19,34,42,26
1980-05-20,34,42,26
1980-05-21,33,41,25
1980-05-22,33.5,41,26
1980-05-23,34.5,42,27
1980-05-24,33,41,25
1980-05-25,33,41,25
1980-05-26,34.5,43,26
1980-05-27,34.5,44,25
1980-05-28,34,43,25
1980-05-29,32.5,40,25
1980-05-30,34,42,26
1980-06-01,30.5,38,23
1980-06-02,29.5,37,22
1980-06-03,30.75,38.5,23
1980-06-04,28.5,32.5,24.5
1980-06-05,30,37,23
1980-06-06,31.5,39,24
1980-06-07,35,47,23
1980-06-08,31.5,39,24
1980-06-09,30.75,38.5,23
1980-06-10,30.75,37,24.5
1980-06-11,29.5,36,23
1980-06-12,30.5,37,24
1980-06-13,30.75,38,23.5
1980-06-14,31.75,39.5,24
1980-06-15,31.5,38,25
1980-06-16,33.02,39.5,26.54
1980-06-17,32,39,25
1980-06-18,32,40,24
1980-06-19,33.25,40,26.5
1980-06-20,32.5,41,24
1980-06-21,32.75,40,25.5
1980-06-22,33.75,41.5,26
1980-06-23,33.5,42,25
1980-06-24,32.5,40,25
1980-06-25,32.5,41,24
1980-06-26,32.5,40,25
1980-06-27,32.5,40,25
1980-06-28,32.75,41.5,24
1980-06-29,31.5,40,23
1980-06-30,33.75,41,26.5
1980-07-01,34,42,26
1980-07-02,33.5,43,24
1980-07-03,32,40,24
1980-07-04,32,40,24
1980-07-05,32.5,40,25
1980-07-06,32.5,40,25
1980-07-07,31.5,39,24
1980-07-08,32.5,40,25
1980-07-09,32.5,40,25
1980-07-10,32.5,40,25
1980-07-11,33,41,25
1980-07-12,32.5,41,24
1980-07-13,33,41,25
1980-07-14,32.5,40,25
1980-07-15,33,41,25
1980-07-16,33,41,25
1980-07-17,32.5,41,24
1980-07-18,32.5,41,24
1980-07-19,33,41,25
1980-07-20,32,40,24
1980-07-21,32.5,39,26
1980-07-22,32.5,39,26
1980-07-23,29,34,24
1980-07-24,30.5,39,22
1980-07-25,31.5,39,24
1980-07-26,34,41,27
1980-07-27,33,40,26
1980-07-28,33,40,26
1980-07-29,32.5,40,25
1980-07-30,32,40,24
1980-07-31,32,40,24
1980-08-01,32.5,40,25
1980-08-02,32.5,40,25
1980-08-03,32.5,40,25
1980-08-04,33,40,26
1980-08-05,32.5,40,25
1980-08-06,32,40,24
1980-08-07,30,36,24
1980-08-08,31,38,24
1980-08-09,27,30,24
1980-08-10,27,32,22
1980-08-11,26,29,23
1980-08-12,27.5,32,23
1980-08-13,30,35,25
1980-08-14,30,36,24
1980-08-15,30.5,37,24
1980-08-16,30,36,24
1980-08-17,28,31,25
1980-08-18,28,31,25
1980-08-19,30,35,25
1980-08-20,29.5,34,25
1980-08-21,30,36,24
1980-08-22,30,37,23
1980-08-23,29,36,22
1980-08-24,31,38,24
1980-08-25,29.5,39,20
1980-08-26,29,37,21
1980-08-27,28.5,36,21
1980-08-28,29.5,37,22
1980-08-29,31,38,24
1980-08-30,31.5,39,24
1980-08-31,31,38,24
1980-09-01,31,38,24
1980-09-02,28.5,35,22
1980-09-03,29.5,35,24
1980-09-04,31.5,37,26
1980-09-05,30.5,37,24
1980-09-06,30,38,22
1980-09-07,30,38,22
1980-09-08,31,38,24
1980-09-09,30,36,24
1980-09-10,31,35,27
1980-09-11,29.5,35,24
1980-09-12,30,36,24
1980-09-13,29.5,36,23
1980-09-14,29.5,36,23
1980-09-15,29,35,23
1980-09-16,28,36,20
1980-09-17,29.5,39,20
1980-09-18,30.5,38,23
1980-09-19,30,36,24
1980-09-20,29.5,36,23
1980-09-21,31,38,24
1980-09-22,30.5,37,24
1980-09-23,30,36,24
1980-09-24,29,34,24
1980-09-25,30,35,25
1980-09-26,25,26,24
1980-09-27,28.5,32,25
1980-09-28,28,32,24
1980-09-29,28.5,33,24
1980-09-30,26.5,29,24
1980-10-01,26,31,21
1980-10-02,24.5,31,18
1980-10-03,24,26,22
1980-10-04,28,38,18
1980-10-05,24.5,33,16
1980-10-06,27,32,22
1980-10-07,25.5,31,20
1980-10-08,23,31,15
1980-10-09,27,31,23
1980-10-10,26,32,20
1980-10-11,26,31,21
1980-10-12,24.5,32,17
1980-10-13,25,32,18
1980-10-14,27.5,34,21
1980-10-15,28.5,35,22
1980-10-16,29.5,36,23
1980-10-17,30,36,24
1980-10-18,28,35,21
1980-10-19,20.5,21,20
1980-10-20,16.5,20,13
1980-10-21,16.5,20,13
1980-10-22,24.5,32,17
1980-10-23,24.5,31,18
1980-10-24,19.5,21,18
1980-10-25,18,25,11
1980-10-26,21.5,29,14
1980-10-27,26.5,34,19
1980-10-28,16.5,17,16
1980-10-29,10,11,9
1980-10-30,14.5,19,10
1980-10-31,14.5,24,5
1980-11-01,16,26,6
1980-11-02,18.5,27,10
1980-11-03,20.5,31,10
1980-11-04,22,31,13
1980-11-05,22,29,15
1980-11-06,20,29,11
1980-11-07,22.5,34,11
1980-11-08,24,36,12
1980-11-09,21.5,32,11
1980-11-10,25,37,13
1980-11-11,20.5,25,16
1980-11-12,21,28,14
1980-11-13,23,31,15
1980-11-14,20.5,29,12
1980-11-15,14.5,16,13
1980-11-16,10,11,9
1980-11-17,10,14,6
1980-11-18,3.55,4.1,3
1980-11-19,8.5,17,0
1980-11-20,8,11,5
1980-11-21,10,11,9
1980-11-22,10.5,13,8
1980-11-23,15.5,20,11
1980-11-24,13,18,8
1980-11-25,11.55,12.1,11
1980-11-26,8,11,5
1980-11-27,8.5,15,2
1980-11-28,13,23,3
1980-11-29,13.5,24,3
1980-11-30,13.5,20,7
1980-12-01,16.5,23,10
1980-12-02,14.5,19,10
1980-12-03,10,12,8
1980-12-04,13,16,10
1980-12-05,15.5,21,10
1980-12-06,19,24,14
1980-12-07,18,25,11
1980-12-08,17.5,25,10
1980-12-09,13.5,14,13
1980-12-10,13,14,12
1980-12-11,14.5,19,10
1980-12-12,14.5,23,6
1980-12-13,17,24,10
1980-12-14,15,19,11
1980-12-15,17.5,20,15
1980-12-16,17.5,25,10
1980-12-17,18,27,9
1980-12-18,20,30,10
1980-12-19,13.5,15,12
1980-12-20,6.5,7,6
1980-12-21,5,7,3
1980-12-22,7.5,12,3
1980-12-23,6.5,8,5
1980-12-24,5,7,3
1980-12-25,7.5,13,2
1980-12-26,13.5,23,4
1980-12-27,14.5,24,5
1980-12-28,14.5,25,4
1980-12-29,13.5,19,8
1980-12-30,14.5,19,10
1980-12-31,15.5,25,6
1981-01-01,13.5,23,4
1981-01-02,13,23,3
1981-01-03,14,24,4
1981-01-04,13.5,20,7
1981-01-05,12,16,8
1981-01-06,17.5,22,13
1981-01-07,14,16,12
1981-01-08,13,18,8
1981-01-09,12.5,16,9
1981-01-10,12.5,14,11
1981-01-11,10.55,11.1,10
1981-01-12,9,10,8
1981-01-13,8,9,7
1981-01-14,12.5,17,8
1981-01-15,12.5,19,6
1981-01-16,10,13,7
1981-01-17,6.05,6.1,6
1981-01-18,2,3,1
1981-01-19,3,5,1
1981-01-20,10.5,21,0
1981-01-21,8,14,2
1981-01-22,11.5,14,9
1981-01-23,12.5,21,4
1981-01-24,12.5,22,3
1981-01-25,14.5,25,4
1981-01-26,13.5,20,7
1981-01-27,19,25,13
1981-01-28,19.5,28,11
1981-01-29,19.5,28,11
1981-01-30,16.5,21,12
1981-01-31,18.5,25,12
1981-02-01,17,20,14
1981-02-02,8.5,15,2
1981-02-03,7,10,4
1981-02-04,8.5,14,3
1981-02-05,11.5,14,9
1981-02-06,11,14,8
1981-02-07,13.5,20,7
1981-02-08,17,26,8
1981-02-09,18.5,27,10
1981-02-10,21,30,12
1981-02-11,16.5,20,13
1981-02-12,11,14,8
1981-02-13,6.5,9,4
1981-02-14,9,13,5
1981-02-15,10.5,18,3
1981-02-16,11.5,19,4
1981-02-17,13.05,17.1,9
1981-02-18,19,24,14
1981-02-19,19,26,12
1981-02-20,22,30,14
1981-02-21,18.5,27,10
1981-02-22,16.5,21,12
