Estación: ,C19121,GATOS GUEROS. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 20' 52.9'',Latitud:,25° 06' 16.9''

Fecha,Valor,NúmDatos
1980-06-01,10,CLIC
1980-06-02,10.6,CLIC
1980-06-03,9.5,CLIC
1980-06-04,8.5,CLIC
1980-06-05,14.5,CLIC
1980-06-06,7.4,CLIC
1980-06-07,13.1,CLIC
1980-06-08,13,CLIC
1980-06-09,10,CLIC
1980-06-10,10,CLIC
1980-06-11,13.1,CLIC
1980-06-12,8,CLIC
1980-06-13,9.7,CLIC
1980-06-14,5.1,CLIC
1980-06-15,12,CLIC
1980-06-16,6,CLIC
1980-06-17,7.8,CLIC
1980-06-18,12.1,CLIC
1980-06-19,14,CLIC
1980-06-20,6.3,CLIC
1980-06-21,6.1,CLIC
1980-06-22,10,CLIC
1980-06-23,10,CLIC
1980-06-24,10,CLIC
1980-06-25,11,CLIC
1980-06-26,2.1,CLIC
1980-06-27,4.5,CLIC
1980-06-28,3.2,CLIC
1980-06-29,3.1,CLIC
1980-06-30,4.1,CLIC
1980-07-01,8.1,CLIC
1980-07-02,10,CLIC
1980-07-03,12,CLIC
1980-07-04,8.1,CLIC
1980-07-05,11.1,CLIC
1980-07-06,8.9,CLIC
1980-07-07,8.1,CLIC
1980-07-08,9,CLIC
1980-07-09,10,CLIC
1980-07-10,8,CLIC
1980-07-11,12.5,CLIC
1980-07-12,9.5,CLIC
1980-07-13,10.9,CLIC
1980-07-14,9.1,CLIC
1980-07-15,6.7,CLIC
1980-07-16,9.6,CLIC
1980-07-17,11.7,CLIC
1980-07-18,12.9,CLIC
1980-07-19,14.2,CLIC
1980-07-20,12,CLIC
1980-07-21,10,CLIC
1980-07-22,9,CLIC
1980-07-23,10.9,CLIC
1980-07-24,9.1,CLIC
1980-07-25,9,CLIC
1980-07-26,7.1,CLIC
1980-07-27,7,CLIC
1980-07-28,8,CLIC
1980-07-29,6.5,CLIC
1980-07-30,6.8,CLIC
1980-07-31,7.4,CLIC
1980-08-01,13.4,CLIC
1980-08-02,14.6,CLIC
1980-08-03,10.1,CLIC
1980-08-04,12,CLIC
1980-08-05,10.1,CLIC
1980-08-06,11,CLIC
1980-08-07,7.4,CLIC
1980-08-08,8.9,CLIC
1980-08-09,9.8,CLIC
1980-08-10,7.9,CLIC
1980-08-11,8.1,CLIC
1980-08-12,7.7,CLIC
1980-08-13,9.2,CLIC
1980-08-14,7.9,CLIC
1980-08-15,7.4,CLIC
1980-08-16,7.8,CLIC
1980-08-17,8.2,CLIC
1980-08-18,10.9,CLIC
1980-08-19,9.9,CLIC
1980-08-20,9.1,CLIC
1980-08-21,10.1,CLIC
1980-08-22,7.9,CLIC
1980-08-23,10.8,CLIC
1980-08-24,10.1,CLIC
