Estación: ,C19122,GENERAL TERAN.GRAL.TERAN
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 41' 00'',Latitud:,25° 17' 00

Fecha,Promedio,Máximo,Mínimo
1980-04-08,21.5,34,9
1980-04-09,22,36,8
1980-04-10,20,30,10
1980-04-11,20,28,12
1980-04-12,16,23,9
1980-04-13,15,22,8
1980-04-14,20.5,27,14
1980-04-15,19,25,13
1980-04-16,25,34,16
1980-04-17,25,33,17
1980-04-18,27.5,35,20
1980-04-19,27,33,21
1980-04-20,27.5,35,20
1980-04-21,24.5,34,15
1980-04-22,26,36,16
1980-04-23,27,37,17
1980-04-24,28.5,38,19
1980-04-25,26,33,19
1980-04-26,24.5,34,15
1980-04-27,23,32,14
1980-04-28,22,31,13
1980-04-29,22.5,33,12
1980-04-30,24.5,36,13
1980-05-08,26,31,21
1980-05-09,33,46,20
1980-05-10,28,37,19
1980-05-11,29.5,39,20
1980-05-12,31,39,23
1980-05-13,31,38,24
1980-05-14,29,37,21
1980-05-15,31,39,23
1980-05-16,32,40,24
1980-05-17,33.5,40,27
1980-05-18,34,39,29
1980-05-19,26.5,34,19
1980-05-20,28,36,20
1980-05-21,28,35,21
1980-05-22,29.5,38,21
1980-05-23,33.5,38,29
1980-05-24,32.5,38,27
1980-05-25,33.5,40,27
1980-05-26,33.5,39,28
1980-05-27,28.5,30,27
1980-05-28,31.5,40,23
1980-05-29,30.5,38,23
1980-05-30,31.5,40,23
1980-05-31,32.5,40,25
1980-08-01,33.5,40,27
1980-08-02,33.5,40,27
1980-08-03,33.5,41,26
1980-08-04,32.5,39,26
1980-08-05,32,38,26
1980-08-06,29.5,36,23
1980-08-07,30,38,22
1980-08-08,29,32,26
1980-08-09,25,30,20
1980-08-10,28,35,21
1980-08-11,28.5,34,23
1980-08-12,29.5,36,23
1980-08-13,30,36,24
1980-08-14,30.5,37,24
1980-08-15,31,38,24
1980-08-16,30,37,23
1980-08-17,29.5,37,22
1980-08-18,30.5,38,23
1980-08-19,31,38,24
1980-08-20,31,38,24
1980-08-21,32,39,25
1980-08-22,31.5,38,25
1980-08-23,26.5,29,24
1980-08-24,26.55,28.1,25
1980-08-25,30.5,37,24
1980-08-26,25.55,28.1,23
1980-08-27,31,39,23
1980-08-28,32.5,41,24
1980-08-29,32.5,39,26
1980-08-30,32.5,39,26
1980-08-31,33.5,41,26
1980-09-01,31.5,39,24
1980-09-02,29.5,36,23
1980-09-03,30.5,39,22
1980-09-04,30,37,23
1980-09-05,30.5,39,22
1980-09-06,31,38,24
1980-09-07,32.5,40,25
1980-09-08,32,39,25
1980-09-09,30,37,23
1980-09-10,31.5,39,24
1980-09-11,31,38,24
1980-09-12,30.5,39,22
1980-09-13,31,39,23
1980-09-14,29,36,22
1980-09-15,29,36,22
1980-09-16,30,38,22
1980-09-17,30.5,38,23
1980-09-18,31,39,23
1980-09-19,31.5,39,24
1980-09-20,30.5,38,23
1980-09-21,30.5,38,23
1980-09-22,29.5,36,23
1980-09-23,29,36,22
1980-09-24,28.5,36,21
1980-09-25,27.5,34,21
1980-09-26,27,34,20
1980-09-27,28,36,20
1980-09-28,28.5,36,21
1980-09-29,30.5,39,22
1980-09-30,27,30,24
1980-10-01,25,30,20
1980-10-02,24,32,16
1980-10-03,26,34,18
1980-10-04,24.5,32,17
1980-10-05,24.5,33,16
1980-10-06,23,31,15
1980-10-07,22.5,30,15
1980-10-08,22.5,30,15
1980-10-09,24.5,31,18
1980-10-10,25.5,31,20
1980-10-11,24,28,20
1980-10-12,24,30,18
1980-10-13,24,32,16
1980-10-14,25.5,33,18
1980-10-15,27,34,20
1980-10-16,28.5,35,22
1980-10-17,28,35,21
1980-10-18,29,36,22
1980-10-19,15,17,13
1980-10-20,14,15,13
1980-10-21,17,22,12
1980-10-22,15,17,13
1980-10-23,20,26,14
1980-10-24,18.05,19.1,17
1980-10-25,16,22,10
1980-10-26,24.5,35,14
1980-10-27,22,30,14
1980-10-28,18.5,22,15
1980-10-29,15.5,18,13
1980-10-30,14.5,17,12
1980-10-31,16,21,11
1980-11-01,17,20,14
1980-11-02,16.55,17.1,16
1980-11-03,15.75,18,13.5
1980-11-04,14.75,17.5,12
1980-11-05,10.5,13,8
1980-11-06,12.25,15,9.5
1980-11-07,15,19,11
1980-11-08,14.25,15.5,13
1980-11-09,11.5,13,10
1980-11-10,7.75,9,6.5
1980-11-11,8.25,13,3.5
1980-11-12,13,17,9
1980-11-13,13.5,15,12
1980-11-14,11.5,12.5,10.5
1980-11-15,7,10,4
1980-11-16,6,9,3
1980-11-17,7,12,2
1980-11-18,10.5,13,8
1980-11-19,13.5,17,10
1980-11-20,13.55,15.1,12
1980-11-21,12.25,14,10.5
1980-11-22,14,20,8
1980-11-23,19.25,24,14.5
1980-11-24,21.25,23,19.5
1980-11-25,19.25,21.5,17
1980-11-26,17,22,12
1980-11-27,16,18,14
1980-11-28,15.5,20,11
1980-11-29,15.5,18,13
1980-11-30,12,13,11
1980-12-01,12,16,8
1980-12-02,11,12,10
1980-12-03,10.5,13,8
1980-12-04,11,14,8
1980-12-05,13,18,8
1980-12-06,14,18,10
1980-12-07,14.5,19,10
1980-12-08,14.5,20,9
1980-12-09,13.5,17,10
1980-12-10,13.5,18,9
1980-12-11,14.5,19,10
1980-12-12,16.5,23,10
1980-12-13,15.5,19,12
1980-12-14,13.5,18,9
1980-12-15,17,24,10
1980-12-16,18.5,25,12
1980-12-17,19.5,27,12
1980-12-18,13.05,14.1,12
1980-12-19,9.05,10.1,8
1980-12-20,7.5,9,6
1980-12-21,3.05,4.1,2
1980-12-22,13,24,2
1980-12-23,13,23,3
1980-12-24,20,28,12
1980-12-25,21,28,14
1980-12-26,17.5,23,12
1980-12-27,18.5,28,9
1980-12-28,18.05,24.1,12
1980-12-29,18.5,28,9
1980-12-30,17.5,23,12
1980-12-31,18.5,26,11
1981-01-01,17,23,11
1981-01-02,19.5,29,10
1981-01-03,21.5,29,14
1981-01-04,20,28,12
1981-01-05,18.5,26,11
1981-01-06,16.5,20,13
1981-01-07,15,21,9
1981-01-08,13,17,9
1981-01-09,13,16,10
1981-01-10,11,14,8
1981-01-11,10,13,7
1981-01-12,10.5,12,9
1981-01-13,14.5,22,7
1981-01-14,16,22,10
1981-01-15,13,16,10
1981-01-16,6,8,4
1981-01-17,5.5,8,3
1981-01-18,8,12,4
1981-01-19,13.5,22,5
1981-01-20,13,16,10
1981-01-21,12.5,13,12
1981-01-22,10.5,16,5
1981-01-23,17,24,10
1981-01-24,16.5,24,9
1981-01-25,14,23,5
1981-01-26,15,25,5
1981-01-27,16.5,25,8
1981-01-28,18,26,10
1981-01-29,20,28,12
1981-01-30,20.5,28,13
1981-01-31,19,26,12
1981-02-01,11.5,18,5
1981-02-02,8,12,4
1981-02-03,10,12,8
1981-02-04,10,12,8
1981-02-05,9.5,12,7
1981-02-06,10.5,13,8
1981-02-07,10.5,13,8
1981-02-08,15.5,22,9
1981-02-09,15.5,23,8
1981-02-10,18,27,9
1981-02-11,19.5,28,11
1981-02-12,14,17,11
1981-02-13,6.05,8.1,4
1981-02-14,9,16,2
1981-02-15,15,24,6
1981-02-16,16.5,23,10
1981-02-17,17,22,12
1981-02-18,19,28,10
1981-02-19,19.5,27,12
1981-02-20,22,28,16
1981-02-21,20.5,22,19
1981-02-22,18,26,10
1981-02-23,15,22,8
1981-02-24,18,28,8
1981-02-25,21,26,16
1981-02-26,19.5,23,16
1981-02-27,20.5,27,14
1981-02-28,18.5,21,16
1981-03-01,20,26,14
1981-03-02,18.5,22,15
1981-03-03,21,26,16
1981-03-04,20,29,11
1981-03-05,18.5,25,12
1981-03-06,17.5,24,11
1981-03-07,20,25,15
1981-03-08,17.5,22,13
1981-03-09,16,20,12
1981-03-10,12.05,13.1,11
1981-03-11,11,12,10
1981-03-12,11,13,9
1981-03-13,13.5,18,9
1981-03-14,14,20,8
1981-03-15,18,25,11
1981-03-16,18,22,14
1981-03-17,18.5,26,11
1981-03-18,18.5,25,12
1981-03-19,12.5,21,4
1981-03-20,14.5,24,5
1981-03-21,19,27,11
1981-03-22,18,24,12
1981-03-23,15,21,9
1981-03-24,13.5,20,7
1981-03-25,19,27,11
1981-03-26,22.5,31,14
1981-03-27,22,29,15
1981-03-28,21.5,27,16
1981-03-29,20,28,12
1981-03-30,22.5,32,13
1981-03-31,24,33,15
1981-04-01,27.5,37,18
1981-04-02,24.5,32,17
1981-04-03,21.5,29,14
1981-04-04,22,32,12
1981-04-05,25,34,16
1981-04-06,24.5,35,14
1981-04-07,24.5,34,15
1981-04-08,25.25,35,15.5
1981-04-09,25.5,34,17
1981-04-10,26.5,35,18
1981-04-11,26.5,36,17
1981-04-12,26.5,35,18
1981-04-13,24.5,33,16
1981-04-14,24.5,30,19
1981-04-15,26,31,21
1981-04-16,24.5,30,19
1981-04-17,25.5,31,20
1981-04-18,24.5,32,17
1981-04-19,23.5,31,16
1981-04-20,25.5,33,18
1981-04-21,26,35,17
1981-04-22,27.5,36,19
1981-04-23,25.5,33,18
1981-04-24,25.5,35,16
1981-04-25,23.5,30,17
1981-04-26,24.5,31,18
1981-04-27,25.5,34,17
1981-04-28,27,35,19
1981-04-29,27,34,20
1981-04-30,29,35,23
1981-05-01,27.5,34.5,20.5
1981-05-02,24.5,29.5,19.5
1981-05-03,18,23.5,12.5
1981-05-04,23.5,31.5,15.5
1981-05-05,27,34.5,19.5
