Estación: ,C19126,LA LAJA. HUALAHUISES
Variable: ,Evaporación (mm)
Longitud: ,99° 40' 39.3'',Latitud:,24° 55' 12.8''

Fecha,Valor,NúmDatos
1979-10-01,4.2,CLIC
1979-10-02,7.3,CLIC
1979-10-03,4.1,CLIC
1979-10-04,5.3,CLIC
1979-10-05,4.3,CLIC
1979-10-06,5,CLIC
1979-10-07,4.4,CLIC
1979-10-08,4.8,CLIC
1979-10-09,4.1,CLIC
1979-10-10,5.6,CLIC
1979-10-11,3.7,CLIC
1979-10-12,5.4,CLIC
1979-10-13,5,CLIC
1979-10-14,4.3,CLIC
1979-10-15,4.5,CLIC
1979-10-16,3.2,CLIC
1979-10-17,4.6,CLIC
1979-10-18,4.7,CLIC
1979-10-19,5.4,CLIC
1979-10-20,4.4,CLIC
1979-10-21,2.6,CLIC
1979-10-22,5,CLIC
1979-10-23,3.2,CLIC
1979-10-24,1.2,CLIC
1979-10-25,1.4,CLIC
1979-10-26,2.6,CLIC
1979-10-27,5.1,CLIC
1979-10-28,4.8,CLIC
1979-10-29,7.3,CLIC
1979-10-30,2.6,CLIC
1979-10-31,2.5,CLIC
1979-11-01,1.7,CLIC
1979-11-02,0.6,CLIC
1979-11-03,2.4,CLIC
1979-11-04,3.9,CLIC
1979-11-05,3.7,CLIC
1979-11-06,0.1,CLIC
1979-11-07,2,CLIC
1979-11-08,4.1,CLIC
1979-11-09,3.6,CLIC
1979-11-10,2.5,CLIC
1979-11-11,1.5,CLIC
1979-11-12,3.4,CLIC
1979-11-13,2.3,CLIC
1979-11-14,3,CLIC
1979-11-15,1,CLIC
1979-11-16,0.3,CLIC
1979-11-17,1,CLIC
1979-11-18,0.9,CLIC
1979-11-19,2.9,CLIC
1979-11-20,4.5,CLIC
1979-11-21,4.9,CLIC
1979-11-22,2.2,CLIC
1979-11-23,3,CLIC
1979-11-24,4.5,CLIC
1979-11-25,2.3,CLIC
1979-11-26,5.6,CLIC
1979-11-27,3.2,CLIC
1979-11-28,2.2,CLIC
1979-11-29,2.3,CLIC
1979-11-30,2.4,CLIC
1979-12-01,1.2,CLIC
1979-12-04,4.9,CLIC
