Estación: ,C19127,OASIS. VALLECILLOS
Variable: ,Evaporación (mm)
Longitud: ,99° 49' 37'',Latitud:,25° 52' 58

Fecha,Valor,NúmDatos
1980-12-01,1.8,CLIC
1980-12-02,2.2,CLIC
1980-12-03,1.8,CLIC
1980-12-04,1.5,CLIC
1980-12-05,2.7,CLIC
1980-12-06,1.8,CLIC
1980-12-07,1.5,CLIC
1980-12-08,3.7,CLIC
1980-12-09,2,CLIC
1980-12-10,3,CLIC
1980-12-11,2.3,CLIC
1980-12-12,3.3,CLIC
1980-12-13,2.3,CLIC
1980-12-14,1.7,CLIC
1980-12-15,3.3,CLIC
1980-12-16,3.9,CLIC
1980-12-17,2.9,CLIC
1980-12-18,1.3,CLIC
1980-12-19,0.7,CLIC
1980-12-20,1.2,CLIC
1980-12-21,0.9,CLIC
1980-12-22,0.9,CLIC
1980-12-23,1.2,CLIC
1980-12-24,0.8,CLIC
1980-12-25,1.2,CLIC
1980-12-26,1,CLIC
1980-12-27,0.9,CLIC
1980-12-28,1.1,CLIC
1980-12-29,0.9,CLIC
1980-12-30,1.1,CLIC
1980-12-31,0.9,CLIC
1981-02-01,4.7,CLIC
1981-02-02,3.7,CLIC
1981-02-03,2.7,CLIC
1981-02-04,3.8,CLIC
1981-02-05,1.8,CLIC
1981-02-06,4.2,CLIC
1981-02-07,2.4,CLIC
1981-02-08,3.1,CLIC
1981-02-09,3,CLIC
1981-02-10,3.4,CLIC
1981-02-11,2.3,CLIC
1981-02-12,1.2,CLIC
1981-02-13,2,CLIC
1981-02-14,1.8,CLIC
1981-02-15,1.4,CLIC
1981-02-16,2.3,CLIC
1981-02-17,2,CLIC
1981-02-18,1.3,CLIC
1981-02-19,4.4,CLIC
1981-02-20,2.8,CLIC
1981-02-21,3.5,CLIC
1981-02-22,3.8,CLIC
1981-02-23,4.5,CLIC
1981-02-24,5.4,CLIC
1981-02-25,3.8,CLIC
1981-02-26,5.4,CLIC
1981-02-27,3,CLIC
1981-02-28,4.1,CLIC
1981-04-01,5.5,CLIC
1981-04-02,6.4,CLIC
1981-04-03,6.8,CLIC
1981-04-04,5.7,CLIC
1981-04-05,6.4,CLIC
1981-04-06,7.5,CLIC
1981-04-07,8.6,CLIC
1981-04-08,4.2,CLIC
1981-04-09,6.1,CLIC
1981-04-10,7,CLIC
1981-04-11,7,CLIC
1981-04-12,7.2,CLIC
1981-04-13,5.8,CLIC
1981-04-14,6.3,CLIC
1981-04-15,5.9,CLIC
1981-04-16,5.4,CLIC
1981-04-17,5.6,CLIC
1981-04-18,5.9,CLIC
1981-04-19,5.3,CLIC
1981-04-20,6.9,CLIC
1981-04-21,5.9,CLIC
1981-04-22,5.9,CLIC
1981-04-23,4.4,CLIC
1981-04-24,6.4,CLIC
1981-04-25,6,CLIC
1981-04-26,5.4,CLIC
1981-04-27,6.7,CLIC
1981-04-28,5.3,CLIC
1981-04-29,6.3,CLIC
1981-04-30,6.8,CLIC
