Estación: ,C19128,OBREGON. DR. ARROYO
Variable: ,Evaporación (mm)
Longitud: ,100° 25' 11.42'',Latitud:,23° 42' 09.56''

Fecha,Valor,NúmDatos
1980-04-01,5.8,CLIC
1980-04-02,7.4,CLIC
1980-04-03,6.7,CLIC
1980-04-04,8.1,CLIC
1980-04-05,8.8,CLIC
1980-04-06,5.9,CLIC
1980-04-07,5.3,CLIC
1980-04-08,2.9,CLIC
1980-04-09,5.8,CLIC
1980-04-10,6.6,CLIC
1980-04-11,7.2,CLIC
1980-04-12,8.2,CLIC
1980-04-13,7.5,CLIC
1980-04-14,7.8,CLIC
1980-04-15,6.4,CLIC
1980-04-16,5.1,CLIC
1980-04-17,0.8,CLIC
1980-04-18,11.9,CLIC
1980-04-19,4,CLIC
1980-04-20,8.6,CLIC
1980-04-21,6.2,CLIC
1980-04-22,1.8,CLIC
1980-04-23,2,CLIC
1980-04-24,1.5,CLIC
1980-04-25,4.2,CLIC
1980-04-26,5.7,CLIC
1980-04-27,6.4,CLIC
1980-04-28,7.4,CLIC
1980-04-29,7.8,CLIC
1980-04-30,6.8,CLIC
1980-05-01,6.8,CLIC
1980-05-02,4.5,CLIC
1980-05-03,6,CLIC
1980-05-04,9.2,CLIC
1980-05-05,4,CLIC
1980-05-06,5.5,CLIC
1980-05-07,5.6,CLIC
1980-05-08,4.4,CLIC
1980-05-09,1.7,CLIC
1980-05-10,8.6,CLIC
1980-05-11,8.5,CLIC
1980-05-12,7,CLIC
1980-05-13,8.3,CLIC
1980-05-14,6.1,CLIC
1980-05-15,5.7,CLIC
1980-05-16,7.3,CLIC
1980-05-17,7.6,CLIC
1980-05-18,6.5,CLIC
1980-05-19,4.3,CLIC
1980-05-20,5.1,CLIC
1980-05-21,2.1,CLIC
1980-05-22,4.7,CLIC
1980-05-23,7.9,CLIC
1980-05-24,7.2,CLIC
1980-05-25,6.1,CLIC
1980-05-26,7.4,CLIC
1980-05-27,3.4,CLIC
1980-05-28,4.8,CLIC
1980-05-29,8.1,CLIC
1980-05-30,7.9,CLIC
1980-06-01,5,CLIC
1980-06-02,8.7,CLIC
1980-06-03,6.3,CLIC
1980-06-04,8.1,CLIC
1980-06-05,9.5,CLIC
1980-06-06,1.8,CLIC
1980-06-07,8.5,CLIC
1980-06-08,8.3,CLIC
1980-06-09,6.5,CLIC
1980-06-10,6.5,CLIC
1980-06-11,2.1,CLIC
1980-06-12,3.5,CLIC
1980-06-13,2.2,CLIC
1980-06-14,6.2,CLIC
1980-06-15,8.1,CLIC
1980-06-16,9.4,CLIC
1980-06-17,10.4,CLIC
1980-06-18,9,CLIC
1980-06-19,7.5,CLIC
1980-06-20,4.7,CLIC
1980-06-21,8.9,CLIC
1980-06-22,4.6,CLIC
1980-06-23,2.2,CLIC
1980-06-24,2.3,CLIC
1980-06-25,1.6,CLIC
1980-06-26,1.3,CLIC
1980-06-27,1,CLIC
1980-06-28,4.9,CLIC
1980-06-29,1.9,CLIC
1980-06-30,1.9,CLIC
1980-08-01,7.2,CLIC
1980-08-02,8.1,CLIC
1980-08-03,7.7,CLIC
1980-08-04,4.9,CLIC
1980-08-05,5.8,CLIC
1980-08-06,4.4,CLIC
1980-08-07,6.8,CLIC
1980-08-08,3,CLIC
1980-08-09,6.6,CLIC
1980-08-10,6,CLIC
1980-08-11,6.6,CLIC
1980-08-12,5.8,CLIC
1980-08-13,7.8,CLIC
1980-08-14,4.9,CLIC
1980-08-15,5.4,CLIC
1980-08-16,6.6,CLIC
1980-08-17,5.8,CLIC
1980-08-18,5.6,CLIC
1980-08-19,7.1,CLIC
1980-08-20,3.6,CLIC
1980-08-21,6.8,CLIC
1980-08-22,7.5,CLIC
1980-08-23,6.1,CLIC
1980-08-24,4.7,CLIC
1980-08-25,6.6,CLIC
1980-08-26,8.4,CLIC
1980-08-27,8.2,CLIC
1980-08-29,6.9,CLIC
1980-08-30,7.4,CLIC
1980-08-31,7.9,CLIC
1980-09-01,3.7,CLIC
1980-09-02,1.4,CLIC
1980-09-03,6.6,CLIC
1980-09-04,6.8,CLIC
1980-09-05,1.3,CLIC
1980-09-06,6.7,CLIC
1980-09-07,7.5,CLIC
1980-09-08,5.6,CLIC
1980-09-09,6.4,CLIC
1980-09-10,3.3,CLIC
1980-09-11,7.5,CLIC
1980-09-12,5.3,CLIC
1980-09-13,3.3,CLIC
1980-09-14,5.6,CLIC
1980-09-15,4.5,CLIC
1980-09-16,6.4,CLIC
1980-09-17,8.1,CLIC
1980-09-18,6.5,CLIC
1980-09-19,5.8,CLIC
1980-09-20,5.8,CLIC
1980-09-21,8.7,CLIC
1980-09-22,4.1,CLIC
1980-09-23,6.1,CLIC
1980-09-24,5.8,CLIC
1980-09-25,4.2,CLIC
1980-09-26,3.1,CLIC
1980-09-27,4.5,CLIC
1980-09-28,4.8,CLIC
1980-09-29,5.3,CLIC
1980-09-30,6.8,CLIC
1980-10-01,5.2,CLIC
1980-10-02,5.2,CLIC
1980-10-03,4.2,CLIC
1980-10-04,5.8,CLIC
1980-10-05,6,CLIC
1980-10-06,6,CLIC
1980-10-07,4.1,CLIC
1980-10-08,5.1,CLIC
1980-10-09,5.9,CLIC
1980-10-10,4.8,CLIC
1980-10-11,6.1,CLIC
1980-10-12,4.9,CLIC
1980-10-13,4.3,CLIC
1980-10-14,5.5,CLIC
1980-10-15,4,CLIC
1980-10-16,4.8,CLIC
1980-10-17,6.3,CLIC
1980-10-18,4.7,CLIC
1980-10-19,5.7,CLIC
1980-10-20,2.1,CLIC
1980-10-21,4.2,CLIC
1980-10-22,3.2,CLIC
1980-10-23,2.9,CLIC
1980-10-24,3.7,CLIC
1980-10-25,4,CLIC
1980-10-26,3.8,CLIC
1980-10-27,3.6,CLIC
1980-10-28,3.9,CLIC
1980-10-29,1.9,CLIC
1980-10-30,1,CLIC
1980-10-31,2,CLIC
1980-11-01,1.6,CLIC
1980-11-02,3.7,CLIC
1980-11-03,4.5,CLIC
1980-11-04,3.9,CLIC
1980-11-05,2.1,CLIC
1980-11-06,2.5,CLIC
1980-11-07,4.6,CLIC
1980-11-08,4.1,CLIC
1980-11-09,4.2,CLIC
1980-11-10,3.9,CLIC
1980-11-11,4.2,CLIC
1980-11-12,4.6,CLIC
1980-11-13,4,CLIC
1980-11-14,4.7,CLIC
