Estación: ,C19130,POBLADORES. CHINA
Variable: ,Evaporación (mm)
Longitud: ,98° 45' 29'',Latitud:,25° 22' 39

Fecha,Valor,NúmDatos
1980-04-01,10.1,CLIC
1980-04-02,10.1,CLIC
1980-04-03,7.8,CLIC
1980-04-04,8.1,CLIC
1980-04-05,7.4,CLIC
1980-04-06,4.8,CLIC
1980-04-07,5.9,CLIC
1980-04-08,7.7,CLIC
1980-04-09,8.6,CLIC
1980-04-10,4.9,CLIC
1980-04-11,4.2,CLIC
1980-04-12,5.7,CLIC
1980-04-13,7.1,CLIC
1980-04-14,8.5,CLIC
1980-04-15,8.9,CLIC
1980-04-16,10.6,CLIC
1980-04-17,8,CLIC
1980-04-18,6.8,CLIC
1980-04-19,4.2,CLIC
1980-04-20,8.7,CLIC
1980-04-21,5,CLIC
1980-04-22,6,CLIC
1980-04-23,7.7,CLIC
1980-04-24,6.5,CLIC
1980-04-25,8.1,CLIC
1980-04-26,5.1,CLIC
1980-04-27,6.3,CLIC
1980-04-28,5.2,CLIC
1980-04-29,4.7,CLIC
1980-04-30,6.4,CLIC
1980-05-01,2.9,CLIC
1980-05-02,9.1,CLIC
1980-05-03,10.5,CLIC
1980-05-04,9.7,CLIC
1980-05-05,9.5,CLIC
1980-05-06,3.7,CLIC
1980-05-07,1.3,CLIC
1980-05-08,6.7,CLIC
1980-05-09,8,CLIC
1980-05-10,8.1,CLIC
1980-05-11,8.5,CLIC
1980-05-12,5,CLIC
1980-05-13,10.3,CLIC
1980-05-14,4.8,CLIC
1980-05-15,4.8,CLIC
1980-05-16,10,CLIC
1980-05-17,11.6,CLIC
1980-05-18,12.6,CLIC
1980-05-19,12.9,CLIC
1980-05-20,7.3,CLIC
1980-05-21,6.1,CLIC
1980-05-22,9.3,CLIC
1980-05-23,9.1,CLIC
1980-05-24,10.6,CLIC
1980-05-25,14.4,CLIC
1980-05-26,10,CLIC
1980-05-27,5.4,CLIC
1980-05-28,4.6,CLIC
1980-05-29,11.3,CLIC
1980-05-30,8.7,CLIC
1980-05-31,9,CLIC
1981-03-19,6,CLIC
1981-03-20,5.1,CLIC
1981-03-21,7.3,CLIC
1981-03-22,8.4,CLIC
1981-03-23,5.2,CLIC
1981-03-24,4,CLIC
1981-03-25,5.1,CLIC
1981-03-26,4.7,CLIC
1981-03-27,5.1,CLIC
1981-03-28,7,CLIC
1981-03-29,7.8,CLIC
1981-03-30,8.7,CLIC
1981-03-31,3.7,CLIC
1981-05-01,6.6,CLIC
1981-05-02,5.9,CLIC
1981-05-03,5.3,CLIC
1981-05-04,6.9,CLIC
1981-05-05,3.2,CLIC
1981-05-06,5.1,CLIC
1981-05-07,4.2,CLIC
1981-05-08,3.9,CLIC
1981-05-09,7.2,CLIC
1981-05-10,7.2,CLIC
1981-05-11,6.3,CLIC
1981-05-12,8.2,CLIC
1981-05-13,6.7,CLIC
1981-05-14,7.4,CLIC
1981-05-15,7.2,CLIC
1981-05-16,5.8,CLIC
1981-05-17,6.1,CLIC
1981-05-18,5.9,CLIC
1981-05-19,4.6,CLIC
1981-05-20,4.8,CLIC
1981-05-21,7.2,CLIC
1981-05-22,5.8,CLIC
1981-05-23,5,CLIC
1981-05-24,7.7,CLIC
1981-05-25,8.5,CLIC
1981-05-26,7.1,CLIC
1981-05-27,6.4,CLIC
1981-05-28,7.7,CLIC
1981-05-29,6.2,CLIC
1981-05-30,7.9,CLIC
1981-05-31,5.8,CLIC
1981-06-01,5.9,CLIC
1981-06-02,5.1,CLIC
1981-06-03,6.2,CLIC
1981-06-04,7.3,CLIC
1981-06-05,9.4,CLIC
1981-06-06,9.2,CLIC
1981-06-07,11,CLIC
1981-06-08,10.1,CLIC
1981-06-09,10.2,CLIC
1981-06-10,8.7,CLIC
1981-06-11,8.7,CLIC
1981-06-12,7,CLIC
1981-06-13,6.2,CLIC
1981-06-14,5.9,CLIC
1981-06-16,6.7,CLIC
1981-06-17,6.7,CLIC
1981-06-18,7.4,CLIC
1981-06-19,7.9,CLIC
1981-06-20,10.7,CLIC
1981-06-21,8.5,CLIC
1981-06-22,7.1,CLIC
1981-06-23,4.8,CLIC
1981-06-24,4.1,CLIC
1981-06-25,5.6,CLIC
1981-06-26,3.6,CLIC
1981-06-27,6.4,CLIC
1981-06-28,4,CLIC
1981-06-29,7.3,CLIC
1981-06-30,6.5,CLIC
1981-07-01,6.2,CLIC
1981-07-02,7.1,CLIC
1981-07-03,6.3,CLIC
1981-07-04,7.5,CLIC
1981-07-05,7.1,CLIC
1981-07-06,6.9,CLIC
1981-07-07,7.7,CLIC
1981-07-08,7.6,CLIC
1981-07-09,4.8,CLIC
1981-07-10,6.4,CLIC
1981-07-11,8.6,CLIC
1981-07-12,8.8,CLIC
1981-07-13,10.1,CLIC
1981-07-14,9,CLIC
1981-07-15,9.1,CLIC
1981-07-16,9,CLIC
1981-07-17,10.6,CLIC
1981-07-18,8.6,CLIC
1981-07-19,10.2,CLIC
1981-07-20,10.6,CLIC
1981-07-21,10.8,CLIC
1981-07-22,10,CLIC
1981-07-23,8.8,CLIC
1981-07-24,7.9,CLIC
1981-07-25,8.6,CLIC
1981-07-26,6.8,CLIC
1981-07-27,7.8,CLIC
1981-07-28,9.6,CLIC
1981-07-29,9,CLIC
1981-07-30,7.8,CLIC
1981-07-31,7.1,CLIC
1981-10-01,4.4,CLIC
1981-10-02,6.8,CLIC
1981-10-03,7.6,CLIC
1981-10-04,7.1,CLIC
1981-10-05,6.6,CLIC
1981-10-06,7.3,CLIC
1981-10-07,5.2,CLIC
1981-10-08,3.3,CLIC
1981-10-09,4.8,CLIC
1981-10-10,5.8,CLIC
1981-10-11,7.2,CLIC
1981-10-12,6.8,CLIC
1981-10-13,7.1,CLIC
1981-10-14,6.5,CLIC
1981-10-15,6.1,CLIC
1981-10-16,6.1,CLIC
1981-10-17,4.8,CLIC
1981-10-18,4.8,CLIC
1981-10-19,4.5,CLIC
1981-10-20,6.5,CLIC
1981-10-21,5.9,CLIC
1981-10-22,6.7,CLIC
1981-10-23,5.2,CLIC
1981-10-24,5.5,CLIC
1981-10-25,6.6,CLIC
1981-10-26,6.7,CLIC
1981-10-27,3.8,CLIC
1981-10-28,3.6,CLIC
1981-10-29,4.1,CLIC
1981-10-30,4.3,CLIC
1981-10-31,4.7,CLIC
1981-11-01,5.9,CLIC
1981-11-02,5,CLIC
1981-11-03,4.7,CLIC
1981-11-04,4.1,CLIC
1981-11-05,4.8,CLIC
1981-11-06,4.6,CLIC
1981-11-07,5.3,CLIC
1981-11-08,4.3,CLIC
1981-11-09,6.7,CLIC
1981-11-10,4.2,CLIC
1981-11-11,3.3,CLIC
1981-11-12,8,CLIC
1981-11-13,1.7,CLIC
1981-11-14,4.2,CLIC
1981-11-15,4.1,CLIC
1981-11-16,4.2,CLIC
1981-11-17,4,CLIC
1981-11-18,4.2,CLIC
1981-11-19,3.9,CLIC
1981-11-20,3.8,CLIC
1981-11-21,3.2,CLIC
1981-11-22,3.1,CLIC
1981-11-23,3.6,CLIC
1981-11-24,3.7,CLIC
1981-11-25,7,CLIC
1981-11-26,4.1,CLIC
1981-11-27,2.8,CLIC
1981-11-28,2.9,CLIC
1981-11-29,6.1,CLIC
1981-11-30,6.2,CLIC
