Estación: ,C19130,POBLADORES. CHINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,98° 45' 29'',Latitud:,25° 22' 39

Fecha,Promedio,Máximo,Mínimo
1980-04-01,20,31,9
1980-04-02,19,30,8
1980-04-03,17.5,30,5
1980-04-04,20.5,32,9
1980-04-05,22,31,13
1980-04-06,25,32,18
1980-04-07,26,33,19
1980-04-08,25,32,18
1980-04-09,22.5,30,15
1980-04-10,24,31,17
1980-04-11,23.5,28,19
1980-04-12,26,34,18
1980-04-13,29,38,20
1980-04-14,27.5,35,20
1980-04-15,24.5,30,19
1980-04-16,21,30,12
1980-04-17,24,31,17
1980-04-18,26,32,20
1980-04-19,27,33,21
1980-04-20,29.5,38,21
1980-04-21,25.5,31,20
1980-04-22,27.5,34,21
1980-04-23,24.5,27,22
1980-04-24,26.5,32,21
1980-04-25,25,30,20
1980-04-26,25.5,30,21
1980-04-27,27,32,22
1980-04-28,30.5,38,23
1980-04-29,30,40,20
1980-04-30,30.5,38,23
1980-05-01,30.5,36,25
1980-05-02,31,38,24
1980-05-03,30,36,24
1980-05-04,31,38,24
1980-05-05,31.5,38,25
1980-05-06,27,29,25
1980-05-07,27,32,22
1980-05-08,26.5,31,22
1980-05-09,28,36,20
1980-05-10,29,38,20
1980-05-11,32,40,24
1980-05-12,32.5,40,25
1980-05-13,31.5,38,25
1980-05-14,29.5,37,22
1980-05-15,31.5,38,25
1980-05-16,31,37,25
1980-05-17,31,37,25
1980-05-18,31,37,25
1980-05-19,31,38,24
1980-05-20,30.5,36,25
1980-05-21,29,35,23
1980-05-22,31.5,37,26
1980-05-23,30.5,37,24
1980-05-24,31.5,38,25
1980-05-25,33,40,26
1980-05-26,32.5,40,25
1980-05-27,30.5,38,23
1980-05-28,30.5,38,23
1980-05-29,30,37,23
1980-05-30,31,38,24
1980-05-31,29.5,37,22
1981-03-19,14.5,22,7
1981-03-20,18,27,9
1981-03-21,21,30,12
1981-03-22,19.5,26,13
1981-03-23,16,24,8
1981-03-24,16,24,8
1981-03-25,20.5,29,12
1981-03-26,22.5,28,17
1981-03-27,23.5,27,20
1981-03-28,24.5,29,20
1981-03-29,23,27,19
1981-03-30,24.5,29,20
1981-03-31,28,37,19
1981-05-01,28,36,20
1981-05-02,28,35,21
1981-05-03,26.5,34,19
1981-05-04,27.5,37,18
1981-05-05,24.5,33,16
1981-05-06,26.5,32,21
1981-05-07,26.25,31,21.5
1981-05-08,26.25,30,22.5
1981-05-09,28.75,34,23.5
1981-05-10,22.75,28,17.5
1981-05-11,21.5,29,14
1981-05-12,25.5,32,19
1981-05-13,28.75,35,22.5
1981-05-14,28.5,34,23
1981-05-15,28.75,35.5,22
1981-05-16,28.5,34,23
1981-05-17,29,36,22
1981-05-18,31.5,40,23
1981-05-19,28.75,34,23.5
1981-05-20,29,36,22
1981-05-21,26.5,32,21
1981-05-22,27.25,35,19.5
1981-05-23,29.5,36,23
1981-05-24,26.5,34,19
1981-05-25,28.5,35,22
1981-05-26,29.5,38,21
1981-05-27,30,36,24
1981-05-28,27,32,22
1981-05-29,29,37,21
1981-05-30,29.5,36,23
1981-05-31,29.25,36.5,22
1981-06-01,28.75,35.5,22
1981-06-02,29.25,37,21.5
1981-06-03,28.5,35,22
1981-06-04,29.5,36,23
1981-06-05,30.75,38.5,23
1981-06-06,31.75,39,24.5
1981-06-07,32.75,40.5,25
1981-06-08,33,40,26
1981-06-09,33.25,41,25.5
1981-06-10,32.5,39,26
1981-06-11,32.5,38,27
1981-06-12,29.25,36.5,22
1981-06-13,30.5,38,23
1981-06-14,30.5,37,24
1981-06-15,29.5,36.5,22.5
1981-06-16,28.75,36.5,21
1981-06-17,26.5,32,21
1981-06-18,28.5,35,22
1981-06-19,28.25,33,23.5
1981-06-20,27.75,34.5,21
1981-06-21,29,35,23
1981-06-22,29,36,22
1981-06-23,30.5,38,23
1981-06-24,28.25,34,22.5
1981-06-25,30.25,37.5,23
1981-06-26,26.5,31,22
1981-06-27,26.5,32,21
1981-06-28,27.75,33,22.5
1981-06-29,29,35,23
1981-06-30,27.25,32.5,22
1981-07-01,29.75,36,23.5
1981-07-02,29.75,37.5,22
1981-07-03,29.5,36,23
1981-07-04,29,35,23
1981-07-05,29.25,36,22.5
1981-07-06,29.25,35.5,23
1981-07-07,29.5,37,22
1981-07-08,28.75,34.5,23
1981-07-09,30.25,36,24.5
1981-07-10,29,35,23
1981-07-11,28,36,20
1981-07-12,29.5,37,22
1981-07-13,29.5,37,22
1981-07-14,30,36.5,23.5
1981-07-15,31,38,24
1981-07-16,29.5,36,23
1981-07-17,30.75,38,23.5
1981-07-18,31,38,24
1981-07-19,31.25,39.5,23
1981-07-20,32,39,25
1981-07-21,31.5,39,24
1981-07-22,32.25,39,25.5
1981-07-23,31.75,39.5,24
1981-07-24,30.5,38,23
1981-07-25,31,38,24
1981-07-26,30.5,38,23
1981-07-27,31.75,39,24.5
1981-07-28,29.25,35.5,23
1981-07-29,30,36,24
1981-07-30,30,37,23
1981-07-31,31,38,24
1981-08-01,32,39,25
1981-08-02,31,38,24
1981-08-03,30.5,37,24
1981-08-04,31,38,24
1981-08-05,31.5,38,25
1981-08-06,32,40,24
1981-08-07,32,40,24
1981-08-08,31.5,40,23
1981-08-09,31.5,40,23
1981-08-10,31.5,39,24
1981-08-11,32,40,24
1981-08-12,31,39,23
1981-08-13,31,39,23
1981-08-14,31.5,40,23
1981-08-15,31.5,39,24
1981-08-16,31.5,40,23
1981-08-17,32.5,41,24
1981-08-18,32,40,24
1981-08-19,31,37,25
1981-08-20,30.5,37,24
1981-08-21,31,38,24
1981-08-22,31.5,39,24
1981-08-23,32,40,24
1981-08-24,31,38,24
1981-08-25,29,36,22
1981-08-26,28,34,22
1981-08-27,29.5,35,24
1981-08-28,26.5,31,22
1981-08-29,26.5,31,22
1981-08-30,29,35,23
1981-08-31,30,37,23
1981-09-01,30,36,24
1981-09-02,28.5,34,23
1981-09-03,30,35,25
1981-09-04,28.5,33,24
1981-09-05,26.25,29.5,23
1981-09-06,28.5,35,22
1981-09-07,28.25,33,23.5
1981-09-08,28.5,35,22
1981-09-09,28.5,35,22
1981-09-10,28.5,34,23
1981-09-11,30,36,24
1981-09-12,30,37,23
1981-09-13,29,38,20
1981-09-14,30,37,23
1981-09-15,30.5,37,24
1981-09-16,29.5,36,23
1981-09-17,24,28,20
1981-09-18,20.5,27,14
1981-09-19,22.5,32,13
1981-09-20,24.5,33,16
1981-09-21,26.5,35,18
1981-09-22,28,36,20
1981-09-23,29.5,36,23
1981-09-24,28,34,22
1981-09-25,29.5,36,23
1981-09-26,28.5,35,22
1981-09-27,27.5,36,19
1981-09-28,25.5,31,20
1981-09-29,26,31,21
1981-09-30,27.5,35,20
1981-10-01,27.5,34,21
1981-10-02,27.5,35,20
1981-10-03,28.5,36,21
1981-10-04,29.5,37,22
1981-10-05,29,35,23
1981-10-06,30,38,22
1981-10-07,30.5,36,25
1981-10-08,26.5,30,23
1981-10-09,28.25,34,22.5
1981-10-10,30,36,24
1981-10-11,31.75,38.5,25
1981-10-12,30,36,24
1981-10-13,29.5,37,22
1981-10-14,30,36,24
1981-10-15,29,35,23
1981-10-16,29,36,22
1981-10-17,28.5,34,23
1981-10-18,25.5,30,21
1981-10-19,21.5,31,12
1981-10-20,21.5,30,13
1981-10-21,23.5,32,15
1981-10-22,27,33,21
1981-10-23,21.25,30,12.5
1981-10-24,20,30,10
1981-10-25,19.5,28,11
1981-10-26,17.5,25,10
1981-10-27,18.5,28,9
1981-10-28,21.25,30,12.5
1981-10-29,21.5,29,14
1981-10-30,21.5,30,13
1981-10-31,21.5,29,14
1981-11-01,17.75,22.5,13
1981-11-02,18.5,27,10
1981-11-03,18.25,29,7.5
1981-11-04,18.5,29.5,7.5
1981-11-05,22.25,32,12.5
1981-11-06,22.5,31,14
1981-11-07,25,30,20
1981-11-08,25.75,31,20.5
1981-11-09,19.5,23,16
1981-11-10,14,22,6
1981-11-11,14.5,25,4
1981-11-12,14.5,25,4
1981-11-13,19,27,11
1981-11-14,21.5,30,13
1981-11-15,22,30,14
1981-11-16,23.25,32,14.5
1981-11-17,26,33,19
1981-11-18,21.5,32,11
1981-11-19,20.5,28,13
1981-11-20,14.75,22.5,7
1981-11-21,15.5,26,5
1981-11-22,18.75,31,6.5
1981-11-23,19.75,33,6.5
1981-11-24,21,32,10
1981-11-25,22.5,33,12
1981-11-26,26,34,18
1981-11-27,23.25,30.5,16
1981-11-28,23.5,31,16
1981-11-29,24.5,32,17
1981-11-30,25,31,19
1981-12-01,24.5,33,16
1981-12-02,17,28,6
1981-12-03,19.75,32,7.5
1981-12-04,21.5,27,16
1981-12-05,19.5,29,10
1981-12-06,19.5,30,9
1981-12-07,20.75,29.5,12
1981-12-08,18.5,26,11
1981-12-09,19.5,25,14
1981-12-10,19.75,28,11.5
1981-12-11,22.75,32,13.5
1981-12-12,21.25,31.5,11
1981-12-13,21.25,31,11.5
1981-12-14,19.25,27,11.5
1981-12-15,18.5,26,11
1981-12-16,19.25,28,10.5
1981-12-17,19.5,28,11
1981-12-18,16.5,29,4
1981-12-19,16.5,28,5
1981-12-20,20,30,10
1981-12-21,19.25,28,10.5
1981-12-22,21,32,10
1981-12-23,19,29,9
1981-12-24,18,27,9
1981-12-25,15.75,27.5,4
1981-12-26,16.5,28,5
1981-12-27,18,31,5
1981-12-28,18.5,30,7
