Estación: ,C19132,EL QUEMADO. CHINA
Variable: ,Precipitación (mm)
Longitud: ,98° 48' 12'',Latitud:,25° 40' 28

Fecha,Valor,NúmDatos
1980-05-01,0,CLIC
1980-05-02,0,CLIC
1980-05-03,1,CLIC
1980-05-04,0,CLIC
1980-05-05,0,CLIC
1980-05-06,0,CLIC
1980-05-07,0,CLIC
1980-05-08,0,CLIC
1980-05-09,0,CLIC
1980-05-10,0,CLIC
1980-05-11,0,CLIC
1980-05-12,1,CLIC
1980-05-13,0,CLIC
1980-05-14,16,CLIC
1980-05-15,0,CLIC
1980-05-16,0,CLIC
1980-05-17,0,CLIC
1980-05-18,16,CLIC
1980-05-19,0,CLIC
1980-05-20,19,CLIC
1980-05-21,0,CLIC
1980-05-22,0,CLIC
1980-05-23,0,CLIC
1980-05-24,0,CLIC
1980-05-25,0,CLIC
1980-05-26,0,CLIC
1980-05-27,0,CLIC
1980-05-28,0,CLIC
1980-05-29,0,CLIC
1980-05-30,0,CLIC
1980-05-31,0,CLIC
